Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1219,-1_health_people_would_like,"[('health', 0.010509683019504423), ('people', 0.005679686557608187), ('would', 0.005361223210190624), ('like', 0.004525207530336635), ('covid19', 0.0044966100579938145), ('amp', 0.004476488274625319), ('one', 0.004308638585510795), ('dont', 0.004023943957699262), ('system', 0.0039953560578230496), ('care', 0.003924516265247701)]",neutral,"['health', 'people', 'would', 'like', 'covid', 'amp', 'one', 'dont', 'system', 'care ']"
1,0,570,0_health_covid_covid19_hospital,"[('health', 0.011203818210001212), ('covid', 0.010637478903218882), ('covid19', 0.0077350532676158), ('hospital', 0.007010840418592599), ('care', 0.006474261631315872), ('amp', 0.006413010955419066), ('nurse', 0.006023337713298245), ('get', 0.00570200053114933), ('need', 0.005083605577340951), ('response', 0.005024521660829474)]",neutral,"['health', 'covid', 'covid', 'hospital', 'care', 'amp', 'nurse', 'get', 'need', 'response ']"
2,1,151,1_mental_mental health_health_support,"[('mental', 0.05495925129296357), ('mental health', 0.052921307685393326), ('health', 0.021747081012945202), ('support', 0.008482156168767678), ('need', 0.007880127970271175), ('people', 0.0077182533356662504), ('im', 0.0069694969611859055), ('twitter', 0.005801719878241843), ('dont', 0.0052204762012139794), ('health issues', 0.005024461860488744)]",neutral,"['mental', 'mental health', 'health', 'support', 'need', 'people', 'im', 'twitter', 'dont', 'health issues ']"
3,2,123,2_go_quarantine_safe_im,"[('go', 0.015327342176171805), ('quarantine', 0.01527158929753267), ('safe', 0.011513652631468023), ('im', 0.011020773516882824), ('home', 0.010226973774625217), ('stay', 0.008690889816741544), ('dont', 0.008166305889412324), ('lockdown', 0.0076340353329261), ('okay', 0.007499208423812892), ('care', 0.0069150729689077305)]",neutral,"['go', 'quarantine', 'safe', 'im', 'home', 'stay', 'dont', 'lockdown', 'okay', 'care ']"
4,3,112,3_minister_health_ministry_mori,"[('minister', 0.028470655627986577), ('health', 0.02095029062479684), ('ministry', 0.0173242364040924), ('mori', 0.014318973877107436), ('ministry health', 0.01336650130511952), ('minister health', 0.012069782933640775), ('health minister', 0.01173579681214343), ('public', 0.010121877723237077), ('public health', 0.008918518172075481), ('needs', 0.006911945117662952)]",neutral,"['minister', 'health', 'ministry', 'mori', 'ministry health', 'minister health', 'health minister', 'public', 'public health', 'needs ']"
5,4,70,4_vaccine_vaccination_getting_covid,"[('vaccine', 0.02992759847861415), ('vaccination', 0.01667259904998125), ('getting', 0.01583769282675701), ('covid', 0.013215191783548526), ('vaccines', 0.012663626901992376), ('could', 0.01171330710773733), ('vaccinated', 0.011416685172990207), ('issues', 0.011383776078101725), ('virus', 0.01111150771882647), ('health issues', 0.011065127517743004)]",neutral,"['vaccine', 'vaccination', 'getting', 'covid', 'vaccines', 'could', 'vaccinated', 'issues', 'virus', 'health issues ']"
6,5,61,5_nurses_salary_nurse_pay,"[('nurses', 0.03296700899268854), ('salary', 0.020976185131449502), ('nurse', 0.016509885503122046), ('pay', 0.01605955867558294), ('years', 0.013914170598665286), ('mandated', 0.013677161284640669), ('pay nurses', 0.01289274308566252), ('25', 0.01289274308566252), ('house', 0.012622103059989547), ('average house', 0.012409158648622184)]",neutral,"['nurses', 'salary', 'nurse', 'pay', 'years', 'mandated', 'pay nurses', '', 'house', 'average house ']"
7,6,61,6_mask_masks_wearing_wear,"[('mask', 0.06465174641520885), ('masks', 0.04133566092567717), ('wearing', 0.018897687536713885), ('wear', 0.018807214553737513), ('wear mask', 0.017789398918876025), ('safety', 0.013185349985914585), ('surgical', 0.010384921033228727), ('people', 0.009816977728815809), ('wearing mask', 0.009344754709267884), ('kids', 0.009322111907674416)]",neutral,"['mask', 'masks', 'wearing', 'wear', 'wear mask', 'safety', 'surgical', 'people', 'wearing mask', 'kids ']"
8,7,55,7_amp_health amp_amp safety_health amp safety,"[('amp', 0.06153690756106401), ('health amp', 0.03797310115906746), ('amp safety', 0.03638380835375345), ('health amp safety', 0.03638380835375345), ('safety', 0.024296560540986605), ('would', 0.012190227300193559), ('health', 0.012150581719507525), ('customers', 0.009593732602905818), ('amp would', 0.00936891890062923), ('lockdown', 0.00883345719048899)]",neutral,"['amp', 'health amp', 'amp safety', 'health amp safety', 'safety', 'would', 'health', 'customers', 'amp would', 'lockdown ']"
9,8,50,8_nz_equal_health_maori,"[('nz', 0.03196471578418152), ('equal', 0.018062467245861767), ('health', 0.01636681201718786), ('maori', 0.015642931254063783), ('channel', 0.00973018378660888), ('healthcare', 0.009363053021677746), ('maori health', 0.009144063340063253), ('country', 0.008786790052551997), ('mori appreciate', 0.0076096690359199574), ('access health healthcare', 0.0076096690359199574)]",neutral,"['nz', 'equal', 'health', 'maori', 'channel', 'healthcare', 'maori health', 'country', 'mori appreciate', 'access health healthcare ']"
