Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,3683,-1_health_people_amp_covid,"[('health', 0.006343078377766108), ('people', 0.004323415767787816), ('amp', 0.004164832569018684), ('covid', 0.003359151072579496), ('get', 0.0032858779806022686), ('public', 0.00309896577651205), ('like', 0.0030855305658995945), ('dont', 0.0030575356453809805), ('would', 0.002888926910324346), ('im', 0.0028834219285940547)]",negative,"['health', 'people', 'amp', 'covid', 'get', 'public', 'like', 'dont', 'would', 'im ']"
1,0,4886,0_health_covid19_nurses_covid,"[('health', 0.005532161944459205), ('covid19', 0.004991482516805045), ('nurses', 0.004573829334288353), ('covid', 0.004147815447405781), ('nurse', 0.004040489543908599), ('people', 0.003926563333806848), ('get', 0.003384501987834398), ('amp', 0.0032796758139896024), ('hospital', 0.003170882721440401), ('nz', 0.0030426400710498)]",negative,"['health', 'covid', 'nurses', 'covid', 'nurse', 'people', 'get', 'amp', 'hospital', 'nz ']"
2,1,176,1_mask_wearing_masks_wear,"[('mask', 0.043414578690034074), ('wearing', 0.02260763567121267), ('masks', 0.022314962632248213), ('wear', 0.018748982898107145), ('wear mask', 0.014232112430238555), ('wearing mask', 0.009566769742158357), ('people', 0.009159484153246666), ('wearing masks', 0.008187641317062276), ('medical', 0.006590142533063414), ('around', 0.006226318375188802)]",negative,"['mask', 'wearing', 'masks', 'wear', 'wear mask', 'wearing mask', 'people', 'wearing masks', 'medical', 'around ']"
3,2,126,2_god_love_jesus_psalm,"[('god', 0.02418741519285249), ('love', 0.013920885831146243), ('jesus', 0.009628407144408825), ('psalm', 0.008843894102331672), ('church', 0.008255291768722478), ('christ', 0.00772961652622874), ('prayer', 0.007468386450771472), ('lord', 0.007148621508874514), ('lost', 0.0055775542007030126), ('may', 0.005498649004115803)]",negative,"['god', 'love', 'jesus', 'psalm', 'church', 'christ', 'prayer', 'lord', 'lost', 'may ']"
4,3,93,3_water_dairy_meat_red meat,"[('water', 0.030200313672838236), ('dairy', 0.014655762156517788), ('meat', 0.014127031210572948), ('red meat', 0.011904116255384468), ('emissions', 0.009860555110124526), ('red', 0.00917040293422011), ('nitrates', 0.008950291597238876), ('consumption', 0.008671690322870415), ('health', 0.008320809938418234), ('public health', 0.007870055699797025)]",negative,"['water', 'dairy', 'meat', 'red meat', 'emissions', 'red', 'nitrates', 'consumption', 'health', 'public health ']"
5,4,82,4_amp_health amp_amp education_education,"[('amp', 0.041909701526916386), ('health amp', 0.01736508383478394), ('amp education', 0.013888348447602764), ('education', 0.0133981357879902), ('amp safety', 0.011484564961802373), ('amp healthcare workers', 0.010607570865518822), ('amp healthcare', 0.01013425072604477), ('health amp safety', 0.010035584508018171), ('nzpolitics', 0.009135451050760189), ('amp grossly underfunded', 0.00857207382109362)]",negative,"['amp', 'health amp', 'amp education', 'education', 'amp safety', 'amp healthcare workers', 'amp healthcare', 'health amp safety', 'nzpolitics', 'amp grossly underfunded ']"
6,5,74,5_safety_health safety_workplace_health,"[('safety', 0.053571280708954935), ('health safety', 0.04754936246238098), ('workplace', 0.015203448303540328), ('health', 0.014207435626206064), ('safe', 0.012441843363276292), ('health safety issue', 0.011710689727873957), ('injury', 0.011286671983676614), ('safety issue', 0.011048944089630442), ('construction', 0.010940409876174423), ('health amp safety', 0.010704623475219381)]",negative,"['safety', 'health safety', 'workplace', 'health', 'safe', 'health safety issue', 'injury', 'safety issue', 'construction', 'health amp safety ']"
7,6,70,6_climate_climate change_change_mayor,"[('climate', 0.03359925215263413), ('climate change', 0.022056154569814933), ('change', 0.01605736474826104), ('mayor', 0.010015819295631771), ('dont', 0.009861155628737078), ('planning', 0.009715289756482018), ('restructure health sector', 0.00926855008060484), ('restructure', 0.00887922013121532), ('restructure health', 0.00887922013121532), ('climateaction', 0.00887922013121532)]",negative,"['climate', 'climate change', 'change', 'mayor', 'dont', 'planning', 'restructure health sector', 'restructure', 'restructure health', 'climateaction ']"
8,7,49,7_mori_mori health_providers_mori health providers,"[('mori', 0.07733950392798171), ('mori health', 0.044346415956965264), ('providers', 0.040917353898840374), ('mori health providers', 0.02939502620340037), ('health providers', 0.027373227773151692), ('peeni', 0.016610556291094817), ('whole whnau', 0.014830013644857783), ('mori health authority', 0.014293309196229368), ('vaxxed', 0.01420581621365903), ('health authority', 0.013444005604457621)]",negative,"['mori', 'mori health', 'providers', 'mori health providers', 'health providers', 'peeni', 'whole whnau', 'mori health authority', 'vaxxed', 'health authority ']"
9,8,45,8_glyphosate_industry_ge_pesticide,"[('glyphosate', 0.03209787405282768), ('industry', 0.023687583597760624), ('ge', 0.022152685467773443), ('pesticide', 0.0220063372972294), ('carcinogen', 0.02043796711346996), ('us', 0.019538539858481405), ('iarc', 0.016958146896130087), ('probable human', 0.015842525129856525), ('human carcinogen', 0.015842525129856525), ('probable human carcinogen', 0.015842525129856525)]",negative,"['glyphosate', 'industry', 'ge', 'pesticide', 'carcinogen', 'us', 'iarc', 'probable human', 'human carcinogen', 'probable human carcinogen ']"
10,9,38,9_vaccine_video_covid vaccine disappointing_health board member,"[('vaccine', 0.031210739859319537), ('video', 0.0235271502858285), ('covid vaccine disappointing', 0.02107916782584398), ('health board member', 0.02107916782584398), ('need mindful', 0.02107916782584398), ('representatives need', 0.02107916782584398), ('vaccine misinformation reprimanded', 0.02107916782584398), ('reprimanded', 0.02107916782584398), ('reprimanded elected', 0.02107916782584398), ('reprimanded elected representatives', 0.02107916782584398)]",negative,"['vaccine', 'video', 'covid vaccine disappointing', 'health board member', 'need mindful', 'representatives need', 'vaccine misinformation reprimanded', 'reprimanded', 'reprimanded elected', 'reprimanded elected representatives ']"
11,10,38,10_gun_guns_nra_gun control,"[('gun', 0.06145016117795108), ('guns', 0.028808440490341338), ('nra', 0.024026764324253675), ('gun control', 0.015151131692108454), ('mental health', 0.012829053534413628), ('mental', 0.012600915682288718), ('civil', 0.010514643851063307), ('legislation', 0.009584306334509306), ('control', 0.009513859844457864), ('guns nra', 0.008708441672645261)]",negative,"['gun', 'guns', 'nra', 'gun control', 'mental health', 'mental', 'civil', 'legislation', 'control', 'guns nra ']"
12,11,35,11_think_covid_measures everyone_proactive measures,"[('think', 0.018773243457072007), ('covid', 0.017880458997344386), ('measures everyone', 0.017500720701944063), ('proactive measures', 0.017500720701944063), ('care us', 0.017500720701944063), ('us hubristic', 0.017500720701944063), ('care us spare', 0.017500720701944063), ('leaders understand', 0.017500720701944063), ('spare us hubristic', 0.017500720701944063), ('leaders understand interdependent', 0.017500720701944063)]",negative,"['think', 'covid', 'measures everyone', 'proactive measures', 'care us', 'us hubristic', 'care us spare', 'leaders understand', 'spare us hubristic', 'leaders understand interdependent ']"
13,12,34,12_housing_landlords_rentals_rent,"[('housing', 0.03015318719446727), ('landlords', 0.021015575791206952), ('rentals', 0.020261265395312193), ('rent', 0.019891654320317132), ('houses', 0.016939691425965995), ('pushed', 0.014519735507970854), ('housing crisis', 0.01254597120451055), ('motels', 0.012159884300761165), ('social housing', 0.012159884300761165), ('rental', 0.012159884300761165)]",negative,"['housing', 'landlords', 'rentals', 'rent', 'houses', 'pushed', 'housing crisis', 'motels', 'social housing', 'rental ']"
14,13,34,13_mcelnay_managed isolation_supermarket worker worked_apparently death managed,"[('mcelnay', 0.03210056916127298), ('managed isolation', 0.02229370872468891), ('supermarket worker worked', 0.019295317234094136), ('apparently death managed', 0.019295317234094136), ('mcelnay unaware question', 0.019295317234094136), ('dr mcelnay said', 0.019295317234094136), ('hospital nurse positive', 0.019295317234094136), ('unaware question positive', 0.019295317234094136), ('isolation facility auckland', 0.019295317234094136), ('unaware question', 0.019295317234094136)]",negative,"['mcelnay', 'managed isolation', 'supermarket worker worked', 'apparently death managed', 'mcelnay unaware question', 'dr mcelnay said', 'hospital nurse positive', 'unaware question positive', 'isolation facility auckland', 'unaware question ']"
15,14,34,14_cars_road_mobility_cycle,"[('cars', 0.023973985465599583), ('road', 0.022133622370675433), ('mobility', 0.01751389141051637), ('cycle', 0.015328933030061394), ('vehicle', 0.015063810061832286), ('traffic', 0.014195971160724572), ('cycleways', 0.01280934449342017), ('drivers', 0.012678969790648592), ('coal', 0.011675927607010915), ('cities', 0.011675927607010915)]",negative,"['cars', 'road', 'mobility', 'cycle', 'vehicle', 'traffic', 'cycleways', 'drivers', 'coal', 'cities ']"
16,15,34,15_border_colours_borders_quarantine,"[('border', 0.03274366709758551), ('colours', 0.024486776012346896), ('borders', 0.02322433735800748), ('quarantine', 0.017221413553717306), ('keep', 0.01589210499591515), ('covid going', 0.015304235007716811), ('really lower', 0.014227390025733614), ('understand successful public', 0.014227390025733614), ('understand successful', 0.014227390025733614), ('really lower snake', 0.014227390025733614)]",negative,"['border', 'colours', 'borders', 'quarantine', 'keep', 'covid going', 'really lower', 'understand successful public', 'understand successful', 'really lower snake ']"
