Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2790,-1_health_love_amp_care,"[('health', 0.01039407103372432), ('love', 0.00678636987548142), ('amp', 0.00564058320508773), ('care', 0.004967324990830014), ('people', 0.004642369737979132), ('safe', 0.004509582686820678), ('new', 0.0044463949301867525), ('good', 0.004239225511117438), ('im', 0.00399266819689311), ('get', 0.003786060657741931)]",positive,"['health', 'love', 'amp', 'care', 'people', 'safe', 'new', 'good', 'im', 'get ']"
1,0,4682,0_health_covid19_nurses_people,"[('health', 0.010020893275968888), ('covid19', 0.007340431709236984), ('nurses', 0.006101130243587702), ('people', 0.005206941274683568), ('mental', 0.0051003278200045825), ('nurse', 0.004912084621975552), ('mental health', 0.004889701904532613), ('love', 0.0048418112669789525), ('covid', 0.004798230650350396), ('amp', 0.004767224836234638)]",positive,"['health', 'covid', 'nurses', 'people', 'mental', 'nurse', 'mental health', 'love', 'covid', 'amp ']"
2,1,126,1_friends parklife foodporn_foodporn livinglarge_fun theflahute pocketrocket_fun theflahute,"[('friends parklife foodporn', 0.053345389084967505), ('foodporn livinglarge', 0.053345389084967505), ('fun theflahute pocketrocket', 0.053345389084967505), ('fun theflahute', 0.053345389084967505), ('theflahute pocketrocket friends', 0.053345389084967505), ('pocketrocket friends', 0.053345389084967505), ('cocktailporn nightonthetown', 0.053345389084967505), ('nightonthetown', 0.053345389084967505), ('nightonthetown cocktails finewine', 0.053345389084967505), ('love datenight food', 0.053345389084967505)]",positive,"['friends parklife foodporn', 'foodporn livinglarge', 'fun theflahute pocketrocket', 'fun theflahute', 'theflahute pocketrocket friends', 'pocketrocket friends', 'cocktailporn nightonthetown', 'nightonthetown', 'nightonthetown cocktails finewine', 'love datenight food ']"
3,2,116,2_happy_happiness_new year_year,"[('happy', 0.03627980862633732), ('happiness', 0.03130489458702718), ('new year', 0.026434813285776574), ('year', 0.025750955402326803), ('birthday', 0.02550738481864117), ('wishing', 0.024350639005402068), ('health happiness', 0.02247925134950125), ('happy birthday', 0.0207670072025791), ('2020', 0.020080897405503922), ('happy new year', 0.019901065703417917)]",positive,"['happy', 'happiness', 'new year', 'year', 'birthday', 'wishing', 'health happiness', 'happy birthday', '', 'happy new year ']"
4,3,105,3_mask_masks_wear_wearing,"[('mask', 0.060518320784907764), ('masks', 0.03871994300769895), ('wear', 0.02506852751893407), ('wearing', 0.025009489799984692), ('wear masks', 0.016508114721382274), ('mask wearing', 0.015105909361138481), ('ppe', 0.013137505668380485), ('medical', 0.010796172957956837), ('every day', 0.01042775715009225), ('day', 0.010415408947617576)]",positive,"['mask', 'masks', 'wear', 'wearing', 'wear masks', 'mask wearing', 'ppe', 'medical', 'every day', 'day ']"
5,4,64,4_amp_health amp_health amp safety_amp safety,"[('amp', 0.059731488807037214), ('health amp', 0.019976668557263506), ('health amp safety', 0.018265650941516724), ('amp safety', 0.01780954413428315), ('safety', 0.013085800426388104), ('safe', 0.011837685357748035), ('building', 0.011095354024189964), ('health', 0.00893059499423946), ('highlight', 0.00878984987219739), ('critical success', 0.00809979512972163)]",positive,"['amp', 'health amp', 'health amp safety', 'amp safety', 'safety', 'safe', 'building', 'health', 'highlight', 'critical success ']"
6,5,57,5_favorite_player_favorite player_dynamic,"[('favorite', 0.08637645963625598), ('player', 0.07883383735344594), ('favorite player', 0.0717275747635492), ('dynamic', 0.06050392435166305), ('fearless', 0.06010521901882441), ('safe', 0.056013307341618544), ('safe healthy', 0.05082109088916182), ('klay', 0.0400296985607544), ('healthy', 0.0392119091326439), ('mai', 0.03634317106429067)]",positive,"['favorite', 'player', 'favorite player', 'dynamic', 'fearless', 'safe', 'safe healthy', 'klay', 'healthy', 'mai ']"
7,6,53,6_health board_district health board_district health_board,"[('health board', 0.11561979748218656), ('district health board', 0.11359900098166936), ('district health', 0.11122021756570881), ('board', 0.10820547420407813), ('district', 0.10680819292390759), ('hutt', 0.08144881445204735), ('hutt valley', 0.07881195019884074), ('valley', 0.07836851087091727), ('valley district health', 0.06969656861559387), ('valley district', 0.06969656861559387)]",positive,"['health board', 'district health board', 'district health', 'board', 'district', 'hutt', 'hutt valley', 'valley', 'valley district health', 'valley district ']"
8,7,49,7_cycling_bike_lanes_bike lanes,"[('cycling', 0.04845411788933154), ('bike', 0.04429369134142614), ('lanes', 0.027240140477058104), ('bike lanes', 0.02262407463640775), ('cycling infrastructure', 0.019812346772092555), ('biking', 0.019392063974063786), ('infrastructure', 0.018454107677042583), ('health', 0.01793835292840186), ('benefits walking', 0.01692457844637908), ('benefits', 0.01656034341424814)]",positive,"['cycling', 'bike', 'lanes', 'bike lanes', 'cycling infrastructure', 'biking', 'infrastructure', 'health', 'benefits walking', 'benefits ']"
9,8,44,8_podcast_episode_listen_stag roar,"[('podcast', 0.07234031104745868), ('episode', 0.030217850587181464), ('listen', 0.018357068324270604), ('stag roar', 0.017268073940480192), ('roar', 0.017268073940480192), ('roar podcast', 0.017268073940480192), ('kimi', 0.017268073940480192), ('stag roar podcast', 0.017268073940480192), ('half measures', 0.016901763249689363), ('stag', 0.01658448769209069)]",positive,"['podcast', 'episode', 'listen', 'stag roar', 'roar', 'roar podcast', 'kimi', 'stag roar podcast', 'half measures', 'stag ']"
