Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,6636,-1_health_mental_mental health_good,"[('health', 0.011932423177538063), ('mental', 0.006416567961085688), ('mental health', 0.006198041256779484), ('good', 0.005158152852917044), ('dont', 0.00499226660973082), ('people', 0.00488079062264937), ('care', 0.004609501299391604), ('know', 0.004103291167679768), ('like', 0.003923095944480923), ('get', 0.0035899926706536214)]",neutral,"['health', 'mental', 'mental health', 'good', 'dont', 'people', 'care', 'know', 'like', 'get ']"
1,0,10226,0_health_covid19_nurse_nurses,"[('health', 0.009252434690569257), ('covid19', 0.008163752160738795), ('nurse', 0.006745981496048546), ('nurses', 0.005391701206212057), ('dont', 0.0044015696491007715), ('people', 0.004381513451938301), ('good', 0.003906376700186123), ('like', 0.0038350168674450257), ('care', 0.0038133835829654078), ('amp', 0.003811796849027429)]",neutral,"['health', 'covid', 'nurse', 'nurses', 'dont', 'people', 'good', 'like', 'care', 'amp ']"
2,1,163,1_protest_protests_endsars_peaceful,"[('protest', 0.07213942085956071), ('protests', 0.025317041419138014), ('endsars', 0.023839155133818703), ('peaceful', 0.01954991974927567), ('peaceful protest', 0.011742278205178697), ('protesters', 0.0115151813018478), ('government', 0.007736237390761249), ('people', 0.007459725707113758), ('endsars protests', 0.00713937261575485), ('endsars protest', 0.0067819012422663345)]",neutral,"['protest', 'protests', 'endsars', 'peaceful', 'peaceful protest', 'protesters', 'government', 'people', 'endsars protests', 'endsars protest ']"
3,2,155,2_scorpio could_scorpio could easily_today scorpio could_something healthrelated today,"[('scorpio could', 0.17071627728073935), ('scorpio could easily', 0.17071627728073935), ('today scorpio could', 0.17071627728073935), ('something healthrelated today', 0.1690932658353149), ('healthrelated today scorpio', 0.1690932658353149), ('could easily talked', 0.1690932658353149), ('something healthrelated', 0.1690932658353149), ('talked something', 0.1690932658353149), ('talked something healthrelated', 0.1690932658353149), ('healthrelated today', 0.1690932658353149)]",neutral,"['scorpio could', 'scorpio could easily', 'today scorpio could', 'something healthrelated today', 'healthrelated today scorpio', 'could easily talked', 'something healthrelated', 'talked something', 'talked something healthrelated', 'healthrelated today ']"
4,3,63,3_strike_asuu_asuu strike_students,"[('strike', 0.10174319723422039), ('asuu', 0.06410416581393318), ('asuu strike', 0.0447791288008511), ('students', 0.01741889903329392), ('strikes', 0.014482992961053917), ('ongoing', 0.013303331779640638), ('solution', 0.012421381513189451), ('want', 0.01016719016874069), ('education', 0.009621233049807157), ('still', 0.008900847575058412)]",neutral,"['strike', 'asuu', 'asuu strike', 'students', 'strikes', 'ongoing', 'solution', 'want', 'education', 'still ']"
5,4,55,4_church_sundayservice lifeclass_healthcare rccgmps_lifeclass healthcare rccgmps,"[('church', 0.061582257423825906), ('sundayservice lifeclass', 0.02459622290186063), ('healthcare rccgmps', 0.02459622290186063), ('lifeclass healthcare rccgmps', 0.02459622290186063), ('ojo sundayservice', 0.02459622290186063), ('ojo sundayservice lifeclass', 0.02459622290186063), ('sundayservice lifeclass healthcare', 0.02459622290186063), ('lifeclass', 0.02459622290186063), ('dr mrs ojo', 0.02459622290186063), ('rccgmps', 0.02459622290186063)]",neutral,"['church', 'sundayservice lifeclass', 'healthcare rccgmps', 'lifeclass healthcare rccgmps', 'ojo sundayservice', 'ojo sundayservice lifeclass', 'sundayservice lifeclass healthcare', 'lifeclass', 'dr mrs ojo', 'rccgmps ']"
6,5,54,5_lmao_lmao lmao_lmao lmao lmao_lolz,"[('lmao', 0.7100889287979183), ('lmao lmao', 0.5880089938446295), ('lmao lmao lmao', 0.3972347736262937), ('lolz', 0.15303195513814158), ('lmao lol', 0.15303195513814158), ('lols', 0.13781000239284535), ('lol', 0.10355331574281566), ('lmaoooooooo', 0.08302304471464263), ('lmaooo hahaha', 0.08302304471464263), ('loml lmao', 0.08302304471464263)]",neutral,"['lmao', 'lmao lmao', 'lmao lmao lmao', 'lolz', 'lmao lol', 'lols', 'lol', 'lmaoooooooo', 'lmaooo hahaha', 'loml lmao ']"
7,6,51,6_acne_tattoo health healthcare_tattoo health_treatment derma,"[('acne', 0.12533239704645086), ('tattoo health healthcare', 0.08205928453396433), ('tattoo health', 0.08205928453396433), ('treatment derma', 0.08205928453396433), ('treatment derma contour', 0.08205928453396433), ('acne darkknuckles', 0.08205928453396433), ('acne darkknuckles tattoo', 0.08205928453396433), ('darkknuckles', 0.08205928453396433), ('darkknuckles tattoo', 0.08205928453396433), ('darkknuckles tattoo health', 0.08205928453396433)]",neutral,"['acne', 'tattoo health healthcare', 'tattoo health', 'treatment derma', 'treatment derma contour', 'acne darkknuckles', 'acne darkknuckles tattoo', 'darkknuckles', 'darkknuckles tattoo', 'darkknuckles tattoo health ']"
8,7,48,7_battery_battery health_iphone_phone,"[('battery', 0.10201565120254646), ('battery health', 0.08975934678855045), ('iphone', 0.05555930293358022), ('phone', 0.03648200857590957), ('sms', 0.02423147183454277), ('used', 0.023774622825950817), ('unlocked', 0.02224743218108269), ('64gb', 0.02224743218108269), ('price', 0.020887450482300295), ('factory unlocked', 0.019456359325800622)]",neutral,"['battery', 'battery health', 'iphone', 'phone', 'sms', 'used', 'unlocked', 'gb', 'price', 'factory unlocked ']"
9,8,45,8_nurses_nursing_nurse_trained,"[('nurses', 0.03365618380351583), ('nursing', 0.0275401576761891), ('nurse', 0.02497439268578421), ('trained', 0.024357322053301964), ('nigeria', 0.02043766417803209), ('nurses fuel', 0.020113327303035448), ('effective nursing', 0.020113327303035448), ('road engine powers', 0.020113327303035448), ('road engine', 0.020113327303035448), ('tank concrete road', 0.020113327303035448)]",neutral,"['nurses', 'nursing', 'nurse', 'trained', 'nigeria', 'nurses fuel', 'effective nursing', 'road engine powers', 'road engine', 'tank concrete road ']"
10,9,43,9_sleep_wake_sleeping_good,"[('sleep', 0.09785431137064887), ('wake', 0.04334880762188017), ('sleeping', 0.02933106904808762), ('good', 0.021771005954345026), ('health', 0.020943248226403307), ('good health', 0.02018379571770131), ('health sleep', 0.015283625763388852), ('awake', 0.014028317050124361), ('bed', 0.013639304538335869), ('lazy', 0.013294171426483724)]",neutral,"['sleep', 'wake', 'sleeping', 'good', 'health', 'good health', 'health sleep', 'awake', 'bed', 'lazy ']"
11,10,41,10_sound_sound health_sound health underrated_health underrated,"[('sound', 0.1319257807616729), ('sound health', 0.10926600001019099), ('sound health underrated', 0.05435838983273345), ('health underrated', 0.04882881703271193), ('underrated', 0.04545130056583498), ('underrated sound health', 0.043725817323806974), ('underrated sound', 0.043725817323806974), ('health underrated sound', 0.043725817323806974), ('health', 0.03530549915437345), ('health sound', 0.0306835120453)]",neutral,"['sound', 'sound health', 'sound health underrated', 'health underrated', 'underrated', 'underrated sound health', 'underrated sound', 'health underrated sound', 'health', 'health sound ']"
12,11,40,11_also wishing well_well shown_party also_party also wishing,"[('also wishing well', 0.01975416074405267), ('well shown', 0.01975416074405267), ('party also', 0.01975416074405267), ('party also wishing', 0.01975416074405267), ('opposition party also', 0.01975416074405267), ('also wishing', 0.01975416074405267), ('wishing well', 0.01975416074405267), ('shown great leadership', 0.01975416074405267), ('shown great', 0.01975416074405267), ('wishing well shown', 0.01975416074405267)]",neutral,"['also wishing well', 'well shown', 'party also', 'party also wishing', 'opposition party also', 'also wishing', 'wishing well', 'shown great leadership', 'shown great', 'wishing well shown ']"
