Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,31103,-1_health_people_dont_mental,"[('health', 0.004087922414587431), ('people', 0.0030892344075112202), ('dont', 0.0026996037855964556), ('mental', 0.002627039433071831), ('mental health', 0.0025439269350411757), ('care', 0.0024382242145129965), ('go', 0.0023665097945631736), ('one', 0.0022992039808793106), ('like', 0.002269043853939571), ('us', 0.0021715000282453213)]",negative,"['health', 'people', 'dont', 'mental', 'mental health', 'care', 'go', 'one', 'like', 'us ']"
1,0,46508,0_covid19_health_nigeria_people,"[('covid19', 0.0042441024053334695), ('health', 0.003824000936835365), ('nigeria', 0.002892293976752314), ('people', 0.0026666872758472878), ('nurse', 0.0025959700580746783), ('dont', 0.0025074764790553416), ('state', 0.0023873273814604295), ('amp', 0.0023658147508600845), ('nurses', 0.0023229606255115855), ('workers', 0.0021887108843662256)]",negative,"['covid', 'health', 'nigeria', 'people', 'nurse', 'dont', 'state', 'amp', 'nurses', 'workers ']"
2,1,95,1_tinubu_tinubus_buhari_age,"[('tinubu', 0.08140057286141285), ('tinubus', 0.025373772055791236), ('buhari', 0.012540298627465574), ('age', 0.01112611436224474), ('tinubus health', 0.010205902513329984), ('old', 0.009735552212671583), ('president', 0.008883536519993651), ('tinubu health', 0.008674708293127548), ('jagaban', 0.008309739552979381), ('health', 0.008218989768848918)]",negative,"['tinubu', 'tinubus', 'buhari', 'age', 'tinubus health', 'old', 'president', 'tinubu health', 'jagaban', 'health ']"
3,2,66,2_hypertension_stroke_blood pressure_pressure,"[('hypertension', 0.050861064038975876), ('stroke', 0.041975225214862806), ('blood pressure', 0.041519603421054124), ('pressure', 0.03382181811795697), ('blood', 0.03026448129427674), ('hypertensive', 0.022297757202975502), ('check blood', 0.016928383752069027), ('high blood pressure', 0.01686708865708968), ('check blood pressure', 0.016675930691159985), ('high blood', 0.016631945125453653)]",negative,"['hypertension', 'stroke', 'blood pressure', 'pressure', 'blood', 'hypertensive', 'check blood', 'high blood pressure', 'check blood pressure', 'high blood ']"
4,3,62,3_lekki_toll gate_lekki toll_gate,"[('lekki', 0.06154898517750422), ('toll gate', 0.03908543672296519), ('lekki toll', 0.036341560569979954), ('gate', 0.03535433187051885), ('lekki toll gate', 0.03522964509335521), ('toll', 0.03246784677305893), ('protest', 0.028623219643844334), ('endsars', 0.017132696819226516), ('protest ground', 0.01287128591864695), ('protest lekki', 0.01136260272482225)]",negative,"['lekki', 'toll gate', 'lekki toll', 'gate', 'lekki toll gate', 'toll', 'protest', 'endsars', 'protest ground', 'protest lekki ']"
5,4,57,4_menstrual_hygiene_menstrual hygiene_pads,"[('menstrual', 0.07938464836241542), ('hygiene', 0.04127674146216933), ('menstrual hygiene', 0.04060772390715105), ('pads', 0.03341882833007424), ('menstrual health', 0.03236166908789103), ('girls', 0.027188322934210713), ('menstruation', 0.026944123474585115), ('sanitary', 0.021134228633974524), ('sanitary pads', 0.019145104455769963), ('poor menstrual hygiene', 0.01577430229073815)]",negative,"['menstrual', 'hygiene', 'menstrual hygiene', 'pads', 'menstrual health', 'girls', 'menstruation', 'sanitary', 'sanitary pads', 'poor menstrual hygiene ']"
6,5,57,5_nigerians dont still_dont observe_even elite live_carefree even elite,"[('nigerians dont still', 0.016439125229497843), ('dont observe', 0.016439125229497843), ('even elite live', 0.016439125229497843), ('carefree even elite', 0.016439125229497843), ('carefree even', 0.016439125229497843), ('protocol carefree', 0.016439125229497843), ('protocol carefree even', 0.016439125229497843), ('observe basic', 0.016439125229497843), ('lockdown economic', 0.016439125229497843), ('live example', 0.016439125229497843)]",negative,"['nigerians dont still', 'dont observe', 'even elite live', 'carefree even elite', 'carefree even', 'protocol carefree', 'protocol carefree even', 'observe basic', 'lockdown economic', 'live example ']"
7,6,57,6_two soldiers_soldiers arrested_two soldiers arrested_soldiers,"[('two soldiers', 0.16917065216073648), ('soldiers arrested', 0.1495344642451974), ('two soldiers arrested', 0.14286373024524462), ('soldiers', 0.13804444937389), ('raping', 0.11692084629180442), ('arrested', 0.11557531661109126), ('soldiers arrested raping', 0.10839499105771959), ('arrested raping', 0.10839499105771959), ('studentnurse', 0.09398503718404642), ('studentnurse two', 0.08661650384971191)]",negative,"['two soldiers', 'soldiers arrested', 'two soldiers arrested', 'soldiers', 'raping', 'arrested', 'soldiers arrested raping', 'arrested raping', 'studentnurse', 'studentnurse two ']"
8,7,56,7_g2gpizza_07087767750_pizza_g2gpizza 07087767750,"[('g2gpizza', 0.033948443196418494), ('07087767750', 0.030831599554547492), ('pizza', 0.029851997750540583), ('g2gpizza 07087767750', 0.02694714010985113), ('deliver within abuja', 0.024856410227989567), ('deliver within', 0.024717678222290054), ('within abuja', 0.024330411329019953), ('07087767750 deliver within', 0.021691828012903588), ('07087767750 deliver', 0.021691828012903588), ('g2gpizza 07087767750 deliver', 0.02075750058837894)]",negative,"['ggpizza', '', 'pizza', 'ggpizza', ' deliver within abuja', 'deliver within', 'within abuja', ' deliver within', ' deliver', 'ggpizza', 'deliver ']"
9,8,54,8_town hall worker_hall worker_town hall_hall,"[('town hall worker', 0.15330355660097628), ('hall worker', 0.15330355660097628), ('town hall', 0.15083574148376974), ('hall', 0.14252790553908903), ('town', 0.12032126483146025), ('news', 0.08119945281214737), ('worker', 0.0555683594535514), ('coming', 0.052567938029396716), ('next news', 0.0503397152143873), ('tomorrow news', 0.03657075248338608)]",negative,"['town hall worker', 'hall worker', 'town hall', 'hall', 'town', 'news', 'worker', 'coming', 'next news', 'tomorrow news ']"
