Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,39690,-1_birthday_happy birthday_good_life,"[('birthday', 0.0006887777553603177), ('happy birthday', 0.0006668145069945387), ('good', 0.0006430633683267858), ('life', 0.00063141094172892), ('god', 0.0006292470137342199), ('good health', 0.0006251365960958597), ('happy', 0.000620726767793626), ('health', 0.000599503170801056), ('wealth', 0.0005969718608914946), ('long', 0.0005942555266081552)]",positive,"['birthday', 'happy birthday', 'good', 'life', 'god', 'good health', 'happy', 'health', 'wealth', 'long ']"
1,0,1470,0_nurse nurse_nurse_nurses_nurse nurse nurse,"[('nurse nurse', 0.018786952968569134), ('nurse', 0.01654027379649268), ('nurses', 0.007834873039071861), ('nurse nurse nurse', 0.007294439515965076), ('midwives', 0.0072650443019261), ('beautiful nurse', 0.0072196354296892), ('nurses midwives', 0.007011312281078601), ('nurses beautiful', 0.005906935405391954), ('pretty nurse', 0.005428420104904242), ('nurse thank', 0.0054096921340812485)]",positive,"['nurse nurse', 'nurse', 'nurses', 'nurse nurse nurse', 'midwives', 'beautiful nurse', 'nurses midwives', 'nurses beautiful', 'pretty nurse', 'nurse thank ']"
2,1,1222,1_month_new month_happy new_happy new month,"[('month', 0.013705069716960365), ('new month', 0.01216557121794282), ('happy new', 0.011325277375242894), ('happy new month', 0.010174922458697763), ('new', 0.0071750903576950804), ('new year', 0.00662149298198457), ('june', 0.006155983620126242), ('happy new year', 0.005492581178820434), ('year', 0.005440875241531832), ('welcome', 0.003541887810295633)]",positive,"['month', 'new month', 'happy new', 'happy new month', 'new', 'new year', 'june', 'happy new year', 'year', 'welcome ']"
3,2,1126,2_mental health_mental_mental health important_health important,"[('mental health', 0.013276604238963966), ('mental', 0.013017513008957137), ('mental health important', 0.005938398278370587), ('health important', 0.004856246407545127), ('care mental', 0.004458832802775485), ('care mental health', 0.004450402418035231), ('mental health mental', 0.004099649597125511), ('take care mental', 0.003862431633156417), ('health mental health', 0.0038617655958855445), ('health mental', 0.003771218829135785)]",positive,"['mental health', 'mental', 'mental health important', 'health important', 'care mental', 'care mental health', 'mental health mental', 'take care mental', 'health mental health', 'health mental ']"
4,3,708,3_protest_protests_endsars_peaceful,"[('protest', 0.025575039442891512), ('protests', 0.012035831975508005), ('endsars', 0.011513648523031779), ('peaceful', 0.007593160496317078), ('protesters', 0.0068779886840935325), ('peaceful protest', 0.0066035162236373545), ('endsars protest', 0.0054080020376970975), ('police', 0.004575917631955908), ('youths', 0.003852490502971689), ('endpolicebrutality', 0.00347560663935773)]",positive,"['protest', 'protests', 'endsars', 'peaceful', 'protesters', 'peaceful protest', 'endsars protest', 'police', 'youths', 'endpolicebrutality ']"
5,4,669,4_skin_hair_skincare_products,"[('skin', 0.021273206491588762), ('hair', 0.012660318349627523), ('skincare', 0.009884451424844455), ('products', 0.005948824753853478), ('beauty', 0.005586535693794181), ('skin health', 0.004001168327350316), ('skin care', 0.003884266441944508), ('contour', 0.0037721959096552026), ('skins', 0.003706844232099794), ('scalp', 0.0037057809038943635)]",positive,"['skin', 'hair', 'skincare', 'products', 'beauty', 'skin health', 'skin care', 'contour', 'skins', 'scalp ']"
6,5,662,5_ramadan_month ramadan_witness_ramadan may,"[('ramadan', 0.026548185511816154), ('month ramadan', 0.009702740145567674), ('witness', 0.009439079812378171), ('ramadan may', 0.008435103434135489), ('ramadan good', 0.008365204091887039), ('holy month', 0.007854902006008866), ('ramadan good health', 0.007800425325696401), ('accept', 0.007324407425624944), ('fasting', 0.006829567476589449), ('holy', 0.006379409295410717)]",positive,"['ramadan', 'month ramadan', 'witness', 'ramadan may', 'ramadan good', 'holy month', 'ramadan good health', 'accept', 'fasting', 'holy ']"
7,6,640,6_nigeria happy_nigeria happy birthday_lagos nigeria happy_lagos nigeria,"[('nigeria happy', 0.013959878384316983), ('nigeria happy birthday', 0.013823260742026519), ('lagos nigeria happy', 0.010633874485345245), ('lagos nigeria', 0.008172649929962203), ('lagos', 0.004838151098296495), ('birthday', 0.0046028444931774885), ('nigeria', 0.004325766210920587), ('happy birthday', 0.004312086436653224), ('happy', 0.003190003435333071), ('ibadan', 0.002651590205142803)]",positive,"['nigeria happy', 'nigeria happy birthday', 'lagos nigeria happy', 'lagos nigeria', 'lagos', 'birthday', 'nigeria', 'happy birthday', 'happy', 'ibadan ']"
8,7,530,7_wealth health wealth_health wealth health_wealth health_health wealth,"[('wealth health wealth', 0.03211004575714552), ('health wealth health', 0.029907658166219524), ('wealth health', 0.02682831178900059), ('health wealth', 0.020824484729059498), ('wealth', 0.018392611649813755), ('prosperity', 0.010161254002507197), ('good health prosperity', 0.009279706205361051), ('health wealth wish', 0.009269785860245497), ('wealth wish', 0.00893236103194439), ('health health wealth', 0.008914883862667223)]",positive,"['wealth health wealth', 'health wealth health', 'wealth health', 'health wealth', 'wealth', 'prosperity', 'good health prosperity', 'health wealth wish', 'wealth wish', 'health health wealth ']"
9,8,500,8_mask_face mask_face_nose mask,"[('mask', 0.018580812861315178), ('face mask', 0.013665501076130692), ('face', 0.010801028294335421), ('nose mask', 0.01072664083688261), ('nose', 0.010637057208962925), ('wear', 0.007103262506064278), ('mask also', 0.006716538469175655), ('mask also available', 0.006514349296238434), ('nose mask also', 0.006479172377777205), ('masks', 0.006163548784610364)]",positive,"['mask', 'face mask', 'face', 'nose mask', 'nose', 'wear', 'mask also', 'mask also available', 'nose mask also', 'masks ']"
10,9,471,9_vaccine_vaccines_vaccination_vaccineswork,"[('vaccine', 0.014310333161046147), ('vaccines', 0.011764116147313142), ('vaccination', 0.009987486571394857), ('vaccineswork', 0.009187168552049341), ('covid19 vaccine', 0.007700088009901769), ('immunization', 0.006362914493813825), ('covid19 vaccines', 0.00619833742669738), ('vaccinated', 0.00492858275458519), ('voice', 0.004475237302900846), ('get vaccinated', 0.003642523879774446)]",positive,"['vaccine', 'vaccines', 'vaccination', 'vaccineswork', 'covid vaccine', 'immunization', 'covid vaccines', 'vaccinated', 'voice', 'get vaccinated ']"
11,10,445,10_lagos state_nigerias_lagos_nigeria,"[('lagos state', 0.005369171789180216), ('nigerias', 0.00489575226527469), ('lagos', 0.004325551791965339), ('nigeria', 0.0031298743321671384), ('nigerias minister', 0.003109762045293399), ('minister', 0.003098311875715852), ('nigerias minister health', 0.0029195822162881163), ('nigerian', 0.0027832452664044525), ('insurance', 0.00276597745717362), ('nigerians', 0.0026951661859356837)]",positive,"['lagos state', 'nigerias', 'lagos', 'nigeria', 'nigerias minister', 'minister', 'nigerias minister health', 'nigerian', 'insurance', 'nigerians ']"
