Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,393,-1_health_healthcare_people_care,"[('health', 0.012619562259694614), ('healthcare', 0.008654595563125665), ('people', 0.006728009188828452), ('care', 0.0061956965605584925), ('covid19', 0.006075906534595937), ('need', 0.005603383245912458), ('dont', 0.005324542640225562), ('like', 0.004729093618200684), ('get', 0.004572031016049063), ('us', 0.004460240741580716)]",negative,"['health', 'healthcare', 'people', 'care', 'covid', 'need', 'dont', 'like', 'get', 'us ']"
1,0,140,0_vaccine_vaccines_health_people,"[('vaccine', 0.025827106197917553), ('vaccines', 0.016390191407858645), ('health', 0.013642327958466396), ('people', 0.012301554050388344), ('covid', 0.011668423744175364), ('vaccination', 0.009892375954988618), ('probably', 0.008894863668418672), ('norway', 0.008617107757228485), ('get', 0.008383844674676342), ('vaccinated', 0.008146662551167097)]",negative,"['vaccine', 'vaccines', 'health', 'people', 'covid', 'vaccination', 'probably', 'norway', 'get', 'vaccinated ']"
2,1,121,1_covid19_died_people_death,"[('covid19', 0.025250382228383782), ('died', 0.011292536833549154), ('people', 0.010475306427939573), ('death', 0.009579340075844045), ('deaths', 0.00956272876109706), ('covid', 0.008975950564703883), ('patients', 0.008874867302106444), ('health', 0.008801285871822965), ('care', 0.008612956961079419), ('sad', 0.007965205821852549)]",negative,"['covid', 'died', 'people', 'death', 'deaths', 'covid', 'patients', 'health', 'care', 'sad ']"
3,2,106,2_mental_mental health_health_bad,"[('mental', 0.044881625878327336), ('mental health', 0.04334631313314875), ('health', 0.03007584485556155), ('bad', 0.012549715133247819), ('really', 0.00818448947266527), ('dont', 0.007684026901547536), ('today', 0.0072544838877288045), ('people', 0.007095343023850695), ('care', 0.007078464628933087), ('also', 0.007022759672793268)]",negative,"['mental', 'mental health', 'health', 'bad', 'really', 'dont', 'today', 'people', 'care', 'also ']"
4,3,95,3_healthcare_norway_free_health,"[('healthcare', 0.030740378391010723), ('norway', 0.024131998138188865), ('free', 0.021874569968761737), ('health', 0.018065931935310146), ('care', 0.015012964029498933), ('system', 0.014937308477465942), ('countries', 0.0145908553796461), ('health care', 0.014589252404313807), ('insurance', 0.013289395428395237), ('free healthcare', 0.012761238286149721)]",negative,"['healthcare', 'norway', 'free', 'health', 'care', 'system', 'countries', 'health care', 'insurance', 'free healthcare ']"
5,4,61,4_uk_health_plagueisland_covid,"[('uk', 0.021164954154748464), ('health', 0.017570625152459645), ('plagueisland', 0.016170623186279647), ('covid', 0.016127388491936196), ('going', 0.01322233869633274), ('curfew', 0.012625502761069428), ('torycovidcatastrophe', 0.012436704575775498), ('nhs', 0.01178309564944382), ('time', 0.01162674790177753), ('government', 0.011140800905641112)]",negative,"['uk', 'health', 'plagueisland', 'covid', 'going', 'curfew', 'torycovidcatastrophe', 'nhs', 'time', 'government ']"
6,5,52,5_protest_protests_people_government,"[('protest', 0.02599820729915287), ('protests', 0.013163454663918871), ('people', 0.01215970143330276), ('government', 0.0113362535531085), ('banning', 0.011295711338987975), ('deaths', 0.010360358645448339), ('peaceful', 0.009693107928898692), ('man', 0.008673079121689523), ('war', 0.008483115472913165), ('virus', 0.008405280504500966)]",negative,"['protest', 'protests', 'people', 'government', 'banning', 'deaths', 'peaceful', 'man', 'war', 'virus ']"
7,6,47,6_omicron_variant_positive_symptoms,"[('omicron', 0.03275085316872299), ('variant', 0.025401312578272592), ('positive', 0.02273592512519138), ('symptoms', 0.016846216672240885), ('covid', 0.01652476254589836), ('omicron variant', 0.016261312807619457), ('returned', 0.016261312807619457), ('covid19', 0.013913081138274993), ('death', 0.012596860828964074), ('said', 0.01259124847110695)]",negative,"['omicron', 'variant', 'positive', 'symptoms', 'covid', 'omicron variant', 'returned', 'covid', 'death', 'said ']"
8,7,41,7_norway_sweden_oslo_drink,"[('norway', 0.035070787878480204), ('sweden', 0.020892147016013107), ('oslo', 0.018178230024737663), ('drink', 0.014218733272028232), ('quarantine', 0.013606068337724165), ('norwegian', 0.013314941665762928), ('stay', 0.013178892107516573), ('self', 0.01243217010175201), ('planning', 0.01243217010175201), ('health', 0.011487505620441315)]",negative,"['norway', 'sweden', 'oslo', 'drink', 'quarantine', 'norwegian', 'stay', 'self', 'planning', 'health ']"
9,8,40,8_nurses_nurse_amp_pay rise,"[('nurses', 0.039629278356625296), ('nurse', 0.021358378958795464), ('amp', 0.017616712931500817), ('pay rise', 0.015524435761578649), ('rise', 0.014498134302887157), ('patient', 0.012610954839496516), ('nhs', 0.01235879258155497), ('pay rise nurses', 0.011034445403707611), ('harm', 0.011034445403707611), ('rise nurses', 0.011034445403707611)]",negative,"['nurses', 'nurse', 'amp', 'pay rise', 'rise', 'patient', 'nhs', 'pay rise nurses', 'harm', 'rise nurses ']"
