Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,436,-1_health_covid19_care_safe,"[('health', 0.013619713907697213), ('covid19', 0.009501873317417557), ('care', 0.0072502034380918755), ('safe', 0.0070949021013638845), ('amp', 0.006371069246838879), ('great', 0.00589798652511184), ('healthcare', 0.005641879982927101), ('good', 0.005462589316820998), ('need', 0.005331519400653137), ('take', 0.0052783934075935224)]",positive,"['health', 'covid', 'care', 'safe', 'amp', 'great', 'healthcare', 'good', 'need', 'take ']"
1,0,235,0_norway_healthcare_health_medical,"[('norway', 0.013660768603613744), ('healthcare', 0.011659554670269988), ('health', 0.009904729457717499), ('medical', 0.009896234994507152), ('nurse', 0.008854206500116178), ('care', 0.008168091786557917), ('norwegian', 0.00751259501481102), ('oslo', 0.007428674002212507), ('health care', 0.006265884729591478), ('live', 0.006041518400689371)]",positive,"['norway', 'healthcare', 'health', 'medical', 'nurse', 'care', 'norwegian', 'oslo', 'health care', 'live ']"
2,1,116,1_health_happy_day_good health,"[('health', 0.026846998136578433), ('happy', 0.02263057637284209), ('day', 0.01969289352940205), ('good health', 0.016106413775183504), ('good', 0.015156343979534748), ('year', 0.014491524971520033), ('birthday', 0.013874646397532154), ('life', 0.012377502393424372), ('happy birthday', 0.011395827356123678), ('god', 0.009372307692389224)]",positive,"['health', 'happy', 'day', 'good health', 'good', 'year', 'birthday', 'life', 'happy birthday', 'god ']"
3,2,81,2_mental_mental health_health_mental health issues,"[('mental', 0.059935506662593535), ('mental health', 0.057710901131107634), ('health', 0.026986857030679032), ('mental health issues', 0.00936173943094511), ('adaptive', 0.00936173943094511), ('phd', 0.009204971217733197), ('really', 0.008842371631627958), ('issues', 0.008328339932490497), ('health issues', 0.008119346295004007), ('mental health problems', 0.008046023959180092)]",positive,"['mental', 'mental health', 'health', 'mental health issues', 'adaptive', 'phd', 'really', 'issues', 'health issues', 'mental health problems ']"
4,3,43,3_safe_take_stay safe_stay,"[('safe', 0.07956421871456656), ('take', 0.07292928169663239), ('stay safe', 0.07162838862993992), ('stay', 0.0695174210085651), ('take care', 0.06950021053025943), ('care', 0.06874036781028682), ('care stay', 0.057768881413455236), ('care stay safe', 0.057768881413455236), ('take care stay', 0.051735865558768426), ('safe take care', 0.03624505074171945)]",positive,"['safe', 'take', 'stay safe', 'stay', 'take care', 'care', 'care stay', 'care stay safe', 'take care stay', 'safe take care ']"
5,4,26,4_openehr_health_sw_collaboration,"[('openehr', 0.026940464185986602), ('health', 0.020057471000470322), ('sw', 0.0169162987988621), ('collaboration', 0.01689274011328805), ('health care', 0.01651623845296761), ('software', 0.01630924120314787), ('digital', 0.016043028501420007), ('new', 0.015724230350717346), ('solutions', 0.015394550963420914), ('program', 0.014426146148949544)]",positive,"['openehr', 'health', 'sw', 'collaboration', 'health care', 'software', 'digital', 'new', 'solutions', 'program ']"
6,5,24,5_coronavirus_quote_information_people,"[('coronavirus', 0.030458787206496717), ('quote', 0.029665460754324788), ('information', 0.027770002386604774), ('people', 0.027080982818729338), ('safe coronavirus', 0.025496224259396766), ('spread lifesaving information', 0.025496224259396766), ('alert', 0.025496224259396766), ('coronavirus covid19', 0.025496224259396766), ('lifesaving information', 0.025496224259396766), ('coronavirus covid19 health', 0.025496224259396766)]",positive,"['coronavirus', 'quote', 'information', 'people', 'safe coronavirus', 'spread lifesaving information', 'alert', 'coronavirus covid', 'lifesaving information', 'coronavirus covid health ']"
7,6,23,6_vaccine_health problems_problems_may protect,"[('vaccine', 0.06839870230181401), ('health problems', 0.028321885424221222), ('problems', 0.02722103482336187), ('may protect', 0.023634486036124478), ('protects', 0.023634486036124478), ('vaccine may', 0.023634486036124478), ('vaccine may protect', 0.023634486036124478), ('single virus', 0.023634486036124478), ('may', 0.022987819721808814), ('give us', 0.02209370505703046)]",positive,"['vaccine', 'health problems', 'problems', 'may protect', 'protects', 'vaccine may', 'vaccine may protect', 'single virus', 'may', 'give us ']"
8,7,22,7_health workers_workers_staying home_staying,"[('health workers', 0.07686713956367909), ('workers', 0.06952213961573944), ('staying home', 0.062454550895489264), ('staying', 0.058083185884849856), ('home', 0.057378390716163616), ('support', 0.04788743397190115), ('health workers staying', 0.04464800928377422), ('support health workers', 0.04464800928377422), ('workers staying home', 0.04464800928377422), ('workers staying', 0.04464800928377422)]",positive,"['health workers', 'workers', 'staying home', 'staying', 'home', 'support', 'health workers staying', 'support health workers', 'workers staying home', 'workers staying ']"
9,8,21,8_calm stay healthy_calm stay_keep calm stay_keep calm,"[('calm stay healthy', 0.08448505624670874), ('calm stay', 0.08448505624670874), ('keep calm stay', 0.08448505624670874), ('keep calm', 0.08448505624670874), ('calm', 0.08352362256278821), ('healthy covid19', 0.07860730142713564), ('stay healthy covid19', 0.07860730142713564), ('stay healthy', 0.07728834783870732), ('keep', 0.07577182216108888), ('healthy', 0.0633847683637887)]",positive,"['calm stay healthy', 'calm stay', 'keep calm stay', 'keep calm', 'calm', 'healthy covid', 'stay healthy covid', 'stay healthy', 'keep', 'healthy ']"
