Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,888,-1_health_covid19_amp_covid,"[('health', 0.013496180838788015), ('covid19', 0.01014091389138337), ('amp', 0.007935199810172551), ('covid', 0.007272774609038232), ('good', 0.005350525307665455), ('people', 0.005189287165502617), ('time', 0.00474031701120323), ('may', 0.0046737576832243), ('need', 0.00457558050620235), ('care', 0.004386962338510286)]",neutral,"['health', 'covid', 'amp', 'covid', 'good', 'people', 'time', 'may', 'need', 'care ']"
1,0,354,0_covid19_health_pakistan_covid,"[('covid19', 0.01326990131702945), ('health', 0.012561680769923662), ('pakistan', 0.009739333948517831), ('covid', 0.007575702830878719), ('care', 0.006871179805669726), ('india', 0.0066445455499797345), ('amp', 0.006547761821849837), ('people', 0.006147833040643506), ('education', 0.0054884853664618925), ('safe', 0.005295076397368844)]",neutral,"['covid', 'health', 'pakistan', 'covid', 'care', 'india', 'amp', 'people', 'education', 'safe ']"
2,1,206,1_medical_hospital_health_covid,"[('medical', 0.01500762485501762), ('hospital', 0.013406328149089649), ('health', 0.013396993711564097), ('covid', 0.012702287682029585), ('take', 0.012434425188912213), ('exams', 0.012274315394436356), ('students', 0.010985754089104006), ('doctors', 0.00934480020068594), ('facilities', 0.008505099939951489), ('hospitals', 0.008468302607221517)]",neutral,"['medical', 'hospital', 'health', 'covid', 'take', 'exams', 'students', 'doctors', 'facilities', 'hospitals ']"
3,2,167,2_mental_mental health_health_people,"[('mental', 0.06625064163725625), ('mental health', 0.06375530727745893), ('health', 0.03278372369530511), ('people', 0.01303953200079548), ('good', 0.01134395535167841), ('good mental', 0.010202154675625606), ('health mental', 0.009493457768796133), ('good mental health', 0.009493457768796133), ('dont', 0.00898814153618574), ('sometimes', 0.008295645320984351)]",neutral,"['mental', 'mental health', 'health', 'people', 'good', 'good mental', 'health mental', 'good mental health', 'dont', 'sometimes ']"
4,3,61,3_mask_wear_wear mask_masks,"[('mask', 0.05801834234613929), ('wear', 0.02886115567489657), ('wear mask', 0.021897133111157336), ('masks', 0.01790306238927625), ('face', 0.017675828804729128), ('care', 0.01577350746268677), ('hands', 0.013427296791957187), ('public', 0.013238809871707554), ('dont', 0.012913119256223755), ('indiafightscorona', 0.012388579124930032)]",neutral,"['mask', 'wear', 'wear mask', 'masks', 'face', 'care', 'hands', 'public', 'dont', 'indiafightscorona ']"
5,4,55,4_health_good_good health_wish,"[('health', 0.07227637548255562), ('good', 0.05232627809700024), ('good health', 0.04862465458864893), ('wish', 0.037257203309316166), ('im little bit', 0.019715999473585058), ('im little', 0.019715999473585058), ('better health', 0.01948647874706293), ('smoking', 0.018919844795751428), ('ur', 0.018784800485089723), ('may', 0.01801020842217876)]",neutral,"['health', 'good', 'good health', 'wish', 'im little bit', 'im little', 'better health', 'smoking', 'ur', 'may ']"
6,5,43,5_food_healthy_diet_eat,"[('food', 0.049558304051864364), ('healthy', 0.04262316819996211), ('diet', 0.041131948232940176), ('eat', 0.02293721698277232), ('health', 0.022066441991497737), ('healthy food', 0.021750196763405734), ('fitness', 0.01757266781415895), ('foods', 0.01349884266706073), ('eating', 0.013263213251472391), ('nutrition', 0.012855629882738993)]",neutral,"['food', 'healthy', 'diet', 'eat', 'health', 'healthy food', 'fitness', 'foods', 'eating', 'nutrition ']"
7,6,33,6_nurse_cheapest_brother_female,"[('nurse', 0.09034632468527931), ('cheapest', 0.0597251138302249), ('brother', 0.05392102844331215), ('female', 0.04843749419657412), ('pak huge population', 0.03346426620669561), ('huge population brother', 0.03346426620669561), ('huge population', 0.03346426620669561), ('hospital staff pak', 0.03346426620669561), ('wife cheapest', 0.03346426620669561), ('wife cheapest entertainment', 0.03346426620669561)]",neutral,"['nurse', 'cheapest', 'brother', 'female', 'pak huge population', 'huge population brother', 'huge population', 'hospital staff pak', 'wife cheapest', 'wife cheapest entertainment ']"
8,7,32,7_hospitals_medical_doctors_hospital,"[('hospitals', 0.04109617441739853), ('medical', 0.035066835854044444), ('doctors', 0.028822295520939185), ('hospital', 0.026393184203401775), ('patients', 0.020479167878867197), ('two cents nurse', 0.019840418217185955), ('unnecessarily rude harsh', 0.019840418217185955), ('basic human empathy', 0.019840418217185955), ('also film cause', 0.019840418217185955), ('upsetting', 0.019840418217185955)]",neutral,"['hospitals', 'medical', 'doctors', 'hospital', 'patients', 'two cents nurse', 'unnecessarily rude harsh', 'basic human empathy', 'also film cause', 'upsetting ']"
9,8,27,8_exercise_run_fitness_health,"[('exercise', 0.03899198481475823), ('run', 0.03234307506983779), ('fitness', 0.02802649753042362), ('health', 0.0273597927114042), ('weight', 0.0250437091123554), ('fit', 0.02351722986992472), ('body', 0.022170857553182086), ('run run', 0.020935061980892768), ('ow', 0.020935061980892768), ('fridayfitness', 0.020251925151568866)]",neutral,"['exercise', 'run', 'fitness', 'health', 'weight', 'fit', 'body', 'run run', 'ow', 'fridayfitness ']"
