Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,5270,-1_health_people_amp_covid,"[('health', 0.003589837721739916), ('people', 0.0026434801982057323), ('amp', 0.0025960483504721124), ('covid', 0.002552370977770078), ('covid19', 0.002467411806759526), ('care', 0.002163421841126475), ('doctors', 0.0021360396716503804), ('govt', 0.002053622270222467), ('dont', 0.001987792770774035), ('one', 0.001875694765371342)]",negative,"['health', 'people', 'amp', 'covid', 'covid', 'care', 'doctors', 'govt', 'dont', 'one ']"
1,0,885,0_hospital_doctors_doctor_medical,"[('hospital', 0.008334033243698732), ('doctors', 0.006635096596115396), ('doctor', 0.005429764738900773), ('medical', 0.0046102545654818925), ('covid', 0.004388168807301558), ('died', 0.004210612025882105), ('dr', 0.004102857591960074), ('covid19', 0.003946776340204241), ('hospitals', 0.003832475038039104), ('patient', 0.0035386561982973658)]",negative,"['hospital', 'doctors', 'doctor', 'medical', 'covid', 'died', 'dr', 'covid', 'hospitals', 'patient ']"
2,1,436,1_farmers_farmers protest_plant rioters_protestersampbreakwindows,"[('farmers', 0.03940353455186898), ('farmers protest', 0.029336194733187514), ('plant rioters', 0.026412921844023926), ('protestersampbreakwindows', 0.026412921844023926), ('tractormarch tractor2twitter', 0.026412921844023926), ('tractor2twitter', 0.026412921844023926), ('among protestersampbreakwindows', 0.026412921844023926), ('tractormarch', 0.026412921844023926), ('rioters', 0.026412921844023926), ('publicproperty', 0.026412921844023926)]",negative,"['farmers', 'farmers protest', 'plant rioters', 'protestersampbreakwindows', 'tractormarch tractortwitter', 'tractortwitter', 'among protestersampbreakwindows', 'tractormarch', 'rioters', 'publicproperty ']"
3,2,365,2_mental_mental health_health_depression,"[('mental', 0.03989463256387036), ('mental health', 0.03857463406011204), ('health', 0.010217922588757757), ('depression', 0.008548138049236178), ('mentalhealth', 0.0054736669478478005), ('mental health issues', 0.0053032010707273055), ('issues', 0.005028753850935703), ('anxiety', 0.004991122856299525), ('bad', 0.0048336482940678676), ('feel', 0.004777980686892305)]",negative,"['mental', 'mental health', 'health', 'depression', 'mentalhealth', 'mental health issues', 'issues', 'anxiety', 'bad', 'feel ']"
4,3,319,3_mask_wearing_wear_masks,"[('mask', 0.033808559156463996), ('wearing', 0.01881569112348469), ('wear', 0.0175784771376445), ('masks', 0.01648423235382554), ('wear mask', 0.012843150271610145), ('wearing mask', 0.01250469970648999), ('distancing', 0.008748724850867863), ('social distancing', 0.008146705766830038), ('social', 0.007256527688287651), ('face', 0.006522957011852575)]",negative,"['mask', 'wearing', 'wear', 'masks', 'wear mask', 'wearing mask', 'distancing', 'social distancing', 'social', 'face ']"
5,4,295,4_students_exams_exam_schools,"[('students', 0.027181841363558765), ('exams', 0.018609825769043926), ('exam', 0.008256271597777651), ('schools', 0.007154181964480394), ('educational', 0.0069074860346707255), ('students health', 0.005832171765409557), ('online', 0.005768790727043745), ('university', 0.005599274006272571), ('school', 0.005224121498199933), ('student', 0.005224121498199933)]",negative,"['students', 'exams', 'exam', 'schools', 'educational', 'students health', 'online', 'university', 'school', 'student ']"
6,5,290,5_cases_new_24_24 hours,"[('cases', 0.02752925296862826), ('new', 0.022342920938942003), ('24', 0.01606151403410022), ('24 hours', 0.015297686667405566), ('covid19 cases', 0.015194880528341113), ('total', 0.015022906023083517), ('deaths', 0.014793845535923403), ('india', 0.01478203950987094), ('last 24', 0.014360854541809609), ('new covid19 cases', 0.014225984782597234)]",negative,"['cases', 'new', '', ' hours', 'covid cases', 'total', 'deaths', 'india', 'last', ' new covid cases ']"
7,6,245,6_pakistan_sindh_india_imran,"[('pakistan', 0.009094463935588952), ('sindh', 0.007899448709023033), ('india', 0.006788788515644432), ('imran', 0.005897605676177024), ('imran khan', 0.005679295132719114), ('khan', 0.004650983577078518), ('pak', 0.004352520006321631), ('government', 0.00430144343867027), ('govt', 0.004230225066897814), ('protect', 0.004185206059253132)]",negative,"['pakistan', 'sindh', 'india', 'imran', 'imran khan', 'khan', 'pak', 'government', 'govt', 'protect ']"
8,7,220,7_vaccineswork_please ensure_vaccination_3rdworld,"[('vaccineswork', 0.01992248154846589), ('please ensure', 0.019589385411207593), ('vaccination', 0.019321498451090068), ('3rdworld', 0.01823147382190518), ('3rdworld nations discriminations', 0.018077380936919515), ('3rdworld nations', 0.018077380936919515), ('nations discriminations', 0.018077380936919515), ('healthcare worldhealthday2021', 0.017488587183933667), ('healthcare worldhealthday2021 covax', 0.017488587183933667), ('vaccine', 0.017470246702314604)]",negative,"['vaccineswork', 'please ensure', 'vaccination', 'rdworld', 'rdworld nations discriminations', 'rdworld nations', 'nations discriminations', 'healthcare worldhealthday', 'healthcare worldhealthday covax', 'vaccine ']"
9,8,185,8_protest_jammu_peaceful_peaceful protest,"[('protest', 0.022259850005069484), ('jammu', 0.014051986567698118), ('peaceful', 0.01176491808804484), ('peaceful protest', 0.009045336664944337), ('protests', 0.007685751286293249), ('police', 0.0071207074108234555), ('strong protest', 0.005766760625836228), ('kashmir', 0.0056275137716202284), ('district', 0.005321216810748506), ('workers', 0.005216072003550879)]",negative,"['protest', 'jammu', 'peaceful', 'peaceful protest', 'protests', 'police', 'strong protest', 'kashmir', 'district', 'workers ']"
10,9,176,9_asharamji_sant_bail_shri asharamji,"[('asharamji', 0.03630708659350024), ('sant', 0.036067405104082975), ('bail', 0.0359755977157645), ('shri asharamji', 0.03568734602923756), ('sant shri asharamji', 0.035618797370706265), ('sant shri', 0.03554894652507263), ('shri', 0.034331020279456455), ('bapu', 0.0333119493257698), ('asharamji bapu', 0.032712572414153596), ('shri asharamji bapu', 0.03205796835937366)]",negative,"['asharamji', 'sant', 'bail', 'shri asharamji', 'sant shri asharamji', 'sant shri', 'shri', 'bapu', 'asharamji bapu', 'shri asharamji bapu ']"
11,10,142,10_lockdown_camp_curfew_covid,"[('lockdown', 0.020029002061089644), ('camp', 0.008571180180486386), ('curfew', 0.007486484098601358), ('covid', 0.005353325111066658), ('lock', 0.0052221655925143795), ('quarantine', 0.005144827516346886), ('suspects', 0.004881333587744945), ('complete', 0.004866892680530066), ('complete lockdown', 0.004827934780314002), ('medical camp', 0.004633741921500619)]",negative,"['lockdown', 'camp', 'curfew', 'covid', 'lock', 'quarantine', 'suspects', 'complete', 'complete lockdown', 'medical camp ']"
12,11,136,11_coronaviruspakistan worldhealthday2021 covax_coronaviruspakistan worldhealthday2021_discrimination coronaviruspakistan_help planet 3rdworldcountries,"[('coronaviruspakistan worldhealthday2021 covax', 0.04788405793669167), ('coronaviruspakistan worldhealthday2021', 0.04788405793669167), ('discrimination coronaviruspakistan', 0.04761176253942666), ('help planet 3rdworldcountries', 0.04761176253942666), ('planet 3rdworldcountries discrimination', 0.04761176253942666), ('3rdworldcountries', 0.04761176253942666), ('3rdworldcountries discrimination', 0.04761176253942666), ('3rdworldcountries discrimination coronaviruspakistan', 0.04761176253942666), ('planet 3rdworldcountries', 0.04761176253942666), ('discrimination coronaviruspakistan worldhealthday2021', 0.04761176253942666)]",negative,"['coronaviruspakistan worldhealthday covax', 'coronaviruspakistan worldhealthday', 'discrimination coronaviruspakistan', 'help planet rdworldcountries', 'planet rdworldcountries discrimination', 'rdworldcountries', 'rdworldcountries discrimination', 'rdworldcountries discrimination coronaviruspakistan', 'planet rdworldcountries', 'discrimination coronaviruspakistan worldhealthday ']"
13,12,132,12_tobacco_smoking_worldnotobaccoday_worldnotobaccoday2022,"[('tobacco', 0.055853006010829834), ('smoking', 0.026353300409485185), ('worldnotobaccoday', 0.02209583669875087), ('worldnotobaccoday2022', 0.015823444131404272), ('tobacco day', 0.014786516992950256), ('quit', 0.014780956291520056), ('world tobacco day', 0.013389821032273453), ('world tobacco', 0.013389821032273453), ('day', 0.011410769306916176), ('world', 0.010931295077433623)]",negative,"['tobacco', 'smoking', 'worldnotobaccoday', 'worldnotobaccoday', 'tobacco day', 'quit', 'world tobacco day', 'world tobacco', 'day', 'world ']"
14,13,128,13_ko_ki_ka_ke,"[('ko', 0.01581295348723264), ('ki', 0.012692378989168775), ('ka', 0.009072321232615853), ('ke', 0.008557863388284064), ('kia', 0.0075993976615617385), ('ho', 0.00671669190834549), ('ya', 0.006477762557936148), ('se', 0.006393245990557756), ('wo', 0.006317377784439341), ('mai', 0.0061037453935651595)]",negative,"['ko', 'ki', 'ka', 'ke', 'kia', 'ho', 'ya', 'se', 'wo', 'mai ']"
15,14,115,14_health minister_jain_afghanistan_minister,"[('health minister', 0.02955359185727581), ('jain', 0.026663136026999615), ('afghanistan', 0.02460968858325429), ('minister', 0.024519692761755526), ('delhi health', 0.020918748320370648), ('delhi health minister', 0.019905114340025974), ('satyendar jain', 0.018417266336160896), ('satyendar', 0.018233775606547386), ('delhi', 0.015729459399266343), ('ministry public', 0.01487272911470212)]",negative,"['health minister', 'jain', 'afghanistan', 'minister', 'delhi health', 'delhi health minister', 'satyendar jain', 'satyendar', 'delhi', 'ministry public ']"
16,15,110,15_corona_coronavirus_patients_virus,"[('corona', 0.022779177813204488), ('coronavirus', 0.015530740815407352), ('patients', 0.009267825788873705), ('virus', 0.009099542443875319), ('corona virus', 0.008599324318695265), ('spread', 0.007792505120031726), ('stay', 0.0067249993151817745), ('covid19', 0.006007884975034301), ('separate', 0.005571890749766914), ('ramadankareem', 0.005466328141553447)]",negative,"['corona', 'coronavirus', 'patients', 'virus', 'corona virus', 'spread', 'stay', 'covid', 'separate', 'ramadankareem ']"
17,16,105,16_test_positive_positive covid19_tested,"[('test', 0.023212721076344967), ('positive', 0.021403896764648045), ('positive covid19', 0.018913924197391307), ('tested', 0.016326481775450735), ('tests', 0.014574454190166054), ('tested positive covid19', 0.013492777779064201), ('tested positive', 0.013142057412017048), ('covid19', 0.009164816355038385), ('tests positive', 0.009130474673007921), ('testing', 0.00824300381411176)]",negative,"['test', 'positive', 'positive covid', 'tested', 'tests', 'tested positive covid', 'tested positive', 'covid', 'tests positive', 'testing ']"
18,17,104,17_pakistanarmy jointly_indianarmy pakistanarmy jointly_covid19 message_loc moment,"[('pakistanarmy jointly', 0.06541751210161743), ('indianarmy pakistanarmy jointly', 0.06541751210161743), ('covid19 message', 0.06541751210161743), ('loc moment', 0.06541751210161743), ('jointly fight together', 0.06541751210161743), ('forget loc moment', 0.06541751210161743), ('forget loc', 0.06541751210161743), ('jointly fight', 0.06541751210161743), ('fight together', 0.06541751210161743), ('pakistanarmy jointly fight', 0.06541751210161743)]",negative,"['pakistanarmy jointly', 'indianarmy pakistanarmy jointly', 'covid message', 'loc moment', 'jointly fight together', 'forget loc moment', 'forget loc', 'jointly fight', 'fight together', 'pakistanarmy jointly fight ']"
19,18,100,18_individual level_shabebaraat shabebaraat2021_wearamask mismanagement common_defeat wearamask mismanagement,"[('individual level', 0.045027821549230546), ('shabebaraat shabebaraat2021', 0.045027821549230546), ('wearamask mismanagement common', 0.045027821549230546), ('defeat wearamask mismanagement', 0.045027821549230546), ('shabebarat servants', 0.045027821549230546), ('need defeat', 0.045027821549230546), ('dont waste president', 0.045027821549230546), ('arifalvi', 0.045027821549230546), ('arifalvi pakistan', 0.045027821549230546), ('pakistan tested', 0.045027821549230546)]",negative,"['individual level', 'shabebaraat shabebaraat', 'wearamask mismanagement common', 'defeat wearamask mismanagement', 'shabebarat servants', 'need defeat', 'dont waste president', 'arifalvi', 'arifalvi pakistan', 'pakistan tested ']"
20,19,92,19_education_health education_sector_education health,"[('education', 0.025443662142284364), ('health education', 0.013943561838500146), ('sector', 0.011811413611521923), ('education health', 0.010319893107889042), ('health', 0.008993809910316591), ('government', 0.007138234819285854), ('colleges', 0.0060473186104548216), ('worst state india', 0.005972087474189079), ('merged', 0.005972087474189079), ('private sector', 0.005842175945852465)]",negative,"['education', 'health education', 'sector', 'education health', 'health', 'government', 'colleges', 'worst state india', 'merged', 'private sector ']"
21,20,91,20_pakistan covid19 harrasment_covid19 harrasment genderequality_covid19 harrasment_harrasment genderequality genshinimpact,"[('pakistan covid19 harrasment', 0.06650747948383513), ('covid19 harrasment genderequality', 0.06650747948383513), ('covid19 harrasment', 0.06650747948383513), ('harrasment genderequality genshinimpact', 0.06650747948383513), ('harrasment genderequality', 0.06650747948383513), ('cotla 16days motivationalquotes', 0.06631051027911213), ('cotla 16days', 0.06631051027911213), ('cotla', 0.06631051027911213), ('transgender mentalhealthawareness cotla', 0.06631051027911213), ('mentalhealthawareness cotla', 0.06631051027911213)]",negative,"['pakistan covid harrasment', 'covid harrasment genderequality', 'covid harrasment', 'harrasment genderequality genshinimpact', 'harrasment genderequality', 'cotla days motivationalquotes', 'cotla days', 'cotla', 'transgender mentalhealthawareness cotla', 'mentalhealthawareness cotla ']"
22,21,90,21_allah_may allah_bless_allah bless,"[('allah', 0.05112444985821016), ('may allah', 0.04435933614013618), ('bless', 0.037766784514747714), ('allah bless', 0.03416762371855256), ('may', 0.033831699022486776), ('may allah bless', 0.031979594545345796), ('good health', 0.024089796572083433), ('health may allah', 0.01981790969952732), ('health may', 0.019080362164592836), ('bless good health', 0.01895005521306082)]",negative,"['allah', 'may allah', 'bless', 'allah bless', 'may', 'may allah bless', 'good health', 'health may allah', 'health may', 'bless good health ']"
