Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2989,-1_health_na_ang_sa,"[('health', 0.004664112721953025), ('na', 0.00346883538560932), ('ang', 0.0032944722155179903), ('sa', 0.0031460720373802367), ('mental', 0.0030561192923149617), ('mental health', 0.002926065906036812), ('safe', 0.0026931878516951815), ('may', 0.0025709482480381087), ('covid19', 0.002552188288000056), ('people', 0.002480898867859619)]",neutral,"['health', 'na', 'ang', 'sa', 'mental', 'mental health', 'safe', 'may', 'covid', 'people ']"
1,0,635,0_mental health_mental_health_matters,"[('mental health', 0.03213434688145182), ('mental', 0.03198109509781993), ('health', 0.012718252055057909), ('matters', 0.007598520092370351), ('good mental health', 0.0075556779358716105), ('good mental', 0.007502103305018293), ('health matters', 0.007036093966000381), ('mental health matters', 0.007013819602214179), ('good', 0.0062900762393130125), ('mental health mental', 0.006003796501590282)]",neutral,"['mental health', 'mental', 'health', 'matters', 'good mental health', 'good mental', 'health matters', 'mental health matters', 'good', 'mental health mental ']"
2,1,250,1_ang_health_na_sa,"[('ang', 0.009636528979315067), ('health', 0.008633635423658914), ('na', 0.0077787905312118695), ('sa', 0.00736798909147195), ('ko', 0.0066768417853507855), ('ng', 0.006219159158072333), ('good', 0.005852223086977733), ('lang', 0.005305845139865861), ('good health', 0.005249376078262937), ('pa', 0.005074460623287197)]",neutral,"['ang', 'health', 'na', 'sa', 'ko', 'ng', 'good', 'lang', 'good health', 'pa ']"
3,2,234,2_mask_face_face mask_wear,"[('mask', 0.03678153515938732), ('face', 0.02305306810629886), ('face mask', 0.01620062215005834), ('wear', 0.014709808288372343), ('wearing', 0.01316756381664596), ('masks', 0.012870226157015711), ('wear mask', 0.00875095611554508), ('skin', 0.007915868104781927), ('n95', 0.00646316379157358), ('wearing mask', 0.006151845379825495)]",neutral,"['mask', 'face', 'face mask', 'wear', 'wearing', 'masks', 'wear mask', 'skin', 'n', 'wearing mask ']"
4,3,172,3_vaccine_vaccines_vaccination_booster,"[('vaccine', 0.021295914988522714), ('vaccines', 0.018151567160466623), ('vaccination', 0.013637488702315539), ('booster', 0.00620114042892002), ('clinical', 0.006181740235708187), ('covid19 vaccines', 0.005747551388681605), ('vaccinated', 0.004972896194850823), ('application', 0.004962657736998068), ('shot', 0.004843851328500524), ('boosters', 0.0047316559964770515)]",neutral,"['vaccine', 'vaccines', 'vaccination', 'booster', 'clinical', 'covid vaccines', 'vaccinated', 'application', 'shot', 'boosters ']"
5,4,160,4_health_rest_take_good,"[('health', 0.014049296611468306), ('rest', 0.011383466225569497), ('take', 0.010621248120001913), ('good', 0.0105638976117244), ('care health', 0.010145828023043644), ('take care', 0.008820655325914507), ('okay', 0.008645747434418276), ('please', 0.008211313636457955), ('health important', 0.00797031883447403), ('age', 0.007875323305947875)]",neutral,"['health', 'rest', 'take', 'good', 'care health', 'take care', 'okay', 'please', 'health important', 'age ']"
6,5,159,5_quarantine_community quarantine_home_community,"[('quarantine', 0.03760880908549481), ('community quarantine', 0.008634804632411928), ('home', 0.007968319266660723), ('community', 0.007746998448955006), ('home quarantine', 0.006763953995118132), ('im', 0.006296894309493847), ('period', 0.004693748841425096), ('day', 0.004625735289677386), ('enhanced', 0.004548117680817658), ('self quarantine', 0.004443896783307921)]",neutral,"['quarantine', 'community quarantine', 'home', 'community', 'home quarantine', 'im', 'period', 'day', 'enhanced', 'self quarantine ']"
7,6,158,6_safe_stay safe_stay_healthy,"[('safe', 0.03593118123316336), ('stay safe', 0.025139918782034417), ('stay', 0.02419570523070625), ('healthy', 0.019881875019620913), ('safe healthy', 0.01780864189953769), ('take care', 0.01773202080532464), ('take', 0.015167226112192083), ('okay', 0.015152149080868609), ('care', 0.014519972401913201), ('stay safe healthy', 0.012527571507258917)]",neutral,"['safe', 'stay safe', 'stay', 'healthy', 'safe healthy', 'take care', 'take', 'okay', 'care', 'stay safe healthy ']"
8,7,156,7_covid_covid19_pandemic_us,"[('covid', 0.016480727140915988), ('covid19', 0.008752707875225264), ('pandemic', 0.006896213906721811), ('us', 0.006551470446314155), ('covid cases', 0.006050500196317153), ('crisis', 0.005627208391668988), ('cases', 0.005462761535073573), ('scared', 0.005215554406019152), ('hope', 0.005079948328959944), ('jesus', 0.004481999464339761)]",neutral,"['covid', 'covid', 'pandemic', 'us', 'covid cases', 'crisis', 'cases', 'scared', 'hope', 'jesus ']"
9,8,126,8_safe_health standards_minimum_standards,"[('safe', 0.02097269179393557), ('health standards', 0.01789612508704772), ('minimum', 0.017470218084062437), ('standards', 0.01741227865510794), ('minimum health', 0.016264589409133418), ('minimum health standards', 0.014497879152826371), ('lang', 0.012487643321944875), ('po', 0.010818793262998973), ('stay safe', 0.010318979987745235), ('stay', 0.009391665372469986)]",neutral,"['safe', 'health standards', 'minimum', 'standards', 'minimum health', 'minimum health standards', 'lang', 'po', 'stay safe', 'stay ']"
