Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,10587,-1_health_na_sa_mental,"[('health', 0.018091188619935285), ('na', 0.009076558362051873), ('sa', 0.00783426520083879), ('mental', 0.007723532090710294), ('covid19', 0.007651515854721695), ('mental health', 0.00734147566715614), ('ang', 0.00696236478049212), ('people', 0.0067186127087697535), ('ng', 0.00613408154446561), ('dont', 0.005805038778563153)]",negative,"['health', 'na', 'sa', 'mental', 'covid', 'mental health', 'ang', 'people', 'ng', 'dont ']"
1,0,18668,0_health_covid19_cases_na,"[('health', 0.01808813503279473), ('covid19', 0.01720898749650772), ('cases', 0.008538527330888739), ('na', 0.006967720102278481), ('covid', 0.00625873276735225), ('workers', 0.006110801891945233), ('sa', 0.006062411761594655), ('quarantine', 0.006015687706508491), ('department', 0.005691686883347522), ('nurses', 0.005483622277604131)]",negative,"['health', 'covid', 'cases', 'na', 'covid', 'workers', 'sa', 'quarantine', 'department', 'nurses ']"
2,1,61,1_protocols_remarks strict_report health protocols_remarks strict implementation,"[('protocols', 0.14904548207033652), ('remarks strict', 0.11126716839890081), ('report health protocols', 0.11126716839890081), ('remarks strict implementation', 0.11126716839890081), ('date amp', 0.11126716839890081), ('date amp time', 0.11126716839890081), ('amp time', 0.11082217576332945), ('remarks', 0.11082217576332945), ('report health', 0.1106044966022681), ('strict implementation health', 0.10976383142328532)]",negative,"['protocols', 'remarks strict', 'report health protocols', 'remarks strict implementation', 'date amp', 'date amp time', 'amp time', 'remarks', 'report health', 'strict implementation health ']"
3,2,59,2_transportation_public_public transportation_transport,"[('transportation', 0.07240530834930818), ('public', 0.03744866868401608), ('public transportation', 0.03311102214815454), ('transport', 0.023516531247982256), ('government', 0.019315272294570085), ('buses', 0.0184341405406878), ('land transportation franchising', 0.018212013662720673), ('franchising regulatory', 0.018212013662720673), ('franchising regulatory board', 0.018212013662720673), ('regulatory board', 0.018212013662720673)]",negative,"['transportation', 'public', 'public transportation', 'transport', 'government', 'buses', 'land transportation franchising', 'franchising regulatory', 'franchising regulatory board', 'regulatory board ']"
4,3,26,3_workout_day_quarantine workout day_workout day,"[('workout', 0.13099544146702513), ('day', 0.0791203663146406), ('quarantine workout day', 0.07426065738861258), ('workout day', 0.07426065738861258), ('quarantine workout', 0.07134251141126197), ('coreworkout', 0.05930949422965383), ('poundforpoundsouthwoods', 0.05930949422965383), ('poundforpoundfitness poundforpoundsouthwoods', 0.05930949422965383), ('poundforpoundfitness', 0.05930949422965383), ('tabataworkout', 0.05930949422965383)]",negative,"['workout', 'day', 'quarantine workout day', 'workout day', 'quarantine workout', 'coreworkout', 'poundforpoundsouthwoods', 'poundforpoundfitness poundforpoundsouthwoods', 'poundforpoundfitness', 'tabataworkout ']"
5,4,26,4_nurse_wearing level_wearing_mission,"[('nurse', 0.0917972032286857), ('wearing level', 0.04930444014076737), ('wearing', 0.045053984835162535), ('mission', 0.04039883250424528), ('heart', 0.035654086138797086), ('equal worth nurse', 0.034234764516448815), ('draws laughter faces', 0.034234764516448815), ('equal worth', 0.034234764516448815), ('perfect deceiver', 0.034234764516448815), ('ultimately equal', 0.034234764516448815)]",negative,"['nurse', 'wearing level', 'wearing', 'mission', 'heart', 'equal worth nurse', 'draws laughter faces', 'equal worth', 'perfect deceiver', 'ultimately equal ']"
6,5,21,5_st joseph worker_joseph worker_st joseph_joseph,"[('st joseph worker', 0.2923162340400319), ('joseph worker', 0.2923162340400319), ('st joseph', 0.2923162340400319), ('joseph', 0.2777419734666863), ('photo st joseph', 0.24393182950855907), ('st', 0.24236807649770506), ('photo st', 0.2422480787980546), ('posted photo st', 0.2422480787980546), ('parish', 0.2192371755300239), ('joseph worker parish', 0.2134403508199892)]",negative,"['st joseph worker', 'joseph worker', 'st joseph', 'joseph', 'photo st joseph', 'st', 'photo st', 'posted photo st', 'parish', 'joseph worker parish ']"
7,6,21,6_franchise_nailandia_open franchise_fee please call,"[('franchise', 0.11374654483899728), ('nailandia', 0.08966294028054429), ('open franchise', 0.07235496021619597), ('fee please call', 0.0604968286484818), ('franchise fee', 0.0604968286484818), ('franchise fee please', 0.0604968286484818), ('franchise low', 0.0604968286484818), ('franchise low franchise', 0.0604968286484818), ('low franchise', 0.0604968286484818), ('low franchise fee', 0.0604968286484818)]",negative,"['franchise', 'nailandia', 'open franchise', 'fee please call', 'franchise fee', 'franchise fee please', 'franchise low', 'franchise low franchise', 'low franchise', 'low franchise fee ']"
8,7,17,7_health covid19 metro_siyutsiyutaninternationale_visualjournal_pilipinas visualjournal documentary,"[('health covid19 metro', 0.10797283498172688), ('siyutsiyutaninternationale', 0.10335258745169124), ('visualjournal', 0.10335258745169124), ('pilipinas visualjournal documentary', 0.10335258745169124), ('visualjournal documentary film', 0.10335258745169124), ('visualjournal documentary', 0.10335258745169124), ('pilipinas visualjournal', 0.10335258745169124), ('film siyutsiyutaninternationale health', 0.10335258745169124), ('film siyutsiyutaninternationale', 0.10335258745169124), ('siyutsiyutaninternationale health', 0.10335258745169124)]",negative,"['health covid metro', 'siyutsiyutaninternationale', 'visualjournal', 'pilipinas visualjournal documentary', 'visualjournal documentary film', 'visualjournal documentary', 'pilipinas visualjournal', 'film siyutsiyutaninternationale health', 'film siyutsiyutaninternationale', 'siyutsiyutaninternationale health ']"
9,8,14,8_ovp_lagangilang_health standard covid19_standard covid19,"[('ovp', 0.05946708595283748), ('lagangilang', 0.052149066408230985), ('health standard covid19', 0.0408173874773209), ('standard covid19', 0.04045286702659116), ('ramirez front lagangilang', 0.03858080271734876), ('soliciting transport', 0.03858080271734876), ('observed minimum health', 0.03858080271734876), ('authority walkin client', 0.03858080271734876), ('authority walkin', 0.03858080271734876), ('jhonnel ramirez front', 0.03858080271734876)]",negative,"['ovp', 'lagangilang', 'health standard covid', 'standard covid', 'ramirez front lagangilang', 'soliciting transport', 'observed minimum health', 'authority walkin client', 'authority walkin', 'jhonnel ramirez front ']"
