Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,16117,-1_love_health_happy_good,"[('love', 0.0014467720493095454), ('health', 0.0013290631958074632), ('happy', 0.001311086127821734), ('good', 0.0013073848606711526), ('safe', 0.0012925178909493295), ('always', 0.001284658546331291), ('birthday', 0.0012826712347057156), ('care', 0.0012597898444594955), ('stay', 0.0012523132702240512), ('take', 0.001249468637358973)]",positive,"['love', 'health', 'happy', 'good', 'safe', 'always', 'birthday', 'care', 'stay', 'take ']"
1,0,1379,0_sa_na_mo_ko,"[('sa', 0.006529533765681264), ('na', 0.006090864735952446), ('mo', 0.005265888775862718), ('ko', 0.00464901517754233), ('lang', 0.00428340870516596), ('ang', 0.004170970675115148), ('ng', 0.003872345494671272), ('ka', 0.00334438210699649), ('ako', 0.003199943742178308), ('pa', 0.0029655602724228077)]",positive,"['sa', 'na', 'mo', 'ko', 'lang', 'ang', 'ng', 'ka', 'ako', 'pa ']"
2,1,883,1_nurse_happy nurses_nurse nurse_nurses,"[('nurse', 0.026207828658316876), ('happy nurses', 0.012398647856337876), ('nurse nurse', 0.012060036494974597), ('nurses', 0.01189753957344205), ('nurses week', 0.011309293338896995), ('duty', 0.01073752399212493), ('nurse duty', 0.010308136896974872), ('happy nurses week', 0.010017885600857163), ('future', 0.010012122140323178), ('future nurse', 0.009879852237278972)]",positive,"['nurse', 'happy nurses', 'nurse nurse', 'nurses', 'nurses week', 'duty', 'nurse duty', 'happy nurses week', 'future', 'future nurse ']"
3,2,873,2_happy birthday_birthday_happy_birthday stay,"[('happy birthday', 0.018997056901045133), ('birthday', 0.01768296599496659), ('happy', 0.011491427332736006), ('birthday stay', 0.008302245220659199), ('happy birthday stay', 0.007068871601794002), ('birthday stay safe', 0.006709271185799633), ('good health', 0.006617882207355137), ('wish', 0.006548963565542776), ('health happy birthday', 0.0062059613221594504), ('health happy', 0.006117703864522549)]",positive,"['happy birthday', 'birthday', 'happy', 'birthday stay', 'happy birthday stay', 'birthday stay safe', 'good health', 'wish', 'health happy birthday', 'health happy ']"
4,3,726,3_1111_1111 good_1111 good health_health 1111,"[('1111', 0.07660184268106074), ('1111 good', 0.06086492156364561), ('1111 good health', 0.06058122219012576), ('health 1111', 0.04395598279185858), ('wealth', 0.043027670644833364), ('health wealth', 0.03982781361774419), ('good health 1111', 0.0386286903331079), ('health 1111 good', 0.03280831059069234), ('wealth 1111', 0.02629348180986975), ('health wealth 1111', 0.025541322251778995)]",positive,"['', ' good', ' good health', 'health', ' wealth', 'health wealth', 'good health', ' health', 'good', 'wealth', ' health wealth', '']"
5,4,678,4_mental health_mental_protect mental_protect mental health,"[('mental health', 0.020759624036301452), ('mental', 0.020418624776119845), ('protect mental', 0.007669255916179274), ('protect mental health', 0.007435408368288187), ('good mental', 0.007341174531316054), ('good mental health', 0.007260593947602098), ('care mental health', 0.006472782720321091), ('care mental', 0.006456001792420759), ('take care mental', 0.005617006843011784), ('mental health mental', 0.005054973937334842)]",positive,"['mental health', 'mental', 'protect mental', 'protect mental health', 'good mental', 'good mental health', 'care mental health', 'care mental', 'take care mental', 'mental health mental ']"
6,5,587,5_vaccine_dose_vaccines_covid19 vaccine,"[('vaccine', 0.017118469226205777), ('dose', 0.011883802883908627), ('vaccines', 0.008315826807178356), ('covid19 vaccine', 0.00818443531032488), ('vaccination', 0.0079071251604106), ('first dose', 0.007481983722011826), ('vaccinated', 0.006797646925287174), ('sinovac', 0.005657390043605086), ('resbakuna', 0.005132775070664032), ('got', 0.0050698566702688935)]",positive,"['vaccine', 'dose', 'vaccines', 'covid vaccine', 'vaccination', 'first dose', 'vaccinated', 'sinovac', 'resbakuna', 'got ']"
7,6,585,6_philippines_filipino_manila_manila philippines,"[('philippines', 0.010920206231049777), ('filipino', 0.00834532196477591), ('manila', 0.007499638093487754), ('manila philippines', 0.006564845980600866), ('philippines happy', 0.0059337273622234), ('city philippines', 0.005771303866786532), ('filipino nurses', 0.005605972682632099), ('quezon city philippines', 0.005455807278074741), ('mindanao', 0.005242634358734371), ('quezon', 0.004891356890948111)]",positive,"['philippines', 'filipino', 'manila', 'manila philippines', 'philippines happy', 'city philippines', 'filipino nurses', 'quezon city philippines', 'mindanao', 'quezon ']"
8,7,537,7_quarantine_community quarantine_home quarantine_quarantine birthday,"[('quarantine', 0.018856321288823474), ('community quarantine', 0.005606969191006077), ('home quarantine', 0.004670632128240939), ('quarantine birthday', 0.004450748373933996), ('community', 0.0041556788308256395), ('happy quarantine', 0.0034572363716525965), ('quarantinelife', 0.003405876051423005), ('happy quarantine birthday', 0.0030380433856078107), ('enhanced', 0.003005977262221124), ('enhanced community quarantine', 0.002734143430076661)]",positive,"['quarantine', 'community quarantine', 'home quarantine', 'quarantine birthday', 'community', 'happy quarantine', 'quarantinelife', 'happy quarantine birthday', 'enhanced', 'enhanced community quarantine ']"
9,8,423,8_universal_healthcare_health care_public health,"[('universal', 0.007803322779319829), ('healthcare', 0.007516577146758418), ('health care', 0.007100533493917088), ('public health', 0.006610496097034083), ('system', 0.0062887668971780735), ('healthcare system', 0.0059462903106125556), ('universal health', 0.005930025210610464), ('public', 0.005738530270115312), ('universal health care', 0.005462486343681234), ('government', 0.005165295340790098)]",positive,"['universal', 'healthcare', 'health care', 'public health', 'system', 'healthcare system', 'universal health', 'public', 'universal health care', 'government ']"
