Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,671,-1_health_covid19_good_care,"[('health', 0.017935471899586164), ('covid19', 0.01012807256605155), ('good', 0.006529640074776041), ('care', 0.006504774934697275), ('amp', 0.006263697447314395), ('people', 0.006205586086639772), ('dont', 0.005813433799134313), ('covid', 0.005219183992202284), ('would', 0.005130306147860044), ('need', 0.004980649753811448)]",neutral,"['health', 'covid', 'good', 'care', 'amp', 'people', 'dont', 'covid', 'would', 'need ']"
1,0,966,0_health_nurse_mental_mental health,"[('health', 0.016672901663579705), ('nurse', 0.010041296022840377), ('mental', 0.009839875456128187), ('mental health', 0.009689749173527815), ('covid19', 0.009474944687567826), ('people', 0.007056711377922458), ('nurses', 0.006712565890059165), ('good', 0.006540810774215451), ('care', 0.0060271325337690924), ('amp', 0.005720846429040503)]",neutral,"['health', 'nurse', 'mental', 'mental health', 'covid', 'people', 'nurses', 'good', 'care', 'amp ']"
2,1,94,1_vaccine_covid_vaccines_vaccination,"[('vaccine', 0.041966141102967244), ('covid', 0.022480435851186795), ('vaccines', 0.019391124886155273), ('vaccination', 0.0163175645107686), ('people', 0.01162136357848684), ('pcr', 0.009786305171970653), ('take', 0.009770251023801316), ('flu', 0.009472390152040603), ('health', 0.00901655167542436), ('get', 0.008781902544194727)]",neutral,"['vaccine', 'covid', 'vaccines', 'vaccination', 'people', 'pcr', 'take', 'flu', 'health', 'get ']"
3,2,90,2_stay_safe_stayhome_stayhealthy,"[('stay', 0.02436027811816725), ('safe', 0.022891351382083733), ('stayhome', 0.019036428396925435), ('stayhealthy', 0.015831199151115968), ('stay safe', 0.0152553280716626), ('oman', 0.014377098316984962), ('staysafe', 0.014164699752404301), ('home', 0.012904345963368225), ('dubai', 0.012379698999687312), ('weekend', 0.012210235279311829)]",neutral,"['stay', 'safe', 'stayhome', 'stayhealthy', 'stay safe', 'oman', 'staysafe', 'home', 'dubai', 'weekend ']"
4,3,51,3_qatar_doha_throat_amp,"[('qatar', 0.04626187531092694), ('doha', 0.020719163316586155), ('throat', 0.019892695056697867), ('amp', 0.01906870774127014), ('qatar doha', 0.014116121106345185), ('soon', 0.012500292518555873), ('throat amp', 0.012275634240303155), ('health', 0.012063696562963895), ('cough', 0.011991360112449145), ('public', 0.011320887686233022)]",neutral,"['qatar', 'doha', 'throat', 'amp', 'qatar doha', 'soon', 'throat amp', 'health', 'cough', 'public ']"
5,4,39,4_mask_wear_wear mask_masks,"[('mask', 0.07336897221875052), ('wear', 0.04827847070872588), ('wear mask', 0.03493214524041766), ('masks', 0.03341492157375602), ('wearing', 0.030191408698798224), ('surgical', 0.02209902679461858), ('surgical mask', 0.021369652330154434), ('like', 0.020091715081385502), ('use', 0.018574423041095373), ('people', 0.018122934612911108)]",neutral,"['mask', 'wear', 'wear mask', 'masks', 'wearing', 'surgical', 'surgical mask', 'like', 'use', 'people ']"
6,5,32,5_dental_dentist_periodontology_gums implants,"[('dental', 0.08515322933085483), ('dentist', 0.07273648947380469), ('periodontology', 0.06717294714733622), ('gums implants', 0.06717294714733622), ('theperioclinic gums implants', 0.06717294714733622), ('theperioclinic gums', 0.06717294714733622), ('theperioclinic', 0.06717294714733622), ('implants dental periodontology', 0.06717294714733622), ('implants dental', 0.06717294714733622), ('implants', 0.06717294714733622)]",neutral,"['dental', 'dentist', 'periodontology', 'gums implants', 'theperioclinic gums implants', 'theperioclinic gums', 'theperioclinic', 'implants dental periodontology', 'implants dental', 'implants ']"
7,6,31,6_ji_journalist_covid19_safe,"[('ji', 0.03033313496074166), ('journalist', 0.021595946693078263), ('covid19', 0.020709820220184017), ('safe', 0.01799438996588246), ('covid', 0.016230569347567378), ('theorize postcovid', 0.015964433344005515), ('many people think', 0.015964433344005515), ('making many people', 0.015964433344005515), ('making many', 0.015964433344005515), ('want theorize postcovid', 0.015964433344005515)]",neutral,"['ji', 'journalist', 'covid', 'safe', 'covid', 'theorize postcovid', 'many people think', 'making many people', 'making many', 'want theorize postcovid ']"
8,7,27,7_amp_safety_amp safety_health amp safety,"[('amp', 0.07867203993826881), ('safety', 0.04549737921651375), ('amp safety', 0.044114114794757624), ('health amp safety', 0.044114114794757624), ('health amp', 0.039640201421199894), ('bahrain', 0.030082819872194817), ('dammam', 0.020895669421376103), ('first', 0.017713204062417522), ('health', 0.016410124049272334), ('dont care health', 0.016310564716004793)]",neutral,"['amp', 'safety', 'amp safety', 'health amp safety', 'health amp', 'bahrain', 'dammam', 'first', 'health', 'dont care health ']"
9,8,27,8_saudi_hud_2022_hud hud,"[('saudi', 0.07839151957223771), ('hud', 0.05192296950354925), ('2022', 0.04316182981791274), ('hud hud', 0.04304572792630489), ('saudi arabia', 0.034796151643937824), ('arabia', 0.03395124178528009), ('hud hud hud', 0.03374241594479268), ('doh', 0.03115378170212955), ('exam questions', 0.028889006817064827), ('prometric', 0.028889006817064827)]",neutral,"['saudi', 'hud', '', 'hud hud', 'saudi arabia', 'arabia', 'hud hud hud', 'doh', 'exam questions', 'prometric ']"
