Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,3180,-1_health_singapore_safe_amp,"[('health', 0.0036155497208719693), ('singapore', 0.002491040342169873), ('safe', 0.0024708104073282197), ('amp', 0.002395914949380734), ('stay', 0.002343402808901137), ('good', 0.002286809739892993), ('mental', 0.0021080395183933555), ('love', 0.0020426553508472813), ('always', 0.002003574973770525), ('take', 0.002002826426070325)]",positive,"['health', 'singapore', 'safe', 'amp', 'stay', 'good', 'mental', 'love', 'always', 'take ']"
1,0,567,0_birthday_happy_happy birthday_good health,"[('birthday', 0.01627401515994649), ('happy', 0.012741081072252324), ('happy birthday', 0.012491056254641574), ('good health', 0.011199225078498316), ('happiness', 0.010587129165131966), ('good', 0.009062557188211211), ('wishing', 0.00841272784616731), ('may', 0.008410773180002247), ('year', 0.007267008578595155), ('health', 0.006351500493098139)]",positive,"['birthday', 'happy', 'happy birthday', 'good health', 'happiness', 'good', 'wishing', 'may', 'year', 'health ']"
2,1,412,1_safe_stay_stay safe_take care,"[('safe', 0.022725407789358748), ('stay', 0.0210777117140382), ('stay safe', 0.020598869417042965), ('take care', 0.015789478870024198), ('take', 0.0142371879268578), ('care', 0.012319848563375512), ('healthy', 0.011681142624702424), ('care stay', 0.009668706791904064), ('care stay safe', 0.009652430204588289), ('safe take', 0.00953925766363152)]",positive,"['safe', 'stay', 'stay safe', 'take care', 'take', 'care', 'healthy', 'care stay', 'care stay safe', 'safe take ']"
3,2,347,2_nurses_nurses day_nurse_happy nurses day,"[('nurses', 0.029292336537369304), ('nurses day', 0.015405435646935368), ('nurse', 0.014773050695622117), ('happy nurses day', 0.012290187760101906), ('happy nurses', 0.012290187760101906), ('day', 0.008459596555637348), ('doctors', 0.00835346948985469), ('nursing', 0.006858800662358646), ('thank', 0.006400251469436795), ('happy', 0.006120847110755745)]",positive,"['nurses', 'nurses day', 'nurse', 'happy nurses day', 'happy nurses', 'day', 'doctors', 'nursing', 'thank', 'happy ']"
4,3,302,3_vaccine_vaccination_vaccines_first,"[('vaccine', 0.023303212448926504), ('vaccination', 0.02272752790983896), ('vaccines', 0.013324503797620738), ('first', 0.0095500235786764), ('vaccinated', 0.009072892225698922), ('covid19 vaccine', 0.008263876141818874), ('covid19 vaccination', 0.008049261748217807), ('covid vaccine', 0.007944673945432815), ('dose', 0.00770596006324953), ('jab', 0.005635579950263027)]",positive,"['vaccine', 'vaccination', 'vaccines', 'first', 'vaccinated', 'covid vaccine', 'covid vaccination', 'covid vaccine', 'dose', 'jab ']"
5,4,211,4_zerowaste_singapore zerowaste free_zerowaste free_singapore zerowaste,"[('zerowaste', 0.058268946584761415), ('singapore zerowaste free', 0.058268946584761415), ('zerowaste free', 0.058268946584761415), ('singapore zerowaste', 0.058268946584761415), ('singapore singapore zerowaste', 0.05673918101286981), ('singapore singapore', 0.046769833851167016), ('free', 0.038869169038744884), ('mask singapore singapore', 0.03160317324632761), ('mask singapore', 0.02931597141185053), ('voucher', 0.024539579371322687)]",positive,"['zerowaste', 'singapore zerowaste free', 'zerowaste free', 'singapore zerowaste', 'singapore singapore zerowaste', 'singapore singapore', 'free', 'mask singapore singapore', 'mask singapore', 'voucher ']"
6,5,199,5_mask_masks_wear_wearing,"[('mask', 0.02870128524338222), ('masks', 0.01606706771561381), ('wear', 0.011924790901565015), ('wearing', 0.011211474586161802), ('wear mask', 0.01083459635954063), ('wearing mask', 0.007273867432237198), ('singapore mask', 0.006010594778468957), ('wearing masks', 0.005915923905325695), ('mask stay', 0.005613336128702483), ('face', 0.005567970527985002)]",positive,"['mask', 'masks', 'wear', 'wearing', 'wear mask', 'wearing mask', 'singapore mask', 'wearing masks', 'mask stay', 'face ']"
7,6,182,6_dinner_crcheers quircsingapore_quircsingapore_crcheers,"[('dinner', 0.022642638675234226), ('crcheers quircsingapore', 0.02053334171156378), ('quircsingapore', 0.02053334171156378), ('crcheers', 0.02053334171156378), ('staysafeandhealthy', 0.018419126610965748), ('safedistancing', 0.01824977824552387), ('evania', 0.016934520857281525), ('dinner tonight', 0.015593568949932798), ('crcheers quircsingapore homemademeals', 0.015152747981124655), ('homemademeals', 0.015152747981124655)]",positive,"['dinner', 'crcheers quircsingapore', 'quircsingapore', 'crcheers', 'staysafeandhealthy', 'safedistancing', 'evania', 'dinner tonight', 'crcheers quircsingapore homemademeals', 'homemademeals ']"
8,7,174,7_digitalhealth_healthtech_telehealth_digitalhealth healthtech,"[('digitalhealth', 0.026132252043678167), ('healthtech', 0.024037308298193012), ('telehealth', 0.014019951083320768), ('digitalhealth healthtech', 0.012166577271503585), ('medtech', 0.01117093508432689), ('healthtech digitalhealth', 0.0103401069192326), ('ai', 0.010324137793520522), ('telemedicine', 0.009355334831686638), ('healthcare', 0.007930616096038462), ('patients', 0.007167884644437567)]",positive,"['digitalhealth', 'healthtech', 'telehealth', 'digitalhealth healthtech', 'medtech', 'healthtech digitalhealth', 'ai', 'telemedicine', 'healthcare', 'patients ']"
9,8,168,8_mental health_mental_health_mental health important,"[('mental health', 0.060235213809061564), ('mental', 0.05894192145133043), ('health', 0.016011726229971872), ('mental health important', 0.00865536961906225), ('awareness', 0.008364317796765997), ('health important', 0.007897493880282143), ('important', 0.007795347801261158), ('care mental', 0.007789832657156026), ('care mental health', 0.007376762204722927), ('take care mental', 0.006454666929132561)]",positive,"['mental health', 'mental', 'health', 'mental health important', 'awareness', 'health important', 'important', 'care mental', 'care mental health', 'take care mental ']"
