Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,5154,-1_health_mental_mental health_people,"[('health', 0.004270618069218818), ('mental', 0.003938187065924625), ('mental health', 0.003844175912619559), ('people', 0.0028282910483228064), ('dont', 0.0025095298535315145), ('care', 0.002497695142230652), ('need', 0.0023513748410776167), ('like', 0.00227930280667383), ('work', 0.002228444122993443), ('get', 0.0022078554011545947)]",neutral,"['health', 'mental', 'mental health', 'people', 'dont', 'care', 'need', 'like', 'work', 'get ']"
1,0,417,0_hospital_hospitals_nurses_private,"[('hospital', 0.019131599892192503), ('hospitals', 0.013178427096786707), ('nurses', 0.007911924735906002), ('private', 0.007747963829348112), ('medical', 0.00755346528069649), ('public', 0.007497577852949432), ('aid', 0.006758577951038016), ('emergency', 0.006665852486209522), ('medical aid', 0.005996275462411245), ('doctor', 0.0051083894277011346)]",neutral,"['hospital', 'hospitals', 'nurses', 'private', 'medical', 'public', 'aid', 'emergency', 'medical aid', 'doctor ']"
2,1,405,1_mental_mental health_health_love,"[('mental', 0.027406205965039915), ('mental health', 0.02660322449129506), ('health', 0.00859187392250967), ('love', 0.00669077176472852), ('mental health issues', 0.0064044393674690505), ('health issues', 0.006043096484006253), ('health mental', 0.005942011805718484), ('issues', 0.005712135123066234), ('mental health mental', 0.005636889085707131), ('health mental health', 0.005561131669116554)]",neutral,"['mental', 'mental health', 'health', 'love', 'mental health issues', 'health issues', 'health mental', 'issues', 'mental health mental', 'health mental health ']"
3,2,343,2_vaccine_vaccines_vaccinated_vaccination,"[('vaccine', 0.023914101753948522), ('vaccines', 0.013860688172636379), ('vaccinated', 0.0074238136821978655), ('vaccination', 0.006809395492230406), ('vaccinate', 0.005316167660522547), ('medical', 0.005021568200175349), ('immune', 0.004956073106315426), ('people', 0.004424901174540991), ('get', 0.004158928134486979), ('flu', 0.0037817819702274636)]",neutral,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'vaccinate', 'medical', 'immune', 'people', 'get', 'flu ']"
4,3,327,3_lockdown_hard worker_worker_hard,"[('lockdown', 0.023644731723515947), ('hard worker', 0.017887796670083667), ('worker', 0.014753227708373836), ('hard', 0.014538966857605745), ('essential', 0.008084604607135538), ('essential worker', 0.007274909768800162), ('player', 0.0064442335816865), ('chiefs', 0.00527540446801757), ('hes', 0.004996491205703834), ('im', 0.00409573932993596)]",neutral,"['lockdown', 'hard worker', 'worker', 'hard', 'essential', 'essential worker', 'player', 'chiefs', 'hes', 'im ']"
5,4,252,4_coronavirus_qampa_organization living_organization living coronavirus,"[('coronavirus', 0.017707781266478054), ('qampa', 0.01566972650730925), ('organization living', 0.01459810117055165), ('organization living coronavirus', 0.01459810117055165), ('detailqampa', 0.01459810117055165), ('detailqampa coronaviruses covid19', 0.01459810117055165), ('covid19 world health', 0.01459810117055165), ('covid19 world', 0.01459810117055165), ('health organization living', 0.01459810117055165), ('coronaviruses covid19', 0.01459810117055165)]",neutral,"['coronavirus', 'qampa', 'organization living', 'organization living coronavirus', 'detailqampa', 'detailqampa coronaviruses covid', 'covid world health', 'covid world', 'health organization living', 'coronaviruses covid ']"
6,5,233,5_south_africa_africans_south africans,"[('south', 0.022303018826816113), ('africa', 0.016890710992261613), ('africans', 0.01359747728004815), ('south africans', 0.013017809073831715), ('south africa', 0.01201890219222404), ('african', 0.010802847870035125), ('south african', 0.009105686707229199), ('sa', 0.00601178448312822), ('amp', 0.005319234728054891), ('think', 0.0044259493275978804)]",neutral,"['south', 'africa', 'africans', 'south africans', 'south africa', 'african', 'south african', 'sa', 'amp', 'think ']"
7,6,221,6_salary_assistant_job_location,"[('salary', 0.028785412031705742), ('assistant', 0.01174384294875654), ('job', 0.009747467926768344), ('location', 0.008456270158031406), ('email', 0.0075882639815536964), ('cv', 0.007549734767798999), ('apply', 0.007473569487247582), ('tax', 0.006604327246989939), ('experience', 0.006083268948711967), ('looking', 0.006029868338575714)]",neutral,"['salary', 'assistant', 'job', 'location', 'email', 'cv', 'apply', 'tax', 'experience', 'looking ']"
8,7,218,7_kids_school_children_schools,"[('kids', 0.012063315764412238), ('school', 0.011821273458778047), ('children', 0.011242321833785962), ('schools', 0.010709541895523873), ('child', 0.010427854173567175), ('mom', 0.010186720110432914), ('parent', 0.007029064598030355), ('parents', 0.006955090976565981), ('daughter', 0.005766298013079737), ('teachers', 0.00528614006594242)]",neutral,"['kids', 'school', 'children', 'schools', 'child', 'mom', 'parent', 'parents', 'daughter', 'teachers ']"
9,8,193,8_good health_health_good_comes first,"[('good health', 0.019523014276524666), ('health', 0.015703558888759912), ('good', 0.01485269189181066), ('comes first', 0.011920021523428507), ('health comes first', 0.011806396670730877), ('health comes', 0.011719707338924388), ('sickness', 0.010147776059263808), ('im', 0.009550228349204855), ('first', 0.009483633880324136), ('comes', 0.00904635532011908)]",neutral,"['good health', 'health', 'good', 'comes first', 'health comes first', 'health comes', 'sickness', 'im', 'first', 'comes ']"
