Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,24689,-1_people_dont_im_health,"[('people', 0.0010036798999292715), ('dont', 0.0009881068702846437), ('im', 0.0009323472980128259), ('health', 0.0009316177550510788), ('hospital', 0.0009126488968308897), ('care', 0.0008763061519629745), ('get', 0.0008657654457707647), ('like', 0.0008630935362369237), ('even', 0.0008563038569942351), ('lockdown', 0.0008481399692899013)]",negative,"['people', 'dont', 'im', 'health', 'hospital', 'care', 'get', 'like', 'even', 'lockdown ']"
1,0,1096,0_mental health_mental_mental health issues_health issues,"[('mental health', 0.015621477642556413), ('mental', 0.015436916033205754), ('mental health issues', 0.004320423468576416), ('health issues', 0.0034473060176762006), ('issues', 0.0031611294639761504), ('good mental health', 0.003008426658168924), ('good mental', 0.002941653542527883), ('health', 0.002750955030675542), ('depression', 0.0024651070987438614), ('health mental', 0.0019452055754154763)]",negative,"['mental health', 'mental', 'mental health issues', 'health issues', 'issues', 'good mental health', 'good mental', 'health', 'depression', 'health mental ']"
2,1,722,1_tested_positive_test_medical aid,"[('tested', 0.00813100239618042), ('positive', 0.007432440493749195), ('test', 0.006586795193483974), ('medical aid', 0.006017505623746832), ('tested positive', 0.005998731813270637), ('aid', 0.005939255122800373), ('positive covid19', 0.0056669290913344056), ('testing', 0.0056045795375604555), ('results', 0.004371077940001414), ('tested positive covid19', 0.0041072900154766655)]",negative,"['tested', 'positive', 'test', 'medical aid', 'tested positive', 'aid', 'positive covid', 'testing', 'results', 'tested positive covid ']"
3,2,681,2_alcohol_drinking_ban_alcohol related,"[('alcohol', 0.02463463511978973), ('drinking', 0.0071777341893738585), ('ban', 0.005900471843637469), ('alcohol related', 0.0046676207208889925), ('trauma', 0.00465770222736536), ('drink', 0.004234673297260555), ('wine', 0.00416903039565075), ('liquor', 0.004083524597621108), ('drunk', 0.0038827601863070924), ('alcohol ban', 0.0033840250226445196)]",negative,"['alcohol', 'drinking', 'ban', 'alcohol related', 'trauma', 'drink', 'wine', 'liquor', 'drunk', 'alcohol ban ']"
4,3,548,3_mask_masks_wearing_wear,"[('mask', 0.019557571196038057), ('masks', 0.015623850550670096), ('wearing', 0.01373979494041294), ('wear', 0.01046404325031561), ('wearing mask', 0.009151852390549739), ('wear mask', 0.006659738583698022), ('gloves', 0.006492045292036732), ('wearing masks', 0.006476805221520524), ('wear masks', 0.0039130698213353165), ('national tv wearing', 0.0034935612018011653)]",negative,"['mask', 'masks', 'wearing', 'wear', 'wearing mask', 'wear mask', 'gloves', 'wearing masks', 'wear masks', 'national tv wearing ']"
5,4,535,4_vaccine_vaccines_vaccinated_vaccination,"[('vaccine', 0.007890239426299704), ('vaccines', 0.005844273827199716), ('vaccinated', 0.004242199385383162), ('vaccination', 0.004007784993480278), ('mandate', 0.00311409891558641), ('take vaccine', 0.0030439027971345257), ('vaccinate', 0.003004556399534467), ('antivaxxers', 0.002705333499902304), ('choice', 0.002596881831646924), ('mandatory', 0.0025914715950476515)]",negative,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'mandate', 'take vaccine', 'vaccinate', 'antivaxxers', 'choice', 'mandatory ']"
6,5,510,5_banks_ukmortgageprisoners_2008_negative equity,"[('banks', 0.027687380694917954), ('ukmortgageprisoners', 0.024560510011421857), ('2008', 0.019602755144104967), ('negative equity', 0.01869080361023455), ('equity', 0.01833882243765814), ('repossessions', 0.016907378912719158), ('end term', 0.015483612991047608), ('repossess', 0.01520511481598781), ('stop repossessions', 0.014949115741626355), ('vulnerable', 0.014301913971166846)]",negative,"['banks', 'ukmortgageprisoners', '', 'negative equity', 'equity', 'repossessions', 'end term', 'repossess', 'stop repossessions', 'vulnerable ']"
7,6,449,6_smoking_cigarettes_tobacco_smokers,"[('smoking', 0.018953429384125444), ('cigarettes', 0.01667007994785171), ('tobacco', 0.015542035240896172), ('smokers', 0.01138224021909144), ('smoke', 0.00954083983936228), ('cigarette', 0.008348614676282451), ('ban', 0.0064898552836035244), ('quit', 0.004150296436346837), ('sale', 0.0038547226832686054), ('products', 0.003297855615767371)]",negative,"['smoking', 'cigarettes', 'tobacco', 'smokers', 'smoke', 'cigarette', 'ban', 'quit', 'sale', 'products ']"
8,7,437,7_lockdown_stayhealthy_grant see doctor_get food social,"[('lockdown', 0.010857289802640375), ('stayhealthy', 0.009026676812492675), ('grant see doctor', 0.006499395269077292), ('get food social', 0.006499395269077292), ('coronavirus kills', 0.006499395269077292), ('food social grant', 0.006499395269077292), ('social grant see', 0.006499395269077292), ('grant see', 0.006449907617790313), ('food social', 0.006356245043351433), ('stayhomestaysafe', 0.006247866779327175)]",negative,"['lockdown', 'stayhealthy', 'grant see doctor', 'get food social', 'coronavirus kills', 'food social grant', 'social grant see', 'grant see', 'food social', 'stayhomestaysafe ']"
9,8,431,8_protest_protests_protest action_peaceful,"[('protest', 0.02623728617062536), ('protests', 0.017662566631905505), ('protest action', 0.005521135531404242), ('peaceful', 0.005245509370648079), ('action', 0.004351792641860901), ('police', 0.004129091315249903), ('protesters', 0.0037987456371944726), ('students', 0.003531051092785923), ('violent', 0.0032727325719465587), ('peaceful protest', 0.0032206449980448472)]",negative,"['protest', 'protests', 'protest action', 'peaceful', 'action', 'police', 'protesters', 'students', 'violent', 'peaceful protest ']"
