Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,236,-1_health_care_benefits_dont,"[('health', 0.018730173832951377), ('care', 0.008694673574592717), ('benefits', 0.008534377186958361), ('dont', 0.008510303900410826), ('amp', 0.008294211891422591), ('know', 0.0066171256864908535), ('cbd', 0.006531646875625539), ('people', 0.006485393509596176), ('important', 0.006224411131469695), ('like', 0.006178032013295778)]",neutral,"['health', 'care', 'benefits', 'dont', 'amp', 'know', 'cbd', 'people', 'important', 'like ']"
1,0,175,0_health_amp_nurses_healthcare,"[('health', 0.020167230384198813), ('amp', 0.012782813973185566), ('nurses', 0.012748908478810201), ('healthcare', 0.012202119038770304), ('people', 0.009487423996830403), ('workers', 0.009382830884457865), ('care', 0.009032588977402221), ('would', 0.009024572746662842), ('public', 0.007781112278075052), ('like', 0.006948962564167813)]",neutral,"['health', 'amp', 'nurses', 'healthcare', 'people', 'workers', 'care', 'would', 'public', 'like ']"
2,1,139,1_health_mental_mental health_need,"[('health', 0.047096660315721274), ('mental', 0.04443194945999092), ('mental health', 0.04217605581529757), ('need', 0.010482511016495385), ('good', 0.009737130000882086), ('like', 0.009316922472990841), ('weight', 0.009157893702300019), ('stress', 0.008655254706284346), ('physical', 0.007693559738919419), ('see', 0.006793385754538779)]",neutral,"['health', 'mental', 'mental health', 'need', 'good', 'like', 'weight', 'stress', 'physical', 'see ']"
3,2,122,2_covid_covid19_health_home,"[('covid', 0.032257401354469896), ('covid19', 0.030176145340346395), ('health', 0.012804055265948286), ('home', 0.01063738490058433), ('people', 0.01003124617091669), ('stay', 0.008867551373719865), ('im', 0.008670398453161959), ('safe', 0.008524109130771637), ('care', 0.00784492203022776), ('time', 0.0076979549401746524)]",neutral,"['covid', 'covid', 'health', 'home', 'people', 'stay', 'im', 'safe', 'care', 'time ']"
4,3,51,3_vaccine_vaccines_people_health,"[('vaccine', 0.033127188028880004), ('vaccines', 0.024875142276148725), ('people', 0.019464007221815648), ('health', 0.015257848328178752), ('vaccinated', 0.015096794969548192), ('vaccination', 0.014548331054396678), ('etc', 0.012847181082094674), ('covid', 0.012596781625144148), ('us', 0.011409619266024348), ('asking', 0.011017952440582027)]",neutral,"['vaccine', 'vaccines', 'people', 'health', 'vaccinated', 'vaccination', 'etc', 'covid', 'us', 'asking ']"
5,4,41,4_spain_spanish_health_health service,"[('spain', 0.049147117195943744), ('spanish', 0.028279905144669257), ('health', 0.024437123472441615), ('health service', 0.017708572633050968), ('service', 0.015790912823549254), ('spanish health service', 0.01168671337103744), ('spanish health', 0.01168671337103744), ('el', 0.0113047588908318), ('storms', 0.0113047588908318), ('covid', 0.010733170359007784)]",neutral,"['spain', 'spanish', 'health', 'health service', 'service', 'spanish health service', 'spanish health', 'el', 'storms', 'covid ']"
6,5,35,5_mask_wearing_masks_wear,"[('mask', 0.059168682338316264), ('wearing', 0.034303936678340904), ('masks', 0.024355144279892327), ('wear', 0.020396700721503853), ('breathing', 0.019496286606537263), ('like', 0.017696488916024242), ('study', 0.01765807465221272), ('wearing mask', 0.016246905505447717), ('effective', 0.015519610113072228), ('covid', 0.014503528509436484)]",neutral,"['mask', 'wearing', 'masks', 'wear', 'breathing', 'like', 'study', 'wearing mask', 'effective', 'covid ']"
7,6,22,6_mask_wear_still_spain,"[('mask', 0.06255803483347329), ('wear', 0.04730839966695877), ('still', 0.041248982933853026), ('spain', 0.03993524088694264), ('aware', 0.03476287404808926), ('face mask', 0.030417514792078104), ('face', 0.02818809427127334), ('still need wear', 0.02782767155553475), ('compulsory wear face', 0.02782767155553475), ('compulsory wear', 0.02782767155553475)]",neutral,"['mask', 'wear', 'still', 'spain', 'aware', 'face mask', 'face', 'still need wear', 'compulsory wear face', 'compulsory wear ']"
8,7,15,7_change_going_patient_informed always,"[('change', 0.06547024039848978), ('going', 0.05526617461874481), ('patient', 0.04235104223484088), ('informed always', 0.03457134221546436), ('healthcare whether thats', 0.03457134221546436), ('doctor informed', 0.03457134221546436), ('done way whatever', 0.03457134221546436), ('safety going require', 0.03457134221546436), ('fix healthcare whether', 0.03457134221546436), ('change hard', 0.03457134221546436)]",neutral,"['change', 'going', 'patient', 'informed always', 'healthcare whether thats', 'doctor informed', 'done way whatever', 'safety going require', 'fix healthcare whether', 'change hard ']"
9,8,12,8_telehealth_digitalhealth_issue impact_telehealth pay use,"[('telehealth', 0.07010140211530884), ('digitalhealth', 0.057016398695252345), ('issue impact', 0.04968449728233403), ('telehealth pay use', 0.04968449728233403), ('use explore critical', 0.04968449728233403), ('use explore', 0.04968449728233403), ('telehealth pay', 0.04968449728233403), ('issue impact health', 0.04968449728233403), ('physicians enthusiastic telehealth', 0.04968449728233403), ('physicians enthusiastic', 0.04968449728233403)]",neutral,"['telehealth', 'digitalhealth', 'issue impact', 'telehealth pay use', 'use explore critical', 'use explore', 'telehealth pay', 'issue impact health', 'physicians enthusiastic telehealth', 'physicians enthusiastic ']"
10,9,11,9_healthy safe_bikefriendly_bikefriendly healthy_bikefriendly healthy safe,"[('healthy safe', 0.1650408639095196), ('bikefriendly', 0.1650408639095196), ('bikefriendly healthy', 0.1650408639095196), ('bikefriendly healthy safe', 0.1650408639095196), ('safe', 0.14063345030565996), ('healthy', 0.13914079373578028), ('mlaga bikefriendly healthy', 0.12958137966769212), ('mlaga bikefriendly', 0.12958137966769212), ('mlaga', 0.12958137966769212), ('safe expo2027', 0.09184104043098108)]",neutral,"['healthy safe', 'bikefriendly', 'bikefriendly healthy', 'bikefriendly healthy safe', 'safe', 'healthy', 'mlaga bikefriendly healthy', 'mlaga bikefriendly', 'mlaga', 'safe expo ']"
11,10,10,10_910_07_welsh hymns_memory,"[('910', 0.046192764795520695), ('07', 0.029859689654316398), ('welsh hymns', 0.021041450936860676), ('memory', 0.021041450936860676), ('77', 0.021041450936860676), ('optimism', 0.021041450936860676), ('trustworthiness', 0.021041450936860676), ('creativity', 0.021041450936860676), ('intelligence', 0.021041450936860676), ('patience', 0.021041450936860676)]",neutral,"['', '', 'welsh hymns', 'memory', '', 'optimism', 'trustworthiness', 'creativity', 'intelligence', 'patience ']"
