Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1371,-1_health_people_amp_care,"[('health', 0.008276846419977158), ('people', 0.005775633089514816), ('amp', 0.005743964056723634), ('care', 0.005297593318474704), ('covid19', 0.005255786323558341), ('covid', 0.004734837483611626), ('get', 0.004611723971913878), ('dont', 0.004515408855010229), ('healthcare', 0.004161140234535719), ('workers', 0.003914573754305329)]",negative,"['health', 'people', 'amp', 'care', 'covid', 'covid', 'get', 'dont', 'healthcare', 'workers ']"
1,0,770,0_health_covid_care_people,"[('health', 0.008723115672449527), ('covid', 0.008061195155003371), ('care', 0.007409042149141467), ('people', 0.006483555864902634), ('nurses', 0.005366812808631138), ('dont', 0.005194548878538571), ('amp', 0.005094179633297483), ('trump', 0.004822089049148737), ('healthcare', 0.004689924754511603), ('workers', 0.004631046378321328)]",negative,"['health', 'covid', 'care', 'people', 'nurses', 'dont', 'amp', 'trump', 'healthcare', 'workers ']"
2,1,327,1_mental_mental health_health_coronavirus,"[('mental', 0.03362641843214655), ('mental health', 0.03145900621690363), ('health', 0.019553658961450077), ('coronavirus', 0.009619348921461796), ('gun', 0.006816797996176713), ('guns', 0.006570006547960905), ('outbreak', 0.006184017958253343), ('pandemic', 0.005862503054731812), ('dont', 0.005459265750417137), ('amp', 0.005336455482856968)]",negative,"['mental', 'mental health', 'health', 'coronavirus', 'gun', 'guns', 'outbreak', 'pandemic', 'dont', 'amp ']"
3,2,230,2_vaccine_vaccines_vaccination_covid19,"[('vaccine', 0.030689666399866485), ('vaccines', 0.01936489725979921), ('vaccination', 0.011111921077666313), ('covid19', 0.00849981946006759), ('vaccinated', 0.008470219706991364), ('covid', 0.008062474425507546), ('health', 0.00750088411136629), ('public', 0.00707111150184773), ('people', 0.006987841351114009), ('many', 0.00620843228693845)]",negative,"['vaccine', 'vaccines', 'vaccination', 'covid', 'vaccinated', 'covid', 'health', 'public', 'people', 'many ']"
4,3,151,3_spain_lockdown_spanish_health,"[('spain', 0.03601267841613403), ('lockdown', 0.014598408803536212), ('spanish', 0.01457352663569479), ('health', 0.008484880695867007), ('im', 0.008370577272504254), ('day', 0.007553201237765553), ('uk', 0.006911251853758626), ('lockdown spain', 0.006754288311970898), ('madrid', 0.0065815926741847434), ('take', 0.006004541390826737)]",negative,"['spain', 'lockdown', 'spanish', 'health', 'im', 'day', 'uk', 'lockdown spain', 'madrid', 'take ']"
5,4,94,4_whatshappeninginmyanmar_military_protest_strike,"[('whatshappeninginmyanmar', 0.054972800520987325), ('military', 0.03136562939603548), ('protest', 0.02780364203974649), ('strike', 0.023649297840774245), ('myanmar', 0.018466369963147794), ('mandalay', 0.017425342566474638), ('young people', 0.017363260157317834), ('dictatorship', 0.017300171037826637), ('young', 0.01722663889135089), ('people', 0.0171390647365222)]",negative,"['whatshappeninginmyanmar', 'military', 'protest', 'strike', 'myanmar', 'mandalay', 'young people', 'dictatorship', 'young', 'people ']"
6,5,73,5_amp_safety_health amp safety_amp safety,"[('amp', 0.03460975672684169), ('safety', 0.032545784382890505), ('health amp safety', 0.02310010852763068), ('amp safety', 0.02211524924519632), ('health amp', 0.020072841452909603), ('health', 0.017005336484952272), ('workers', 0.016970949887125848), ('act', 0.011172875569280795), ('health safety', 0.010263723909782413), ('trade', 0.010206083653146044)]",negative,"['amp', 'safety', 'health amp safety', 'amp safety', 'health amp', 'health', 'workers', 'act', 'health safety', 'trade ']"
7,6,62,6_mask_masks_wearing_wear,"[('mask', 0.053231334606786695), ('masks', 0.04040606323878366), ('wearing', 0.026261176527776445), ('wear', 0.025194433843693905), ('wear mask', 0.018972546697341667), ('wearing mask', 0.013928657392857771), ('face', 0.01379821577988485), ('masking', 0.012649068982069486), ('dangerous', 0.011029020145607983), ('wearing masks', 0.01054089081839124)]",negative,"['mask', 'masks', 'wearing', 'wear', 'wear mask', 'wearing mask', 'face', 'masking', 'dangerous', 'wearing masks ']"
8,7,60,7_tgn_reus_lebre_province,"[('tgn', 0.10006808141889509), ('reus', 0.04740287307467969), ('lebre', 0.0456248499296248), ('province', 0.0452782097259982), ('tgn health', 0.04502634511779691), ('rt', 0.04488532706589182), ('tgn province', 0.043820279226700815), ('new cases', 0.04326133451077328), ('2nd', 0.042349498665604356), ('1st', 0.04230239068772714)]",negative,"['tgn', 'reus', 'lebre', 'province', 'tgn health', 'rt', 'tgn province', 'new cases', 'nd', 'st ']"
9,8,53,8_worldwide_cruise_ship_cruise ship,"[('worldwide', 0.06467506968135553), ('cruise', 0.06140550239059178), ('ship', 0.056792802578760467), ('cruise ship', 0.05438798933779295), ('crew', 0.04887419503319114), ('crew members', 0.04071029390950691), ('industry', 0.04037502858757065), ('cruise ship industry', 0.03919880403805839), ('ship industry', 0.03919880403805839), ('decades', 0.03909136733653869)]",negative,"['worldwide', 'cruise', 'ship', 'cruise ship', 'crew', 'crew members', 'industry', 'cruise ship industry', 'ship industry', 'decades ']"
