Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,228,-1_health_covid19_healthcare_amp,"[('health', 0.021087923297891293), ('covid19', 0.011303240147008483), ('healthcare', 0.009323178065953182), ('amp', 0.00853450730954165), ('care', 0.007084939555343985), ('think', 0.006438096683920794), ('safe', 0.006229751295664119), ('public', 0.0062148412366878104), ('im', 0.006176281583280737), ('dont', 0.006059648632260238)]",neutral,"['health', 'covid', 'healthcare', 'amp', 'care', 'think', 'safe', 'public', 'im', 'dont ']"
1,0,79,0_sweden_health_swedish_healthcare,"[('sweden', 0.03507330040677411), ('health', 0.01852102134404011), ('swedish', 0.01747159654678243), ('healthcare', 0.016981502905843295), ('care', 0.012329932523578165), ('stockholm', 0.01150321065210547), ('would', 0.010895981683629156), ('im', 0.010155939210602998), ('system', 0.010143272045400956), ('health care', 0.009997536420733217)]",neutral,"['sweden', 'health', 'swedish', 'healthcare', 'care', 'stockholm', 'would', 'im', 'system', 'health care ']"
2,1,69,1_nurses_nurse_also_need,"[('nurses', 0.0601969527499454), ('nurse', 0.032497919642040976), ('also', 0.01354881500812891), ('need', 0.012990326312672705), ('im', 0.012644502413460488), ('really', 0.012321307311045334), ('use', 0.011615438096879312), ('instead', 0.01160751863167596), ('like', 0.011289872683125535), ('friends', 0.011224987850868867)]",neutral,"['nurses', 'nurse', 'also', 'need', 'im', 'really', 'use', 'instead', 'like', 'friends ']"
3,2,59,2_health_take_animal_blockchain,"[('health', 0.04184925826656508), ('take', 0.017868283130807537), ('animal', 0.014516211911981528), ('blockchain', 0.012462575669394764), ('though', 0.012159696251719662), ('get', 0.01156610879172829), ('food', 0.011520104107305133), ('dont', 0.011361188543682817), ('take care', 0.01054808832304713), ('hard', 0.010133080209766386)]",neutral,"['health', 'take', 'animal', 'blockchain', 'though', 'get', 'food', 'dont', 'take care', 'hard ']"
4,3,52,3_care_health_hospitals_cases,"[('care', 0.020421787085008334), ('health', 0.015569557216948221), ('hospitals', 0.015140242243922238), ('cases', 0.014329151455558357), ('see', 0.014058955254962965), ('numbers', 0.013649740830916794), ('intensive care', 0.012538007523613563), ('intensive', 0.012538007523613563), ('public health', 0.01217116788894431), ('dont', 0.011485884515503727)]",neutral,"['care', 'health', 'hospitals', 'cases', 'see', 'numbers', 'intensive care', 'intensive', 'public health', 'dont ']"
5,4,40,4_mental_mental health_health_health issues,"[('mental', 0.07685109439030023), ('mental health', 0.07134530580963779), ('health', 0.04579938627456429), ('health issues', 0.0196536281816308), ('issues', 0.018020249841992457), ('mental health issues', 0.015759350338211152), ('long', 0.013540208457250465), ('talk', 0.011909489205128682), ('problems', 0.011381553575372419), ('take', 0.011110716108190406)]",neutral,"['mental', 'mental health', 'health', 'health issues', 'issues', 'mental health issues', 'long', 'talk', 'problems', 'take ']"
6,5,28,5_mask_masks_wear_make,"[('mask', 0.05942470017542178), ('masks', 0.03256746823019021), ('wear', 0.03256746823019021), ('make', 0.01997690137291446), ('going', 0.01712305831964097), ('many', 0.016978485764406224), ('wear mask', 0.015391396990582137), ('tegnell', 0.015391396990582137), ('us', 0.01530455576750639), ('healthcare', 0.014167063876755672)]",neutral,"['mask', 'masks', 'wear', 'make', 'going', 'many', 'wear mask', 'tegnell', 'us', 'healthcare ']"
7,6,27,6_vaccine_line_vaccination_first,"[('vaccine', 0.06721935248088648), ('line', 0.025858063806245276), ('vaccination', 0.025412501613760498), ('first', 0.024632014703679074), ('medical', 0.02419454634809038), ('covid19', 0.021651276901312022), ('wont', 0.020838250137861027), ('first line', 0.020098974234136206), ('forearmed healthcare worker', 0.020098974234136206), ('headline photo', 0.020098974234136206)]",neutral,"['vaccine', 'line', 'vaccination', 'first', 'medical', 'covid', 'wont', 'first line', 'forearmed healthcare worker', 'headline photo ']"
8,7,26,7_covid_situation_icu_individuals,"[('covid', 0.032667719846676206), ('situation', 0.03246501833389888), ('icu', 0.0305072785073405), ('individuals', 0.027681641463640452), ('people', 0.02665746305332415), ('sweden', 0.02661689200830288), ('hospital', 0.025740446341628094), ('covid hospital', 0.024955254178570675), ('covid19', 0.024754277938698124), ('far', 0.022609257565729665)]",neutral,"['covid', 'situation', 'icu', 'individuals', 'people', 'sweden', 'hospital', 'covid hospital', 'covid', 'far ']"
9,8,24,8_covid19_coronavirus_strategy_stockholm,"[('covid19', 0.06081391621950937), ('coronavirus', 0.04041794425339429), ('strategy', 0.034593093177254786), ('stockholm', 0.032360680515813194), ('europe', 0.027758270993492234), ('recent developments relation', 0.026448219066005908), ('relation swedens', 0.026448219066005908), ('relation swedens controversial', 0.026448219066005908), ('respone', 0.026448219066005908), ('controversial covid19 national', 0.026448219066005908)]",neutral,"['covid', 'coronavirus', 'strategy', 'stockholm', 'europe', 'recent developments relation', 'relation swedens', 'relation swedens controversial', 'respone', 'controversial covid national ']"
