Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,743,-1_health_covid19_care_people,"[('health', 0.012111210635252438), ('covid19', 0.008874612248176037), ('care', 0.006362589212028016), ('people', 0.005900322544934552), ('public', 0.005323465923519889), ('healthcare', 0.005185089258126888), ('dont', 0.005099261907266221), ('workers', 0.004578473154346864), ('hospital', 0.004571767499553412), ('covid', 0.004554348307893879)]",negative,"['health', 'covid', 'care', 'people', 'public', 'healthcare', 'dont', 'workers', 'hospital', 'covid ']"
1,0,859,0_health_sweden_covid19_healthcare,"[('health', 0.011859775683979844), ('sweden', 0.010141537274392556), ('covid19', 0.010068183777593095), ('healthcare', 0.00839966431416979), ('covid', 0.007771482943725996), ('care', 0.0074653383745316776), ('people', 0.007189220136414525), ('one', 0.006392885016877389), ('nurses', 0.005858878184502366), ('get', 0.00572948986537631)]",negative,"['health', 'sweden', 'covid', 'healthcare', 'covid', 'care', 'people', 'one', 'nurses', 'get ']"
2,1,193,1_mental_mental health_health_im,"[('mental', 0.032029840011975605), ('mental health', 0.03048729417663604), ('health', 0.028018075274816354), ('im', 0.00931848249316941), ('people', 0.009281868395168412), ('well', 0.007163117511726831), ('dont', 0.006860673254443113), ('take', 0.006845942911002615), ('time', 0.00660050406082632), ('bad', 0.006293278813346942)]",negative,"['mental', 'mental health', 'health', 'im', 'people', 'well', 'dont', 'take', 'time', 'bad ']"
3,2,74,2_mask_wearing_masks_wear,"[('mask', 0.05233970572776663), ('wearing', 0.02811097154985213), ('masks', 0.025183637489271393), ('wear', 0.021404058505570926), ('people', 0.01624626577559739), ('wearing mask', 0.014813059317206907), ('wear mask', 0.012675611124721872), ('would', 0.012034440649563449), ('care', 0.009927487566596766), ('health', 0.009444870866795744)]",negative,"['mask', 'wearing', 'masks', 'wear', 'people', 'wearing mask', 'wear mask', 'would', 'care', 'health ']"
4,3,57,3_schools_children_child_kids,"[('schools', 0.048951947515543916), ('children', 0.03289771535717001), ('child', 0.017846199415584133), ('kids', 0.017449941174273363), ('school', 0.016589850017289572), ('open', 0.0163610900702797), ('sweden', 0.015132091990738993), ('homeschooling', 0.015086694228704595), ('health', 0.013591699157066709), ('schools open', 0.01341039486995964)]",negative,"['schools', 'children', 'child', 'kids', 'school', 'open', 'sweden', 'homeschooling', 'health', 'schools open ']"
5,4,41,4_vaccine_stop_dont_world,"[('vaccine', 0.04495926372767361), ('stop', 0.028687681897621883), ('dont', 0.021119500835775063), ('world', 0.019831834301933714), ('reopen', 0.01929033316217194), ('stopplandemic', 0.019041033108377164), ('strong', 0.018406311390464555), ('polishveto', 0.01816282460808223), ('want', 0.016329031993305664), ('covid19 reopen', 0.015982226298120204)]",negative,"['vaccine', 'stop', 'dont', 'world', 'reopen', 'stopplandemic', 'strong', 'polishveto', 'want', 'covid reopen ']"
6,5,37,5_quarantine_weeks_quarantine surprised closest_screens asking everyone,"[('quarantine', 0.06747361764497085), ('weeks', 0.03225123056316594), ('quarantine surprised closest', 0.025251821607756134), ('screens asking everyone', 0.025251821607756134), ('weeks multiple', 0.025251821607756134), ('things normal brief', 0.025251821607756134), ('things normal', 0.025251821607756134), ('closest inner circle', 0.025251821607756134), ('weeks multiple health', 0.025251821607756134), ('closest', 0.025251821607756134)]",negative,"['quarantine', 'weeks', 'quarantine surprised closest', 'screens asking everyone', 'weeks multiple', 'things normal brief', 'things normal', 'closest inner circle', 'weeks multiple health', 'closest ']"
7,6,36,6_polishveto_poland_stoplockdown_reopen,"[('polishveto', 0.06620402677320267), ('poland', 0.045856844622356105), ('stoplockdown', 0.04222856714891876), ('reopen', 0.03974259867270862), ('covid19', 0.03833461954623033), ('goverment', 0.033169788165740476), ('covid19 stoplockdown', 0.02828374913894535), ('stoplockdown polishveto', 0.025567976534962525), ('covid19 stoplockdown polishveto', 0.02232792647422648), ('stopplandemic', 0.02036889462777715)]",negative,"['polishveto', 'poland', 'stoplockdown', 'reopen', 'covid', 'goverment', 'covid stoplockdown', 'stoplockdown polishveto', 'covid stoplockdown polishveto', 'stopplandemic ']"
8,7,34,7_mask_wear_wear mask_masks,"[('mask', 0.04780318642235289), ('wear', 0.02749731422361962), ('wear mask', 0.023315832522726954), ('masks', 0.019598363862785108), ('virus', 0.01954565880739073), ('pollen', 0.019305399640035546), ('sanddust', 0.019305399640035546), ('covid19', 0.017391378969192), ('sick', 0.015286940816297988), ('corona', 0.014995091047380855)]",negative,"['mask', 'wear', 'wear mask', 'masks', 'virus', 'pollen', 'sanddust', 'covid', 'sick', 'corona ']"
9,8,29,8_coronavirus_global health emergency_global health_declared,"[('coronavirus', 0.046223177230459704), ('global health emergency', 0.03865426906699801), ('global health', 0.034087314716281736), ('declared', 0.034087314716281736), ('health emergency', 0.03200174712283275), ('global', 0.028210643590559737), ('emergency', 0.025146501058206497), ('china', 0.02177812156639474), ('health', 0.02050829503790658), ('south', 0.02019957532571677)]",negative,"['coronavirus', 'global health emergency', 'global health', 'declared', 'health emergency', 'global', 'emergency', 'china', 'health', 'south ']"
