Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,570,-1_health_healthcare_care_people,"[('health', 0.013763109936701212), ('healthcare', 0.00889139609388226), ('care', 0.006926070236510118), ('people', 0.00688912171400603), ('sweden', 0.006782752148454963), ('covid19', 0.006077548270021593), ('safe', 0.0059056836840568885), ('home', 0.005446356207899357), ('new', 0.004996992630505074), ('public', 0.004573571391882332)]",positive,"['health', 'healthcare', 'care', 'people', 'sweden', 'covid', 'safe', 'home', 'new', 'public ']"
1,0,316,0_health_healthcare_sweden_ai,"[('health', 0.019302917755619865), ('healthcare', 0.012634978593184356), ('sweden', 0.010940242117361764), ('ai', 0.008208335772218653), ('public', 0.007885698065682564), ('care', 0.007709294883716503), ('data', 0.007376250936575929), ('swedish', 0.007328237166084337), ('public health', 0.0069883636147434515), ('stockholm', 0.00655396087281436)]",positive,"['health', 'healthcare', 'sweden', 'ai', 'public', 'care', 'data', 'swedish', 'public health', 'stockholm ']"
2,1,199,1_covid19_pandemic_health_crisis,"[('covid19', 0.03535547252147008), ('pandemic', 0.012965158617986645), ('health', 0.010071919721407545), ('crisis', 0.009403899536392455), ('covid19 pandemic', 0.00838122061426925), ('global', 0.00836301563944497), ('deaths', 0.008140827432392455), ('workers', 0.0076750931269585565), ('coronavirus', 0.007245235698286655), ('test', 0.007143106377030648)]",positive,"['covid', 'pandemic', 'health', 'crisis', 'covid pandemic', 'global', 'deaths', 'workers', 'coronavirus', 'test ']"
3,2,125,2_vaccine_vaccination_covid19_vaccines,"[('vaccine', 0.02856870029475755), ('vaccination', 0.01943719474948094), ('covid19', 0.01808017398570184), ('vaccines', 0.015400473564635036), ('first', 0.011313482419091997), ('get', 0.011235212885908837), ('health', 0.00987490415318833), ('care', 0.009740286657145344), ('vaccinated', 0.009641614078990652), ('delta', 0.009313010266346542)]",positive,"['vaccine', 'vaccination', 'covid', 'vaccines', 'first', 'get', 'health', 'care', 'vaccinated', 'delta ']"
4,3,123,3_mental_mental health_health_im,"[('mental', 0.05224589030388745), ('mental health', 0.04925782306555171), ('health', 0.02724340457120598), ('im', 0.010101591677548977), ('time', 0.008932961922781167), ('help', 0.008218708723251493), ('people', 0.008185601501792041), ('taking', 0.0076580866873148514), ('work', 0.007144407749775462), ('good', 0.006801962436257827)]",positive,"['mental', 'mental health', 'health', 'im', 'time', 'help', 'people', 'taking', 'work', 'good ']"
5,4,119,4_nurses_nurse_friends_im,"[('nurses', 0.057836788696328814), ('nurse', 0.048638910800933466), ('friends', 0.016707581980027142), ('im', 0.01278552164144721), ('friends nurses', 0.009981555058789624), ('thank', 0.009645536840354185), ('cats', 0.008555618621819678), ('needed', 0.008547702309521486), ('like', 0.008477467847631412), ('always', 0.007614149170955562)]",positive,"['nurses', 'nurse', 'friends', 'im', 'friends nurses', 'thank', 'cats', 'needed', 'like', 'always ']"
6,5,74,5_amp_safe_take_stay,"[('amp', 0.04292013327990206), ('safe', 0.020797511990203316), ('take', 0.02031891044035457), ('stay', 0.01995375905179611), ('take care', 0.018750846115334407), ('stay safe', 0.014589121869690141), ('care', 0.013584813420936634), ('amp stay', 0.01296572578032059), ('amp stay safe', 0.01173384808175629), ('lovely', 0.011018097336659703)]",positive,"['amp', 'safe', 'take', 'stay', 'take care', 'stay safe', 'care', 'amp stay', 'amp stay safe', 'lovely ']"
7,6,54,6_year_happy_happiness_new,"[('year', 0.037748054925926276), ('happy', 0.033184345247793415), ('happiness', 0.028899976691387233), ('new', 0.026181582230340335), ('new year', 0.02580589357197425), ('happy new', 0.024501082931729874), ('happy new year', 0.02124854479216397), ('good', 0.021113802502487938), ('health', 0.020589879096832887), ('may', 0.020556642566304288)]",positive,"['year', 'happy', 'happiness', 'new', 'new year', 'happy new', 'happy new year', 'good', 'health', 'may ']"
8,7,54,7_safe_stay_stay safe_healthy,"[('safe', 0.09767742012927808), ('stay', 0.07326041460167933), ('stay safe', 0.07214991726534556), ('healthy', 0.05603682358709458), ('safe healthy', 0.04995844449407898), ('stay safe healthy', 0.04296178760508281), ('take care', 0.04239156921627152), ('take', 0.04204967550673523), ('care', 0.03517954041553874), ('care stay', 0.03245829268137554)]",positive,"['safe', 'stay', 'stay safe', 'healthy', 'safe healthy', 'stay safe healthy', 'take care', 'take', 'care', 'care stay ']"
9,8,39,8_health_women_womens_sexual,"[('health', 0.024535569384139214), ('women', 0.021151100558765207), ('womens', 0.02074339655845527), ('sexual', 0.01990797589568865), ('birx', 0.017239385797815646), ('sexual health', 0.015846998175947386), ('sexuality', 0.014780586499739172), ('menstrual', 0.014780586499739172), ('vaccineswork', 0.014015864295080279), ('amp', 0.013336764578500642)]",positive,"['health', 'women', 'womens', 'sexual', 'birx', 'sexual health', 'sexuality', 'menstrual', 'vaccineswork', 'amp ']"
10,9,34,9_mask_masks_wear_wearing,"[('mask', 0.05288833567222086), ('masks', 0.03373421601888913), ('wear', 0.026157515158998244), ('wearing', 0.022480625319367224), ('wear masks', 0.017972407504666235), ('time', 0.015202357956626753), ('wore', 0.014871481466117033), ('wore mask', 0.014871481466117033), ('people', 0.014749919610567425), ('really', 0.014456238032508555)]",positive,"['mask', 'masks', 'wear', 'wearing', 'wear masks', 'time', 'wore', 'wore mask', 'people', 'really ']"
11,10,32,10_free_gt_salary_year,"[('free', 0.02222307121118499), ('gt', 0.019145587380956067), ('salary', 0.016903685516570364), ('year', 0.014547705050379967), ('list', 0.014320990944189491), ('worker', 0.013758486074934007), ('one year', 0.012159540935109646), ('years', 0.011778875085023894), ('ive', 0.011706238173300656), ('game', 0.011456792755351592)]",positive,"['free', 'gt', 'salary', 'year', 'list', 'worker', 'one year', 'years', 'ive', 'game ']"
12,11,28,11_health_good_good health_spurs,"[('health', 0.08038577320002369), ('good', 0.050726919133365925), ('good health', 0.048656748953315454), ('spurs', 0.044597787276186324), ('health health', 0.03920871081782967), ('hair', 0.03145228987845716), ('got health', 0.03145228987845716), ('health right', 0.03145228987845716), ('health health right', 0.03145228987845716), ('got health benefits', 0.03145228987845716)]",positive,"['health', 'good', 'good health', 'spurs', 'health health', 'hair', 'got health', 'health right', 'health health right', 'got health benefits ']"
13,12,25,12_outlander_lille_safe_dear lille,"[('outlander', 0.08803818510929752), ('lille', 0.05985553490605515), ('safe', 0.058535452202927184), ('dear lille', 0.04972168578058499), ('dear', 0.04928603417132655), ('christmas', 0.04104041527616954), ('safe outlander', 0.03906882478018902), ('stay safe', 0.037884290923227884), ('outlander happy', 0.03349656135544605), ('stay', 0.03316154135914598)]",positive,"['outlander', 'lille', 'safe', 'dear lille', 'dear', 'christmas', 'safe outlander', 'stay safe', 'outlander happy', 'stay ']"
14,13,24,13_tribute_birthday_birthdayboy tribute_birthdayboy,"[('tribute', 0.09207678995975431), ('birthday', 0.08485647178462515), ('birthdayboy tribute', 0.07649829505600608), ('birthdayboy', 0.07649829505600608), ('heavenly birthday', 0.06952648848484866), ('blackandwhitephoto', 0.06952648848484866), ('classicmovies', 0.06952648848484866), ('happy heavenly birthday', 0.06952648848484866), ('heavenly', 0.06952648848484866), ('happy heavenly', 0.06952648848484866)]",positive,"['tribute', 'birthday', 'birthdayboy tribute', 'birthdayboy', 'heavenly birthday', 'blackandwhitephoto', 'classicmovies', 'happy heavenly birthday', 'heavenly', 'happy heavenly ']"
15,14,23,14_safety_road_health safety_road safety,"[('safety', 0.05957095686591779), ('road', 0.04635510661382075), ('health safety', 0.033164939646224155), ('road safety', 0.03071740318562504), ('safe mobility', 0.025188084638724656), ('mobility', 0.0240420726154625), ('hand', 0.022109959764149433), ('safe', 0.02156481444145478), ('preevent', 0.020963630545991777), ('vidaurgentepelomundo', 0.020963630545991777)]",positive,"['safety', 'road', 'health safety', 'road safety', 'safe mobility', 'mobility', 'hand', 'safe', 'preevent', 'vidaurgentepelomundo ']"
16,15,23,15_patients_pharmacovigilance_treatments_handrub,"[('patients', 0.03922768180416277), ('pharmacovigilance', 0.027671072424064126), ('treatments', 0.025170754676657518), ('handrub', 0.02289675663069681), ('pharmacists zambia', 0.02289675663069681), ('patients great', 0.02289675663069681), ('zambia', 0.02289675663069681), ('pharmacists', 0.02289675663069681), ('medicines', 0.020991534862401563), ('great', 0.020640164648760808)]",positive,"['patients', 'pharmacovigilance', 'treatments', 'handrub', 'pharmacists zambia', 'patients great', 'zambia', 'pharmacists', 'medicines', 'great ']"
17,16,21,16_global health_global_health_world,"[('global health', 0.07292213945411266), ('global', 0.06460329545398998), ('health', 0.0401463939607984), ('world', 0.03135191372080179), ('issues', 0.03062808048798364), ('global health issues', 0.026322754144215234), ('iran', 0.02524238301485654), ('interested', 0.02524238301485654), ('health issues', 0.021447345345272546), ('world health', 0.021447345345272546)]",positive,"['global health', 'global', 'health', 'world', 'issues', 'global health issues', 'iran', 'interested', 'health issues', 'world health ']"
18,17,20,17_thankful_god_good_hug,"[('thankful', 0.03792493545384376), ('god', 0.03198782751314666), ('good', 0.028362273162173966), ('hug', 0.024659576792727234), ('love', 0.024109173304039035), ('incredibly', 0.017976111686611188), ('family', 0.017093294094321997), ('health', 0.016595090588302063), ('perfect', 0.016524220320218646), ('got', 0.01581758121170333)]",positive,"['thankful', 'god', 'good', 'hug', 'love', 'incredibly', 'family', 'health', 'perfect', 'got ']"
19,18,19,18_stockholm_covid19_stockholm sweden_coronavirus,"[('stockholm', 0.07675456847846257), ('covid19', 0.07464140220033394), ('stockholm sweden', 0.053954102051679796), ('coronavirus', 0.05300335637974537), ('variants coronavirus', 0.041785531139076335), ('variants', 0.04076667283708118), ('covid19 covid19', 0.040289664964191584), ('coronavairus reflection', 0.035825792443076404), ('coronavairus', 0.035825792443076404), ('reflection mask', 0.035825792443076404)]",positive,"['stockholm', 'covid', 'stockholm sweden', 'coronavirus', 'variants coronavirus', 'variants', 'covid covid', 'coronavairus reflection', 'coronavairus', 'reflection mask ']"
20,19,19,19_fitness_training_hoist_activio,"[('fitness', 0.06248628099090228), ('training', 0.042864704694543995), ('hoist', 0.035952223373222375), ('activio', 0.035952223373222375), ('fit', 0.033647060097685776), ('workout', 0.03082447099090904), ('track', 0.029229665709398184), ('gym', 0.028597052185058675), ('training performance', 0.025506073625648017), ('trainwithpower activio fitness', 0.025506073625648017)]",positive,"['fitness', 'training', 'hoist', 'activio', 'fit', 'workout', 'track', 'gym', 'training performance', 'trainwithpower activio fitness ']"
21,20,16,20_radon_radonova_continue_communication,"[('radon', 0.1204872031830049), ('radonova', 0.042098791119879665), ('continue', 0.03804079101853844), ('communication', 0.03483514335642978), ('health', 0.03021985367830881), ('video', 0.027661803297960214), ('care lungs health', 0.027244562655102153), ('detectors always continue', 0.027244562655102153), ('production units works', 0.027244562655102153), ('contact us time', 0.027244562655102153)]",positive,"['radon', 'radonova', 'continue', 'communication', 'health', 'video', 'care lungs health', 'detectors always continue', 'production units works', 'contact us time ']"
22,21,16,21_coronavirus_workers_work_problem,"[('coronavirus', 0.05046347297188872), ('workers', 0.02539229068334957), ('work', 0.02499810703430656), ('problem', 0.02239647288264973), ('need learn live', 0.020237743897203994), ('problem career via', 0.020237743897203994), ('largescale wastewater surveillance', 0.020237743897203994), ('oct 11th due', 0.020237743897203994), ('public health impact', 0.020237743897203994), ('quick fixes', 0.020237743897203994)]",positive,"['coronavirus', 'workers', 'work', 'problem', 'need learn live', 'problem career via', 'largescale wastewater surveillance', 'oct th due', 'public health impact', 'quick fixes ']"
23,22,16,22_innovation_pregnancy_position_things pregnancy,"[('innovation', 0.038455395861616795), ('pregnancy', 0.03740707571536246), ('position', 0.03186215113043094), ('things pregnancy', 0.027803204480131846), ('instagram live', 0.027803204480131846), ('covid19 mentalhealth', 0.027803204480131846), ('handle potential', 0.027803204480131846), ('children amp', 0.027803204480131846), ('interview today 1pmet6pmuk', 0.027803204480131846), ('much looking', 0.027803204480131846)]",positive,"['innovation', 'pregnancy', 'position', 'things pregnancy', 'instagram live', 'covid mentalhealth', 'handle potential', 'children amp', 'interview today pmetpmuk', 'much looking ']"
24,23,15,23_swede_insurance_healthcare_right selfevident,"[('swede', 0.08300916994744374), ('insurance', 0.07951340372623263), ('healthcare', 0.07696105849759627), ('right selfevident', 0.07671959434387227), ('good depend', 0.07671959434387227), ('get medical', 0.07671959434387227), ('entitled healthcareforall', 0.07671959434387227), ('insurance company allowed', 0.07671959434387227), ('entitled', 0.07671959434387227), ('good depend rich', 0.07671959434387227)]",positive,"['swede', 'insurance', 'healthcare', 'right selfevident', 'good depend', 'get medical', 'entitled healthcareforall', 'insurance company allowed', 'entitled', 'good depend rich ']"
25,24,15,24_experience_icus_truth_tweet,"[('experience', 0.03762719412846639), ('icus', 0.036641473799995584), ('truth', 0.03514916099490389), ('tweet', 0.03514916099490389), ('icus healthcare workers', 0.026644737626793015), ('explode', 0.026644737626793015), ('experience stay', 0.026644737626793015), ('experience physician hospital', 0.026644737626793015), ('icus healthcare', 0.026644737626793015), ('experience stay tuned', 0.026644737626793015)]",positive,"['experience', 'icus', 'truth', 'tweet', 'icus healthcare workers', 'explode', 'experience stay', 'experience physician hospital', 'icus healthcare', 'experience stay tuned ']"
26,25,14,25_nobel_medicine_symposium_nobel symposium,"[('nobel', 0.06746843203777826), ('medicine', 0.04628062176368997), ('symposium', 0.04192435350166463), ('nobel symposium', 0.04192435350166463), ('swedish', 0.03336660809341722), ('prize', 0.032115179027667466), ('covid19', 0.028989437528025956), ('science', 0.027525029348427668), ('ethics', 0.02726807352557811), ('published', 0.026677914463669353)]",positive,"['nobel', 'medicine', 'symposium', 'nobel symposium', 'swedish', 'prize', 'covid', 'science', 'ethics', 'published ']"
27,26,14,26_fever_quarantine_nurses_well fucked,"[('fever', 0.07511446669048245), ('quarantine', 0.06735169824581239), ('nurses', 0.05504440405688966), ('well fucked', 0.05328947525358603), ('hard tell', 0.05328947525358603), ('phone fever well', 0.05328947525358603), ('well fucked nature', 0.05328947525358603), ('tell nurses', 0.05328947525358603), ('tell nurses quarantine', 0.05328947525358603), ('fever well', 0.05328947525358603)]",positive,"['fever', 'quarantine', 'nurses', 'well fucked', 'hard tell', 'phone fever well', 'well fucked nature', 'tell nurses', 'tell nurses quarantine', 'fever well ']"
28,27,14,27_sustainable_planet_sciencebased_sustainable health sciencebased,"[('sustainable', 0.1024853371502477), ('planet', 0.06346045762144772), ('sciencebased', 0.061645741328747936), ('sustainable health sciencebased', 0.061645741328747936), ('transformative change', 0.061645741328747936), ('planet sustainable', 0.061645741328747936), ('health sciencebased solutions', 0.061645741328747936), ('health sciencebased', 0.061645741328747936), ('sustainable planet sustainable', 0.061645741328747936), ('sustainable planet', 0.061645741328747936)]",positive,"['sustainable', 'planet', 'sciencebased', 'sustainable health sciencebased', 'transformative change', 'planet sustainable', 'health sciencebased solutions', 'health sciencebased', 'sustainable planet sustainable', 'sustainable planet ']"
29,28,13,28_herbs_herbalmedicine_herbal_herbalism,"[('herbs', 0.09174697731033256), ('herbalmedicine', 0.08479534111691145), ('herbal', 0.08479534111691145), ('herbalism', 0.08479534111691145), ('herbalist', 0.07043905485582873), ('plantmedicine', 0.07043905485582873), ('holistichealth', 0.06783627289352917), ('herbalist herbalism herbalmedicine', 0.05534750177193444), ('herbal holistichealth', 0.05534750177193444), ('herbalist herbalism', 0.05534750177193444)]",positive,"['herbs', 'herbalmedicine', 'herbal', 'herbalism', 'herbalist', 'plantmedicine', 'holistichealth', 'herbalist herbalism herbalmedicine', 'herbal holistichealth', 'herbalist herbalism ']"
30,29,12,29_road_road users_bike_safety,"[('road', 0.044877117707293135), ('road users', 0.03892448627218458), ('bike', 0.03892448627218458), ('safety', 0.037074595515310324), ('users', 0.03657747943188711), ('session', 0.0325697687101321), ('benefits', 0.02593299523749156), ('place health', 0.021469606569207718), ('cycling walking including', 0.021469606569207718), ('infrastructures road users', 0.021469606569207718)]",positive,"['road', 'road users', 'bike', 'safety', 'users', 'session', 'benefits', 'place health', 'cycling walking including', 'infrastructures road users ']"
