Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,332,-1_health_care_covid_amp,"[('health', 0.0185567165501555), ('care', 0.008161404099399756), ('covid', 0.008111138123000648), ('amp', 0.0072922175368377385), ('people', 0.007218983522087657), ('covid19', 0.007115410180705767), ('work', 0.006022286169003703), ('think', 0.005378661453068207), ('dont', 0.005369284881276908), ('better', 0.0050573189384802535)]",neutral,"['health', 'care', 'covid', 'amp', 'people', 'covid', 'work', 'think', 'dont', 'better ']"
1,0,71,0_health_good_care_take,"[('health', 0.03434020079220626), ('good', 0.01779305424740445), ('care', 0.016472531857724872), ('take', 0.014635101358200253), ('hair', 0.012883945480406249), ('workers', 0.012316020634877287), ('well', 0.011565892349090483), ('one', 0.011197011627525622), ('hope', 0.010493530475720218), ('keep', 0.010392657812285098)]",neutral,"['health', 'good', 'care', 'take', 'hair', 'workers', 'well', 'one', 'hope', 'keep ']"
2,1,70,1_nurses_pay_teachers_nurse,"[('nurses', 0.054858744051417344), ('pay', 0.024227346250227755), ('teachers', 0.022241407816891705), ('nurse', 0.018648749670979587), ('workers', 0.017739929618523657), ('strike', 0.016950892135439134), ('nhs', 0.01562095877665877), ('others', 0.01542527779155283), ('wages', 0.015067459675945898), ('could', 0.012964528743791911)]",neutral,"['nurses', 'pay', 'teachers', 'nurse', 'workers', 'strike', 'nhs', 'others', 'wages', 'could ']"
3,2,62,2_mental_mental health_health_issues,"[('mental', 0.06862019040630915), ('mental health', 0.06602140763350589), ('health', 0.03567769644136717), ('issues', 0.014638470948090124), ('time', 0.0113805248821018), ('health issues', 0.010565990675957376), ('mental health issues', 0.010358024282394112), ('would', 0.009562858421429251), ('needs', 0.00952236918241055), ('lock', 0.009071836004817486)]",neutral,"['mental', 'mental health', 'health', 'issues', 'time', 'health issues', 'mental health issues', 'would', 'needs', 'lock ']"
4,3,53,3_covid19_covid_coronavirus_people,"[('covid19', 0.029582950823921948), ('covid', 0.026945322388842747), ('coronavirus', 0.020774804717049365), ('people', 0.0167218440283652), ('health', 0.014123393122868004), ('care', 0.013514949244284844), ('take', 0.012757886559803653), ('take care', 0.012449120769664625), ('cells', 0.011305967448856149), ('symptoms', 0.010051111958252062)]",neutral,"['covid', 'covid', 'coronavirus', 'people', 'health', 'care', 'take', 'take care', 'cells', 'symptoms ']"
5,4,46,4_mask_wearing_masks_safety,"[('mask', 0.04792359415296498), ('wearing', 0.023090206692180586), ('masks', 0.02189308695299184), ('safety', 0.016347196369515465), ('people', 0.015886833446871154), ('thats enough', 0.015641397621665252), ('long thats', 0.015641397621665252), ('long thats enough', 0.015641397621665252), ('face', 0.01489911351706455), ('dont', 0.014770246804251853)]",neutral,"['mask', 'wearing', 'masks', 'safety', 'people', 'thats enough', 'long thats', 'long thats enough', 'face', 'dont ']"
6,5,42,5_health_packaging_amp_healthcare,"[('health', 0.033427405075523525), ('packaging', 0.016294879193459892), ('amp', 0.015699049876985435), ('healthcare', 0.013527078598253113), ('human', 0.013499405877099184), ('pandemic', 0.012690982270143725), ('countries', 0.012363687005983833), ('glass', 0.011590431984591615), ('primary healthcare', 0.010586961746317649), ('global', 0.010575818558453106)]",neutral,"['health', 'packaging', 'amp', 'healthcare', 'human', 'pandemic', 'countries', 'glass', 'primary healthcare', 'global ']"
7,6,34,6_vaccine_vaccines_vaccination_vaers,"[('vaccine', 0.04524572614380694), ('vaccines', 0.025198545399941267), ('vaccination', 0.020095588380430678), ('vaers', 0.018459237193201892), ('reports', 0.017224790040369153), ('covid19', 0.014926066547007214), ('nigeria', 0.013129924477201493), ('worth', 0.012896974664586103), ('riskbenefit worth', 0.012306158128801262), ('need', 0.01186336721943066)]",neutral,"['vaccine', 'vaccines', 'vaccination', 'vaers', 'reports', 'covid', 'nigeria', 'worth', 'riskbenefit worth', 'need ']"
8,7,30,7_italy_dont_care_italian,"[('italy', 0.05132130030982492), ('dont', 0.020351873047569847), ('care', 0.020272423866427264), ('italian', 0.017107865045589567), ('health', 0.015072395822823563), ('people', 0.012769408167115243), ('still', 0.012221040935313473), ('health care', 0.012085147276730922), ('italys', 0.012009558454640742), ('would', 0.011542640417003985)]",neutral,"['italy', 'dont', 'care', 'italian', 'health', 'people', 'still', 'health care', 'italys', 'would ']"
9,8,30,8_new research_obesity_new_research,"[('new research', 0.0341556472642569), ('obesity', 0.033164869510745196), ('new', 0.032814634834151535), ('research', 0.03206646848359617), ('health', 0.027614054914585195), ('mental health', 0.02306693898153449), ('mental', 0.02234949857026377), ('background', 0.021104916961383304), ('influence', 0.016586836181941924), ('older', 0.014850703836010825)]",neutral,"['new research', 'obesity', 'new', 'research', 'health', 'mental health', 'mental', 'background', 'influence', 'older ']"
