Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1092,-1_health_covid_people_covid19,"[('health', 0.010504524924550757), ('covid', 0.00715389085014612), ('people', 0.006058845204947764), ('covid19', 0.006031045924929926), ('amp', 0.0050562619562859075), ('care', 0.004648476591420915), ('vaccine', 0.003946791483407865), ('workers', 0.003933454525878753), ('dont', 0.0038055122310315845), ('public', 0.0037625926691745894)]",negative,"['health', 'covid', 'people', 'covid', 'amp', 'care', 'vaccine', 'workers', 'dont', 'public ']"
1,0,915,0_health_mental_mental health_covid19,"[('health', 0.01470417437993912), ('mental', 0.01076811725894692), ('mental health', 0.010524423208671536), ('covid19', 0.00653639207125985), ('public', 0.0061522889376446985), ('covid', 0.006079726128252961), ('people', 0.005679423417835588), ('public health', 0.005570980322601857), ('vaccine', 0.0052357665608023865), ('like', 0.004966489830570786)]",negative,"['health', 'mental', 'mental health', 'covid', 'public', 'covid', 'people', 'public health', 'vaccine', 'like ']"
2,1,166,1_workers_nurses_teachers_brexit,"[('workers', 0.02486803531831826), ('nurses', 0.019779847522387924), ('teachers', 0.0174107528917065), ('brexit', 0.014026955226755016), ('strike', 0.013509609522580688), ('nurses teachers', 0.010788379785193423), ('pay', 0.008120940333713836), ('worker', 0.008070393934708668), ('staff', 0.007767786333253094), ('rail', 0.0075303879686636765)]",negative,"['workers', 'nurses', 'teachers', 'brexit', 'strike', 'nurses teachers', 'pay', 'worker', 'staff', 'rail ']"
3,2,100,2_mask_wear_masks_wearing,"[('mask', 0.04926142553347062), ('wear', 0.023985427314616708), ('masks', 0.021671363391441403), ('wearing', 0.017918858549892), ('wear mask', 0.01773774104389934), ('dont', 0.012738275830023668), ('wearing mask', 0.010259806127543077), ('people', 0.008078372640131686), ('public', 0.007891729172842619), ('without mask', 0.007697014927904431)]",negative,"['mask', 'wear', 'masks', 'wearing', 'wear mask', 'dont', 'wearing mask', 'people', 'public', 'without mask ']"
4,3,75,3_ukraine_russia_putin_amp,"[('ukraine', 0.025633566781614485), ('russia', 0.014928221675960132), ('putin', 0.013779896931655506), ('amp', 0.012688949082481728), ('attacks', 0.012071366113353361), ('war', 0.011542313449873052), ('health', 0.010304836290910925), ('wha75', 0.009423792714238042), ('attacks health', 0.009247974039243484), ('need', 0.008431742973871309)]",negative,"['ukraine', 'russia', 'putin', 'amp', 'attacks', 'war', 'health', 'wha', 'attacks health', 'need ']"
5,4,63,4_italy_milan_one_health,"[('italy', 0.046872024055031894), ('milan', 0.016844262389540895), ('one', 0.010843405104964286), ('health', 0.010443330047880115), ('italian', 0.00988551948705254), ('covid', 0.00929162539875583), ('virus', 0.008975570033071385), ('italian health', 0.008864559482253112), ('im', 0.008796245086344537), ('italys', 0.008415910440932428)]",negative,"['italy', 'milan', 'one', 'health', 'italian', 'covid', 'virus', 'italian health', 'im', 'italys ']"
6,5,39,5_amp_youtube_get_back,"[('amp', 0.05276346267707342), ('youtube', 0.016331880962722874), ('get', 0.013430446641546386), ('back', 0.01018196075007551), ('pharmaceutical', 0.009848546964237434), ('blocked', 0.009410471639848643), ('thinking', 0.009131450929234279), ('amp health', 0.008264142803083263), ('qampa dr', 0.008178585417677858), ('amp ask questions', 0.008178585417677858)]",negative,"['amp', 'youtube', 'get', 'back', 'pharmaceutical', 'blocked', 'thinking', 'amp health', 'qampa dr', 'amp ask questions ']"
7,6,39,6_nurse_nurses_doctors nurses_rectal supository,"[('nurse', 0.05633432993078539), ('nurses', 0.04471234006655686), ('doctors nurses', 0.028050535367849874), ('rectal supository', 0.026083727414374296), ('supository', 0.026083727414374296), ('rectal', 0.026083727414374296), ('needs rectal', 0.026083727414374296), ('lucy needs', 0.026083727414374296), ('lucy', 0.026083727414374296), ('needs rectal supository', 0.026083727414374296)]",negative,"['nurse', 'nurses', 'doctors nurses', 'rectal supository', 'supository', 'rectal', 'needs rectal', 'lucy needs', 'lucy', 'needs rectal supository ']"
8,7,35,7_swiss_switzerland_fax_covid19,"[('swiss', 0.03435082626235325), ('switzerland', 0.024474122227569835), ('fax', 0.015217290555504652), ('covid19', 0.014615192386062936), ('switzerlands', 0.01363123345210035), ('airport', 0.013031555224207013), ('covid', 0.01295970860294142), ('revealed switzerlands', 0.012582601873357701), ('low vaccination', 0.012582601873357701), ('data oldfashioned fax', 0.012582601873357701)]",negative,"['swiss', 'switzerland', 'fax', 'covid', 'switzerlands', 'airport', 'covid', 'revealed switzerlands', 'low vaccination', 'data oldfashioned fax ']"
9,8,34,8_food_health_unsafe_vegan,"[('food', 0.0435984410933563), ('health', 0.016690881037442134), ('unsafe', 0.014642875808343893), ('vegan', 0.014138410451207187), ('unsafe food', 0.014138410451207187), ('dish', 0.014138410451207187), ('protein', 0.013679097661640658), ('mcdonalds', 0.012986777409933443), ('eat', 0.012253362249986962), ('eating', 0.011714300646675115)]",negative,"['food', 'health', 'unsafe', 'vegan', 'unsafe food', 'dish', 'protein', 'mcdonalds', 'eat', 'eating ']"
