Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,138,-1_covid19_health_amp_days,"[('covid19', 0.011722841799989418), ('health', 0.011168970548899313), ('amp', 0.010865472390887759), ('days', 0.010399322340459798), ('care', 0.008724941388974458), ('people', 0.00871869628348878), ('taiwan', 0.008352539236404737), ('think', 0.007943065791801634), ('still', 0.007533578415152841), ('china', 0.007118435242843667)]",neutral,"['covid', 'health', 'amp', 'days', 'care', 'people', 'taiwan', 'think', 'still', 'china ']"
1,0,48,0_health_healthcare_like_much,"[('health', 0.03674891796758668), ('healthcare', 0.022069406452280386), ('like', 0.016553818119971146), ('much', 0.01578571165785448), ('less', 0.015185996801105005), ('services', 0.014828944883784256), ('provide', 0.014479338598233844), ('people', 0.012977387428530607), ('care', 0.01275884644363206), ('public health', 0.012357454069820212)]",neutral,"['health', 'healthcare', 'like', 'much', 'less', 'services', 'provide', 'people', 'care', 'public health ']"
2,1,39,1_quarantine_hotel_plan_home,"[('quarantine', 0.03975046359747598), ('hotel', 0.028287786559005986), ('plan', 0.020595097359810924), ('home', 0.016028814081256886), ('week', 0.014646139665342416), ('would', 0.014025212321099776), ('travel', 0.013379634697057646), ('need', 0.013171186540541564), ('fully', 0.013024961976638756), ('self', 0.013024961976638756)]",neutral,"['quarantine', 'hotel', 'plan', 'home', 'week', 'would', 'travel', 'need', 'fully', 'self ']"
3,2,37,2_coronavirus_ficialart_measures_quarantine,"[('coronavirus', 0.04149419895838605), ('ficialart', 0.027051366749142148), ('measures', 0.02101616268902903), ('quarantine', 0.020590389146021498), ('local', 0.020305307345088425), ('patients', 0.017900056149775717), ('corona', 0.017437922603955568), ('health officials', 0.017437922603955568), ('treating', 0.017437922603955568), ('local health officials', 0.017437922603955568)]",neutral,"['coronavirus', 'ficialart', 'measures', 'quarantine', 'local', 'patients', 'corona', 'health officials', 'treating', 'local health officials ']"
4,3,36,3_vaccines_getting_vaccination_vaccinated,"[('vaccines', 0.03315466854463726), ('getting', 0.025776906767941372), ('vaccination', 0.024639253378612815), ('vaccinated', 0.02120557387375112), ('people', 0.020537891512710203), ('ppl', 0.019641313143058742), ('get', 0.018710804712773366), ('health', 0.015578167654486112), ('get vaccinated', 0.01549748061701971), ('vaccine', 0.015236279630981776)]",neutral,"['vaccines', 'getting', 'vaccination', 'vaccinated', 'people', 'ppl', 'get', 'health', 'get vaccinated', 'vaccine ']"
5,4,36,4_taiwan_health_situation_us,"[('taiwan', 0.05264982329277514), ('health', 0.021578647047325206), ('situation', 0.01983654965269563), ('us', 0.019288958935255802), ('good', 0.015381356453841024), ('help', 0.014516994094780718), ('lot', 0.014194913931057186), ('whether', 0.014170237491327103), ('countries', 0.012928003315938822), ('quarantine', 0.01291787828071268)]",neutral,"['taiwan', 'health', 'situation', 'us', 'good', 'help', 'lot', 'whether', 'countries', 'quarantine ']"
6,5,34,5_health_take_important_im,"[('health', 0.048034344386796414), ('take', 0.028008775427623964), ('important', 0.025833092899523357), ('im', 0.022641118612589797), ('wish', 0.020597220151973603), ('thing', 0.018789113074586396), ('good', 0.01859537123524064), ('health important', 0.017627602484840625), ('first', 0.01712964309028087), ('well', 0.016915994488504175)]",neutral,"['health', 'take', 'important', 'im', 'wish', 'thing', 'good', 'health important', 'first', 'well ']"
7,6,30,6_covid19_covid_virus_patients,"[('covid19', 0.044709193185241025), ('covid', 0.039405365842548695), ('virus', 0.02626761813062366), ('patients', 0.026002005566292768), ('video', 0.02334247292569003), ('infected', 0.02035502715829693), ('safe', 0.019129180120331594), ('long', 0.018731788141429274), ('time', 0.01862581152952223), ('know totally', 0.017894687370974573)]",neutral,"['covid', 'covid', 'virus', 'patients', 'video', 'infected', 'safe', 'long', 'time', 'know totally ']"
8,7,29,7_mask_masks_wear_wear mask,"[('mask', 0.06134587185208555), ('masks', 0.05033957682387408), ('wear', 0.04594389339886645), ('wear mask', 0.02411287832598252), ('wearing', 0.02116583070630203), ('medical', 0.019247055934880058), ('motion', 0.01824747433940328), ('places', 0.01722348451855894), ('dont', 0.015379870247422503), ('counter', 0.015141658544670793)]",neutral,"['mask', 'masks', 'wear', 'wear mask', 'wearing', 'medical', 'motion', 'places', 'dont', 'counter ']"
9,8,23,8_mental health_mental_health_health issues,"[('mental health', 0.08570409391229676), ('mental', 0.08266210304168368), ('health', 0.055967672457039444), ('health issues', 0.02168074362451454), ('issues', 0.02116959975649559), ('society', 0.0187677845433913), ('mental health issues', 0.018696495730503197), ('rain', 0.018696495730503197), ('na', 0.017868902518855014), ('feel', 0.015877199817371693)]",neutral,"['mental health', 'mental', 'health', 'health issues', 'issues', 'society', 'mental health issues', 'rain', 'na', 'feel ']"
10,9,21,9_nurses_nurse_sit next_sit,"[('nurses', 0.05094332117469947), ('nurse', 0.0459995087738791), ('sit next', 0.0279302215046968), ('sit', 0.0279302215046968), ('next', 0.02299975438693955), ('maybe', 0.022309929663399435), ('helping', 0.02019551551888012), ('job', 0.019062207865810504), ('data', 0.01861279843455398), ('big', 0.017542066462176334)]",neutral,"['nurses', 'nurse', 'sit next', 'sit', 'next', 'maybe', 'helping', 'job', 'data', 'big ']"
11,10,17,10_covid19_asia_strategy_coronavirus,"[('covid19', 0.056187641487462234), ('asia', 0.041907600356225885), ('strategy', 0.038061404743543886), ('coronavirus', 0.03719876104807817), ('taiwan', 0.03639433076135752), ('safety security', 0.03410785379789237), ('pandemic outbreak', 0.03410785379789237), ('taiwan successful', 0.03410785379789237), ('successful fight covid19', 0.03410785379789237), ('successful fight', 0.03410785379789237)]",neutral,"['covid', 'asia', 'strategy', 'coronavirus', 'taiwan', 'safety security', 'pandemic outbreak', 'taiwan successful', 'successful fight covid', 'successful fight ']"
12,11,11,11_medicine_emergency medicine_emergency_webinar,"[('medicine', 0.11352112382765486), ('emergency medicine', 0.08791485726903908), ('emergency', 0.08465953814354665), ('webinar', 0.07155234546731769), ('webinar part', 0.07155234546731769), ('tsem', 0.07155234546731769), ('society emergency medicine', 0.07155234546731769), ('taiwan society', 0.07155234546731769), ('society emergency', 0.07155234546731769), ('2021 taiwan society', 0.07155234546731769)]",neutral,"['medicine', 'emergency medicine', 'emergency', 'webinar', 'webinar part', 'tsem', 'society emergency medicine', 'taiwan society', 'society emergency', ' taiwan society ']"
13,12,10,12_vehicles_taipei_traffic_priority,"[('vehicles', 0.04570238985923941), ('taipei', 0.04266002076500345), ('traffic', 0.037923603510964465), ('priority', 0.03233795975038906), ('taiwan', 0.03222066897679817), ('seems', 0.030292381561312996), ('emissions', 0.029760018433415643), ('motor vehicles', 0.029760018433415643), ('motor', 0.029760018433415643), ('traffic emissions', 0.029760018433415643)]",neutral,"['vehicles', 'taipei', 'traffic', 'priority', 'taiwan', 'seems', 'emissions', 'motor vehicles', 'motor', 'traffic emissions ']"
