Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2890,-1_health_whatshappeninginmyanmar_people_protest,"[('health', 0.0027721800126637736), ('whatshappeninginmyanmar', 0.002671191841425069), ('people', 0.002573457398048315), ('protest', 0.0023324646013080253), ('myanmar', 0.0022185348979948845), ('military', 0.002195380642428663), ('amp', 0.001983455089525728), ('dont', 0.0019805786822859137), ('strike', 0.0019038234565974573), ('covid', 0.0018806492446826427)]",negative,"['health', 'whatshappeninginmyanmar', 'people', 'protest', 'myanmar', 'military', 'amp', 'dont', 'strike', 'covid ']"
1,0,652,0_thailandnews_stayhealthy_staysafe_streetphotography,"[('thailandnews', 0.019090570795905752), ('stayhealthy', 0.018559802463601126), ('staysafe', 0.01816008277597177), ('streetphotography', 0.017865634508622073), ('corona', 0.01765136983133167), ('thailand', 0.017493817621700856), ('covid19 covid', 0.017421728157472845), ('market', 0.017169313963475374), ('covid19 covid19', 0.01663397989598828), ('thailand thailandnews', 0.01640154740492279)]",negative,"['thailandnews', 'stayhealthy', 'staysafe', 'streetphotography', 'corona', 'thailand', 'covid covid', 'market', 'covid covid', 'thailand thailandnews ']"
2,1,409,1_dictatorship_military dictatorship_protest_military,"[('dictatorship', 0.013152487424293837), ('military dictatorship', 0.011514409088680032), ('protest', 0.01139103118589428), ('military', 0.009291798556448086), ('whatshappeninginmyanmar', 0.008970598803969915), ('strike', 0.008304618267708171), ('medical family', 0.008090104594960599), ('staged', 0.0073677150544218615), ('protest military', 0.007216898757046183), ('family', 0.006859477001400868)]",negative,"['dictatorship', 'military dictatorship', 'protest', 'military', 'whatshappeninginmyanmar', 'strike', 'medical family', 'staged', 'protest military', 'family ']"
3,2,378,2_vaccine_vaccines_vaccination_vaccinated,"[('vaccine', 0.014818588508563888), ('vaccines', 0.010170364267951112), ('vaccination', 0.007776887409837547), ('vaccinated', 0.007600973777036018), ('get', 0.004294707975509183), ('risk', 0.00396772391313496), ('long', 0.0037513695672374155), ('health', 0.0034057611545191156), ('pfizer', 0.0033677935469984097), ('isnt', 0.0031616167914814497)]",negative,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'get', 'risk', 'long', 'health', 'pfizer', 'isnt ']"
4,3,285,3_hong_hong kong_kong_view,"[('hong', 0.031421027605711783), ('hong kong', 0.028552996509399246), ('kong', 0.028404243862137097), ('view', 0.018319083845049284), ('view article', 0.016466256887517676), ('article', 0.01572226588682457), ('stigmabase', 0.01419845072395492), ('view article stigmabase', 0.010568716841097251), ('article stigmabase', 0.010568716841097251), ('hong kongs', 0.010332885592025847)]",negative,"['hong', 'hong kong', 'kong', 'view', 'view article', 'article', 'stigmabase', 'view article stigmabase', 'article stigmabase', 'hong kongs ']"
5,4,218,4_shot_ambulance_even_bullet,"[('shot', 0.015152265362756481), ('ambulance', 0.014624919934052955), ('even', 0.007559908854766022), ('bullet', 0.00721372627348205), ('tw', 0.006944730026411547), ('medic', 0.006486856753294202), ('injured', 0.0063458327569859835), ('ambulance medic', 0.005800345304932896), ('even ambulance', 0.0057349398466420036), ('blocked', 0.00533992835527148)]",negative,"['shot', 'ambulance', 'even', 'bullet', 'tw', 'medic', 'injured', 'ambulance medic', 'even ambulance', 'blocked ']"
6,5,176,5_mental_mental health_health_mental health issues,"[('mental', 0.0476472337315667), ('mental health', 0.0471655053640509), ('health', 0.011889220687853648), ('mental health issues', 0.008675156458674838), ('health issues', 0.007719843605889674), ('issues', 0.00724200656758968), ('peoples mental health', 0.0061017732419554075), ('peoples mental', 0.0061017732419554075), ('like', 0.005383565468731375), ('problem', 0.005248236653568841)]",negative,"['mental', 'mental health', 'health', 'mental health issues', 'health issues', 'issues', 'peoples mental health', 'peoples mental', 'like', 'problem ']"
7,6,117,6_24 hours_morning bangkokpost_country registered_morning bangkokpost thailand,"[('24 hours', 0.015394511282011277), ('morning bangkokpost', 0.014503427015222657), ('country registered', 0.014503427015222657), ('morning bangkokpost thailand', 0.014503427015222657), ('new', 0.014306366055186407), ('ministry announced', 0.014250368052266576), ('health ministry announced', 0.014250368052266576), ('health ministry', 0.013584111534831637), ('24', 0.013502753348693039), ('hours', 0.013259791988619977)]",negative,"[' hours', 'morning bangkokpost', 'country registered', 'morning bangkokpost thailand', 'new', 'ministry announced', 'health ministry announced', 'health ministry', '', 'hours ']"
8,7,116,7_education_slavery_slavery education_education military,"[('education', 0.05241487100559917), ('slavery', 0.03538105118516897), ('slavery education', 0.03538105118516897), ('education military', 0.031254538642916795), ('salvery', 0.02986368516521026), ('salvery education', 0.02986368516521026), ('noncdm teachers', 0.029274729817869855), ('noncdm', 0.029274729817869855), ('protest noncdm', 0.029274729817869855), ('salvery education military', 0.029274729817869855)]",negative,"['education', 'slavery', 'slavery education', 'education military', 'salvery', 'salvery education', 'noncdm teachers', 'noncdm', 'protest noncdm', 'salvery education military ']"
9,8,111,8_civil_civil disobedience_disobedience_civildisobedience,"[('civil', 0.03800250705485801), ('civil disobedience', 0.03747381810007181), ('disobedience', 0.037275578624139896), ('civildisobedience', 0.033393020721920144), ('disobedience campaign', 0.03174243505828306), ('civil disobedience campaign', 0.03174243505828306), ('stand', 0.03109223276676869), ('strongly', 0.024498140234631174), ('campaign', 0.024244756885946704), ('savemyanmar', 0.022767381021401654)]",negative,"['civil', 'civil disobedience', 'disobedience', 'civildisobedience', 'disobedience campaign', 'civil disobedience campaign', 'stand', 'strongly', 'campaign', 'savemyanmar ']"
10,9,108,9_safe_night_anymore_safe anymore,"[('safe', 0.01976080750695744), ('night', 0.01973941520393413), ('anymore', 0.018550032459657067), ('safe anymore', 0.017748956637282303), ('nights', 0.014226421128520093), ('people night', 0.013364921257128657), ('arresting people', 0.01301845892812785), ('sleep', 0.012222369723018899), ('arresting', 0.011019456838268337), ('police', 0.01093086867360923)]",negative,"['safe', 'night', 'anymore', 'safe anymore', 'nights', 'people night', 'arresting people', 'sleep', 'arresting', 'police ']"
11,10,108,10_nurses_nurse_doctors nurses_personnel,"[('nurses', 0.01730816051183202), ('nurse', 0.010615651756764974), ('doctors nurses', 0.009004290085911696), ('personnel', 0.008973093533520696), ('personnel infected', 0.008648922053312726), ('medical personnel infected', 0.008648922053312726), ('doctors', 0.008058099734306415), ('medical personnel', 0.007430229311429617), ('hospital', 0.006929668351499596), ('died', 0.00683963675003247)]",negative,"['nurses', 'nurse', 'doctors nurses', 'personnel', 'personnel infected', 'medical personnel infected', 'doctors', 'medical personnel', 'hospital', 'died ']"
12,11,104,11_use catapult strike_strike peaceful protesting_catapult_catapult strike,"[('use catapult strike', 0.05115294882794516), ('strike peaceful protesting', 0.05115294882794516), ('catapult', 0.05115294882794516), ('catapult strike', 0.05115294882794516), ('catapult strike peaceful', 0.05115294882794516), ('central bank', 0.05115294882794516), ('use catapult', 0.05115294882794516), ('wearing police uniform', 0.05115294882794516), ('uniform mandalay central', 0.05115294882794516), ('bank demonstration use', 0.05115294882794516)]",negative,"['use catapult strike', 'strike peaceful protesting', 'catapult', 'catapult strike', 'catapult strike peaceful', 'central bank', 'use catapult', 'wearing police uniform', 'uniform mandalay central', 'bank demonstration use ']"
13,12,100,12_mandalay_whatshappeninginmyanmar mandalay_marched_main strike,"[('mandalay', 0.02757112755454982), ('whatshappeninginmyanmar mandalay', 0.015203616583870873), ('marched', 0.01477759496722209), ('main strike', 0.0144376389873005), ('dictatorship', 0.01344708090401083), ('main', 0.013423203137543131), ('industrial', 0.013142025037813788), ('strike', 0.01312546369439629), ('aung pin', 0.013030922344456942), ('aung pin lal', 0.013013187730433057)]",negative,"['mandalay', 'whatshappeninginmyanmar mandalay', 'marched', 'main strike', 'dictatorship', 'main', 'industrial', 'strike', 'aung pin', 'aung pin lal ']"
14,13,97,13_quarantine_egyptian_days_katie,"[('quarantine', 0.03133961921694892), ('egyptian', 0.010709127646732796), ('days', 0.009380272604466722), ('katie', 0.00937002975356366), ('14 days', 0.008167537012776237), ('14', 0.007436075995921835), ('hotel', 0.007221263465535424), ('room', 0.0061663966499747955), ('escape hotel room', 0.006136711662298531), ('escape hotel', 0.006136711662298531)]",negative,"['quarantine', 'egyptian', 'days', 'katie', ' days', '', 'hotel', 'room', 'escape hotel room', 'escape hotel ']"
15,14,95,14_cambodia_dollars_ministry health_penh,"[('cambodia', 0.04781307016977368), ('dollars', 0.014933099849311786), ('ministry health', 0.013839688120165653), ('penh', 0.013417236466350882), ('phnom penh', 0.013417236466350882), ('phnom', 0.012980871321579077), ('cambodian', 0.012785794558427509), ('ministry', 0.012104650701633982), ('3m dollars', 0.010860610036848725), ('3m', 0.010551055843998952)]",negative,"['cambodia', 'dollars', 'ministry health', 'penh', 'phnom penh', 'phnom', 'cambodian', 'ministry', 'm dollars', 'm ']"
16,15,88,15_mask_masks_wear_wearing,"[('mask', 0.04485961362323132), ('masks', 0.02486748344621472), ('wear', 0.01655828861294854), ('wearing', 0.016550260785101086), ('wearing mask', 0.01567118249423289), ('cloth', 0.009748971509526347), ('surgical', 0.009326570204882903), ('mandates', 0.008921341299515549), ('face mask', 0.008290284626562582), ('mask mandates', 0.008076761634306111)]",negative,"['mask', 'masks', 'wear', 'wearing', 'wearing mask', 'cloth', 'surgical', 'mandates', 'face mask', 'mask mandates ']"
17,16,79,16_migrant_positive covid19_positive_migrant workers,"[('migrant', 0.014710765465303598), ('positive covid19', 0.014203479507284896), ('positive', 0.014103570837754873), ('migrant workers', 0.011673616955797288), ('testing', 0.010143627422215114), ('tested', 0.010043585865711559), ('figures', 0.009697707700306672), ('tested positive covid19', 0.009435935385650676), ('testing positive', 0.009316210674644136), ('workers', 0.00922314519088848)]",negative,"['migrant', 'positive covid', 'positive', 'migrant workers', 'testing', 'tested', 'figures', 'tested positive covid', 'testing positive', 'workers ']"
18,17,78,17_discharged hospital_discharged_people infected_official covid19 update,"[('discharged hospital', 0.030767290106392994), ('discharged', 0.029253747766815174), ('people infected', 0.02877959054892279), ('official covid19 update', 0.028395580457126667), ('official covid19', 0.028132877791695023), ('update', 0.027581035722363704), ('covid19 update thailand', 0.027011878963585263), ('covid19 update', 0.027011878963585263), ('update thailand', 0.02686417080136149), ('infected', 0.026180497573307586)]",negative,"['discharged hospital', 'discharged', 'people infected', 'official covid update', 'official covid', 'update', 'covid update thailand', 'covid update', 'update thailand', 'infected ']"
19,18,74,18_migrant workers_migrant_workers_infections,"[('migrant workers', 0.023874085792459667), ('migrant', 0.02246245114691293), ('workers', 0.017023631594635606), ('infections', 0.01332753473119888), ('cases', 0.010374931289857683), ('raising total', 0.00941246816777686), ('thailand reports', 0.00941246816777686), ('thailand', 0.00927859617668665), ('isaan', 0.009134625065173636), ('new', 0.008819909910377236)]",negative,"['migrant workers', 'migrant', 'workers', 'infections', 'cases', 'raising total', 'thailand reports', 'thailand', 'isaan', 'new ']"
20,19,70,19_money_business_make_name,"[('money', 0.01160241431819565), ('business', 0.009138206008684025), ('make', 0.008817202205805565), ('name', 0.008031942084467203), ('pay', 0.007797472663531805), ('get', 0.007326742308944435), ('health', 0.006741682469502161), ('health care', 0.006397778597735368), ('youd', 0.006099503230402204), ('invest', 0.0058843800281249735)]",negative,"['money', 'business', 'make', 'name', 'pay', 'get', 'health', 'health care', 'youd', 'invest ']"
21,20,69,20_help_help myanmar_myanmar destabilize_rising day day,"[('help', 0.035299017726477915), ('help myanmar', 0.034642089945207365), ('myanmar destabilize', 0.033457543428830554), ('rising day day', 0.033457543428830554), ('helpless deaths rising', 0.033457543428830554), ('region healthcare', 0.033457543428830554), ('destabilize region healthcare', 0.033457543428830554), ('destabilize', 0.033457543428830554), ('destabilize region', 0.033457543428830554), ('wave myanmar destabilize', 0.033457543428830554)]",negative,"['help', 'help myanmar', 'myanmar destabilize', 'rising day day', 'helpless deaths rising', 'region healthcare', 'destabilize region healthcare', 'destabilize', 'destabilize region', 'wave myanmar destabilize ']"
22,21,67,21_china_deadly_surge_deadly human disease,"[('china', 0.022199414228190276), ('deadly', 0.015068289542121747), ('surge', 0.012982022238439984), ('deadly human disease', 0.012257823017629328), ('human disease', 0.012257823017629328), ('deadly human', 0.012131100034905036), ('chinese', 0.011798907484015242), ('death', 0.010816837878767131), ('pneumonia', 0.01080389751386936), ('gp', 0.010176940066505814)]",negative,"['china', 'deadly', 'surge', 'deadly human disease', 'human disease', 'deadly human', 'chinese', 'death', 'pneumonia', 'gp ']"
23,22,64,22_certificate_health certificate_insurance_fly,"[('certificate', 0.03179303492008084), ('health certificate', 0.028318103385731135), ('insurance', 0.019160650965814357), ('fly', 0.016945113073114228), ('health insurance', 0.014678455382999651), ('foreigners', 0.01342153207233174), ('thailand', 0.010940990983634633), ('covid19 thailand', 0.01077216090841678), ('fit fly', 0.010146806501943903), ('need', 0.00986294562945034)]",negative,"['certificate', 'health certificate', 'insurance', 'fly', 'health insurance', 'foreigners', 'thailand', 'covid thailand', 'fit fly', 'need ']"
24,23,61,23_auspol_strandedaussies_home_prevented coming,"[('auspol', 0.027238762311749095), ('strandedaussies', 0.023302525401491175), ('home', 0.018376929750191562), ('prevented coming', 0.01828724187763675), ('prevented coming home', 0.01828724187763675), ('coming home', 0.017867259349620468), ('prevented', 0.017674581955433224), ('australians', 0.015654224019028284), ('citizens', 0.014185157106432554), ('coming', 0.013662314902719856)]",negative,"['auspol', 'strandedaussies', 'home', 'prevented coming', 'prevented coming home', 'coming home', 'prevented', 'australians', 'citizens', 'coming ']"
25,24,58,24_fatalities_ministry thailand_health ministry thailand_hours public health,"[('fatalities', 0.023991754762626535), ('ministry thailand', 0.023157263768388326), ('health ministry thailand', 0.023157263768388326), ('hours public health', 0.022426347143531304), ('previous 24', 0.022426347143531304), ('previous 24 hours', 0.022426347143531304), ('24 hours public', 0.022426347143531304), ('hours public', 0.022426347143531304), ('ministry', 0.02095421992486263), ('previous', 0.019834017772475582)]",negative,"['fatalities', 'ministry thailand', 'health ministry thailand', 'hours public health', 'previous', ' previous', 'hours', ' hours public', 'hours public', 'ministry', 'previous ']"
