Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,376,-1_health_covid19_need_covid,"[('health', 0.017210324727288655), ('covid19', 0.008196348677780477), ('need', 0.007079399592947953), ('covid', 0.006888352148238209), ('people', 0.0068189976849362816), ('amp', 0.006813939603584866), ('public', 0.0058646021296602955), ('would', 0.00572790174593078), ('make', 0.005428369392529988), ('dont', 0.0052800227075666464)]",neutral,"['health', 'covid', 'need', 'covid', 'people', 'amp', 'public', 'would', 'make', 'dont ']"
1,0,226,0_mental_mental health_health_mental health issues,"[('mental', 0.05551682280723415), ('mental health', 0.05369177984180357), ('health', 0.034643176953749744), ('mental health issues', 0.008888249192052158), ('health issues', 0.008767870764790048), ('like', 0.008330177099389553), ('issues', 0.008205329462510886), ('need', 0.007748451504158641), ('people', 0.00681444505884712), ('better', 0.006461787329903759)]",neutral,"['mental', 'mental health', 'health', 'mental health issues', 'health issues', 'like', 'issues', 'need', 'people', 'better ']"
2,1,133,1_vaccine_vaccines_people_health,"[('vaccine', 0.021710627614545387), ('vaccines', 0.013923290543073463), ('people', 0.013640814496594099), ('health', 0.012155416883457438), ('vaccination', 0.009050924529243647), ('public', 0.007787889418744228), ('patients', 0.007734795391459057), ('public health', 0.007386683468053729), ('covid', 0.007370458097801632), ('measures', 0.007148125142320528)]",neutral,"['vaccine', 'vaccines', 'people', 'health', 'vaccination', 'public', 'patients', 'public health', 'covid', 'measures ']"
3,2,71,2_health_benefits_healthy_eating,"[('health', 0.039706492149928954), ('benefits', 0.016224701312245515), ('healthy', 0.013416378279785817), ('eating', 0.013040957575355384), ('health benefits', 0.012833244869921158), ('though', 0.011283482579904676), ('help', 0.010500011547582937), ('selenium', 0.010306809892120171), ('tequila', 0.010306809892120171), ('good', 0.01018034585894063)]",neutral,"['health', 'benefits', 'healthy', 'eating', 'health benefits', 'though', 'help', 'selenium', 'tequila', 'good ']"
4,3,71,3_nurses_nurse_doctors_doctors nurses,"[('nurses', 0.05605866907098251), ('nurse', 0.044293332877088816), ('doctors', 0.03820158694032661), ('doctors nurses', 0.026353608858273602), ('hospital', 0.02598014474404733), ('see', 0.018127007119525876), ('work', 0.012795981104999804), ('let', 0.012427583853375137), ('ppl die', 0.012269769701698647), ('like', 0.012237279081178233)]",neutral,"['nurses', 'nurse', 'doctors', 'doctors nurses', 'hospital', 'see', 'work', 'let', 'ppl die', 'like ']"
5,4,61,4_worker_workers_co worker_co,"[('worker', 0.05449791155684157), ('workers', 0.027474444864207633), ('co worker', 0.018603140414410857), ('co', 0.01822370643371484), ('frontline', 0.016801946894178316), ('staff', 0.013699617437193865), ('union', 0.012574065275206067), ('salary', 0.011626962759006786), ('essential', 0.011389816521071775), ('yet', 0.011206344483858939)]",neutral,"['worker', 'workers', 'co worker', 'co', 'frontline', 'staff', 'union', 'salary', 'essential', 'yet ']"
6,5,53,5_covid_covid19_careful_covid 19,"[('covid', 0.07182639474459968), ('covid19', 0.031578966586459235), ('careful', 0.02777256904800671), ('covid 19', 0.020662019732652987), ('19', 0.020069893128905083), ('like', 0.013815797881575914), ('care', 0.013385338053783728), ('like covid', 0.013000376887754354), ('production', 0.01244577140448102), ('also', 0.012207008365849245)]",neutral,"['covid', 'covid', 'careful', 'covid', '', ' like', 'care', 'like covid', 'production', 'also ']"
7,6,47,6_healthrelated_something healthrelated_scorpio_healthrelated today scorpio,"[('healthrelated', 0.1910548062427638), ('something healthrelated', 0.1910548062427638), ('scorpio', 0.1910548062427638), ('healthrelated today scorpio', 0.1910548062427638), ('healthrelated today', 0.1910548062427638), ('easily talked something', 0.1910548062427638), ('easily talked', 0.1910548062427638), ('could easily talked', 0.1910548062427638), ('could easily', 0.1910548062427638), ('something healthrelated today', 0.1910548062427638)]",neutral,"['healthrelated', 'something healthrelated', 'scorpio', 'healthrelated today scorpio', 'healthrelated today', 'easily talked something', 'easily talked', 'could easily talked', 'could easily', 'something healthrelated today ']"
8,7,42,7_mask_wear_masks_wearing,"[('mask', 0.06512245789442364), ('wear', 0.03474265033231942), ('masks', 0.02847900058941865), ('wearing', 0.023680177402553907), ('wear mask', 0.022275168130462927), ('people', 0.02104005242649362), ('wearing mask', 0.017603636305130583), ('shes', 0.01606094093955274), ('like', 0.014838447652200548), ('skin', 0.01294500026791757)]",neutral,"['mask', 'wear', 'masks', 'wearing', 'wear mask', 'people', 'wearing mask', 'shes', 'like', 'skin ']"
9,8,35,8_health care_care_healthcare_health,"[('health care', 0.04432734646232343), ('care', 0.04127145899916649), ('healthcare', 0.032170367479257715), ('health', 0.024902818355394946), ('people', 0.024023715164057467), ('would', 0.01808312782599635), ('cool', 0.01716565438422726), ('free', 0.015799021374687184), ('public', 0.01532937057156562), ('even', 0.014921397695764158)]",neutral,"['health care', 'care', 'healthcare', 'health', 'people', 'would', 'cool', 'free', 'public', 'even ']"
10,9,30,9_quarantine_ministry health_ministry_go,"[('quarantine', 0.05204384959389523), ('ministry health', 0.020400700892173815), ('ministry', 0.019004465589725898), ('go', 0.014464663244843247), ('get', 0.014401140747689486), ('dont', 0.014013678134028002), ('test', 0.013943793099803066), ('youre', 0.012957247847020003), ('workers take', 0.012950375438186069), ('get covid19 test', 0.012950375438186069)]",neutral,"['quarantine', 'ministry health', 'ministry', 'go', 'get', 'dont', 'test', 'youre', 'workers take', 'get covid test ']"
11,10,26,10_minister_minister health_ministry_health,"[('minister', 0.08194864452808039), ('minister health', 0.07313509059925545), ('ministry', 0.04919025438853891), ('health', 0.04411742036170627), ('ministry health', 0.03696294238303271), ('terrence', 0.027356479228130653), ('terrence deyalsingh', 0.027356479228130653), ('deyalsingh', 0.027356479228130653), ('tassa', 0.02346409487058103), ('emergency', 0.022063974587511487)]",neutral,"['minister', 'minister health', 'ministry', 'health', 'ministry health', 'terrence', 'terrence deyalsingh', 'deyalsingh', 'tassa', 'emergency ']"
12,11,25,11_barbados_booster dose_booster_dose,"[('barbados', 0.10161860231114526), ('booster dose', 0.029514597772863378), ('booster', 0.029514597772863378), ('dose', 0.028912611168874506), ('second', 0.028912611168874506), ('covid19', 0.02359313176699887), ('safe', 0.022882856514895987), ('please', 0.021719389245401028), ('grenada', 0.021280746744907385), ('covid', 0.0207118824521624)]",neutral,"['barbados', 'booster dose', 'booster', 'dose', 'second', 'covid', 'safe', 'please', 'grenada', 'covid ']"
13,12,24,12_exercise_muscle_body_training,"[('exercise', 0.03349898660880828), ('muscle', 0.03225303214161648), ('body', 0.026265867336482094), ('training', 0.023639424383730068), ('strength', 0.02303788010115463), ('health', 0.02057697666924653), ('arms', 0.019480946201023485), ('often', 0.018911539506984053), ('lifestyle', 0.018430304080923703), ('train', 0.018013604274517554)]",neutral,"['exercise', 'muscle', 'body', 'training', 'strength', 'health', 'arms', 'often', 'lifestyle', 'train ']"
14,13,17,13_pressure_link_dependents_covid19,"[('pressure', 0.052202689938397814), ('link', 0.05018588801520109), ('dependents', 0.03528436684369049), ('covid19', 0.03477445725294618), ('system', 0.032622884666001245), ('tests', 0.031961219829538146), ('care', 0.030321888244285583), ('testing', 0.02946770022894794), ('kfc high', 0.029237685204177633), ('5g', 0.029237685204177633)]",neutral,"['pressure', 'link', 'dependents', 'covid', 'system', 'tests', 'care', 'testing', 'kfc high', 'g ']"
15,14,16,14_pandemic_initial_covid19_infections,"[('pandemic', 0.05427758080390196), ('initial', 0.04362625900708596), ('covid19', 0.04059949269170684), ('infections', 0.037449833400884494), ('still pandemic', 0.037449833400884494), ('symptoms', 0.030863442597947502), ('covid', 0.028277463406956214), ('strides understanding initial', 0.02431117410778612), ('fight tools', 0.02431117410778612), ('endemic', 0.02431117410778612)]",neutral,"['pandemic', 'initial', 'covid', 'infections', 'still pandemic', 'symptoms', 'covid', 'strides understanding initial', 'fight tools', 'endemic ']"
16,15,15,15_health safety_safety_classes_field,"[('health safety', 0.040722576891419913), ('safety', 0.03565695504433743), ('classes', 0.03558195597219241), ('field', 0.029651629976827007), ('bsc', 0.02763948376214863), ('msc', 0.02763948376214863), ('im', 0.025590444378925742), ('health', 0.02505406805601721), ('well', 0.024290879354298477), ('man keep safe', 0.02165336086127574)]",neutral,"['health safety', 'safety', 'classes', 'field', 'bsc', 'msc', 'im', 'health', 'well', 'man keep safe ']"
