Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1510,-1_health_people_care_dont,"[('health', 0.007283530461333062), ('people', 0.005071625283977035), ('care', 0.00482067700128825), ('dont', 0.0046541342966201875), ('covid', 0.004110025333595625), ('public', 0.003920436792366406), ('covid19', 0.003653546783498392), ('get', 0.003458736591971249), ('need', 0.003377597822983998), ('hospital', 0.0033411481898114673)]",negative,"['health', 'people', 'care', 'dont', 'covid', 'public', 'covid', 'get', 'need', 'hospital ']"
1,0,1740,0_health_mental_vaccine_mental health,"[('health', 0.008211973822285126), ('mental', 0.007577200810483287), ('vaccine', 0.007545940804302124), ('mental health', 0.007311361810048844), ('covid', 0.006398016696033824), ('get', 0.005440678670635424), ('dont', 0.0052465530555816054), ('ppl', 0.0051189663025790625), ('people', 0.004977445797578188), ('mask', 0.0048832236908957025)]",negative,"['health', 'mental', 'vaccine', 'mental health', 'covid', 'get', 'dont', 'ppl', 'people', 'mask ']"
2,1,284,1_dose_cases_people vaccinated_1st dose,"[('dose', 0.056755385911150154), ('cases', 0.045721196232779114), ('people vaccinated', 0.03757179655897739), ('1st dose', 0.03757179655897739), ('cases people vaccinated', 0.03757179655897739), ('cases people', 0.037525326440233486), ('dose trinidadandtobago health', 0.03744485520949299), ('trinidadandtobago health', 0.03744485520949299), ('trinidadandtobago health ministrys', 0.037280775168188014), ('dose trinidadandtobago', 0.037256093065797705)]",negative,"['dose', 'cases', 'people vaccinated', 'st dose', 'cases people vaccinated', 'cases people', 'dose trinidadandtobago health', 'trinidadandtobago health', 'trinidadandtobago health ministrys', 'dose trinidadandtobago ']"
3,2,161,2_tested_samples_covid19 update_update,"[('tested', 0.05294839210616814), ('samples', 0.051171452671233984), ('covid19 update', 0.04276994582749758), ('update', 0.04243630343663212), ('samples tested positive', 0.03893537336722753), ('samples tested', 0.03783194405661978), ('tested positive', 0.036362307586200016), ('moh covid19 update', 0.03562688126557065), ('tests', 0.03559744059849541), ('moh covid19', 0.03550868150177879)]",negative,"['tested', 'samples', 'covid update', 'update', 'samples tested positive', 'samples tested', 'tested positive', 'moh covid update', 'tests', 'moh covid ']"
4,3,117,3_gas_prices_gas prices_biden,"[('gas', 0.058970546393698614), ('prices', 0.03299291167929664), ('gas prices', 0.029796053883464232), ('biden', 0.01671716199822873), ('oil', 0.015836016226116963), ('price', 0.014340216719657222), ('gop', 0.013422320068997391), ('inflation', 0.012744235694558993), ('gas station', 0.00973963623170668), ('station', 0.009193893234354126)]",negative,"['gas', 'prices', 'gas prices', 'biden', 'oil', 'price', 'gop', 'inflation', 'gas station', 'station ']"
5,4,110,4_tobago health ministrys_tobago health_trinidad tobago health_cases trinidadandtobago port,"[('tobago health ministrys', 0.06446114379230593), ('tobago health', 0.06358850307919604), ('trinidad tobago health', 0.06358850307919604), ('cases trinidadandtobago port', 0.061025968493087376), ('cases trinidadandtobago', 0.061025968493087376), ('trinidadandtobago port spain', 0.061025968493087376), ('trinidadandtobago port', 0.061025968493087376), ('spain trinidad tobago', 0.05963859882062318), ('port spain trinidad', 0.0589621211964347), ('spain trinidad', 0.0589621211964347)]",negative,"['tobago health ministrys', 'tobago health', 'trinidad tobago health', 'cases trinidadandtobago port', 'cases trinidadandtobago', 'trinidadandtobago port spain', 'trinidadandtobago port', 'spain trinidad tobago', 'port spain trinidad', 'spain trinidad ']"
6,5,90,5_minister_minister health_ministry health_health,"[('minister', 0.03366960426539425), ('minister health', 0.02782235596564193), ('ministry health', 0.020314109091271924), ('health', 0.020179522710799182), ('ministry', 0.018201990679935092), ('hours', 0.01051363049872664), ('tv', 0.01023819958543022), ('please let minister', 0.008642397946135598), ('let minister', 0.008642397946135598), ('let minister health', 0.008642397946135598)]",negative,"['minister', 'minister health', 'ministry health', 'health', 'ministry', 'hours', 'tv', 'please let minister', 'let minister', 'let minister health ']"
7,6,84,6_trinidad_tobago_trinidad tobago_case,"[('trinidad', 0.039622663569050844), ('tobago', 0.03509226964931666), ('trinidad tobago', 0.029220614176217515), ('case', 0.023420077977549605), ('confirms', 0.014118538821588953), ('recorded', 0.013823028625654021), ('tobago recorded', 0.01368508812937648), ('coronavirus covid19', 0.013563249180228016), ('confirmed', 0.012338982004084943), ('coronavirus', 0.011799824849484835)]",negative,"['trinidad', 'tobago', 'trinidad tobago', 'case', 'confirms', 'recorded', 'tobago recorded', 'coronavirus covid', 'confirmed', 'coronavirus ']"
8,7,81,7_tests_negative_tested_community tests,"[('tests', 0.02983401696941621), ('negative', 0.02936069609822718), ('tested', 0.023782734347132826), ('community tests', 0.022633659695242506), ('test', 0.02176491255468406), ('community tests negative', 0.019967374314187592), ('tests negative', 0.019967374314187592), ('community', 0.01909726013243144), ('negative 116 samples', 0.01719884210190741), ('negative 116', 0.01719884210190741)]",negative,"['tests', 'negative', 'tested', 'community tests', 'test', 'community tests negative', 'tests negative', 'community', 'negative', 'samples', 'negative', '']"
9,8,73,8_gun_guns_mental_mental health,"[('gun', 0.03847518196657232), ('guns', 0.026505582959010808), ('mental', 0.017661502763451617), ('mental health', 0.017277902382694374), ('background', 0.01569857269765967), ('weapons', 0.012404134548966857), ('gop', 0.011753134111698997), ('background checks', 0.01171550720320019), ('shootings', 0.01041378418062239), ('assault', 0.009287856601750114)]",negative,"['gun', 'guns', 'mental', 'mental health', 'background', 'weapons', 'gop', 'background checks', 'shootings', 'assault ']"
