Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1438,-1_health_mental_mental health_care,"[('health', 0.01913397364664762), ('mental', 0.010537934591146937), ('mental health', 0.010064196622448715), ('care', 0.0061701962577643335), ('im', 0.005981001570365582), ('people', 0.005811353150437062), ('amp', 0.005770041754949355), ('good', 0.0053748436193860934), ('today', 0.005257985507818016), ('covid19', 0.005139934596863057)]",positive,"['health', 'mental', 'mental health', 'care', 'im', 'people', 'amp', 'good', 'today', 'covid ']"
1,0,2619,0_health_covid19_amp_care,"[('health', 0.01859441881434714), ('covid19', 0.011048912516590336), ('amp', 0.008605387395943614), ('care', 0.007580525709007669), ('mental', 0.006945478562008879), ('mental health', 0.0067919365204991665), ('safe', 0.006497049824009426), ('day', 0.006050138386682888), ('healthcare', 0.005586483725148972), ('life', 0.005493339378216296)]",positive,"['health', 'covid', 'amp', 'care', 'mental', 'mental health', 'safe', 'day', 'healthcare', 'life ']"
2,1,174,1_program_get_train_eat,"[('program', 0.06802094065030376), ('get', 0.05887791155330689), ('train', 0.04666253340504375), ('eat', 0.04328935450717704), ('workout', 0.042482738278429064), ('eat clean train', 0.042342060487873465), ('eat clean', 0.042342060487873465), ('train mean', 0.042342060487873465), ('clean train', 0.042342060487873465), ('mean get', 0.042342060487873465)]",positive,"['program', 'get', 'train', 'eat', 'workout', 'eat clean train', 'eat clean', 'train mean', 'clean train', 'mean get ']"
3,2,79,2_mask_masks_wearing_face,"[('mask', 0.0734868249571493), ('masks', 0.03884399935883297), ('wearing', 0.026266593161315792), ('face', 0.025911710079272596), ('wearing mask', 0.019304402308869033), ('wear', 0.017193556189695838), ('protective', 0.015229606665206206), ('face masks', 0.014702852484661754), ('medical', 0.01266043133058516), ('safe', 0.012629383675277278)]",positive,"['mask', 'masks', 'wearing', 'face', 'wearing mask', 'wear', 'protective', 'face masks', 'medical', 'safe ']"
4,3,77,3_women_fitness nutrition_nutrition selfcare whole_personalized version,"[('women', 0.06890945120014705), ('fitness nutrition', 0.06650993258899286), ('nutrition selfcare whole', 0.06650993258899286), ('personalized version', 0.06650993258899286), ('personalized version health', 0.06650993258899286), ('version health wellness', 0.06650993258899286), ('incredible members', 0.06650993258899286), ('fitness nutrition selfcare', 0.06650993258899286), ('tribe', 0.06650993258899286), ('body health knowledge', 0.06650993258899286)]",positive,"['women', 'fitness nutrition', 'nutrition selfcare whole', 'personalized version', 'personalized version health', 'version health wellness', 'incredible members', 'fitness nutrition selfcare', 'tribe', 'body health knowledge ']"
5,4,33,4_gas_gas prices_prices_energy,"[('gas', 0.08838932850038875), ('gas prices', 0.03181886349895496), ('prices', 0.031151587562423037), ('energy', 0.026339602772447686), ('oil', 0.021972551522615607), ('car', 0.017602952827440232), ('feed', 0.015406494074306073), ('high', 0.015357797323478993), ('need', 0.013930389264393142), ('inflation', 0.013590767519399714)]",positive,"['gas', 'gas prices', 'prices', 'energy', 'oil', 'car', 'feed', 'high', 'need', 'inflation ']"
6,5,30,5_covid19_youve invested significant_college baseball recruiting_recruiting process colleges,"[('covid19', 0.0572646873340636), ('youve invested significant', 0.044039691634384974), ('college baseball recruiting', 0.044039691634384974), ('recruiting process colleges', 0.044039691634384974), ('colleges', 0.044039691634384974), ('recruiting', 0.044039691634384974), ('colleges significantly impacted', 0.044039691634384974), ('significant helping', 0.044039691634384974), ('recruiting process', 0.044039691634384974), ('significant helping student', 0.044039691634384974)]",positive,"['covid', 'youve invested significant', 'college baseball recruiting', 'recruiting process colleges', 'colleges', 'recruiting', 'colleges significantly impacted', 'significant helping', 'recruiting process', 'significant helping student ']"
7,6,26,6_quarantine_quarantine quarantine_quarantine quarantine quarantine_artist,"[('quarantine', 0.24384568216945132), ('quarantine quarantine', 0.12568541705688585), ('quarantine quarantine quarantine', 0.09361722988177847), ('artist', 0.06322747900907424), ('quarantine radio', 0.04414046082252646), ('radio', 0.03663149690499006), ('tory', 0.0363594826730258), ('quarantine artist', 0.0363594826730258), ('perfect shout', 0.0363594826730258), ('tribute tory lanez', 0.0363594826730258)]",positive,"['quarantine', 'quarantine quarantine', 'quarantine quarantine quarantine', 'artist', 'quarantine radio', 'radio', 'tory', 'quarantine artist', 'perfect shout', 'tribute tory lanez ']"
8,7,22,7_venezuela_population_deaths_contagious,"[('venezuela', 0.0574450092021884), ('population', 0.04622705632415962), ('deaths', 0.04086979641523467), ('contagious', 0.0343155991384715), ('take care', 0.0317241814613767), ('300000000', 0.030500951030650886), ('best system', 0.030500951030650886), ('population 300000000', 0.030500951030650886), ('30000000', 0.030500951030650886), ('population 30000000', 0.030500951030650886)]",positive,"['venezuela', 'population', 'deaths', 'contagious', 'take care', '', 'best system', 'population', '', ' population', '']"
9,8,21,8_venezuela_would_work_would loyal tireless,"[('venezuela', 0.13296783654753802), ('would', 0.11147850976507205), ('work', 0.09541567592692832), ('would loyal tireless', 0.07867772756150435), ('retired military man', 0.07867772756150435), ('us work help', 0.07867772756150435), ('loyal tireless', 0.07867772756150435), ('tireless worker work', 0.07867772756150435), ('loyal tireless worker', 0.07867772756150435), ('go us', 0.07867772756150435)]",positive,"['venezuela', 'would', 'work', 'would loyal tireless', 'retired military man', 'us work help', 'loyal tireless', 'tireless worker work', 'loyal tireless worker', 'go us ']"
