Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,610,-1_health_care_people_dont,"[('health', 0.012365852457863393), ('care', 0.007896031309769614), ('people', 0.006306466689939572), ('dont', 0.005911874695713228), ('get', 0.005664649904793798), ('covid19', 0.005545639691814207), ('healthcare', 0.004917129528641453), ('like', 0.004792744346104027), ('covid', 0.004520183608321774), ('us', 0.0042941144548598155)]",negative,"['health', 'care', 'people', 'dont', 'get', 'covid', 'healthcare', 'like', 'covid', 'us ']"
1,0,117,0_mental_mental health_health_really,"[('mental', 0.054737118885642776), ('mental health', 0.05219827221789175), ('health', 0.030879592765854603), ('really', 0.011735364833232126), ('people', 0.011389446203617865), ('im', 0.010222611145003356), ('dont', 0.009301849646888932), ('need', 0.008217665073255486), ('like', 0.00755516468169029), ('feel', 0.007097824228523187)]",negative,"['mental', 'mental health', 'health', 'really', 'people', 'im', 'dont', 'need', 'like', 'feel ']"
2,1,107,1_gun_guns_mental_mental health,"[('gun', 0.023291282681102993), ('guns', 0.02276979428411981), ('mental', 0.0202209632034879), ('mental health', 0.018684567101028178), ('school', 0.016755296546975988), ('health', 0.014142663862784363), ('republicans', 0.013783658650622616), ('safety', 0.01278820527368735), ('gop', 0.009841224785285827), ('mass', 0.009763728913748961)]",negative,"['gun', 'guns', 'mental', 'mental health', 'school', 'health', 'republicans', 'safety', 'gop', 'mass ']"
3,2,100,2_vaccine_covid19_covid19 vaccine_vaccines,"[('vaccine', 0.04141956279200115), ('covid19', 0.017420729683875175), ('covid19 vaccine', 0.01709135669055269), ('vaccines', 0.012570803187627821), ('vaccination', 0.01176521020843612), ('dose', 0.011514632059651447), ('pfizer', 0.009734016493098), ('people', 0.009294730135611868), ('coronavirus', 0.008902164776299544), ('covid', 0.008585425908155584)]",negative,"['vaccine', 'covid', 'covid vaccine', 'vaccines', 'vaccination', 'dose', 'pfizer', 'people', 'coronavirus', 'covid ']"
4,3,100,3_science_covid19_corrupt_trump,"[('science', 0.02774504564468536), ('covid19', 0.02143210505323912), ('corrupt', 0.02129157619318685), ('trump', 0.018064914425589457), ('climatecrisis', 0.017966821929000575), ('denial', 0.015328857580804083), ('sciencedenying', 0.015074333228293359), ('science denial', 0.014761340746714983), ('covid19 pandemic', 0.01385589458440715), ('dumb', 0.013708097521445622)]",negative,"['science', 'covid', 'corrupt', 'trump', 'climatecrisis', 'denial', 'sciencedenying', 'science denial', 'covid pandemic', 'dumb ']"
5,4,55,4_workers_work_worker_strike,"[('workers', 0.035541372875870746), ('work', 0.02421407264554438), ('worker', 0.022961605705358674), ('strike', 0.014387001250747076), ('salary', 0.009583183483083357), ('union', 0.00900747156641), ('attitude', 0.008763273452044059), ('working', 0.007205977253128), ('would', 0.006994609898061176), ('place', 0.006922423803878862)]",negative,"['workers', 'work', 'worker', 'strike', 'salary', 'union', 'attitude', 'working', 'would', 'place ']"
6,5,53,5_mask_masks_wearing_wear,"[('mask', 0.05247579799983478), ('masks', 0.023591840977207568), ('wearing', 0.02059190518890376), ('wear', 0.02002406789475739), ('covid', 0.01882183585945172), ('outbreak', 0.017206933451021752), ('covid19 outbreak', 0.014861995674805428), ('dont care', 0.013648678115081452), ('vaccinated', 0.013004246215454748), ('wearing mask', 0.012814699381354482)]",negative,"['mask', 'masks', 'wearing', 'wear', 'covid', 'outbreak', 'covid outbreak', 'dont care', 'vaccinated', 'wearing mask ']"
7,6,52,6_nurse_nurses_hospital_lack,"[('nurse', 0.061763940580325645), ('nurses', 0.029587495181265737), ('hospital', 0.01758514649102887), ('lack', 0.01741060891214358), ('youre', 0.015445431642770655), ('doors', 0.015314724534647188), ('doctors', 0.014351332206287822), ('foolish nurse', 0.012256115890066734), ('goodbye', 0.012256115890066734), ('say goodbye', 0.012256115890066734)]",negative,"['nurse', 'nurses', 'hospital', 'lack', 'youre', 'doors', 'doctors', 'foolish nurse', 'goodbye', 'say goodbye ']"
8,7,50,7_covid_china_covid19_medical,"[('covid', 0.01815557618301095), ('china', 0.017191963767480237), ('covid19', 0.015293593716878036), ('medical', 0.013853904025096429), ('health', 0.011825750994531082), ('policy', 0.011495244341960103), ('public health', 0.011335012384169806), ('people', 0.011138139249036562), ('pandemic', 0.010478649056928954), ('public', 0.009851714040004586)]",negative,"['covid', 'china', 'covid', 'medical', 'health', 'policy', 'public health', 'people', 'pandemic', 'public ']"
9,8,46,8_sugar_health_nutrition_caffeine,"[('sugar', 0.0446184615358408), ('health', 0.02596877465357756), ('nutrition', 0.020329192040166286), ('caffeine', 0.018907847953339975), ('amp', 0.014773993172025823), ('sex', 0.013668017583362219), ('tony', 0.011809536768566326), ('pill', 0.011408653717908685), ('depression', 0.010804484544765701), ('fat', 0.009993731190383838)]",negative,"['sugar', 'health', 'nutrition', 'caffeine', 'amp', 'sex', 'tony', 'pill', 'depression', 'fat ']"
10,9,41,9_protests_colombia_police_protest,"[('protests', 0.046601171927830046), ('colombia', 0.03641826950031652), ('police', 0.03195944205809602), ('protest', 0.026335265993857913), ('young', 0.015746088680916932), ('young people', 0.015362238496417116), ('people protests', 0.013886025632342864), ('young people protests', 0.013886025632342864), ('people', 0.013821788906655941), ('colombian', 0.013150662036253915)]",negative,"['protests', 'colombia', 'police', 'protest', 'young', 'young people', 'people protests', 'young people protests', 'people', 'colombian ']"
11,10,37,10_health_health care_free_insurance,"[('health', 0.025026843665420337), ('health care', 0.02337148414679343), ('free', 0.020024785469465945), ('insurance', 0.019616788823258513), ('care', 0.018865890582800745), ('tax', 0.018413961339841373), ('pay', 0.016019828375572757), ('us', 0.015272802974404085), ('health insurance', 0.014800022379253817), ('dont', 0.01382118456811851)]",negative,"['health', 'health care', 'free', 'insurance', 'care', 'tax', 'pay', 'us', 'health insurance', 'dont ']"
12,11,36,11_colombia_covid19_health_ministry,"[('colombia', 0.0377518551703201), ('covid19', 0.021186774180376955), ('health', 0.020815595933258265), ('ministry', 0.020600992031129705), ('venezuela', 0.0204441755406428), ('coronavirus', 0.018628207783097966), ('colombias', 0.016934720362520705), ('ministry health', 0.01568219368600468), ('bogota', 0.01536854321350628), ('cases', 0.014030918228595967)]",negative,"['colombia', 'covid', 'health', 'ministry', 'venezuela', 'coronavirus', 'colombias', 'ministry health', 'bogota', 'cases ']"
13,12,32,12_symptoms_covid_hospital_hepatitis,"[('symptoms', 0.034074537624360315), ('covid', 0.028671150587146175), ('hospital', 0.023395890548934064), ('hepatitis', 0.018234202844845192), ('nurse', 0.018126373865965134), ('medical', 0.01591125962001476), ('mother', 0.01553983510805781), ('home', 0.014758615914860686), ('video', 0.014373747694243834), ('tested', 0.014149473754837076)]",negative,"['symptoms', 'covid', 'hospital', 'hepatitis', 'nurse', 'medical', 'mother', 'home', 'video', 'tested ']"
14,13,30,13_nursing_homes_nursing homes_patients,"[('nursing', 0.06851263004460179), ('homes', 0.048255901547246294), ('nursing homes', 0.046809487329590366), ('patients', 0.04473934291299915), ('covid patients', 0.03982342259577918), ('nursing home', 0.036033350615866974), ('covid', 0.03406924600320599), ('home', 0.028329504170403225), ('murdered', 0.025738107582762126), ('patients nursing homes', 0.025725704526691887)]",negative,"['nursing', 'homes', 'nursing homes', 'patients', 'covid patients', 'nursing home', 'covid', 'home', 'murdered', 'patients nursing homes ']"
15,14,29,14_fossil_fuel_care_fuels,"[('fossil', 0.027185590352696118), ('fuel', 0.017634632263593356), ('care', 0.015787574325487917), ('fuels', 0.015517276807948486), ('fossil fuels', 0.015517276807948486), ('doesnt', 0.015369248798153245), ('fossil fuel', 0.015071929560508963), ('greed', 0.01408218937625245), ('ecosystems', 0.012850024589585386), ('science', 0.012073101115088246)]",negative,"['fossil', 'fuel', 'care', 'fuels', 'fossil fuels', 'doesnt', 'fossil fuel', 'greed', 'ecosystems', 'science ']"
16,15,29,15_covid_covid19_women_die covid 19,"[('covid', 0.03279248924963416), ('covid19', 0.027191581835777908), ('women', 0.02312047552311751), ('die covid 19', 0.020398290782069107), ('missiles cost', 0.020398290782069107), ('cost millions dollars', 0.020398290782069107), ('north korea die', 0.020398290782069107), ('system launched missiles', 0.020398290782069107), ('19 without vaccines', 0.020398290782069107), ('cost millions', 0.020398290782069107)]",negative,"['covid', 'covid', 'women', 'die covid', ' missiles cost', 'cost millions dollars', 'north korea die', 'system launched missiles', ' without vaccines', 'cost millions ']"
17,16,28,16_panama_fatalities_cases_illnesses,"[('panama', 0.06747177218441172), ('fatalities', 0.04796348850400604), ('cases', 0.03307784831034288), ('illnesses', 0.030123177183851494), ('covid19', 0.026993824876972248), ('according', 0.026104414860726777), ('minsa', 0.025879507729102594), ('continue reading', 0.02536190668490028), ('reading', 0.024098541747081193), ('ministry', 0.023903961001410005)]",negative,"['panama', 'fatalities', 'cases', 'illnesses', 'covid', 'according', 'minsa', 'continue reading', 'reading', 'ministry ']"
18,17,21,17_book_testing_appointment_18449753303,"[('book', 0.08183732672786642), ('testing', 0.07753532352315821), ('appointment', 0.060146937941353645), ('18449753303', 0.056970124545908433), ('appointmentbased', 0.056970124545908433), ('call 18449753303', 0.056970124545908433), ('covid19 testing', 0.054990258505503146), ('call', 0.04389716835113243), ('18449753303 monday', 0.04064944170576873), ('18449753303 monday friday', 0.04064944170576873)]",negative,"['book', 'testing', 'appointment', '', 'appointmentbased', 'call', ' covid testing', 'call', ' monday', ' monday friday ']"
19,18,21,18_amp_dem_democrat_filthy,"[('amp', 0.05016688414676182), ('dem', 0.04581727759265506), ('democrat', 0.04220839964488811), ('filthy', 0.03125041455064088), ('safe', 0.027604468743183203), ('dems', 0.025982007204401438), ('police', 0.024766940332190502), ('nobody', 0.022708052120720877), ('nobody safe', 0.020904244461724245), ('terror', 0.020904244461724245)]",negative,"['amp', 'dem', 'democrat', 'filthy', 'safe', 'dems', 'police', 'nobody', 'nobody safe', 'terror ']"
