Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,563,-1_health_care_amp_safe,"[('health', 0.015679131039488384), ('care', 0.008409674773777458), ('amp', 0.00746636001120039), ('safe', 0.006682228422533465), ('covid19', 0.005747797510107372), ('life', 0.005345181351718357), ('people', 0.005046766361582301), ('one', 0.004757226230444023), ('good', 0.0046838689787601084), ('need', 0.004657664413664047)]",positive,"['health', 'care', 'amp', 'safe', 'covid', 'life', 'people', 'one', 'good', 'need ']"
1,0,576,0_health_mental_mental health_healthcare,"[('health', 0.022697686978161515), ('mental', 0.017734153727614724), ('mental health', 0.017113293991362834), ('healthcare', 0.012789698308014663), ('covid19', 0.009214461744173903), ('care', 0.00792199479754052), ('healthtech', 0.00789006795475991), ('healthcare healthtech', 0.00789006795475991), ('people', 0.006029593564641592), ('medicine', 0.0054131915445176865)]",positive,"['health', 'mental', 'mental health', 'healthcare', 'covid', 'care', 'healthtech', 'healthcare healthtech', 'people', 'medicine ']"
2,1,80,1_happy_birthday_happy birthday_good,"[('happy', 0.03721285806468221), ('birthday', 0.02642659235431112), ('happy birthday', 0.02279398414754048), ('good', 0.01975795454742509), ('may', 0.01957311933409517), ('love', 0.01725268617029642), ('health', 0.01674122949684206), ('day', 0.015337081706578886), ('new', 0.013480486405314957), ('year', 0.012992668352816827)]",positive,"['happy', 'birthday', 'happy birthday', 'good', 'may', 'love', 'health', 'day', 'new', 'year ']"
3,2,53,2_nurse_nurses_nursing_nurse nurse,"[('nurse', 0.1012191867138111), ('nurses', 0.04917534220623982), ('nursing', 0.030341117177072403), ('nurse nurse', 0.028307190994628858), ('union', 0.023589325828857383), ('portugal', 0.023589325828857383), ('covid', 0.02251401222237434), ('days', 0.02246407612216262), ('european union', 0.020089923246263446), ('remains', 0.020089923246263446)]",positive,"['nurse', 'nurses', 'nursing', 'nurse nurse', 'union', 'portugal', 'covid', 'days', 'european union', 'remains ']"
4,3,51,3_vaccine_vaccines_mrna_covid,"[('vaccine', 0.07023663738317888), ('vaccines', 0.023782053931097797), ('mrna', 0.018130276514858667), ('covid', 0.01558391783517474), ('covid19', 0.015370524964358267), ('health', 0.014370008273466297), ('efficacy covid19', 0.014250097284796119), ('covid19 mrna vaccine', 0.014250097284796119), ('covid19 mrna', 0.014250097284796119), ('mrna vaccine', 0.014250097284796119)]",positive,"['vaccine', 'vaccines', 'mrna', 'covid', 'covid', 'health', 'efficacy covid', 'covid mrna vaccine', 'covid mrna', 'mrna vaccine ']"
5,4,32,4_fitness_gym_motivation_workout,"[('fitness', 0.04760188675589167), ('gym', 0.042311108014786825), ('motivation', 0.03525299200304275), ('workout', 0.03428287286758638), ('fit', 0.03428287286758638), ('gymlife', 0.0303342697121261), ('healthy', 0.025691285001115224), ('bodybuilding', 0.025204807793168443), ('training', 0.023581956687483512), ('health', 0.022936857158747912)]",positive,"['fitness', 'gym', 'motivation', 'workout', 'fit', 'gymlife', 'healthy', 'bodybuilding', 'training', 'health ']"
6,5,30,5_guyana_peace_fraser global peace_globalpeacechain globalpeaceambassador,"[('guyana', 0.04581749379167618), ('peace', 0.04335544393483964), ('fraser global peace', 0.03178595897603221), ('globalpeacechain globalpeaceambassador', 0.03178595897603221), ('globalpeacechain', 0.03178595897603221), ('globalpeaceambassador', 0.03178595897603221), ('global peace ambassador', 0.03178595897603221), ('global peace', 0.03178595897603221), ('peacefully alex dane', 0.03178595897603221), ('dane fraser global', 0.03178595897603221)]",positive,"['guyana', 'peace', 'fraser global peace', 'globalpeacechain globalpeaceambassador', 'globalpeacechain', 'globalpeaceambassador', 'global peace ambassador', 'global peace', 'peacefully alex dane', 'dane fraser global ']"
7,6,28,6_family planning_family_planning_advocate,"[('family planning', 0.03262708248072725), ('family', 0.032073985172994715), ('planning', 0.0319864939263811), ('advocate', 0.02447031186054544), ('sincerely alex', 0.021990623566589044), ('sincerely alex dane', 0.021990623566589044), ('fraser health', 0.021990623566589044), ('fraser health advocate', 0.021990623566589044), ('dane fraser health', 0.021990623566589044), ('sincerely', 0.021990623566589044)]",positive,"['family planning', 'family', 'planning', 'advocate', 'sincerely alex', 'sincerely alex dane', 'fraser health', 'fraser health advocate', 'dane fraser health', 'sincerely ']"
8,7,23,7_sweet beautiful_sweet_hugs_sweet beautiful marie,"[('sweet beautiful', 0.1414308048363029), ('sweet', 0.1389754449697241), ('hugs', 0.13782404155043304), ('sweet beautiful marie', 0.13625578825281393), ('hello sweet', 0.13625578825281393), ('hello sweet beautiful', 0.13625578825281393), ('beautiful marie', 0.13625578825281393), ('marie', 0.13625578825281393), ('enjoy', 0.13364100384153313), ('enjoy time', 0.13102003344837912)]",positive,"['sweet beautiful', 'sweet', 'hugs', 'sweet beautiful marie', 'hello sweet', 'hello sweet beautiful', 'beautiful marie', 'marie', 'enjoy', 'enjoy time ']"
9,8,22,8_women_islanders_gender diverse_diverse,"[('women', 0.07279516878405129), ('islanders', 0.05690712010225122), ('gender diverse', 0.0553725656027942), ('diverse', 0.053167109426024935), ('gender', 0.053167109426024935), ('strategy', 0.04377470777096247), ('islanders gender diverse', 0.03958968569001396), ('health strategy', 0.03958968569001396), ('islanders gender', 0.03958968569001396), ('women islanders', 0.03958968569001396)]",positive,"['women', 'islanders', 'gender diverse', 'diverse', 'gender', 'strategy', 'islanders gender diverse', 'health strategy', 'islanders gender', 'women islanders ']"
