Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,237,-1_health_good_good health_wish,"[('health', 0.013484329534429136), ('good', 0.009100647927468581), ('good health', 0.007885027344109638), ('wish', 0.0073206945124490155), ('happy', 0.007036204913634885), ('love', 0.006999727578875143), ('stay', 0.00642877334447119), ('know', 0.006238405086842638), ('vietnam', 0.006145900198801977), ('take', 0.005491563515653115)]",positive,"['health', 'good', 'good health', 'wish', 'happy', 'love', 'stay', 'know', 'vietnam', 'take ']"
1,0,229,0_take care_take_sungha_care,"[('take care', 0.048514891037027524), ('take', 0.0484267816423716), ('sungha', 0.04637376410424001), ('care', 0.043858260436797226), ('amp take', 0.0401185944970774), ('amp take care', 0.039455256427659624), ('amp', 0.039314534199378456), ('care health', 0.03777213656137563), ('good night', 0.037698488130501286), ('night amp', 0.03753097052709348)]",positive,"['take care', 'take', 'sungha', 'care', 'amp take', 'amp take care', 'amp', 'care health', 'good night', 'night amp ']"
2,1,179,1_covid19_covid_infection_care,"[('covid19', 0.026387084942655015), ('covid', 0.013840904645342822), ('infection', 0.011914749880433537), ('care', 0.010995689989915845), ('health', 0.009863042821360782), ('covid19 infection', 0.009828927861211997), ('take', 0.009779582081150873), ('coronavirus', 0.009608207605336412), ('19', 0.009267238900696879), ('always', 0.008862344015075617)]",positive,"['covid', 'covid', 'infection', 'care', 'health', 'covid infection', 'take', 'coronavirus', '', 'always ']"
3,2,97,2_cambodia_khmer_holiday_travel,"[('cambodia', 0.02031679481420421), ('khmer', 0.01584180339866615), ('holiday', 0.01500210673694225), ('travel', 0.01228140996791758), ('khmer new', 0.010929839818641016), ('new', 0.010621860840812809), ('resort', 0.010019019833754266), ('vietnam', 0.0098171531839706), ('year', 0.009747401831678442), ('people', 0.009730314109647895)]",positive,"['cambodia', 'khmer', 'holiday', 'travel', 'khmer new', 'new', 'resort', 'vietnam', 'year', 'people ']"
4,3,96,3_birthday_happy birthday_happy_wish,"[('birthday', 0.04780106811988678), ('happy birthday', 0.04560694830147526), ('happy', 0.038152943132384404), ('wish', 0.033079627068300886), ('good health', 0.03117594144689132), ('good', 0.027312775938851726), ('youre', 0.02132814039011594), ('special day', 0.020871798663655048), ('success life', 0.020522157563512115), ('success life good', 0.02039981696374366)]",positive,"['birthday', 'happy birthday', 'happy', 'wish', 'good health', 'good', 'youre', 'special day', 'success life', 'success life good ']"
5,4,69,4_health_cycling_khon_kaen,"[('health', 0.028715817492203085), ('cycling', 0.026296931418816036), ('khon', 0.02476966292036441), ('kaen', 0.02476966292036441), ('khon kaen', 0.02476966292036441), ('thungsang', 0.02188430344951118), ('park', 0.021231139646026638), ('thungsang health park', 0.01888132899446264), ('thungsang health', 0.01888132899446264), ('health park', 0.01888132899446264)]",positive,"['health', 'cycling', 'khon', 'kaen', 'khon kaen', 'thungsang', 'park', 'thungsang health park', 'thungsang health', 'health park ']"
6,5,58,5_workout_food_fitness_read,"[('workout', 0.02768401437592101), ('food', 0.02550819119026473), ('fitness', 0.024329239890253082), ('read', 0.022515646215445745), ('please read', 0.022325232805299616), ('health', 0.021022779947462628), ('walk', 0.020758572896932784), ('body', 0.019706052707381284), ('please', 0.01604185648198495), ('fitness health', 0.015273331576922969)]",positive,"['workout', 'food', 'fitness', 'read', 'please read', 'health', 'walk', 'body', 'please', 'fitness health ']"
7,6,50,6_year_new year_new_happy new year,"[('year', 0.047098290906202364), ('new year', 0.04099570223252408), ('new', 0.0369312484717957), ('happy new year', 0.025351599352439545), ('happy new', 0.024926913333241547), ('happy', 0.02333184301820358), ('christmas', 0.022514070408504675), ('wish', 0.021391940404263683), ('everyone', 0.02121226012436034), ('good', 0.02112267845969843)]",positive,"['year', 'new year', 'new', 'happy new year', 'happy new', 'happy', 'christmas', 'wish', 'everyone', 'good ']"
8,7,47,7_family gp_australia_gp_vaccine,"[('family gp', 0.022420633864943435), ('australia', 0.022029599229613082), ('gp', 0.02069591897358265), ('vaccine', 0.01945733515853439), ('ahmad', 0.019176290077008332), ('gp sydney', 0.016726092073485656), ('exspecialist family', 0.016726092073485656), ('exspecialist family gp', 0.016726092073485656), ('family gp sydney', 0.016726092073485656), ('sydney', 0.01646681570898812)]",positive,"['family gp', 'australia', 'gp', 'vaccine', 'ahmad', 'gp sydney', 'exspecialist family', 'exspecialist family gp', 'family gp sydney', 'sydney ']"
9,8,38,8_dream amp take_dream amp_sweet dream amp_sweet dream,"[('dream amp take', 0.09331335817356944), ('dream amp', 0.09331335817356944), ('sweet dream amp', 0.09060840314901848), ('sweet dream', 0.09060840314901848), ('dream', 0.08516031552578589), ('sweet', 0.08467791134548516), ('safe sungha sweet', 0.08308667368311985), ('sungha sweet dream', 0.0823075948328824), ('sungha sweet', 0.0823075948328824), ('covid19 quarantine', 0.07447621277430387)]",positive,"['dream amp take', 'dream amp', 'sweet dream amp', 'sweet dream', 'dream', 'sweet', 'safe sungha sweet', 'sungha sweet dream', 'sungha sweet', 'covid quarantine ']"
