Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,327,-1_health_public_care_nurse,"[('health', 0.02508952647183432), ('public', 0.008991772713479467), ('care', 0.00862255673157694), ('nurse', 0.007667883907879271), ('good', 0.0076371216765395745), ('dont', 0.007507748366993325), ('think', 0.006992937529559767), ('public health', 0.00695371156975206), ('need', 0.0063671169436981525), ('get', 0.00623704879862686)]",neutral,"['health', 'public', 'care', 'nurse', 'good', 'dont', 'think', 'public health', 'need', 'get ']"
1,0,291,0_health_people_safe_ministry,"[('health', 0.02672255975861609), ('people', 0.014426041786024558), ('safe', 0.010533529877022175), ('ministry', 0.010436303641611343), ('covid19', 0.009859903353344046), ('amp', 0.009214021390109873), ('dont', 0.008920279145375834), ('need', 0.008422587502837805), ('minister', 0.008306313491320147), ('good', 0.007947505238094408)]",neutral,"['health', 'people', 'safe', 'ministry', 'covid', 'amp', 'dont', 'need', 'minister', 'good ']"
2,1,171,1_mental_mental health_health_issues,"[('mental', 0.08402319620243658), ('mental health', 0.08128833403150146), ('health', 0.049718872707233415), ('issues', 0.016016414997467948), ('mental health issues', 0.01558383976716833), ('health issues', 0.015432876975685569), ('people', 0.012269937212302108), ('help', 0.010739776413194747), ('physical', 0.009734766340360962), ('need', 0.009243554020306025)]",neutral,"['mental', 'mental health', 'health', 'issues', 'mental health issues', 'health issues', 'people', 'help', 'physical', 'need ']"
3,2,106,2_nurse_nurses_workers_health workers,"[('nurse', 0.04785650106946616), ('nurses', 0.04577301727953736), ('workers', 0.02195029764188665), ('health workers', 0.017106598983968834), ('salary', 0.015303655456245896), ('health', 0.014235253106649632), ('doctors', 0.01203056460249374), ('agree', 0.010640075654335694), ('list', 0.010403120472503566), ('work', 0.01011641583878575)]",neutral,"['nurse', 'nurses', 'workers', 'health workers', 'salary', 'health', 'doctors', 'agree', 'list', 'work ']"
4,3,99,3_zambia_health_malawi_covid19,"[('zambia', 0.03039753994032145), ('health', 0.019496469459516632), ('malawi', 0.01920097485515631), ('covid19', 0.01243713972364538), ('zambians', 0.009246945582695534), ('countries', 0.009232871271037658), ('like', 0.008600680136739454), ('political', 0.008565181304174373), ('one', 0.008409651927771673), ('getting', 0.008271578546005024)]",neutral,"['zambia', 'health', 'malawi', 'covid', 'zambians', 'countries', 'like', 'political', 'one', 'getting ']"
5,4,74,4_vaccine_vaccines_us_mask,"[('vaccine', 0.03984896475111136), ('vaccines', 0.019252542111109796), ('us', 0.01670774808661068), ('mask', 0.01607611683768175), ('covid19', 0.014691684008548546), ('vaccination', 0.013950354428394854), ('people', 0.012359871379666446), ('get', 0.01231347629301016), ('get vaccine', 0.01150816918298212), ('fully', 0.010850275666529331)]",neutral,"['vaccine', 'vaccines', 'us', 'mask', 'covid', 'vaccination', 'people', 'get', 'get vaccine', 'fully ']"
6,5,46,5_covid19_covid_deaths_death,"[('covid19', 0.05597254405671928), ('covid', 0.027794846486327476), ('deaths', 0.024365676516465703), ('death', 0.01855968846120468), ('post', 0.018113678432287433), ('patients', 0.016761193132394606), ('pre', 0.016045643215424125), ('sarscov2', 0.016045643215424125), ('determine cause death', 0.016045643215424125), ('pre post', 0.016045643215424125)]",neutral,"['covid', 'covid', 'deaths', 'death', 'post', 'patients', 'pre', 'sarscov', 'determine cause death', 'pre post ']"
7,6,24,6_test_covid19_testing_study,"[('test', 0.05554027981070427), ('covid19', 0.04327729719373182), ('testing', 0.040784573384496155), ('study', 0.03498639127055696), ('tested', 0.030613092361737336), ('told', 0.025960303101081394), ('pcr', 0.022221267927300562), ('study patients', 0.022221267927300562), ('study patients tested', 0.022221267927300562), ('done pending results', 0.022221267927300562)]",neutral,"['test', 'covid', 'testing', 'study', 'tested', 'told', 'pcr', 'study patients', 'study patients tested', 'done pending results ']"
8,7,21,7_covid19_hard guy_guy_reduction,"[('covid19', 0.041202011597307256), ('hard guy', 0.03543412876739495), ('guy', 0.031592737947541465), ('reduction', 0.030371211339304396), ('number', 0.03000077990347606), ('hard', 0.02731917254444192), ('symptoms', 0.02632728162295122), ('reduction number', 0.025122377906698135), ('case', 0.024721286887355347), ('see', 0.02406273941116286)]",neutral,"['covid', 'hard guy', 'guy', 'reduction', 'number', 'hard', 'symptoms', 'reduction number', 'case', 'see ']"
9,8,16,8_girls_menstrual_sexual_reproductive health,"[('girls', 0.05632698278131599), ('menstrual', 0.04595984021811213), ('sexual', 0.04140140141420252), ('reproductive health', 0.039394148758381826), ('reproductive', 0.039394148758381826), ('hygiene', 0.036540643050135185), ('sexual reproductive', 0.03363999566524836), ('sexual reproductive health', 0.03363999566524836), ('women', 0.03136955872939152), ('areas', 0.030450535875112657)]",neutral,"['girls', 'menstrual', 'sexual', 'reproductive health', 'reproductive', 'hygiene', 'sexual reproductive', 'sexual reproductive health', 'women', 'areas ']"
