Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1250,-1_health_people_covid19_hospital,"[('health', 0.008438490710672222), ('people', 0.005761132350305166), ('covid19', 0.0044239718790627935), ('hospital', 0.00436125614471837), ('amp', 0.004040953548185789), ('care', 0.003875530136733711), ('workers', 0.0035262373534509636), ('public', 0.003505757407854019), ('like', 0.0035051052041788814), ('dont', 0.0034015441481791996)]",negative,"['health', 'people', 'covid', 'hospital', 'amp', 'care', 'workers', 'public', 'like', 'dont ']"
1,0,443,0_mental_mental health_health_people,"[('mental', 0.04010371707924801), ('mental health', 0.03839811268797838), ('health', 0.021606373388053993), ('people', 0.008475388070513028), ('dont', 0.007550360001904857), ('men', 0.0062315371819953065), ('good', 0.006193480285664481), ('know', 0.005897911030265631), ('serious', 0.005520368055468807), ('bad', 0.005488579999095668)]",negative,"['mental', 'mental health', 'health', 'people', 'dont', 'men', 'good', 'know', 'serious', 'bad ']"
2,1,428,1_zambia_covid19_vaccine_malawi,"[('zambia', 0.01290002818373451), ('covid19', 0.011158051409339878), ('vaccine', 0.009143042835543758), ('malawi', 0.009113929125369237), ('health', 0.00686880569292429), ('people', 0.006598889410721994), ('covid', 0.006264523278449921), ('africa', 0.005826367273154135), ('get', 0.005424220390778537), ('ministry', 0.004867289375962677)]",negative,"['zambia', 'covid', 'vaccine', 'malawi', 'health', 'people', 'covid', 'africa', 'get', 'ministry ']"
3,2,201,2_tested_health_cases_positive,"[('tested', 0.012515136778572416), ('health', 0.011029139404263493), ('cases', 0.010650284995216775), ('positive', 0.010347541505285222), ('corona virus', 0.009737924262066894), ('corona', 0.00949933624389287), ('virus', 0.009318479664117793), ('testing', 0.009164120972172205), ('covid19', 0.008956430770764922), ('patients', 0.008933773880788386)]",negative,"['tested', 'health', 'cases', 'positive', 'corona virus', 'corona', 'virus', 'testing', 'covid', 'patients ']"
4,3,184,3_workers_people_covid19_money,"[('workers', 0.01521479667968332), ('people', 0.011894127911719302), ('covid19', 0.009867242347525253), ('money', 0.008882351657477704), ('paid', 0.007886669506849193), ('getting', 0.006504602643756761), ('worker', 0.006444762428900558), ('health workers', 0.005831133217818287), ('businesses', 0.00552393573816179), ('covid', 0.005477397102367445)]",negative,"['workers', 'people', 'covid', 'money', 'paid', 'getting', 'worker', 'health workers', 'businesses', 'covid ']"
5,4,123,4_nurse_nurses_male_nurses midwives,"[('nurse', 0.04504737783108132), ('nurses', 0.041161265952913674), ('male', 0.012201518989207492), ('nurses midwives', 0.011580003882752193), ('midwives', 0.01057620944529403), ('male nurses', 0.009784067612015938), ('salary', 0.008106027909312438), ('even', 0.007998737356935596), ('female', 0.007801485415579507), ('doctors', 0.00761424078104649)]",negative,"['nurse', 'nurses', 'male', 'nurses midwives', 'midwives', 'male nurses', 'salary', 'even', 'female', 'doctors ']"
6,5,76,5_minister_minister health_ministry_health,"[('minister', 0.03549665105939158), ('minister health', 0.022340467724089118), ('ministry', 0.02159511498018028), ('health', 0.020615871422323465), ('ministry health', 0.01794388394344425), ('hh', 0.01166055265834367), ('blah', 0.01082425626093047), ('health minister', 0.010400352178808457), ('public', 0.009307698624801058), ('resign', 0.008754793524087512)]",negative,"['minister', 'minister health', 'ministry', 'health', 'ministry health', 'hh', 'blah', 'health minister', 'public', 'resign ']"
7,6,71,6_reproductive_sexual_reproductive health_condoms,"[('reproductive', 0.02290369389663189), ('sexual', 0.022707119011727946), ('reproductive health', 0.020868910784541304), ('condoms', 0.019641327797215346), ('rights', 0.015261420785333754), ('sexual reproductive health', 0.015236936776805751), ('sexual reproductive', 0.015236936776805751), ('sex', 0.014728624710068746), ('hiv', 0.014005712684520239), ('women', 0.013308233861048124)]",negative,"['reproductive', 'sexual', 'reproductive health', 'condoms', 'rights', 'sexual reproductive health', 'sexual reproductive', 'sex', 'hiv', 'women ']"
8,7,50,7_deaths_died_covid19_cases,"[('deaths', 0.03892229047690726), ('died', 0.03243316822972548), ('covid19', 0.022800938589832218), ('cases', 0.02182572829934265), ('new', 0.020502650602467476), ('italy', 0.018967273046811277), ('died covid19', 0.015677188403598566), ('death', 0.015068318692874649), ('new deaths', 0.014914660376951208), ('first', 0.014739522850379811)]",negative,"['deaths', 'died', 'covid', 'cases', 'new', 'italy', 'died covid', 'death', 'new deaths', 'first ']"
9,8,43,8_staysafe_recorded_washyourhands_maskup,"[('staysafe', 0.025678920103344584), ('recorded', 0.023953886914368838), ('washyourhands', 0.023802890246233388), ('maskup', 0.02333979668103325), ('positivity', 0.022822929848656172), ('recorded see', 0.022315351418529496), ('recorded see details', 0.022315351418529496), ('death recorded', 0.022315351418529496), ('death recorded see', 0.022315351418529496), ('see details', 0.022315351418529496)]",negative,"['staysafe', 'recorded', 'washyourhands', 'maskup', 'positivity', 'recorded see', 'recorded see details', 'death recorded', 'death recorded see', 'see details ']"
10,9,40,9_chilufya_minister_health minister_chitalu chilufya,"[('chilufya', 0.05234241742311688), ('minister', 0.03372016149602907), ('health minister', 0.03067796979610039), ('chitalu chilufya', 0.027425878771166215), ('chitalu', 0.027206698078533317), ('chilatu chilufya', 0.025722773366421352), ('chilatu', 0.025722773366421352), ('dr', 0.02220146489966473), ('dr chitalu chilufya', 0.02098646442412161), ('dr chitalu', 0.020884860923490785)]",negative,"['chilufya', 'minister', 'health minister', 'chitalu chilufya', 'chitalu', 'chilatu chilufya', 'chilatu', 'dr', 'dr chitalu chilufya', 'dr chitalu ']"
11,10,33,10_quarantine_14_14 days_self quarantine,"[('quarantine', 0.0831742661068385), ('14', 0.0497003051105893), ('14 days', 0.03467438404668492), ('self quarantine', 0.030379810425221), ('self', 0.03021008396384818), ('day', 0.029817945235699382), ('days', 0.027765204067805624), ('patients', 0.019555579122086823), ('centres', 0.01805765380619398), ('day go', 0.017289355569839394)]",negative,"['quarantine', '', ' days', 'self quarantine', 'self', 'day', 'days', 'patients', 'centres', 'day go ']"
12,11,33,11_scared_covid_dont_safe,"[('scared', 0.036528669166245455), ('covid', 0.027627172569183032), ('dont', 0.015095026696980747), ('safe', 0.014963655055112575), ('people', 0.01386012642064596), ('scared covid19', 0.013344356851290918), ('know scared', 0.013344356851290918), ('fear', 0.01270893980449763), ('stay safe', 0.012595990460982321), ('scared covid', 0.012015774682676093)]",negative,"['scared', 'covid', 'dont', 'safe', 'people', 'scared covid', 'know scared', 'fear', 'stay safe', 'scared covid ']"
13,12,32,12_posted photo_photo_posted_sciences,"[('posted photo', 0.13799132879244083), ('photo', 0.13679868930658304), ('posted', 0.13399417512139597), ('sciences', 0.11628221786272899), ('college', 0.11248346453793344), ('college health', 0.11248346453793344), ('ndanda', 0.09775269212118999), ('health allied sciences', 0.09775269212118999), ('health allied', 0.09775269212118999), ('allied', 0.09775269212118999)]",negative,"['posted photo', 'photo', 'posted', 'sciences', 'college', 'college health', 'ndanda', 'health allied sciences', 'health allied', 'allied ']"
14,13,30,13_lockdown_testing_mass testing_call,"[('lockdown', 0.04622644767476909), ('testing', 0.025271411245613707), ('mass testing', 0.021053011909829587), ('call', 0.019404257365874134), ('show', 0.01807406627054066), ('center', 0.017066215025166857), ('bookings', 0.01704022039098669), ('mass', 0.016538217300552265), ('photography', 0.016335898461208545), ('customer', 0.01578975893237219)]",negative,"['lockdown', 'testing', 'mass testing', 'call', 'show', 'center', 'bookings', 'mass', 'photography', 'customer ']"
15,14,30,14_zambia_minister_chilufya_chitalu chilufya,"[('zambia', 0.03534078991257276), ('minister', 0.03389348681627064), ('chilufya', 0.03171192204011677), ('chitalu chilufya', 0.029681767913443464), ('chitalu', 0.029444558724847577), ('dr', 0.02775383414378875), ('health minister', 0.024695223873789682), ('health minister dr', 0.024647542502775212), ('minister dr', 0.024391066641206778), ('first death', 0.023520106587137227)]",negative,"['zambia', 'minister', 'chilufya', 'chitalu chilufya', 'chitalu', 'dr', 'health minister', 'health minister dr', 'minister dr', 'first death ']"
16,15,30,15_health guidelines_health guidelines covid19_guidelines covid19_guidelines,"[('health guidelines', 0.035370994695222875), ('health guidelines covid19', 0.03376358961562665), ('guidelines covid19', 0.03376358961562665), ('guidelines', 0.03207053303141853), ('copperbelt', 0.027254341519218257), ('house', 0.026502775342747812), ('covid19', 0.024173574646893323), ('adhere', 0.023984334094639778), ('jail dont mask', 0.021058598964211965), ('white house', 0.021058598964211965)]",negative,"['health guidelines', 'health guidelines covid', 'guidelines covid', 'guidelines', 'copperbelt', 'house', 'covid', 'adhere', 'jail dont mask', 'white house ']"
17,16,30,16_symptoms_seek medical_seek_begging,"[('symptoms', 0.028185444005094668), ('seek medical', 0.026099498225332037), ('seek', 0.022152339812978154), ('begging', 0.02021323747119526), ('home', 0.017140545609572014), ('says', 0.016771263893596972), ('medication', 0.016740973097403473), ('covid', 0.01597679057464918), ('60', 0.015461761495443056), ('try', 0.015130113336501478)]",negative,"['symptoms', 'seek medical', 'seek', 'begging', 'home', 'says', 'medication', 'covid', '', 'try ']"
18,17,29,17_insurance_health insurance_national health insurance_health,"[('insurance', 0.0764590165993485), ('health insurance', 0.056337353859112795), ('national health insurance', 0.01738674545897219), ('health', 0.017098083838355572), ('healthcare', 0.017094502838014673), ('conditions', 0.016821180506024654), ('national health', 0.016373288828184535), ('insurance comes', 0.01576510185832782), ('value money', 0.01576510185832782), ('value money sa', 0.01576510185832782)]",negative,"['insurance', 'health insurance', 'national health insurance', 'health', 'healthcare', 'conditions', 'national health', 'insurance comes', 'value money', 'value money sa ']"
