Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1382,-1_health_amp_good_covid19,"[('health', 0.023074471679848156), ('amp', 0.011031405711236297), ('good', 0.007642114285422793), ('covid19', 0.007609423793121298), ('zambia', 0.006615472766631033), ('safe', 0.006478481603245641), ('people', 0.005380295446700131), ('us', 0.0051862644452880255), ('day', 0.004894350372060359), ('today', 0.004866787257887558)]",positive,"['health', 'amp', 'good', 'covid', 'zambia', 'safe', 'people', 'us', 'day', 'today ']"
1,0,3324,0_health_covid19_mental_mental health,"[('health', 0.027157790707427628), ('covid19', 0.015433015427055845), ('mental', 0.010551545063981647), ('mental health', 0.010009321400421638), ('good', 0.0075648958929038414), ('amp', 0.007062218617029297), ('people', 0.006988032640649624), ('care', 0.006895454831221353), ('zambia', 0.0059216606482732324), ('workers', 0.005841489256433039)]",positive,"['health', 'covid', 'mental', 'mental health', 'good', 'amp', 'people', 'care', 'zambia', 'workers ']"
2,1,106,1_fitness_amp_lifestyle_lifestyle health,"[('fitness', 0.06744484379661875), ('amp', 0.06582833116999563), ('lifestyle', 0.06429236611106146), ('lifestyle health', 0.06382108827288178), ('health amp', 0.06379508052273546), ('health amp fitness', 0.06294111157121149), ('amp fitness', 0.06294111157121149), ('fitness gym', 0.06172859357541025), ('gym', 0.06126448559039921), ('amp fitness gym', 0.06117157049633646)]",positive,"['fitness', 'amp', 'lifestyle', 'lifestyle health', 'health amp', 'health amp fitness', 'amp fitness', 'fitness gym', 'gym', 'amp fitness gym ']"
3,2,44,2_ifb immediately_ifb_immediately_ifb immediately ifb,"[('ifb immediately', 0.9004019853184452), ('ifb', 0.9004019853184452), ('immediately', 0.8967924299874334), ('ifb immediately ifb', 0.8825726176272466), ('immediately ifb', 0.8825726176272466), ('immediately ifb immediately', 0.8825726176272466), ('may next time', 0.03511895454328309), ('may next', 0.03511895454328309), ('opportunity comes', 0.03511895454328309), ('next time opportunity', 0.03511895454328309)]",positive,"['ifb immediately', 'ifb', 'immediately', 'ifb immediately ifb', 'immediately ifb', 'immediately ifb immediately', 'may next time', 'may next', 'opportunity comes', 'next time opportunity ']"
4,3,38,3_battery health_battery_iphone_price,"[('battery health', 0.12093328509265233), ('battery', 0.11932581916876447), ('iphone', 0.10672361581084737), ('price', 0.06056719106779188), ('64gb', 0.05106460988908317), ('storage', 0.04713656297453831), ('max', 0.04320851605999346), ('0881642922', 0.04074668092014981), ('whatsapp 0881642922', 0.04074668092014981), ('laptop', 0.04021400954399135)]",positive,"['battery health', 'battery', 'iphone', 'price', 'gb', 'storage', 'max', '', 'whatsapp', ' laptop ']"
5,4,29,4_thank_appreciate_feedback zilanie appreciate_kind feedback zilanie,"[('thank', 0.2580859801691335), ('appreciate', 0.09698583270153256), ('feedback zilanie appreciate', 0.0926499582271503), ('kind feedback zilanie', 0.0926499582271503), ('thank thank', 0.0926499582271503), ('zilanie appreciate', 0.0926499582271503), ('much kind feedback', 0.0926499582271503), ('thanks thank', 0.0926499582271503), ('kind feedback', 0.0926499582271503), ('much kind', 0.0926499582271503)]",positive,"['thank', 'appreciate', 'feedback zilanie appreciate', 'kind feedback zilanie', 'thank thank', 'zilanie appreciate', 'much kind feedback', 'thanks thank', 'kind feedback', 'much kind ']"
6,5,23,5_hospital_frontline_solidarity covid19 frontline_day today went,"[('hospital', 0.03727604922593901), ('frontline', 0.030084906399752805), ('solidarity covid19 frontline', 0.030084128845655058), ('day today went', 0.030084128845655058), ('local charity myangemypride', 0.030084128845655058), ('workers love local', 0.030084128845655058), ('kch show', 0.030084128845655058), ('health workers love', 0.030084128845655058), ('love local charity', 0.030084128845655058), ('went kch show', 0.030084128845655058)]",positive,"['hospital', 'frontline', 'solidarity covid frontline', 'day today went', 'local charity myangemypride', 'workers love local', 'kch show', 'health workers love', 'love local charity', 'went kch show ']"
7,6,20,6_ndanda_sciences_college health_college,"[('ndanda', 0.21318683907138025), ('sciences', 0.20430711526062903), ('college health', 0.18205645656409095), ('college', 0.17181333563322398), ('college health allied', 0.15238032882695918), ('health allied', 0.15238032882695918), ('health allied sciences', 0.15238032882695918), ('allied', 0.15077395025998694), ('allied sciences', 0.15077395025998694), ('ndanda college health', 0.14181982064034818)]",positive,"['ndanda', 'sciences', 'college health', 'college', 'college health allied', 'health allied', 'health allied sciences', 'allied', 'allied sciences', 'ndanda college health ']"
8,7,19,7_menstrual_menstrual health_pads_sanitary,"[('menstrual', 0.12209455391060192), ('menstrual health', 0.10465150054194344), ('pads', 0.06340621610639904), ('sanitary', 0.05297010941974416), ('girls', 0.04745256032734181), ('reusable', 0.04717269043846234), ('sanitary pads', 0.04717269043846234), ('reusable sanitary', 0.035177737962379725), ('hygiene', 0.031093344252450424), ('health', 0.02901731176144061)]",positive,"['menstrual', 'menstrual health', 'pads', 'sanitary', 'girls', 'reusable', 'sanitary pads', 'reusable sanitary', 'hygiene', 'health ']"
9,8,18,8_district_dharurafasta_district council_council health management,"[('district', 0.09226540250603689), ('dharurafasta', 0.0728295708758031), ('district council', 0.05886730991043739), ('council health management', 0.05531132972558921), ('district council health', 0.05531132972558921), ('quarterly project progressive', 0.05531132972558921), ('team chmt', 0.05531132972558921), ('management team chmt', 0.05531132972558921), ('council health', 0.05531132972558921), ('progressive review meeting', 0.05531132972558921)]",positive,"['district', 'dharurafasta', 'district council', 'council health management', 'district council health', 'quarterly project progressive', 'team chmt', 'management team chmt', 'council health', 'progressive review meeting ']"
