Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1820,-1_health_mental_mental health_people,"[('health', 0.009813242838968539), ('mental', 0.006219703513789307), ('mental health', 0.005913322403331617), ('people', 0.00468768718634542), ('care', 0.004282405318862215), ('like', 0.003997511547628559), ('amp', 0.003914894047218368), ('dont', 0.003860959095429961), ('need', 0.0036826848107298898), ('covid19', 0.0035338899951813086)]",neutral,"['health', 'mental', 'mental health', 'people', 'care', 'like', 'amp', 'dont', 'need', 'covid ']"
1,0,1560,0_nurse_covid19_nurses_health,"[('nurse', 0.008323662109292787), ('covid19', 0.007888536498651745), ('nurses', 0.007224717155759884), ('health', 0.006510953642986657), ('covid', 0.006136612935872069), ('vaccine', 0.005144545410964963), ('safe', 0.004535854260678238), ('people', 0.0042526402867080655), ('care', 0.004144361774810438), ('workers', 0.003855004068521538)]",neutral,"['nurse', 'covid', 'nurses', 'health', 'covid', 'vaccine', 'safe', 'people', 'care', 'workers ']"
2,1,364,1_mental_mental health_health_im,"[('mental', 0.041517582107709186), ('mental health', 0.041209847174008746), ('health', 0.023691219337282524), ('im', 0.009561207820316725), ('good', 0.008847471239684114), ('okay', 0.006982622649509165), ('depression', 0.006828235413188619), ('dont', 0.006402591342725609), ('health mental health', 0.0063929853015862095), ('health issues', 0.006303646718180003)]",neutral,"['mental', 'mental health', 'health', 'im', 'good', 'okay', 'depression', 'dont', 'health mental health', 'health issues ']"
3,2,95,2_salary_requirements_safety_internship,"[('salary', 0.017864072597426943), ('requirements', 0.017225096319200578), ('safety', 0.0166122044911944), ('internship', 0.01346103505727455), ('assistant', 0.013019548576765828), ('health safety', 0.012047670832497356), ('diploma', 0.011919042182075288), ('certificate', 0.011521853207982003), ('closing', 0.011404136451500471), ('engineering', 0.011067682026212769)]",neutral,"['salary', 'requirements', 'safety', 'internship', 'assistant', 'health safety', 'diploma', 'certificate', 'closing', 'engineering ']"
4,3,90,3_lockdown_post lockdown_minister_please,"[('lockdown', 0.07448809982566004), ('post lockdown', 0.01119242727413935), ('minister', 0.010685227006853227), ('please', 0.010613752109161545), ('restrictions', 0.010159045812085784), ('post', 0.009928479026755293), ('relaxation', 0.009327022728449458), ('back', 0.008852747879434894), ('rate', 0.00853906353194072), ('extended', 0.0084700531754006)]",neutral,"['lockdown', 'post lockdown', 'minister', 'please', 'restrictions', 'post', 'relaxation', 'back', 'rate', 'extended ']"
5,4,82,4_sexual_reproductive_reproductive health_women,"[('sexual', 0.03089199482659491), ('reproductive', 0.028587171477079), ('reproductive health', 0.026003146798295844), ('women', 0.02007113355678527), ('sexual reproductive', 0.01984904551134035), ('sexual reproductive health', 0.0169401063508012), ('sex', 0.015248327735608429), ('health', 0.012571238837435997), ('condoms', 0.011193376088200608), ('girls', 0.010289785113862084)]",neutral,"['sexual', 'reproductive', 'reproductive health', 'women', 'sexual reproductive', 'sexual reproductive health', 'sex', 'health', 'condoms', 'girls ']"
6,5,75,5_minister_minister health_health minister_ministry,"[('minister', 0.07067677692393988), ('minister health', 0.04629015669503542), ('health minister', 0.02746648356478758), ('ministry', 0.02560012055647469), ('health', 0.025235267801987964), ('ministry health', 0.01973615877041743), ('appointed', 0.014600317168540492), ('deputy', 0.011469264274405606), ('dr', 0.010178684452091477), ('president', 0.009824767581606511)]",neutral,"['minister', 'minister health', 'health minister', 'ministry', 'health', 'ministry health', 'appointed', 'deputy', 'dr', 'president ']"
7,6,69,6_zimbabwe_zimbabweanlivesmatter_health_medical,"[('zimbabwe', 0.054821412988982965), ('zimbabweanlivesmatter', 0.014208154921144238), ('health', 0.012271893255107065), ('medical', 0.011291970687228233), ('zimbabweans', 0.011233271182339648), ('insurance', 0.010570591124264369), ('medical insurance', 0.009198065342028867), ('zimbabwean', 0.009076550810182372), ('sector', 0.007757901050227001), ('moment medical', 0.007422644618449861)]",neutral,"['zimbabwe', 'zimbabweanlivesmatter', 'health', 'medical', 'zimbabweans', 'insurance', 'medical insurance', 'zimbabwean', 'sector', 'moment medical ']"
8,7,58,7_weight_eat_eating_health,"[('weight', 0.0328109016510086), ('eat', 0.01362960247133804), ('eating', 0.012832523415161372), ('health', 0.012315682347899596), ('fitness', 0.011447089884462809), ('exercise', 0.010384189486225595), ('bread', 0.010265269929676558), ('less', 0.009994099112032034), ('diet', 0.009979593535856084), ('know', 0.009838445264457995)]",neutral,"['weight', 'eat', 'eating', 'health', 'fitness', 'exercise', 'bread', 'less', 'diet', 'know ']"
9,8,38,8_donation_aid_medical aid_donations,"[('donation', 0.025879358109553607), ('aid', 0.024605960615011083), ('medical aid', 0.020742743244119052), ('donations', 0.0175169033274381), ('money', 0.016982777125025775), ('expensive', 0.01602386891025286), ('care', 0.015709029095058568), ('medical', 0.015661808658655595), ('hospital', 0.012182564307578865), ('costs', 0.011501936937579381)]",neutral,"['donation', 'aid', 'medical aid', 'donations', 'money', 'expensive', 'care', 'medical', 'hospital', 'costs ']"
