Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,8165,-1_people_health_dont_nurses,"[('people', 0.0027669597846361202), ('health', 0.002675965778751689), ('dont', 0.0023763483972936697), ('nurses', 0.0021492877078193103), ('lockdown', 0.0021481130507632223), ('care', 0.002114491992384899), ('hospital', 0.0021133677862129993), ('workers', 0.002073918685623237), ('nurse', 0.002061051031691492), ('covid', 0.0020456518967414813)]",negative,"['people', 'health', 'dont', 'nurses', 'lockdown', 'care', 'hospital', 'workers', 'nurse', 'covid ']"
1,0,11186,0_black_health_neck_health professionals,"[('black', 0.004194136103072575), ('health', 0.0037866804519377964), ('neck', 0.003624003113008175), ('health professionals', 0.003622459705219318), ('knee', 0.0036201187895556), ('black health', 0.003619478100174814), ('black health professionals', 0.003618558084279166), ('neck black', 0.003618558084279166), ('neck black health', 0.003618558084279166), ('knee neck black', 0.003618558084279166)]",negative,"['black', 'health', 'neck', 'health professionals', 'knee', 'black health', 'black health professionals', 'neck black', 'neck black health', 'knee neck black ']"
2,1,228,1_alcohol_smoking_cigarettes_alcohol related,"[('alcohol', 0.0420189104641632), ('smoking', 0.014255282328744415), ('cigarettes', 0.01357085114530561), ('alcohol related', 0.009486353322362636), ('tobacco', 0.009070276650806595), ('ban', 0.008458194181052427), ('cigarette', 0.0070234981862814135), ('related', 0.00697214214508354), ('drinking', 0.005768107159737121), ('sale', 0.005554368465557405)]",negative,"['alcohol', 'smoking', 'cigarettes', 'alcohol related', 'tobacco', 'ban', 'cigarette', 'related', 'drinking', 'sale ']"
3,2,75,2_lakers_lakers racismmustfall_4ir ausvind_covid19 newzroom405 4ir,"[('lakers', 0.08873845616200311), ('lakers racismmustfall', 0.08873845616200311), ('4ir ausvind', 0.08873845616200311), ('covid19 newzroom405 4ir', 0.08873845616200311), ('health professionals lakers', 0.08873845616200311), ('lakers racismmustfall section59investigation', 0.08873845616200311), ('newzroom405 4ir ausvind', 0.08873845616200311), ('professionals lakers', 0.08873845616200311), ('professionals lakers racismmustfall', 0.08873845616200311), ('4ir ausvind boxingday', 0.08873845616200311)]",negative,"['lakers', 'lakers racismmustfall', 'ir ausvind', 'covid newzroom ir', 'health professionals lakers', 'lakers racismmustfall sectioninvestigation', 'newzroom ir ausvind', 'professionals lakers', 'professionals lakers racismmustfall', 'ir ausvind boxingday ']"
4,3,70,3_medical intervention_informed consent_fairness_intervention,"[('medical intervention', 0.04400621516217983), ('informed consent', 0.043200077896556256), ('fairness', 0.0427012618051482), ('intervention', 0.042501256335584006), ('medical intervention humanity', 0.04161990627669479), ('intervention humanity', 0.04161990627669479), ('bonis', 0.04161990627669479), ('remain voluntary', 0.04062895612724967), ('voluntary', 0.039675223753462344), ('consent', 0.039675223753462344)]",negative,"['medical intervention', 'informed consent', 'fairness', 'intervention', 'medical intervention humanity', 'intervention humanity', 'bonis', 'remain voluntary', 'voluntary', 'consent ']"
5,4,68,4_effredfriday effinbrackenfell_gems cmscares4u effredfriday_effinbrackenfell_cmscares4u effredfriday effinbrackenfell,"[('effredfriday effinbrackenfell', 0.07519941786999994), ('gems cmscares4u effredfriday', 0.07519941786999994), ('effinbrackenfell', 0.07519941786999994), ('cmscares4u effredfriday effinbrackenfell', 0.07519941786999994), ('cmscares4u effredfriday', 0.07519941786999994), ('blacklisted gems cmscares4u', 0.07519941786999994), ('gems cmscares4u', 0.0749475738819391), ('effredfriday effinbrackenfell racialprofiling', 0.07432890205306507), ('effinbrackenfell racialprofiling gems', 0.07432890205306507), ('effinbrackenfell racialprofiling', 0.07432890205306507)]",negative,"['effredfriday effinbrackenfell', 'gems cmscaresu effredfriday', 'effinbrackenfell', 'cmscaresu effredfriday effinbrackenfell', 'cmscaresu effredfriday', 'blacklisted gems cmscaresu', 'gems cmscaresu', 'effredfriday effinbrackenfell racialprofiling', 'effinbrackenfell racialprofiling gems', 'effinbrackenfell racialprofiling ']"
6,5,65,5_skincare_beauty_skin_lockdown,"[('skincare', 0.021811701556353386), ('beauty', 0.01327504232689983), ('skin', 0.01081783617087016), ('lockdown', 0.010285782072620283), ('discount', 0.010066939179855409), ('tshirt', 0.009288039850357177), ('whatsapp', 0.009178158651576994), ('duvets', 0.008224219093811158), ('winter clothes', 0.008224219093811158), ('contact', 0.007989251449407079)]",negative,"['skincare', 'beauty', 'skin', 'lockdown', 'discount', 'tshirt', 'whatsapp', 'duvets', 'winter clothes', 'contact ']"
7,6,62,6_cuba_cuban_cuban doctors_doctors,"[('cuba', 0.0572281121200985), ('cuban', 0.042588311720872), ('cuban doctors', 0.02775273584016002), ('doctors', 0.020297925495291195), ('cuban health', 0.016918850518046074), ('africa help', 0.013496496932499758), ('200 cuban', 0.013496496932499758), ('south africa help', 0.013496496932499758), ('fight covid19', 0.012809212806840657), ('help', 0.012008792518165145)]",negative,"['cuba', 'cuban', 'cuban doctors', 'doctors', 'cuban health', 'africa help', ' cuban', 'south africa help', 'fight covid', 'help ']"
8,7,60,7_ramaphosa_zuma_president ramaphosa_president,"[('ramaphosa', 0.030471057901923095), ('zuma', 0.02640375683301637), ('president ramaphosa', 0.018568609761307458), ('president', 0.015277189928802807), ('ramaphosas', 0.010632536826408676), ('ramaphosa must', 0.00789558846503194), ('cyril', 0.007803777421270278), ('merely', 0.00756044818615251), ('step', 0.006733424644903511), ('cyril ramaphosa', 0.006712137802158412)]",negative,"['ramaphosa', 'zuma', 'president ramaphosa', 'president', 'ramaphosas', 'ramaphosa must', 'cyril', 'merely', 'step', 'cyril ramaphosa ']"
9,8,60,8_cough_fever cough_difficulty breathing seek_breathing seek,"[('cough', 0.0636727387746319), ('fever cough', 0.05938319517531429), ('difficulty breathing seek', 0.05934721477906526), ('breathing seek', 0.05934721477906526), ('fever', 0.058857142438104595), ('cough difficulty breathing', 0.05812959865811901), ('breathing seek medical', 0.05812959865811901), ('cough difficulty', 0.05812959865811901), ('fever cough difficulty', 0.05812959865811901), ('difficulty breathing', 0.05762889933859155)]",negative,"['cough', 'fever cough', 'difficulty breathing seek', 'breathing seek', 'fever', 'cough difficulty breathing', 'breathing seek medical', 'cough difficulty', 'fever cough difficulty', 'difficulty breathing ']"
