Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,7451,-1_mental_mental health_health_good,"[('mental', 0.002770191672770317), ('mental health', 0.0027083155398170402), ('health', 0.00246313185639208), ('good', 0.001861925217462649), ('people', 0.001849117194528845), ('love', 0.0016452381692171713), ('amp', 0.0016174510652780237), ('care', 0.00159046980807226), ('us', 0.0015552722936598051), ('time', 0.0015487217743148948)]",positive,"['mental', 'mental health', 'health', 'good', 'people', 'love', 'amp', 'care', 'us', 'time ']"
1,0,723,0_zimbabwe_africa_zambia_response,"[('zimbabwe', 0.011733919400267705), ('africa', 0.006227584522764854), ('zambia', 0.005758136544587294), ('response', 0.004535621498891326), ('african', 0.0041424018390241735), ('zimbabwean', 0.004113831363760673), ('south', 0.0038408017204229514), ('zimbabweans', 0.0038080799965551967), ('covid19', 0.0032532431779645696), ('africas', 0.002914682266706609)]",positive,"['zimbabwe', 'africa', 'zambia', 'response', 'african', 'zimbabwean', 'south', 'zimbabweans', 'covid', 'africas ']"
2,1,564,1_birthday_happy birthday_happy_wishing,"[('birthday', 0.02927428568195293), ('happy birthday', 0.025600763300840778), ('happy', 0.01975670452373086), ('wishing', 0.01315348272531991), ('good health', 0.012963161825116252), ('happiness', 0.011432900681115247), ('wish', 0.010696794719507819), ('may', 0.010389659344462572), ('year', 0.010286835963524695), ('good', 0.009711656968714592)]",positive,"['birthday', 'happy birthday', 'happy', 'wishing', 'good health', 'happiness', 'wish', 'may', 'year', 'good ']"
3,2,559,2_mental health_mental_health mental_mental health awareness,"[('mental health', 0.02797417765329965), ('mental', 0.027725313547722393), ('health mental', 0.0086444755089249), ('mental health awareness', 0.008385337402521837), ('health mental health', 0.008273886183029166), ('mental health matters', 0.008131017979513355), ('awareness', 0.008055851112894832), ('health awareness', 0.007860973707201497), ('health', 0.00777995303909739), ('health matters', 0.006952177934622949)]",positive,"['mental health', 'mental', 'health mental', 'mental health awareness', 'health mental health', 'mental health matters', 'awareness', 'health awareness', 'health', 'health matters ']"
4,3,462,3_vaccine_vaccines_vaccination_vaccinated,"[('vaccine', 0.018390666096827248), ('vaccines', 0.014066430961086628), ('vaccination', 0.01206888023176791), ('vaccinated', 0.008921364730869285), ('covid19 vaccines', 0.0058115397025104544), ('covid19 vaccine', 0.005557110838166722), ('vaccinate', 0.004294870163823234), ('jab', 0.00393179175374516), ('vaccines safe', 0.0036326723425569476), ('rollout', 0.0034924371292644647)]",positive,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'covid vaccines', 'covid vaccine', 'vaccinate', 'jab', 'vaccines safe', 'rollout ']"
5,4,351,4_covid19_covid_covid19 real_posts,"[('covid19', 0.009766549641790884), ('covid', 0.008873366341657175), ('covid19 real', 0.005314258238418273), ('posts', 0.005159973279925304), ('take care', 0.004887621051567276), ('real', 0.0047719441594021505), ('measures shared', 0.00437244737299483), ('take', 0.0042405656531080355), ('posts covid', 0.0039662553434628295), ('posts covid 19', 0.0039662553434628295)]",positive,"['covid', 'covid', 'covid real', 'posts', 'take care', 'real', 'measures shared', 'take', 'posts covid', 'posts covid', '']"
6,5,347,5_mask_hands_masks_wear,"[('mask', 0.02547121863109), ('hands', 0.014673995804733839), ('masks', 0.014589953067497914), ('wear', 0.013340965237327421), ('wash', 0.011466964096049796), ('wear mask', 0.010301420024887247), ('wearing', 0.009772547404669206), ('wash hands', 0.009318818402916899), ('face', 0.00927667142125441), ('water', 0.007356593743129761)]",positive,"['mask', 'hands', 'masks', 'wear', 'wash', 'wear mask', 'wearing', 'wash hands', 'face', 'water ']"
7,6,299,6_nurse_nurses_celebrate_doctors,"[('nurse', 0.03529662557230649), ('nurses', 0.02007704733335192), ('celebrate', 0.009097264010434035), ('doctors', 0.00885285160859351), ('doctors nurses', 0.008096083376936822), ('nurse nurse', 0.006837072539385276), ('registered nurse', 0.006338935027655973), ('profession', 0.005665319212166442), ('thembi', 0.005618787290759626), ('registered', 0.00550120538087634)]",positive,"['nurse', 'nurses', 'celebrate', 'doctors', 'doctors nurses', 'nurse nurse', 'registered nurse', 'profession', 'thembi', 'registered ']"
8,7,249,7_food_food safety_health benefits_health food,"[('food', 0.02504321613135063), ('food safety', 0.014786105722346657), ('health benefits', 0.007788706599851236), ('health food', 0.007672732175866407), ('safety', 0.007378545898299353), ('benefits', 0.006914571297591633), ('eat', 0.006875119067735696), ('food essential', 0.006542762193178279), ('worldfoodsafetyday', 0.006005171397673662), ('safe food', 0.005957010842450683)]",positive,"['food', 'food safety', 'health benefits', 'health food', 'safety', 'benefits', 'eat', 'food essential', 'worldfoodsafetyday', 'safe food ']"
9,8,238,8_safe_care safe_stay safe_stay,"[('safe', 0.029480631990080244), ('care safe', 0.019528159603692672), ('stay safe', 0.017595599669005528), ('stay', 0.01734448756075704), ('take care safe', 0.01622953160446966), ('take care', 0.016149685693077755), ('good morning', 0.014899581711724038), ('morning', 0.012741399014182623), ('take', 0.012175395066068958), ('safe take', 0.010978977647806296)]",positive,"['safe', 'care safe', 'stay safe', 'stay', 'take care safe', 'take care', 'good morning', 'morning', 'take', 'safe take ']"
10,9,235,9_wealth_health wealth_happiness_money,"[('wealth', 0.04840183869312835), ('health wealth', 0.03961650495599362), ('happiness', 0.02267367260356265), ('money', 0.02092112037288713), ('wealth health', 0.020327365718200756), ('peace', 0.01305111558175719), ('financial', 0.012315471387356239), ('good health', 0.011959049057214127), ('wealth happiness', 0.011289310076773317), ('wealth health wealth', 0.010928168090882847)]",positive,"['wealth', 'health wealth', 'happiness', 'money', 'wealth health', 'peace', 'financial', 'good health', 'wealth happiness', 'wealth health wealth ']"
11,10,231,10_minister_minister health_chanda_dr jonas,"[('minister', 0.033784954081292284), ('minister health', 0.03207735254928309), ('chanda', 0.018941777832282784), ('dr jonas', 0.018048622373274748), ('jonas', 0.018048622373274748), ('dr jonas chanda', 0.017346802345685954), ('jonas chanda', 0.017346802345685954), ('health minister', 0.012595279738954246), ('dr', 0.012153932850421137), ('chanda mp', 0.012152469022250036)]",positive,"['minister', 'minister health', 'chanda', 'dr jonas', 'jonas', 'dr jonas chanda', 'jonas chanda', 'health minister', 'dr', 'chanda mp ']"
12,11,228,11_lockdown_lockdownhouseparty_since lockdown_covid19 lockdown,"[('lockdown', 0.033470391709520445), ('lockdownhouseparty', 0.007104443982573195), ('since lockdown', 0.005822585216574371), ('covid19 lockdown', 0.005291233570864182), ('pupillage', 0.004501250238910436), ('like', 0.004393903991370188), ('busy', 0.004352189562212471), ('lockdown lockdown', 0.004057865773168251), ('command', 0.003994291883726192), ('sleeping', 0.0037400675190221366)]",positive,"['lockdown', 'lockdownhouseparty', 'since lockdown', 'covid lockdown', 'pupillage', 'like', 'busy', 'lockdown lockdown', 'command', 'sleeping ']"
13,12,203,12_youth_young people_young_school,"[('youth', 0.019289860281609658), ('young people', 0.01112453419643391), ('young', 0.010921917124817541), ('school', 0.010240591972029154), ('schools', 0.008151127414844183), ('children', 0.004992191674423868), ('kids', 0.0049816726380297015), ('people', 0.004748752207557081), ('learners', 0.0045554063423888635), ('youth day', 0.00439689944330362)]",positive,"['youth', 'young people', 'young', 'school', 'schools', 'children', 'kids', 'people', 'learners', 'youth day ']"
14,13,198,13_sexual_reproductive_reproductive health_sexual reproductive,"[('sexual', 0.03365134342987158), ('reproductive', 0.026185281925010045), ('reproductive health', 0.02556705488965477), ('sexual reproductive', 0.02403669677268897), ('sexual reproductive health', 0.02385766373646046), ('rights', 0.017606917178301026), ('health rights', 0.015924457842334528), ('reproductive health rights', 0.015686014679789764), ('srhr', 0.011179599125042567), ('sexual health', 0.009047960327499436)]",positive,"['sexual', 'reproductive', 'reproductive health', 'sexual reproductive', 'sexual reproductive health', 'rights', 'health rights', 'reproductive health rights', 'srhr', 'sexual health ']"
15,14,116,14_public_gatherings_public gatherings_mask,"[('public', 0.01051095804693148), ('gatherings', 0.007596336399009778), ('public gatherings', 0.007366434064544678), ('mask', 0.007200090432136334), ('public health', 0.006972617708000756), ('coronavirus', 0.00685977175172082), ('correctional department', 0.006681797776562058), ('kip', 0.006681797776562058), ('correctional', 0.0065476389871905825), ('sanitize', 0.006099778275882364)]",positive,"['public', 'gatherings', 'public gatherings', 'mask', 'public health', 'coronavirus', 'correctional department', 'kip', 'correctional', 'sanitize ']"
16,15,115,15_gym_fitness gym_amp fitness gym_lifestyle health amp,"[('gym', 0.04213434922544208), ('fitness gym', 0.0402496423443992), ('amp fitness gym', 0.039392319973054576), ('lifestyle health amp', 0.039392319973054576), ('health amp fitness', 0.03891017124257125), ('lifestyle health', 0.0388024847587819), ('amp fitness', 0.038601410277118005), ('fitness', 0.032362404054833864), ('lifestyle', 0.030106493834102434), ('spinning', 0.028278353851513265)]",positive,"['gym', 'fitness gym', 'amp fitness gym', 'lifestyle health amp', 'health amp fitness', 'lifestyle health', 'amp fitness', 'fitness', 'lifestyle', 'spinning ']"
17,16,110,16_nurses day_international nurses_international nurses day_happy international,"[('nurses day', 0.07823137239233473), ('international nurses', 0.05278200088073043), ('international nurses day', 0.05189252717148502), ('happy international', 0.051813175535003766), ('international', 0.04906712520422876), ('nurses', 0.04800821332205876), ('happy international nurses', 0.04469238569808061), ('day', 0.04014546733000326), ('happy nurses day', 0.03874648100394957), ('happy nurses', 0.03785767529800463)]",positive,"['nurses day', 'international nurses', 'international nurses day', 'happy international', 'international', 'nurses', 'happy international nurses', 'day', 'happy nurses day', 'happy nurses ']"
18,17,109,17_iphone_battery health_battery_condition,"[('iphone', 0.06474974783849115), ('battery health', 0.06238719683573414), ('battery', 0.06087092010456344), ('condition', 0.0532370150712625), ('dopetech', 0.04867950353677608), ('dopetech zimbabwe', 0.04821838713225746), ('dopetechzimbabwe', 0.04728966708260663), ('zimbabwe iphone', 0.04685408827103745), ('dopetech zimbabwe iphone', 0.04590748215910221), ('gigabytes', 0.03763251666698256)]",positive,"['iphone', 'battery health', 'battery', 'condition', 'dopetech', 'dopetech zimbabwe', 'dopetechzimbabwe', 'zimbabwe iphone', 'dopetech zimbabwe iphone', 'gigabytes ']"
19,18,108,18_appreciate_appreciate appreciate_appreciate thank_thank,"[('appreciate', 0.09913568278990077), ('appreciate appreciate', 0.04327755124278815), ('appreciate thank', 0.03725907816991018), ('thank', 0.03705614938726468), ('really appreciate', 0.03235214082467935), ('thank much', 0.031279173234591826), ('thank appreciate', 0.028081756860349676), ('bro', 0.02510952791582853), ('much', 0.023598431446536), ('really', 0.021334726802287825)]",positive,"['appreciate', 'appreciate appreciate', 'appreciate thank', 'thank', 'really appreciate', 'thank much', 'thank appreciate', 'bro', 'much', 'really ']"
