Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,6044,-1_health_amp_people_help,"[('health', 0.010482709239969091), ('amp', 0.008031878984736056), ('people', 0.006287785786573663), ('help', 0.005622620406066181), ('care', 0.004787639075505653), ('dont', 0.004631077517481956), ('covid', 0.0044545258135603874), ('get', 0.003991267711546111), ('covid19', 0.0037915364194637986), ('public', 0.0037532372613475603)]",negative,"['health', 'amp', 'people', 'help', 'care', 'dont', 'covid', 'get', 'covid', 'public ']"
1,0,9868,0_health_covid19_covid_amp,"[('health', 0.009894798972720834), ('covid19', 0.007483997651950139), ('covid', 0.006742960650084842), ('amp', 0.006530309221533597), ('people', 0.006304287578912768), ('help', 0.005914040870672795), ('nursing', 0.0048967378306418625), ('nurses', 0.004826294370332767), ('care', 0.00465007774957647), ('mental', 0.0045292786040308335)]",negative,"['health', 'covid', 'covid', 'amp', 'people', 'help', 'nursing', 'nurses', 'care', 'mental ']"
2,1,58,1_diabetes_diet_obesity_health,"[('diabetes', 0.031115876074007887), ('diet', 0.030310384084635583), ('obesity', 0.02679024189751433), ('health', 0.02028047032986233), ('eat', 0.014899407356611133), ('lazy', 0.01320815133771521), ('rates', 0.012862315599995046), ('food', 0.012628080619360584), ('vegan', 0.012217505453449976), ('people', 0.011622398463993055)]",negative,"['diabetes', 'diet', 'obesity', 'health', 'eat', 'lazy', 'rates', 'food', 'vegan', 'people ']"
3,2,48,2_jab_thank next_next please_jab thank next,"[('jab', 0.059311972598477536), ('thank next', 0.04171260397146085), ('next please', 0.04171260397146085), ('jab thank next', 0.04171260397146085), ('thank next please', 0.04171260397146085), ('jab thank', 0.04136813259851338), ('nurse', 0.03583429459242757), ('vaccine', 0.03525637161240492), ('please jab', 0.03251054756056625), ('please jab thank', 0.03251054756056625)]",negative,"['jab', 'thank next', 'next please', 'jab thank next', 'thank next please', 'jab thank', 'nurse', 'vaccine', 'please jab', 'please jab thank ']"
4,3,44,3_flu_remember people_social distance_vaccination,"[('flu', 0.05106610949389551), ('remember people', 0.045034532895882995), ('social distance', 0.04495260982243039), ('vaccination', 0.0423589634229091), ('distance', 0.04140988675792202), ('hands social', 0.04040140409183476), ('social distance wear', 0.04040140409183476), ('distance wear face', 0.04040140409183476), ('trust health professionals', 0.04040140409183476), ('wash hands social', 0.04040140409183476)]",negative,"['flu', 'remember people', 'social distance', 'vaccination', 'distance', 'hands social', 'social distance wear', 'distance wear face', 'trust health professionals', 'wash hands social ']"
5,4,44,4_vaping_smoking_tobacco_health,"[('vaping', 0.04374850075372676), ('smoking', 0.036611465356924805), ('tobacco', 0.026535096736585623), ('health', 0.021706712668669116), ('smokers', 0.017442732042769644), ('sugar', 0.01654072844263866), ('tax', 0.013574318318556586), ('nicotine', 0.013516878100240456), ('cigarettes', 0.013141352699167552), ('smoke', 0.012921693655385227)]",negative,"['vaping', 'smoking', 'tobacco', 'health', 'smokers', 'sugar', 'tax', 'nicotine', 'cigarettes', 'smoke ']"
6,5,35,5_animals_animal_vet_dog,"[('animals', 0.03995752722722604), ('animal', 0.03209759409815263), ('vet', 0.028368958691922058), ('dog', 0.02204735046038843), ('doggie', 0.02199510096720735), ('doggo', 0.02199510096720735), ('veterinary', 0.018057991358255827), ('help', 0.014373799881490075), ('safety welfare', 0.013990141549416215), ('able move around', 0.013990141549416215)]",negative,"['animals', 'animal', 'vet', 'dog', 'doggie', 'doggo', 'veterinary', 'help', 'safety welfare', 'able move around ']"
7,6,33,6_pfizer_pfizer vaccine_astrazeneca_vaccine,"[('pfizer', 0.08056696946983866), ('pfizer vaccine', 0.02926419982850641), ('astrazeneca', 0.02829447027719732), ('vaccine', 0.02532423881673013), ('frontline hotel', 0.015715333019887503), ('vaccinate frontline hotel', 0.015715333019887503), ('state says today', 0.015715333019887503), ('theyre clearly', 0.015715333019887503), ('pfizer hubs', 0.015715333019887503), ('tell us issues', 0.015715333019887503)]",negative,"['pfizer', 'pfizer vaccine', 'astrazeneca', 'vaccine', 'frontline hotel', 'vaccinate frontline hotel', 'state says today', 'theyre clearly', 'pfizer hubs', 'tell us issues ']"
8,7,33,7_murdoch_murdochs_news_slammed family,"[('murdoch', 0.043424703585174265), ('murdochs', 0.01861038816721427), ('news', 0.016283576896356376), ('slammed family', 0.0159088186521433), ('got slammed', 0.0159088186521433), ('also got slammed', 0.0159088186521433), ('covid19 victim', 0.0159088186521433), ('covid19 victim died', 0.0159088186521433), ('fakery', 0.0159088186521433), ('news didnt spare', 0.0159088186521433)]",negative,"['murdoch', 'murdochs', 'news', 'slammed family', 'got slammed', 'also got slammed', 'covid victim', 'covid victim died', 'fakery', 'news didnt spare ']"
9,8,33,8_bitter_week many us_week many_lockdown,"[('bitter', 0.02645469892354186), ('week many us', 0.022296584971262554), ('week many', 0.021883421582145252), ('lockdown', 0.02177622304165605), ('vaccine', 0.02068751885675163), ('victoria', 0.019353964057214193), ('nsw', 0.01863366109737344), ('victorians', 0.017999213141797126), ('many us', 0.017811550535195148), ('alarm', 0.01600642564539347)]",negative,"['bitter', 'week many us', 'week many', 'lockdown', 'vaccine', 'victoria', 'nsw', 'victorians', 'many us', 'alarm ']"
10,9,32,9_clapping_clap_clapping health_workers,"[('clapping', 0.10362165908519015), ('clap', 0.04983144820102956), ('clapping health', 0.04076777546216143), ('workers', 0.03019820087537951), ('cheering', 0.02905728569696217), ('clapping health industry', 0.02850330008509008), ('britons clap carers', 0.02850330008509008), ('britons clap', 0.02850330008509008), ('clapping cheering', 0.02777420592721869), ('britons', 0.02717851697477429)]",negative,"['clapping', 'clap', 'clapping health', 'workers', 'cheering', 'clapping health industry', 'britons clap carers', 'britons clap', 'clapping cheering', 'britons ']"
11,10,30,10_gyms_gym_fitness_mental health,"[('gyms', 0.046108976376124246), ('gym', 0.03468120542562359), ('fitness', 0.029705772116728046), ('mental health', 0.02278106716061484), ('mental', 0.0221605928575221), ('health', 0.021371732534893356), ('good tips', 0.017946522275797457), ('venues', 0.01752418698210372), ('tips', 0.015369658792041418), ('exercising', 0.01511533506134509)]",negative,"['gyms', 'gym', 'fitness', 'mental health', 'mental', 'health', 'good tips', 'venues', 'tips', 'exercising ']"
12,11,27,11_covid_important research researchs_healthcare medtwitter_researchs,"[('covid', 0.03199672757841792), ('important research researchs', 0.025012409606859947), ('healthcare medtwitter', 0.025012409606859947), ('researchs', 0.025012409606859947), ('pretesting important research', 0.025012409606859947), ('victoria make', 0.025012409606859947), ('researchs sake', 0.025012409606859947), ('victoria make surgical', 0.025012409606859947), ('could used save', 0.025012409606859947), ('surgical pretesting', 0.025012409606859947)]",negative,"['covid', 'important research researchs', 'healthcare medtwitter', 'researchs', 'pretesting important research', 'victoria make', 'researchs sake', 'victoria make surgical', 'could used save', 'surgical pretesting ']"
13,12,26,12_thrown_deserve_respect_cash,"[('thrown', 0.06596461165141773), ('deserve', 0.05809515547902765), ('respect', 0.045524866638854036), ('cash', 0.04396673770183442), ('sector please', 0.04040353780178844), ('like scraps thrown', 0.04040353780178844), ('increase surprising', 0.04040353780178844), ('respect amp thrown', 0.04040353780178844), ('disgraceful amp shameful', 0.04040353780178844), ('cash bonuses', 0.04040353780178844)]",negative,"['thrown', 'deserve', 'respect', 'cash', 'sector please', 'like scraps thrown', 'increase surprising', 'respect amp thrown', 'disgraceful amp shameful', 'cash bonuses ']"
14,13,26,13_coronavirus_children_vaughn_easter brody,"[('coronavirus', 0.03846261069994429), ('children', 0.03680901769326302), ('vaughn', 0.02920586602655986), ('easter brody', 0.02920586602655986), ('brody', 0.02920586602655986), ('brody every', 0.02920586602655986), ('brody every single', 0.02920586602655986), ('coronavirus covid', 0.02920586602655986), ('coronavirus covid covid19', 0.02920586602655986), ('coronavirus vaughn', 0.02920586602655986)]",negative,"['coronavirus', 'children', 'vaughn', 'easter brody', 'brody', 'brody every', 'brody every single', 'coronavirus covid', 'coronavirus covid covid', 'coronavirus vaughn ']"
15,14,24,14_hairdressers_hairdressing_hair_clients,"[('hairdressers', 0.06826897213585348), ('hairdressing', 0.05174472897931755), ('hair', 0.03416645215969494), ('clients', 0.0287271116024999), ('hairdressing salons', 0.02631073854008315), ('salons', 0.025637728548201868), ('telehealth', 0.020785169028869073), ('salons protect', 0.020383826148923177), ('salons protect health', 0.020383826148923177), ('medtwitter dermatology dermatologia', 0.020383826148923177)]",negative,"['hairdressers', 'hairdressing', 'hair', 'clients', 'hairdressing salons', 'salons', 'telehealth', 'salons protect', 'salons protect health', 'medtwitter dermatology dermatologia ']"
16,15,20,15_connected_stafford_man_nurse,"[('connected', 0.08957514314384221), ('stafford', 0.06092766442696654), ('man', 0.054400665616046), ('nurse', 0.0533532830598366), ('connected stafford', 0.04259833858870605), ('stafford man', 0.04259833858870605), ('man connected', 0.04259833858870605), ('man connected stafford', 0.04259833858870605), ('strathpine', 0.04259833858870605), ('strathpine man', 0.04259833858870605)]",negative,"['connected', 'stafford', 'man', 'nurse', 'connected stafford', 'stafford man', 'man connected', 'man connected stafford', 'strathpine', 'strathpine man ']"
17,16,18,16_free_medicare_fine pay_vaccine think usa,"[('free', 0.08815127336649076), ('medicare', 0.0506251245251406), ('fine pay', 0.028573332763431825), ('vaccine think usa', 0.028573332763431825), ('pay hospital', 0.028573332763431825), ('testing free', 0.028573332763431825), ('treatment hospital', 0.028573332763431825), ('testing free vaccine', 0.028573332763431825), ('treatment hospital free', 0.028573332763431825), ('free free', 0.028573332763431825)]",negative,"['free', 'medicare', 'fine pay', 'vaccine think usa', 'pay hospital', 'testing free', 'treatment hospital', 'testing free vaccine', 'treatment hospital free', 'free free ']"
18,17,17,17_mori_stigmabase_view article_article stigmabase,"[('mori', 0.08924545784809904), ('stigmabase', 0.0887838858895964), ('view article', 0.06313532593860871), ('article stigmabase', 0.058602098431514295), ('view article stigmabase', 0.058602098431514295), ('view', 0.05709135626058183), ('mori health', 0.05019735573960681), ('article', 0.04959144332510968), ('mori health services', 0.03497492598242354), ('maori', 0.03359060185242872)]",negative,"['mori', 'stigmabase', 'view article', 'article stigmabase', 'view article stigmabase', 'view', 'mori health', 'article', 'mori health services', 'maori ']"
