Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1409,-1_health_people_amp_help,"[('health', 0.008483374398865087), ('people', 0.00455502434141879), ('amp', 0.0044580364786568315), ('help', 0.004270094705754189), ('would', 0.00412813535582864), ('appreciate', 0.003923569255404243), ('care', 0.0037574145457001857), ('need', 0.003729589023348111), ('mental', 0.003637193766164409), ('dont', 0.0035740233384263416)]",neutral,"['health', 'people', 'amp', 'help', 'would', 'appreciate', 'care', 'need', 'mental', 'dont ']"
1,0,597,0_nursing_care_nurses_nurse,"[('nursing', 0.010497821515781039), ('care', 0.008417496462858035), ('nurses', 0.008359112294863365), ('nurse', 0.007822572788349764), ('covid', 0.006438984622384269), ('aged', 0.00602380678124019), ('health', 0.005997367592639528), ('homes', 0.005931132830759572), ('covid19', 0.005639373303008011), ('nursing homes', 0.005212673292456606)]",neutral,"['nursing', 'care', 'nurses', 'nurse', 'covid', 'aged', 'health', 'homes', 'covid', 'nursing homes ']"
2,1,274,1_mental_mental health_health_help,"[('mental', 0.03244330279656153), ('mental health', 0.0318285367309776), ('health', 0.016610980576000935), ('help', 0.01144957688332353), ('issues', 0.006513880966202824), ('mental health issues', 0.006037387827285098), ('support', 0.0059131800594304515), ('need', 0.005825803408431962), ('health issues', 0.0055063204132896944), ('people', 0.0053588208608022925)]",neutral,"['mental', 'mental health', 'health', 'help', 'issues', 'mental health issues', 'support', 'need', 'health issues', 'people ']"
3,2,247,2_vaccine_amp_vaccines_vaccinated,"[('vaccine', 0.016300065733967663), ('amp', 0.015233832297458736), ('vaccines', 0.00952569978681459), ('vaccinated', 0.006382485312376407), ('vaccination', 0.006076825802600781), ('covid', 0.005480090607216372), ('people', 0.00493079844871512), ('public', 0.00467159462807547), ('good', 0.004565206873366781), ('health', 0.004272915865811011)]",neutral,"['vaccine', 'amp', 'vaccines', 'vaccinated', 'vaccination', 'covid', 'people', 'public', 'good', 'health ']"
4,3,171,3_mask_masks_wearing_wear,"[('mask', 0.03550052055251848), ('masks', 0.023803757383893096), ('wearing', 0.017362051361008605), ('wear', 0.010354009092342608), ('wear mask', 0.007419967034167774), ('wearing mask', 0.006600782741893912), ('using', 0.006583651035254519), ('people', 0.005950255121251048), ('health', 0.0057347470263922565), ('distancing', 0.005611841077284546)]",neutral,"['mask', 'masks', 'wearing', 'wear', 'wear mask', 'wearing mask', 'using', 'people', 'health', 'distancing ']"
5,4,137,4_housing_health_education_would,"[('housing', 0.022665413667773433), ('health', 0.01291519972190492), ('education', 0.010052917392547251), ('would', 0.008642122443659797), ('better', 0.00862178390886898), ('social', 0.007377617781410888), ('social housing', 0.006473310943783852), ('public', 0.006390623755993746), ('costs', 0.00611292342747585), ('cost', 0.005938947785131907)]",neutral,"['housing', 'health', 'education', 'would', 'better', 'social', 'social housing', 'public', 'costs', 'cost ']"
6,5,108,5_singapore_covid19_countries_coronavirus,"[('singapore', 0.04850063342783819), ('covid19', 0.01221104376392996), ('countries', 0.011178575544592643), ('coronavirus', 0.008463136184620416), ('hong kong', 0.007741032971962755), ('hong', 0.007741032971962755), ('international', 0.007727804707732789), ('kong', 0.007589767048787833), ('arrivals', 0.007220522921748976), ('covid', 0.006873584241003087)]",neutral,"['singapore', 'covid', 'countries', 'coronavirus', 'hong kong', 'hong', 'international', 'kong', 'arrivals', 'covid ']"
7,6,60,6_vaccination_ethnic_sector_workers,"[('vaccination', 0.01940142826789436), ('ethnic', 0.013183946780374066), ('sector', 0.012699854553069326), ('workers', 0.012052206650663684), ('compulsory', 0.011960744228305656), ('hubs', 0.01131053175434593), ('vaccination hubs', 0.01131053175434593), ('law', 0.010450047781627213), ('health safety', 0.009844832312044699), ('help', 0.009648870125316308)]",neutral,"['vaccination', 'ethnic', 'sector', 'workers', 'compulsory', 'hubs', 'vaccination hubs', 'law', 'health safety', 'help ']"
8,7,56,7_quarantine_hotel_tested_hotel quarantine,"[('quarantine', 0.042026487968221), ('hotel', 0.01749287662761235), ('tested', 0.010748388350261092), ('hotel quarantine', 0.010442530007641152), ('sa', 0.01038071208860525), ('positive', 0.01034854470491292), ('circuitbreaker', 0.010054188741988735), ('tested negative', 0.010054188741988735), ('community', 0.009434994639479598), ('community transmission', 0.00895074000654956)]",neutral,"['quarantine', 'hotel', 'tested', 'hotel quarantine', 'sa', 'positive', 'circuitbreaker', 'tested negative', 'community', 'community transmission ']"
9,8,45,8_politicians_election_public health_political,"[('politicians', 0.019360143925136887), ('election', 0.014203383771112967), ('public health', 0.013775820964753788), ('political', 0.012600835761851137), ('bu', 0.012055365297915215), ('pushing', 0.011716795474062392), ('public', 0.011040943721292764), ('isnt', 0.010762823694283039), ('trump', 0.010430875398257624), ('overruling', 0.009975894973305161)]",neutral,"['politicians', 'election', 'public health', 'political', 'bu', 'pushing', 'public', 'isnt', 'trump', 'overruling ']"
