Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1149,-1_health_covid19_help_hospital,"[('health', 0.01081070943893534), ('covid19', 0.008200180243610033), ('help', 0.007779078682383317), ('hospital', 0.006962354041727119), ('people', 0.006804615111913124), ('covid', 0.006633198415249369), ('amp', 0.006208179063211672), ('please', 0.005580296336427873), ('sir', 0.005222807787915662), ('time', 0.004794445339269984)]",negative,"['health', 'covid', 'help', 'hospital', 'people', 'covid', 'amp', 'please', 'sir', 'time ']"
1,0,1244,0_covid19_help_amp_covid,"[('covid19', 0.011689807537970094), ('help', 0.010759945618548114), ('amp', 0.008528940746960888), ('covid', 0.008123695101297687), ('hospital', 0.007871506991535002), ('sir', 0.007330354556501943), ('please', 0.007053718083752882), ('health', 0.007050364278779029), ('cases', 0.0058989449785255025), ('due', 0.0051638995371390195)]",negative,"['covid', 'help', 'amp', 'covid', 'hospital', 'sir', 'please', 'health', 'cases', 'due ']"
2,1,152,1_mental_mental health_students_health,"[('mental', 0.03277918465663409), ('mental health', 0.028921623152466408), ('students', 0.02469879258600318), ('health', 0.021048215021314768), ('exam', 0.01615390008886254), ('exams', 0.013614350708556109), ('covid', 0.012410262957254382), ('dsssb', 0.011705115798503684), ('depression', 0.009722674453149413), ('dont', 0.00802343941530639)]",negative,"['mental', 'mental health', 'students', 'health', 'exam', 'exams', 'covid', 'dsssb', 'depression', 'dont ']"
3,2,151,2_vaccine_vaccination_vaccinated_vaccines,"[('vaccine', 0.04432061464220633), ('vaccination', 0.024299321699763718), ('vaccinated', 0.01647089715318099), ('vaccines', 0.01548684087539294), ('people', 0.009974251573934669), ('india', 0.009324598979976811), ('getting', 0.007716292992701205), ('dose', 0.007686418671484463), ('get', 0.007367882618893785), ('health', 0.007213210151965338)]",negative,"['vaccine', 'vaccination', 'vaccinated', 'vaccines', 'people', 'india', 'getting', 'dose', 'get', 'health ']"
4,3,69,3_test_tested_positive_covid,"[('test', 0.031846561522142575), ('tested', 0.026066363097253915), ('positive', 0.022277894705136685), ('covid', 0.017774384737407004), ('testing', 0.016617609968752674), ('tested positive', 0.015817159816315235), ('hospital', 0.01294217669425086), ('covid19', 0.012440679696428685), ('negative', 0.01127030500185486), ('pcr', 0.010299496981763297)]",negative,"['test', 'tested', 'positive', 'covid', 'testing', 'tested positive', 'hospital', 'covid', 'negative', 'pcr ']"
5,4,57,4_oxygen_hospital_level_help,"[('oxygen', 0.06169341162786841), ('hospital', 0.020516250548209356), ('level', 0.017599624839623688), ('help', 0.016902763700644845), ('bed', 0.01538759063185211), ('oxygen cylinders', 0.015320982303019388), ('oxygen level', 0.01510235353876935), ('cylinders', 0.015077062720037622), ('need', 0.014079187329488417), ('need oxygen', 0.013861068544110622)]",negative,"['oxygen', 'hospital', 'level', 'help', 'bed', 'oxygen cylinders', 'oxygen level', 'cylinders', 'need', 'need oxygen ']"
6,5,54,5_mask_masks_wearing_wear,"[('mask', 0.06756316928329956), ('masks', 0.025264209717851285), ('wearing', 0.021183191214448494), ('wear', 0.016182961313852284), ('using', 0.011054972208501438), ('people', 0.01078515364964202), ('citizens', 0.009977508868474625), ('wearing mask', 0.009938066653412646), ('dont', 0.009809982441143672), ('without', 0.009224226695965404)]",negative,"['mask', 'masks', 'wearing', 'wear', 'using', 'people', 'citizens', 'wearing mask', 'dont', 'without ']"
7,6,43,6_sant_asharamji_shri asharamji_sant shri,"[('sant', 0.061249464546366275), ('asharamji', 0.06019846725563963), ('shri asharamji', 0.06019846725563963), ('sant shri', 0.06019846725563963), ('sant shri asharamji', 0.06019846725563963), ('bail', 0.054887348632964954), ('shri', 0.05348946934043223), ('shri asharamji bapu', 0.05213396261771557), ('bapu', 0.05213396261771557), ('asharamji bapu', 0.05213396261771557)]",negative,"['sant', 'asharamji', 'shri asharamji', 'sant shri', 'sant shri asharamji', 'bail', 'shri', 'shri asharamji bapu', 'bapu', 'asharamji bapu ']"
8,7,41,7_nosal_feet_gloves_mask,"[('nosal', 0.028282853841075838), ('feet', 0.027594482032405415), ('gloves', 0.02592594935431952), ('mask', 0.017365229191879626), ('social', 0.017356455908523243), ('person', 0.016820674525564842), ('sanitizer', 0.01628981151798707), ('person feet', 0.01569007994050168), ('nosal feet', 0.01569007994050168), ('feet nosal', 0.01569007994050168)]",negative,"['nosal', 'feet', 'gloves', 'mask', 'social', 'person', 'sanitizer', 'person feet', 'nosal feet', 'feet nosal ']"
9,8,39,8_tobacco_worldnotobaccoday_health_worldnotobaccoday2022,"[('tobacco', 0.09050935869222317), ('worldnotobaccoday', 0.04201312328971874), ('health', 0.02920492143410683), ('worldnotobaccoday2022', 0.028299563620146042), ('smoking', 0.020894801970835725), ('tobacco day', 0.020894801970835725), ('worldnotobaccoday worldnotobaccoday2022', 0.020894801970835725), ('notobaccoday', 0.020894801970835725), ('million people', 0.020488505037949415), ('every year', 0.01951982406683666)]",negative,"['tobacco', 'worldnotobaccoday', 'health', 'worldnotobaccoday', 'smoking', 'tobacco day', 'worldnotobaccoday worldnotobaccoday', 'notobaccoday', 'million people', 'every year ']"
