Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2030,-1_covid19_help_covid_amp,"[('covid19', 0.006720324655239061), ('help', 0.005876004477616139), ('covid', 0.005212127091228832), ('amp', 0.005164616261150818), ('health', 0.004915920336371641), ('care', 0.0041017910705688125), ('stay', 0.004026326202237229), ('people', 0.0040183024601601145), ('us', 0.0037979638553744), ('workers', 0.00362661673377405)]",positive,"['covid', 'help', 'covid', 'amp', 'health', 'care', 'stay', 'people', 'us', 'workers ']"
1,0,1833,0_covid19_birthday_amp_covid,"[('covid19', 0.007842773322882012), ('birthday', 0.006547018313373858), ('amp', 0.006085186539861675), ('covid', 0.005548099378894805), ('health', 0.005242738318242864), ('help', 0.005040543813314364), ('thank', 0.004959836385886191), ('happy birthday', 0.004824269722040641), ('shri', 0.004771210551115834), ('hospital', 0.0047143984746937356)]",positive,"['covid', 'birthday', 'amp', 'covid', 'health', 'help', 'thank', 'happy birthday', 'shri', 'hospital ']"
2,1,379,1_wish happy healthy_happy healthy_wish happy_wish,"[('wish happy healthy', 0.0421227643253232), ('happy healthy', 0.04177306932647979), ('wish happy', 0.041063935751202874), ('wish', 0.03732153032065394), ('healthy', 0.03606259086124317), ('morning wish happy', 0.035172147331208804), ('good morning wish', 0.035172147331208804), ('morning wish', 0.035172147331208804), ('happy', 0.03240735686618789), ('healthy sunday happiness', 0.030889955658600702)]",positive,"['wish happy healthy', 'happy healthy', 'wish happy', 'wish', 'healthy', 'morning wish happy', 'good morning wish', 'morning wish', 'happy', 'healthy sunday happiness ']"
3,2,320,2_bhaijan_dua bhaijan_remember dua bhaijan_dua bhaijan assalamu,"[('bhaijan', 0.053745444496118434), ('dua bhaijan', 0.03407557626859251), ('remember dua bhaijan', 0.033708783217714075), ('dua bhaijan assalamu', 0.0331376082228568), ('bhaijan assalamu', 0.0331376082228568), ('dua', 0.03251688816789548), ('assalamu', 0.031563841111837396), ('assalamu alaikum bhaijan', 0.03149695468647739), ('alaikum bhaijan', 0.03149695468647739), ('remember dua', 0.030951117335539288)]",positive,"['bhaijan', 'dua bhaijan', 'remember dua bhaijan', 'dua bhaijan assalamu', 'bhaijan assalamu', 'dua', 'assalamu', 'assalamu alaikum bhaijan', 'alaikum bhaijan', 'remember dua ']"
4,3,216,3_sister_assalamu alaikum sister_alaikum sister_assalamu alaikum,"[('sister', 0.043254379753199734), ('assalamu alaikum sister', 0.0421426389977993), ('alaikum sister', 0.0421426389977993), ('assalamu alaikum', 0.03443143392488916), ('alaikum', 0.03443143392488916), ('assalamu', 0.03309306233190405), ('sister assalamu', 0.030622723388796562), ('sister assalamu alaikum', 0.030269666778737946), ('dua sister assalamu', 0.02970840756463952), ('remember dua sister', 0.02836842485651524)]",positive,"['sister', 'assalamu alaikum sister', 'alaikum sister', 'assalamu alaikum', 'alaikum', 'assalamu', 'sister assalamu', 'sister assalamu alaikum', 'dua sister assalamu', 'remember dua sister ']"
5,4,211,4_friday_friday happiness_friday happiness life_blessed friday happiness,"[('friday', 0.06874927266924212), ('friday happiness', 0.06837882581248567), ('friday happiness life', 0.06837882581248567), ('blessed friday happiness', 0.06837882581248567), ('blessed friday', 0.06837882581248567), ('blessed', 0.06301966951382924), ('good morning blessed', 0.05003590239021836), ('morning blessed', 0.05003590239021836), ('morning blessed friday', 0.05003590239021836), ('good', 0.03304951956858436)]",positive,"['friday', 'friday happiness', 'friday happiness life', 'blessed friday happiness', 'blessed friday', 'blessed', 'good morning blessed', 'morning blessed', 'morning blessed friday', 'good ']"
6,5,189,5_good morning sister_morning sister_sister_morning sister wonderful,"[('good morning sister', 0.05139869231711208), ('morning sister', 0.05139869231711208), ('sister', 0.041639725892076214), ('morning sister wonderful', 0.03112049800999809), ('good', 0.02697847571102315), ('sister wonderful', 0.026854484595840417), ('sister wonderful day', 0.026233595389556285), ('morning sister wish', 0.026026724021935697), ('good morning', 0.02567540726332913), ('morning', 0.025319637658730614)]",positive,"['good morning sister', 'morning sister', 'sister', 'morning sister wonderful', 'good', 'sister wonderful', 'sister wonderful day', 'morning sister wish', 'good morning', 'morning ']"
7,6,185,6_mangalmay tuesday_mangalmay_tuesday happiness life_tuesday happiness,"[('mangalmay tuesday', 0.08073327549153655), ('mangalmay', 0.08073327549153655), ('tuesday happiness life', 0.08073327549153655), ('tuesday happiness', 0.08073327549153655), ('mangalmay tuesday happiness', 0.08073327549153655), ('tuesday', 0.08049432191735736), ('morning mangalmay', 0.049380912355989695), ('morning mangalmay tuesday', 0.049380912355989695), ('good morning mangalmay', 0.049380912355989695), ('morning sir mangalmay', 0.03392297295497206)]",positive,"['mangalmay tuesday', 'mangalmay', 'tuesday happiness life', 'tuesday happiness', 'mangalmay tuesday happiness', 'tuesday', 'morning mangalmay', 'morning mangalmay tuesday', 'good morning mangalmay', 'morning sir mangalmay ']"
8,7,175,7_health good morning_good health good_health good_morning wonderful day,"[('health good morning', 0.06471837946670872), ('good health good', 0.06457529320444079), ('health good', 0.06401104143837233), ('morning wonderful day', 0.05992459977795954), ('day happiness', 0.05930510171333539), ('day happiness life', 0.05930510171333539), ('good morning wonderful', 0.05928935629026036), ('morning wonderful', 0.057089666749568245), ('day', 0.04652051344055852), ('good', 0.04352266090212336)]",positive,"['health good morning', 'good health good', 'health good', 'morning wonderful day', 'day happiness', 'day happiness life', 'good morning wonderful', 'morning wonderful', 'day', 'good ']"
9,8,169,8_safe_leave safe_leave_kindly leave safe,"[('safe', 0.0369557091833783), ('leave safe', 0.025146649385104754), ('leave', 0.02448937654313226), ('kindly leave safe', 0.02073642323623216), ('kindly leave', 0.020671577325810448), ('stay', 0.018226139572033426), ('sir', 0.018092625726059672), ('kindly', 0.017907061149005823), ('stay safe', 0.017715019617767072), ('safe good', 0.017192281089867367)]",positive,"['safe', 'leave safe', 'leave', 'kindly leave safe', 'kindly leave', 'stay', 'sir', 'kindly', 'stay safe', 'safe good ']"
