Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1281,-1_health_care_people_help,"[('health', 0.010610438394453643), ('care', 0.006886412843697046), ('people', 0.006833405677211455), ('help', 0.006294650877537158), ('covid', 0.0060201455601882475), ('covid19', 0.0059350411197191125), ('amp', 0.0054650126204366985), ('get', 0.004911050325278344), ('health care', 0.004602248927667042), ('healthcare', 0.004310219685313151)]",negative,"['health', 'care', 'people', 'help', 'covid', 'covid', 'amp', 'get', 'health care', 'healthcare ']"
1,0,165,0_mental_mental health_health_help,"[('mental', 0.03547913037763988), ('mental health', 0.03384667090339628), ('health', 0.02051324546911848), ('help', 0.014731718991659721), ('people', 0.011194735108342645), ('issues', 0.007550257638061614), ('dont', 0.006863904869096125), ('mental health issues', 0.006853416275186672), ('health issues', 0.006753618677474559), ('im', 0.006073675723195894)]",negative,"['mental', 'mental health', 'health', 'help', 'people', 'issues', 'dont', 'mental health issues', 'health issues', 'im ']"
2,1,145,1_alberta_health_care_government,"[('alberta', 0.013899016653219876), ('health', 0.0132007952640215), ('care', 0.011536865849946093), ('government', 0.010839347941937801), ('health care', 0.008862234480375585), ('canada', 0.008344074084918128), ('covid', 0.008014481247671226), ('trudeau', 0.0071589555625709116), ('albertans', 0.006721926661604393), ('public', 0.006126920483377837)]",negative,"['alberta', 'health', 'care', 'government', 'health care', 'canada', 'covid', 'trudeau', 'albertans', 'public ']"
3,2,99,2_mask_wear_masks_wearing,"[('mask', 0.04219890839130706), ('wear', 0.025490715494907407), ('masks', 0.02114434405358473), ('wearing', 0.020347123208560747), ('wear mask', 0.016555824328379296), ('wearing mask', 0.013774938225446854), ('face', 0.00929648896433386), ('health', 0.006595733040044665), ('dont', 0.006555481581878823), ('covid', 0.0065378100435319044)]",negative,"['mask', 'wear', 'masks', 'wearing', 'wear mask', 'wearing mask', 'face', 'health', 'dont', 'covid ']"
4,3,87,3_covid_housing_trump_etc,"[('covid', 0.015788375401126646), ('housing', 0.010764619773107545), ('trump', 0.009670078985404725), ('etc', 0.007658332123032496), ('taxes', 0.007458150430848703), ('dont', 0.007449906347356188), ('covid19', 0.007327111851954208), ('youre', 0.007260650603822349), ('like', 0.007201550095987582), ('tax', 0.006777509803281881)]",negative,"['covid', 'housing', 'trump', 'etc', 'taxes', 'dont', 'covid', 'youre', 'like', 'tax ']"
5,4,85,4_amp_health_safety_science,"[('amp', 0.0332094482432582), ('health', 0.011371709752414336), ('safety', 0.009588251143037014), ('science', 0.009243100891079043), ('public', 0.008441217200109175), ('harm', 0.008216855466765647), ('public health', 0.0072701295611434895), ('trust', 0.006902286306930562), ('people', 0.006895451396615532), ('experts', 0.006783208795458156)]",negative,"['amp', 'health', 'safety', 'science', 'public', 'harm', 'public health', 'trust', 'people', 'experts ']"
6,5,79,5_guns_gun_mental_mental health,"[('guns', 0.03146131543903366), ('gun', 0.02999442990708939), ('mental', 0.026135630772631188), ('mental health', 0.02450600014065572), ('shootings', 0.021831220470485302), ('mass', 0.02059600694762124), ('mass shootings', 0.017290149287321734), ('health', 0.01548968489025942), ('problem', 0.015082219668390968), ('people', 0.010069273419585233)]",negative,"['guns', 'gun', 'mental', 'mental health', 'shootings', 'mass', 'mass shootings', 'health', 'problem', 'people ']"
7,6,51,6_nursing_homes_nursing home_nursing homes,"[('nursing', 0.06032213624735806), ('homes', 0.04206129554375901), ('nursing home', 0.03951500893622755), ('nursing homes', 0.03755756066685632), ('home', 0.0318124751423721), ('covid', 0.02361172791793616), ('patients', 0.021384406599448434), ('elderly', 0.01735203231204905), ('led', 0.015424028721821375), ('pennsylvania', 0.014746989439934183)]",negative,"['nursing', 'homes', 'nursing home', 'nursing homes', 'home', 'covid', 'patients', 'elderly', 'led', 'pennsylvania ']"
8,7,45,7_vaccine_vaccines_vaccinated_get vaccine,"[('vaccine', 0.05516011516215766), ('vaccines', 0.023361909600632388), ('vaccinated', 0.015792473131112594), ('get vaccine', 0.014461018093457416), ('get', 0.01181531176468575), ('virus', 0.011495428708300661), ('people', 0.010112048935638078), ('big', 0.009807857946804313), ('person', 0.009677179051360979), ('choice', 0.009646888190550505)]",negative,"['vaccine', 'vaccines', 'vaccinated', 'get vaccine', 'get', 'virus', 'people', 'big', 'person', 'choice ']"
9,8,39,8_teachers_school_kids_schools,"[('teachers', 0.03279881861774495), ('school', 0.022356026283298462), ('kids', 0.01693089949938601), ('schools', 0.015667143029576433), ('closing schools', 0.013684276940218551), ('closing', 0.012888717692636527), ('enough', 0.011434880841997563), ('health', 0.0112895180489484), ('parents', 0.011270638352044922), ('students', 0.010932939539248317)]",negative,"['teachers', 'school', 'kids', 'schools', 'closing schools', 'closing', 'enough', 'health', 'parents', 'students ']"
