Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,332,-1_health_help_appreciate_amp,"[('health', 0.02159309398703208), ('help', 0.011939375354725761), ('appreciate', 0.011266977600618901), ('amp', 0.009164756458513475), ('covid19', 0.00894901886322281), ('care', 0.008822919586413657), ('public', 0.007640514113036885), ('im', 0.007179304334598242), ('covid', 0.00688482124420347), ('people', 0.006726470783682029)]",neutral,"['health', 'help', 'appreciate', 'amp', 'covid', 'care', 'public', 'im', 'covid', 'people ']"
1,0,115,0_mental_mental health_health_help,"[('mental', 0.0457217914340571), ('mental health', 0.04382968947128225), ('health', 0.03706213088520803), ('help', 0.025192798402957756), ('need', 0.015488479528188336), ('people', 0.011450125334515813), ('health care', 0.010592362003460106), ('amp', 0.010221144122178944), ('care', 0.010088387423901593), ('gun', 0.00885089642071317)]",neutral,"['mental', 'mental health', 'health', 'help', 'need', 'people', 'health care', 'amp', 'care', 'gun ']"
2,1,88,1_nurse_nurses_nursing_vaccine,"[('nurse', 0.021653772282016776), ('nurses', 0.02003183978585861), ('nursing', 0.018536000735427778), ('vaccine', 0.014322389869506388), ('get', 0.013088504587790113), ('job', 0.012082888016098246), ('care', 0.010954508971939027), ('vaccines', 0.010925657713484197), ('help', 0.010594721788583826), ('health', 0.010564059934798347)]",neutral,"['nurse', 'nurses', 'nursing', 'vaccine', 'get', 'job', 'care', 'vaccines', 'help', 'health ']"
3,2,57,2_covid_home_nursing_test,"[('covid', 0.03770982592034801), ('home', 0.018776099853237957), ('nursing', 0.015509803763118097), ('test', 0.015290128291779344), ('covid19', 0.01517159860926343), ('homes', 0.012607529596335628), ('people', 0.012604013934118181), ('help', 0.012501954220809512), ('mott', 0.011071537788756977), ('nursing homes', 0.011071537788756977)]",neutral,"['covid', 'home', 'nursing', 'test', 'covid', 'homes', 'people', 'help', 'mott', 'nursing homes ']"
4,3,46,3_studentnurselife maturestudentnurse_studentnurse_studentnurselife maturestudentnurse nursingstudent_studentnurselife,"[('studentnurselife maturestudentnurse', 0.17121475879973738), ('studentnurse', 0.17121475879973738), ('studentnurselife maturestudentnurse nursingstudent', 0.17121475879973738), ('studentnurselife', 0.17121475879973738), ('maturestudentnurse nursingstudent studentnurse', 0.17121475879973738), ('maturestudentnurse', 0.17121475879973738), ('maturestudentnurse nursingstudent', 0.17121475879973738), ('nursingstudent', 0.17121475879973738), ('nursingstudent studentnurse', 0.17121475879973738), ('nursing', 0.05185033944173623)]",neutral,"['studentnurselife maturestudentnurse', 'studentnurse', 'studentnurselife maturestudentnurse nursingstudent', 'studentnurselife', 'maturestudentnurse nursingstudent studentnurse', 'maturestudentnurse', 'maturestudentnurse nursingstudent', 'nursingstudent', 'nursingstudent studentnurse', 'nursing ']"
5,4,39,4_mask_wearing_masks_face,"[('mask', 0.051521935652368), ('wearing', 0.03500468946351868), ('masks', 0.03172812575774496), ('face', 0.02357137922930128), ('wear', 0.023286627893405316), ('help', 0.01885800256644397), ('dont', 0.01867160089892821), ('prevent spread', 0.017449935796014532), ('prevent', 0.01607391786027203), ('wearing mask', 0.01565658388885122)]",neutral,"['mask', 'wearing', 'masks', 'face', 'wear', 'help', 'dont', 'prevent spread', 'prevent', 'wearing mask ']"
6,5,31,5_housing_health_would_affordable housing,"[('housing', 0.06738216163055241), ('health', 0.01803225389519375), ('would', 0.01732309599477317), ('affordable housing', 0.015604842069664886), ('affordable', 0.014981022081693683), ('healthcare', 0.014905006394142826), ('thats problem', 0.013595927493663392), ('support worker', 0.013152397343394009), ('interview', 0.01279010484850433), ('need', 0.0126381369523292)]",neutral,"['housing', 'health', 'would', 'affordable housing', 'affordable', 'healthcare', 'thats problem', 'support worker', 'interview', 'need ']"
7,6,28,6_appreciate_care_take care_bit,"[('appreciate', 0.08163177075266988), ('care', 0.031074178441106184), ('take care', 0.025112002258594092), ('bit', 0.024631373729410475), ('dont', 0.02351132567180991), ('kind', 0.021586282595935695), ('know', 0.020605331686438605), ('today', 0.019597202016694366), ('see', 0.019468445384658514), ('take', 0.017662798411935823)]",neutral,"['appreciate', 'care', 'take care', 'bit', 'dont', 'kind', 'know', 'today', 'see', 'take ']"
8,7,26,7_alberta_patients_covid19_saskatchewan,"[('alberta', 0.03171553865647895), ('patients', 0.025186589713215086), ('covid19', 0.02428878376358913), ('saskatchewan', 0.024220642903495307), ('provinces', 0.023544240382175525), ('province', 0.020377784149445084), ('would', 0.01991672984384045), ('health', 0.018950401957907526), ('cases', 0.017337626719081102), ('mr', 0.015804078641509022)]",neutral,"['alberta', 'patients', 'covid', 'saskatchewan', 'provinces', 'province', 'would', 'health', 'cases', 'mr ']"
9,8,25,8_amp_keep_health_time,"[('amp', 0.07549633791535237), ('keep', 0.017082372410959584), ('health', 0.015832755184187256), ('time', 0.01516111439806241), ('starbucks', 0.014692373259281409), ('appreciate', 0.014307503906113107), ('want', 0.012269035112297804), ('safe', 0.011773199323580187), ('partners', 0.01148284824916552), ('yes', 0.011136128372237068)]",neutral,"['amp', 'keep', 'health', 'time', 'starbucks', 'appreciate', 'want', 'safe', 'partners', 'yes ']"
