Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1414,-1_health_thank_appreciate_amp,"[('health', 0.007988515849927177), ('thank', 0.00695608794074703), ('appreciate', 0.006689364200298086), ('amp', 0.006327250864159323), ('care', 0.006178335138499089), ('covid19', 0.005886306416420729), ('help', 0.005365563786117609), ('safe', 0.005069034789449147), ('us', 0.00479224645114191), ('people', 0.004414800195917909)]",positive,"['health', 'thank', 'appreciate', 'amp', 'care', 'covid', 'help', 'safe', 'us', 'people ']"
1,0,513,0_mental_mental health_health_help,"[('mental', 0.032326417960007015), ('mental health', 0.0312350338672195), ('health', 0.018049279249621873), ('help', 0.012607731097893465), ('bellletstalk', 0.006731145435667479), ('need', 0.005923546343567605), ('amp', 0.005868186513844563), ('support', 0.005191667690050938), ('mentalhealth', 0.005051771330548229), ('day', 0.005013205701221373)]",positive,"['mental', 'mental health', 'health', 'help', 'bellletstalk', 'need', 'amp', 'support', 'mentalhealth', 'day ']"
2,1,315,1_covid19_covid_thank_health,"[('covid19', 0.015377650565511172), ('covid', 0.008217126067056438), ('thank', 0.007886566975027752), ('health', 0.007352056717540902), ('coronavirus', 0.006964723978053693), ('help', 0.0061260367314544), ('healthy', 0.0061170178142093), ('stay', 0.005986362275103661), ('pandemic', 0.005795269323444327), ('appreciate', 0.0056091742559787735)]",positive,"['covid', 'covid', 'thank', 'health', 'coronavirus', 'help', 'healthy', 'stay', 'pandemic', 'appreciate ']"
3,2,212,2_health care_health_care_workers,"[('health care', 0.01335760760395775), ('health', 0.013174851340706964), ('care', 0.012449080545039636), ('workers', 0.012295063507998786), ('public', 0.010185734238819449), ('frontline', 0.009655166357888934), ('alberta', 0.009154826725793219), ('thank', 0.008550108384416747), ('public health', 0.008010364560140357), ('covid19', 0.0071679220431795886)]",positive,"['health care', 'health', 'care', 'workers', 'public', 'frontline', 'alberta', 'thank', 'public health', 'covid ']"
4,3,127,3_vaccine_vaccinated_vaccines_shot,"[('vaccine', 0.030516820195386662), ('vaccinated', 0.017778483049500932), ('vaccines', 0.017764973229655437), ('shot', 0.014767015382137497), ('get', 0.013824331183309967), ('vaccination', 0.013617178179285648), ('got', 0.010016220766358244), ('thank', 0.009630829570541836), ('booster', 0.00960353667757636), ('covid19', 0.008761080464542496)]",positive,"['vaccine', 'vaccinated', 'vaccines', 'shot', 'get', 'vaccination', 'got', 'thank', 'booster', 'covid ']"
5,4,109,4_nurses_nurse_nursing_thank,"[('nurses', 0.03637882456346637), ('nurse', 0.023874309729346236), ('nursing', 0.011997848897572085), ('thank', 0.01149889456126885), ('week', 0.00788945616249062), ('thank nurses', 0.0068030521253800574), ('doctors', 0.0067427207798475336), ('say', 0.006619541580271816), ('every', 0.006404614029729705), ('celebrate nurses', 0.006220682804161925)]",positive,"['nurses', 'nurse', 'nursing', 'thank', 'week', 'thank nurses', 'doctors', 'say', 'every', 'celebrate nurses ']"
6,5,71,5_fitness_health fitness_national health_fitness day,"[('fitness', 0.04833231504446982), ('health fitness', 0.025684029971946156), ('national health', 0.017122142276368272), ('fitness day', 0.01664044120140538), ('health', 0.015056556527670231), ('national health fitness', 0.0144654152752836), ('national', 0.013562903332948508), ('health fitness day', 0.01334803486014957), ('exercise', 0.011247552090160862), ('day', 0.01086303079543878)]",positive,"['fitness', 'health fitness', 'national health', 'fitness day', 'health', 'national health fitness', 'national', 'health fitness day', 'exercise', 'day ']"
7,6,71,6_mask_masks_wear_wear mask,"[('mask', 0.0468490410405266), ('masks', 0.017871331859499122), ('wear', 0.017741349332344527), ('wear mask', 0.016746170109752555), ('others', 0.010876427516462478), ('masking', 0.010001085021777309), ('us', 0.009977620493384904), ('protect', 0.009399767150252075), ('mask health', 0.009306392272893075), ('wearing', 0.008759521520723604)]",positive,"['mask', 'masks', 'wear', 'wear mask', 'others', 'masking', 'us', 'protect', 'mask health', 'wearing ']"
8,7,66,7_safe_take care_take_care safe,"[('safe', 0.043859202755773354), ('take care', 0.039298110974122114), ('take', 0.030767119819581194), ('care safe', 0.028309967669514564), ('take care safe', 0.028309967669514564), ('thank', 0.02748058397842871), ('stay safe', 0.02730099453362301), ('stay', 0.025699500219348245), ('healthy', 0.023727350489260488), ('care', 0.021644189437938038)]",positive,"['safe', 'take care', 'take', 'care safe', 'take care safe', 'thank', 'stay safe', 'stay', 'healthy', 'care ']"
9,8,65,8_billings_rn_nursing_mt,"[('billings', 0.07480434558260006), ('rn', 0.06888702726758637), ('nursing', 0.05359872900990932), ('mt', 0.05321920369164847), ('billings mt', 0.05058185788361872), ('nursing rn', 0.048368524922190424), ('job', 0.04146092492286169), ('link bio', 0.04100141341368512), ('bio', 0.04082288532391445), ('billings clinic', 0.03853855838751903)]",positive,"['billings', 'rn', 'nursing', 'mt', 'billings mt', 'nursing rn', 'job', 'link bio', 'bio', 'billings clinic ']"
