Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,757,-1_health_covid19_help_covid,"[('health', 0.010465244778865413), ('covid19', 0.0070278753758823385), ('help', 0.006050330321820359), ('covid', 0.005834330142738722), ('people', 0.005682782855746512), ('amp', 0.0053625999684499106), ('time', 0.004197255237854196), ('medical', 0.004025751498693365), ('one', 0.003994784827475539), ('get', 0.0038607965869502576)]",negative,"['health', 'covid', 'help', 'covid', 'people', 'amp', 'time', 'medical', 'one', 'get ']"
1,0,307,0_china_singapore_covid19_chinese,"[('china', 0.02003003173736978), ('singapore', 0.017588296577861245), ('covid19', 0.014161626650075688), ('chinese', 0.010125934237968145), ('cases', 0.010005110506998259), ('coronavirus', 0.008883141045987577), ('shanghai', 0.007677062144300008), ('new', 0.007405192012970233), ('kong', 0.007090991321395699), ('hong', 0.007090991321395699)]",negative,"['china', 'singapore', 'covid', 'chinese', 'cases', 'coronavirus', 'shanghai', 'new', 'kong', 'hong ']"
2,1,287,1_hospital_dad_help_patient,"[('hospital', 0.025187587565747783), ('dad', 0.017718430909336665), ('help', 0.017320904496089102), ('patient', 0.01450954928370473), ('blood', 0.012877841881988147), ('doctor', 0.012618132518841597), ('please', 0.01220466288723193), ('name', 0.011442140885712306), ('plasma', 0.011388451978697882), ('medicine', 0.010694032344264593)]",negative,"['hospital', 'dad', 'help', 'patient', 'blood', 'doctor', 'please', 'name', 'plasma', 'medicine ']"
3,2,200,2_covid19_india_cases_health,"[('covid19', 0.01686732577178441), ('india', 0.010493686327295373), ('cases', 0.008876392784158114), ('health', 0.008746174871866502), ('covid', 0.00853090314214687), ('people', 0.007293088369871413), ('pandemic', 0.007149856593447847), ('care', 0.007133496587918699), ('new', 0.00656978180333513), ('help', 0.006110581481529862)]",negative,"['covid', 'india', 'cases', 'health', 'covid', 'people', 'pandemic', 'care', 'new', 'help ']"
4,3,106,3_mental_mental health_health_help,"[('mental', 0.04497843417708483), ('mental health', 0.04463452425312461), ('health', 0.022852448950274176), ('help', 0.010013786346140516), ('people', 0.009437133777699828), ('depression', 0.009181427256048315), ('suicide', 0.008832523561317628), ('like', 0.008761575889054444), ('dont', 0.007800258797326714), ('mentalhealth', 0.0077052536309470815)]",negative,"['mental', 'mental health', 'health', 'help', 'people', 'depression', 'suicide', 'like', 'dont', 'mentalhealth ']"
5,4,90,4_mask_masks_wear_face,"[('mask', 0.058754557584231086), ('masks', 0.018031383688514164), ('wear', 0.017988633700167476), ('face', 0.016343156194183122), ('wearing', 0.015242057179141351), ('wear mask', 0.01359853975606719), ('wearing mask', 0.010588114063546426), ('distributed', 0.010303647822008094), ('people', 0.010277181670790532), ('workers', 0.010086067253967228)]",negative,"['mask', 'masks', 'wear', 'face', 'wearing', 'wear mask', 'wearing mask', 'distributed', 'people', 'workers ']"
6,5,71,5_vaccine_vaccinated_vaccination_dose,"[('vaccine', 0.04282132438533645), ('vaccinated', 0.02499235091830924), ('vaccination', 0.024424203324653174), ('dose', 0.01516829687391436), ('vaccines', 0.015142926285341375), ('got', 0.013062502759059545), ('getting', 0.012612403858187356), ('people', 0.012230705370022927), ('covid', 0.011380213439790069), ('immunization', 0.011102537303850324)]",negative,"['vaccine', 'vaccinated', 'vaccination', 'dose', 'vaccines', 'got', 'getting', 'people', 'covid', 'immunization ']"
7,6,59,6_students_exam_exams_college,"[('students', 0.04196558347338048), ('exam', 0.04145901424700071), ('exams', 0.027973198138991157), ('college', 0.016365400360658172), ('affected covid', 0.014768990118753008), ('covid', 0.01359895293286575), ('board', 0.013264390507279124), ('affected', 0.013232348939818726), ('many students', 0.012795059044075897), ('give', 0.012743514776369612)]",negative,"['students', 'exam', 'exams', 'college', 'affected covid', 'covid', 'board', 'affected', 'many students', 'give ']"
8,7,54,7_bihar_health_homoeopathy_sir,"[('bihar', 0.0530768936790486), ('health', 0.019303246912852266), ('homoeopathy', 0.01855174670248296), ('sir', 0.014254666405999025), ('homoeopathy doctors', 0.0142138957135324), ('department', 0.010941409101167029), ('govt', 0.010902993846180133), ('bihar health', 0.0106604217851493), ('helpline', 0.010261259446215368), ('health department', 0.010180599504860286)]",negative,"['bihar', 'health', 'homoeopathy', 'sir', 'homoeopathy doctors', 'department', 'govt', 'bihar health', 'helpline', 'health department ']"
9,8,54,8_pm_fund_donate_fight,"[('pm', 0.022728136676196005), ('fund', 0.020310043215800617), ('donate', 0.01915451830578999), ('fight', 0.016071744929299542), ('help', 0.016010263168869585), ('donated', 0.015256674630949173), ('amount', 0.015214689899181481), ('pm care', 0.014018547915892592), ('rs', 0.013483082772836988), ('covid19', 0.013029575922596303)]",negative,"['pm', 'fund', 'donate', 'fight', 'help', 'donated', 'amount', 'pm care', 'rs', 'covid ']"
