Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,181,-1_health_amp_covid19_appreciate,"[('health', 0.012311984921875465), ('amp', 0.012004213947945137), ('covid19', 0.01075504405891961), ('appreciate', 0.01053630742278722), ('help', 0.00899115310518341), ('people', 0.008098942725043004), ('work', 0.007616706904166165), ('covid', 0.007494095354710081), ('many', 0.006183143266894404), ('please', 0.00598780428063409)]",neutral,"['health', 'amp', 'covid', 'appreciate', 'help', 'people', 'work', 'covid', 'many', 'please ']"
1,0,40,0_health_help_hospital_sir,"[('health', 0.026283286364727147), ('help', 0.018183852048565676), ('hospital', 0.017636095438662083), ('sir', 0.01533811506516138), ('would', 0.013007948920580627), ('people', 0.011526266600907177), ('village', 0.01112194795066204), ('development', 0.010635023054308593), ('district', 0.010431032346691325), ('system', 0.010246586789734956)]",neutral,"['health', 'help', 'hospital', 'sir', 'would', 'people', 'village', 'development', 'district', 'system ']"
2,1,38,1_appreciate_im_ur_care,"[('appreciate', 0.03373646804636048), ('im', 0.02338327894089058), ('ur', 0.016137197327049664), ('care', 0.01548750901304963), ('take', 0.014730785132374467), ('stay', 0.013766321795695452), ('police', 0.013023677218283443), ('fans', 0.012816974586571902), ('also', 0.012541523485607277), ('family', 0.012343751676752113)]",neutral,"['appreciate', 'im', 'ur', 'care', 'take', 'stay', 'police', 'fans', 'also', 'family ']"
3,2,37,2_mental_mental health_health_help,"[('mental', 0.06464996039887866), ('mental health', 0.05997374477046547), ('health', 0.04689154906417611), ('help', 0.028143686387860033), ('people', 0.02208705473008374), ('anxiety', 0.015620328550746571), ('healthcare', 0.013444003056313188), ('get', 0.01333679884746087), ('needs', 0.01233124416299642), ('healthcare people', 0.012120922936781346)]",neutral,"['mental', 'mental health', 'health', 'help', 'people', 'anxiety', 'healthcare', 'get', 'needs', 'healthcare people ']"
4,3,36,3_corona_corona virus_virus_help,"[('corona', 0.040767691114162716), ('corona virus', 0.029510748725214503), ('virus', 0.02532149138173018), ('help', 0.023214207894808388), ('availability', 0.02300117288969707), ('may', 0.022672956212158632), ('covid19', 0.020690171509772266), ('quarantine', 0.0205949087964244), ('us', 0.019939557148110035), ('home', 0.01669694409984082)]",neutral,"['corona', 'corona virus', 'virus', 'help', 'availability', 'may', 'covid', 'quarantine', 'us', 'home ']"
5,4,36,4_dad_please_help_health,"[('dad', 0.050755623996827565), ('please', 0.029341604208972992), ('help', 0.02753668576056825), ('health', 0.0227283433155715), ('medicine', 0.0225752741453181), ('please kindly', 0.0219773180896147), ('amount', 0.021809494544482354), ('us', 0.020908629772865506), ('buy', 0.01947586539741776), ('improve', 0.01919479534147766)]",neutral,"['dad', 'please', 'help', 'health', 'medicine', 'please kindly', 'amount', 'us', 'buy', 'improve ']"
6,5,33,5_health_amp_appreciate_things,"[('health', 0.01864119427412786), ('amp', 0.01801986413765385), ('appreciate', 0.017623930907418716), ('things', 0.017013200880745934), ('pmdoesntcare', 0.0156602324343215), ('fighting', 0.014895581804777371), ('honble', 0.014582743612067944), ('well', 0.014114483412398774), ('pm', 0.013819337614749724), ('covid19', 0.013742214867538266)]",neutral,"['health', 'amp', 'appreciate', 'things', 'pmdoesntcare', 'fighting', 'honble', 'well', 'pm', 'covid ']"
7,6,30,6_mask_masks_wearing_take,"[('mask', 0.06362509871339428), ('masks', 0.05213637195335576), ('wearing', 0.02292152492593453), ('take', 0.020134385539383626), ('nose', 0.01848119458568184), ('using', 0.017935676067215755), ('health', 0.017070690727223312), ('distancing', 0.016083012598540034), ('passengers', 0.01532872601654112), ('kindly take', 0.01532872601654112)]",neutral,"['mask', 'masks', 'wearing', 'take', 'nose', 'using', 'health', 'distancing', 'passengers', 'kindly take ']"
8,7,26,7_singapore_hk_covid_hong,"[('singapore', 0.04907983226271927), ('hk', 0.026599253222816737), ('covid', 0.025389717502670543), ('hong', 0.02042466298653722), ('hong kong', 0.02042466298653722), ('kong', 0.02042466298653722), ('new', 0.018223845479012332), ('taiwan', 0.017960844212382667), ('china', 0.01652442316238293), ('situation', 0.0157699699687366)]",neutral,"['singapore', 'hk', 'covid', 'hong', 'hong kong', 'kong', 'new', 'taiwan', 'china', 'situation ']"
9,8,20,8_test_covid19_patients_number,"[('test', 0.04198161377562047), ('covid19', 0.041480407093066496), ('patients', 0.029042649013057194), ('number', 0.02518896826537228), ('korea', 0.023279673752902255), ('testing', 0.02286803353854911), ('utilization', 0.021795532304769404), ('wave', 0.021795532304769404), ('number covid', 0.021795532304769404), ('case', 0.02152999525570177)]",neutral,"['test', 'covid', 'patients', 'number', 'korea', 'testing', 'utilization', 'wave', 'number covid', 'case ']"
10,9,18,9_covid19_writeup_short writeup_written,"[('covid19', 0.036299048736618794), ('writeup', 0.036066784030937944), ('short writeup', 0.036066784030937944), ('written', 0.036066784030937944), ('short', 0.034632037660491874), ('short writeup discussing', 0.03231020133463515), ('discussing', 0.03231020133463515), ('writeup discussing', 0.03231020133463515), ('medical', 0.03077209821911653), ('chinas', 0.02769445828683013)]",neutral,"['covid', 'writeup', 'short writeup', 'written', 'short', 'short writeup discussing', 'discussing', 'writeup discussing', 'medical', 'chinas ']"
11,10,15,10_ventilator_name_patient name_oxygen,"[('ventilator', 0.05243046757251886), ('name', 0.05139344341481089), ('patient name', 0.04811022452661712), ('oxygen', 0.044243721813493966), ('age', 0.041202697378547135), ('patient', 0.04113046238540874), ('hospital', 0.04091351353286733), ('requirement', 0.039132296631097706), ('requirement ventilator', 0.03444332646844905), ('concentration', 0.03444332646844905)]",neutral,"['ventilator', 'name', 'patient name', 'oxygen', 'age', 'patient', 'hospital', 'requirement', 'requirement ventilator', 'concentration ']"
12,11,15,11_medicine_magadh_covid protocol_protocol,"[('medicine', 0.038998165886197866), ('magadh', 0.03355764093068893), ('covid protocol', 0.03355764093068893), ('protocol', 0.03355764093068893), ('covid', 0.03191850200335725), ('sir', 0.03004517625335612), ('need', 0.027147821985765153), ('possible', 0.023947792283176894), ('know travel', 0.023912812585804147), ('possible return', 0.023912812585804147)]",neutral,"['medicine', 'magadh', 'covid protocol', 'protocol', 'covid', 'sir', 'need', 'possible', 'know travel', 'possible return ']"
13,12,13,12_nurse_better_doctors medicina coronavirus_doctors medicina,"[('nurse', 0.058913733085787665), ('better', 0.039780360661023126), ('doctors medicina coronavirus', 0.03902051271010341), ('doctors medicina', 0.03902051271010341), ('medicina coronavirus surgery', 0.03902051271010341), ('healthcareworkers', 0.03902051271010341), ('medicine health healthcare', 0.03902051271010341), ('medstudent', 0.03902051271010341), ('surgery', 0.03902051271010341), ('nurselife nursing', 0.03902051271010341)]",neutral,"['nurse', 'better', 'doctors medicina coronavirus', 'doctors medicina', 'medicina coronavirus surgery', 'healthcareworkers', 'medicine health healthcare', 'medstudent', 'surgery', 'nurselife nursing ']"
14,13,12,13_small_contribution_small contribution_fund,"[('small', 0.05621101612581256), ('contribution', 0.05038683379938698), ('small contribution', 0.04445256495058275), ('fund', 0.04430869056799249), ('covid19', 0.04127617601383139), ('pmcares', 0.03686997535256146), ('please', 0.030479076090201906), ('pmcaresfund', 0.028917733752393947), ('pmcares fund', 0.028917733752393947), ('donation', 0.028917733752393947)]",neutral,"['small', 'contribution', 'small contribution', 'fund', 'covid', 'pmcares', 'please', 'pmcaresfund', 'pmcares fund', 'donation ']"
15,14,11,14_home_go home_results_covid,"[('home', 0.03962269204977822), ('go home', 0.03654796683419848), ('results', 0.034192647236509825), ('covid', 0.03104419607313429), ('condition', 0.030173226233078006), ('also', 0.02980209183443068), ('local', 0.028882159574461063), ('go', 0.026170038231700526), ('help', 0.022683495204688185), ('serious', 0.0226299196748085)]",neutral,"['home', 'go home', 'results', 'covid', 'condition', 'also', 'local', 'go', 'help', 'serious ']"
