Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1823,-1_covid19_health_amp_covid,"[('covid19', 0.00676455425606732), ('health', 0.00552783096843867), ('amp', 0.0049673473326089165), ('covid', 0.004947802906118807), ('thank', 0.004936782996203602), ('help', 0.004682307740240451), ('care', 0.004310476292419374), ('people', 0.003704722229634991), ('safe', 0.003652812708817962), ('us', 0.0036178943588921807)]",positive,"['covid', 'health', 'amp', 'covid', 'thank', 'help', 'care', 'people', 'safe', 'us ']"
1,0,593,0_doctors_covid19_assam_help,"[('doctors', 0.011267421141324821), ('covid19', 0.010555921056696832), ('assam', 0.007618444940012827), ('help', 0.00705678258109023), ('nurses', 0.006886949285968005), ('covid', 0.006765585015611758), ('medical', 0.006138910905768713), ('thank', 0.005567576218925867), ('fight', 0.005377508410951263), ('minister', 0.005251347829656978)]",positive,"['doctors', 'covid', 'assam', 'help', 'nurses', 'covid', 'medical', 'thank', 'fight', 'minister ']"
2,1,363,1_birthday_happy birthday_ji_may,"[('birthday', 0.030788941166777245), ('happy birthday', 0.01939507398387621), ('ji', 0.014328923462264742), ('may', 0.012097511429390738), ('happy', 0.011119111547135801), ('tribute', 0.010256901149983583), ('long life', 0.01006192442162688), ('minister', 0.009597450731754328), ('long', 0.009568375069427643), ('shri', 0.00939734834566659)]",positive,"['birthday', 'happy birthday', 'ji', 'may', 'happy', 'tribute', 'long life', 'minister', 'long', 'shri ']"
3,2,243,2_bhaijan_dua bhaijan_remember dua bhaijan_bhaijan assalamu,"[('bhaijan', 0.058420269665695836), ('dua bhaijan', 0.03727949837722992), ('remember dua bhaijan', 0.03674725280392489), ('bhaijan assalamu', 0.03590055640822566), ('dua bhaijan assalamu', 0.03590055640822566), ('assalamu alaikum bhaijan', 0.03414132838225786), ('alaikum bhaijan', 0.03414132838225786), ('bhaijan assalamu alaikum', 0.032307297486646916), ('dua', 0.03190041628279), ('remember dua', 0.029866707797037973)]",positive,"['bhaijan', 'dua bhaijan', 'remember dua bhaijan', 'bhaijan assalamu', 'dua bhaijan assalamu', 'assalamu alaikum bhaijan', 'alaikum bhaijan', 'bhaijan assalamu alaikum', 'dua', 'remember dua ']"
4,3,199,3_morning sister_good morning sister_sister_morning sister wonderful,"[('morning sister', 0.05011681743262474), ('good morning sister', 0.05011681743262474), ('sister', 0.04425507422284921), ('morning sister wonderful', 0.030387259826895056), ('sister wonderful', 0.02687516520288541), ('good', 0.026553563972935477), ('sister wonderful day', 0.026271270315034147), ('good morning', 0.025727370050640477), ('morning', 0.025375250533758168), ('day happiness', 0.025279642115586455)]",positive,"['morning sister', 'good morning sister', 'sister', 'morning sister wonderful', 'sister wonderful', 'good', 'sister wonderful day', 'good morning', 'morning', 'day happiness ']"
5,4,189,4_mangalmay tuesday happiness_mangalmay tuesday_tuesday happiness life_tuesday happiness,"[('mangalmay tuesday happiness', 0.058290407787424614), ('mangalmay tuesday', 0.058290407787424614), ('tuesday happiness life', 0.058290407787424614), ('tuesday happiness', 0.058290407787424614), ('mangalmay', 0.058290407787424614), ('tuesday', 0.05817693192800904), ('morning mangalmay tuesday', 0.036512211507411886), ('morning mangalmay', 0.036512211507411886), ('good morning mangalmay', 0.036512211507411886), ('good', 0.030026531549253152)]",positive,"['mangalmay tuesday happiness', 'mangalmay tuesday', 'tuesday happiness life', 'tuesday happiness', 'mangalmay', 'tuesday', 'morning mangalmay tuesday', 'morning mangalmay', 'good morning mangalmay', 'good ']"
6,5,175,5_week happiness life_week happiness_productive_week,"[('week happiness life', 0.06067077918025349), ('week happiness', 0.06067077918025349), ('productive', 0.060582961367899354), ('week', 0.05903516637988569), ('productive new week', 0.052358191056208286), ('productive new', 0.052358191056208286), ('new week happiness', 0.052358191056208286), ('new week', 0.05226990704967666), ('new', 0.03926682430373351), ('morning productive', 0.03753810209447207)]",positive,"['week happiness life', 'week happiness', 'productive', 'week', 'productive new week', 'productive new', 'new week happiness', 'new week', 'new', 'morning productive ']"
7,6,163,6_sunday happiness_sunday happiness life_sunday_healthy sunday,"[('sunday happiness', 0.061125691561321006), ('sunday happiness life', 0.061125691561321006), ('sunday', 0.06067396286039823), ('healthy sunday', 0.06066480843582853), ('healthy sunday happiness', 0.06066480843582853), ('happy healthy sunday', 0.06066480843582853), ('wish happy healthy', 0.047011907588444944), ('happy healthy', 0.04662308131198798), ('wish happy', 0.04637627746841528), ('wish', 0.03936917176615472)]",positive,"['sunday happiness', 'sunday happiness life', 'sunday', 'healthy sunday', 'healthy sunday happiness', 'happy healthy sunday', 'wish happy healthy', 'happy healthy', 'wish happy', 'wish ']"
8,7,155,7_mental_mental health_health_mentalhealth,"[('mental', 0.05750244470637092), ('mental health', 0.053950732672195044), ('health', 0.012720629997866177), ('mentalhealth', 0.010516652718847115), ('help', 0.008523596308103341), ('mentalhealthmatters', 0.007565886847920059), ('wellbeing', 0.007251854978928986), ('make', 0.007180758609664132), ('friends', 0.007009656685798495), ('guidance', 0.006094241593168499)]",positive,"['mental', 'mental health', 'health', 'mentalhealth', 'help', 'mentalhealthmatters', 'wellbeing', 'make', 'friends', 'guidance ']"
9,8,141,8_taiwan_singapore_covid19_china,"[('taiwan', 0.024010703302433326), ('singapore', 0.019619668487781256), ('covid19', 0.013464016576287954), ('china', 0.012393236557547052), ('taiwancanhelp', 0.011971352553661737), ('coronavirus', 0.010168703398331829), ('medical', 0.008650232520435815), ('masks', 0.00746136099546865), ('chinese', 0.007439522706352375), ('taiwanese', 0.006752737083484956)]",positive,"['taiwan', 'singapore', 'covid', 'china', 'taiwancanhelp', 'coronavirus', 'medical', 'masks', 'chinese', 'taiwanese ']"
