Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,108,-1_covid19_coronavirus_health_people,"[('covid19', 0.02311855169388744), ('coronavirus', 0.011779375751415501), ('health', 0.011720430668354083), ('people', 0.01101722869265209), ('china', 0.010826400626362394), ('covid', 0.008636809194346496), ('public', 0.007690677588909985), ('clusters', 0.00720588419687985), ('get', 0.007163652610314377), ('worker', 0.006941029697319011)]",negative,"['covid', 'coronavirus', 'health', 'people', 'china', 'covid', 'public', 'clusters', 'get', 'worker ']"
1,0,38,0_taiwan_covid19_taiwancanhelp_singapore,"[('taiwan', 0.052159796518325766), ('covid19', 0.043139881151273214), ('taiwancanhelp', 0.03232824095145082), ('singapore', 0.02739938928457028), ('japan', 0.024246180713588115), ('right', 0.022258527982045872), ('spread covid19', 0.021151014551499613), ('taiwans', 0.020655895352172077), ('believe', 0.020655895352172077), ('spread', 0.019829096446185482)]",negative,"['taiwan', 'covid', 'taiwancanhelp', 'singapore', 'japan', 'right', 'spread covid', 'taiwans', 'believe', 'spread ']"
2,1,33,1_health_zero_resources_covid,"[('health', 0.021215656034263827), ('zero', 0.0197689925974249), ('resources', 0.0197689925974249), ('covid', 0.017465953053781656), ('wealth', 0.01684167280339648), ('government', 0.016452358629733432), ('life', 0.016167546777318985), ('free', 0.015617281769823478), ('population', 0.014435719545768411), ('chinese', 0.013611278002024798)]",negative,"['health', 'zero', 'resources', 'covid', 'wealth', 'government', 'life', 'free', 'population', 'chinese ']"
3,2,26,2_health_kindness_mental_mental health,"[('health', 0.04323720712989987), ('kindness', 0.03637462800906892), ('mental', 0.03637462800906892), ('mental health', 0.03390394600092102), ('money', 0.0212185330052902), ('im', 0.02058704194962257), ('take', 0.020304614923463846), ('time', 0.017614718138375868), ('healthcare', 0.015347435709027716), ('planting seeds', 0.014703737964217773)]",negative,"['health', 'kindness', 'mental', 'mental health', 'money', 'im', 'take', 'time', 'healthcare', 'planting seeds ']"
4,3,23,3_emergency_strikes_aed_lack,"[('emergency', 0.02713713460430537), ('strikes', 0.026013048226586778), ('aed', 0.02051755508057962), ('lack', 0.01909749273970969), ('healthcare', 0.01781093739870176), ('due', 0.017087046880288177), ('amp', 0.014901252881305725), ('medical', 0.014627499050321837), ('ed', 0.014626213862473215), ('beds', 0.014626213862473215)]",negative,"['emergency', 'strikes', 'aed', 'lack', 'healthcare', 'due', 'amp', 'medical', 'ed', 'beds ']"
5,4,22,4_received_death_individuals_vaccine,"[('received', 0.03650459192821546), ('death', 0.03240341742485114), ('individuals', 0.029082645008311966), ('vaccine', 0.02880303771097879), ('vaccination', 0.024344448093631375), ('14', 0.02199956035870232), ('14 days passing', 0.02199956035870232), ('death reports received', 0.02199956035870232), ('within', 0.02199956035870232), ('received dept', 0.02199956035870232)]",negative,"['received', 'death', 'individuals', 'vaccine', 'vaccination', '', ' days passing', 'death reports received', 'within', 'received dept ']"
6,5,22,5_cases_covid19_new_number,"[('cases', 0.07191790310977246), ('covid19', 0.04334728442603895), ('new', 0.04314971327886941), ('number', 0.04257838774223801), ('singapore', 0.04011677065717508), ('total', 0.036293018266740876), ('covid19 cases', 0.03248366518679433), ('total number', 0.030740547045556232), ('added', 0.028464277771015147), ('bringing', 0.025503242545750492)]",negative,"['cases', 'covid', 'new', 'number', 'singapore', 'total', 'covid cases', 'total number', 'added', 'bringing ']"
7,6,22,6_covid_hong_kong_hong kong,"[('covid', 0.030735281231940723), ('hong', 0.02628489871965101), ('kong', 0.02628489871965101), ('hong kong', 0.02628489871965101), ('singapore', 0.02527210750781793), ('hk', 0.021713725033635597), ('singapores', 0.01836485038639498), ('protests', 0.017810051626010383), ('time', 0.01629606156639546), ('months rioting hong', 0.01494034805908557)]",negative,"['covid', 'hong', 'kong', 'hong kong', 'singapore', 'hk', 'singapores', 'protests', 'time', 'months rioting hong ']"
8,7,13,7_mask_class_wearing_dont,"[('mask', 0.060826268203197156), ('class', 0.0345399078131651), ('wearing', 0.029679880247243367), ('dont', 0.02287995358896249), ('people', 0.022119205298324583), ('covid', 0.018062557690099644), ('told', 0.01780792814834602), ('masks', 0.01726995390658255), ('look', 0.016815324755439884), ('help', 0.016237331793359924)]",negative,"['mask', 'class', 'wearing', 'dont', 'people', 'covid', 'told', 'masks', 'look', 'help ']"
9,8,13,8_2022_time_digital_time may,"[('2022', 0.05358569684414882), ('time', 0.04374908542022753), ('digital', 0.03984467181177408), ('time may', 0.03984467181177408), ('melbourne', 0.03984467181177408), ('may', 0.030728601862527804), ('health time', 0.028403807808011123), ('health', 0.02436089514343903), ('positive', 0.023815865264066143), ('amp exhibition', 0.02228304471611056)]",negative,"['', 'time', 'digital', 'time may', 'melbourne', 'may', 'health time', 'health', 'positive', 'amp exhibition ']"
