,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,64723,-1_health_amp_help_covid19,"[('health', 0.007945749939859161), ('amp', 0.007655763020225435), ('help', 0.007509973360444748), ('covid19', 0.007165683665951886), ('thank', 0.005271058863125948), ('covid', 0.005223832345460056), ('doctors', 0.004783007422690809), ('sir', 0.004748344204495452), ('care', 0.0047164798090796834), ('us', 0.004677061588276148)]",positive
1,0,2745,0_nurses_internationalnursesday_nurses day_day,"[('nurses', 0.04869299425903576), ('internationalnursesday', 0.02571779079949835), ('nurses day', 0.024208864029672872), ('day', 0.02302096030379527), ('international', 0.020637533213125763), ('international nurses', 0.018397249808637675), ('international nurses day', 0.017600567010316346), ('nurse', 0.016409153517882805), ('nursing', 0.016196881020497267), ('gratitude', 0.01515687652875204)]",positive
2,1,2174,1_tribute_tributes_anniversary_birth,"[('tribute', 0.03430153093107517), ('tributes', 0.02872708822767782), ('anniversary', 0.02827500316609066), ('birth', 0.019121107609870843), ('birth anniversary', 0.018400848988031543), ('humble', 0.013150481737792973), ('death', 0.012618690085870035), ('death anniversary', 0.01260637737091015), ('ji', 0.011051749494134368), ('former', 0.008709786685192284)]",positive
3,2,1797,2_world_world health_world health day_health day,"[('world', 0.026337227786950596), ('world health', 0.023889658474507112), ('world health day', 0.02211233005129716), ('health day', 0.022024510830377313), ('worldhealthday', 0.0217989813513571), ('day', 0.0191205507878476), ('health', 0.01895276080043815), ('nurses', 0.017969515933102823), ('midwives', 0.014072580896504263), ('covid19', 0.011830369417047818)]",positive
4,3,1613,3_birthday_happy_happy birthday_good health,"[('birthday', 0.048381997762053416), ('happy', 0.038953684495086044), ('happy birthday', 0.038653660745253955), ('good health', 0.024189838455061754), ('happiness', 0.02296629703978926), ('may', 0.02285052316846067), ('wishing', 0.022099486253199005), ('good', 0.021613329528603124), ('health', 0.020270440021357156), ('bless', 0.02025461113044809)]",positive
5,4,1521,4_stayhome_staysafe_stayhealthy_stayhome staysafe,"[('stayhome', 0.03934067112249054), ('staysafe', 0.031877020869956696), ('stayhealthy', 0.028593481604206335), ('stayhome staysafe', 0.02429937501196443), ('stay', 0.02001470700725726), ('staysafe stayhealthy', 0.019830723103415705), ('covid19', 0.019545534518403372), ('stayhome staysafe stayhealthy', 0.018824164779607026), ('quarantine', 0.015491973034357127), ('safe', 0.0127574298706492)]",positive
6,5,1446,5_good_good morning_always_prayer good,"[('good', 0.07861948413169817), ('good morning', 0.06823525020207831), ('always', 0.06773269227937313), ('prayer good', 0.06716089337432204), ('happiness life always', 0.06712869595792985), ('life always', 0.06711348959407606), ('always prayer good', 0.06709193297722164), ('prayer good health', 0.0670904722539881), ('always prayer', 0.06707358105540936), ('life always prayer', 0.06698014115764232)]",positive
7,6,1445,6_mental_mental health_health_help,"[('mental', 0.062402852104855355), ('mental health', 0.05763240555669933), ('health', 0.023238663706799487), ('help', 0.012635558045359149), ('mentalhealth', 0.01143034203134434), ('issues', 0.008584351611459788), ('stress', 0.007630354933550212), ('mental health issues', 0.007624061965460271), ('important', 0.006703974871269498), ('health issues', 0.006548993628183589)]",positive
8,7,1145,7_holi_sant shri_sant_asharamji,"[('holi', 0.04811349979704623), ('sant shri', 0.04341499868979431), ('sant', 0.043354494005571446), ('asharamji', 0.042760002710281374), ('shri asharamji', 0.04271279463082533), ('sant shri asharamji', 0.04255248372905554), ('bapu', 0.04222895023871476), ('asharamji bapu', 0.041421291987427174), ('shri asharamji bapu', 0.04137355085363747), ('colours', 0.03718080278916109)]",positive
9,8,948,8_vaccine_dose_vaccination_vaccinated,"[('vaccine', 0.03822002443307424), ('dose', 0.030343834110258004), ('vaccination', 0.029948331350337566), ('vaccinated', 0.02539843988824342), ('got', 0.01593083994358078), ('first', 0.015659373504306122), ('covid19 vaccine', 0.013565214946278062), ('first dose', 0.01317711065048905), ('thank', 0.012793913897997288), ('covid19', 0.012383477548223448)]",positive
