Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,23407,-1_help_health_amp_people,"[('help', 0.00804549286463501), ('health', 0.007287573831501593), ('amp', 0.006250289429873277), ('people', 0.005686831155687841), ('please', 0.005219496021199414), ('hospital', 0.005097362691366346), ('covid', 0.004549278338166443), ('lockdown', 0.004413426265116937), ('sir', 0.004395153186990313), ('govt', 0.004144366835944512)]",negative,"['help', 'health', 'amp', 'people', 'please', 'hospital', 'covid', 'lockdown', 'sir', 'govt ']"
1,0,41651,0_covid19_health_help_covid,"[('covid19', 0.009468885070731035), ('health', 0.007899917615011286), ('help', 0.007370417797483928), ('covid', 0.006946905890301495), ('amp', 0.006303431020555199), ('please', 0.0056214410966714725), ('lockdown', 0.005091801660036233), ('hospital', 0.005045319924909936), ('people', 0.005016690929463184), ('india', 0.004774483830463368)]",negative,"['covid', 'health', 'help', 'covid', 'amp', 'please', 'lockdown', 'hospital', 'people', 'india ']"
2,1,390,1_yog diet amp_yog diet_diet amp boost_amp boost immunity,"[('yog diet amp', 0.10004133593694892), ('yog diet', 0.10004133593694892), ('diet amp boost', 0.10004133593694892), ('amp boost immunity', 0.10004133593694892), ('yog', 0.09998827088765362), ('boost immunity', 0.09998827088765362), ('amp boost', 0.09996178991220525), ('diet amp', 0.09985620761989161), ('boost', 0.09804345124483567), ('diet', 0.09773262919250225)]",negative,"['yog diet amp', 'yog diet', 'diet amp boost', 'amp boost immunity', 'yog', 'boost immunity', 'amp boost', 'diet amp', 'boost', 'diet ']"
3,2,63,2_plastic_use plastic_single use_single use plastic,"[('plastic', 0.10619716824191029), ('use plastic', 0.02854462141635181), ('single use', 0.02811254927390254), ('single use plastic', 0.026570232828485783), ('using plastic', 0.025436771079271038), ('use', 0.024808553689783068), ('using', 0.02200370193332113), ('plastics', 0.02195740108950139), ('bottles', 0.02072363373183765), ('health', 0.018594265793353618)]",negative,"['plastic', 'use plastic', 'single use', 'single use plastic', 'using plastic', 'use', 'using', 'plastics', 'bottles', 'health ']"
4,3,59,3_vaccination_cowin_allowing vaccination_worker going,"[('vaccination', 0.05462025788029219), ('cowin', 0.030701307089094056), ('allowing vaccination', 0.026809313208146453), ('worker going', 0.026809313208146453), ('system allowing vaccination', 0.026809313208146453), ('studies age 18', 0.026809313208146453), ('taken vaccine health', 0.026809313208146453), ('cowin system allowing', 0.026809313208146453), ('cowin system', 0.026809313208146453), ('vaccine health worker', 0.026809313208146453)]",negative,"['vaccination', 'cowin', 'allowing vaccination', 'worker going', 'system allowing vaccination', 'studies age', ' taken vaccine health', 'cowin system allowing', 'cowin system', 'vaccine health worker ']"
5,4,51,4_gst_insurance_gst compensation_tax,"[('gst', 0.1390834237382134), ('insurance', 0.020735006740478068), ('gst compensation', 0.020265087502362476), ('tax', 0.01891513133294931), ('member', 0.017335533382528513), ('org', 0.015414714964013752), ('compensation', 0.014717336586669986), ('health insurance', 0.014423962659069391), ('equipment', 0.013070798463770393), ('reduction', 0.012542111932094995)]",negative,"['gst', 'insurance', 'gst compensation', 'tax', 'member', 'org', 'compensation', 'health insurance', 'equipment', 'reduction ']"
6,5,47,5_ckd_contact no8369445875_group comorbidity ckd_group comorbidity,"[('ckd', 0.09765478290232996), ('contact no8369445875', 0.0952399254743087), ('group comorbidity ckd', 0.0952399254743087), ('group comorbidity', 0.0952399254743087), ('bihar contact no8369445875', 0.0952399254743087), ('blood group comorbidity', 0.0952399254743087), ('no8369445875', 0.0952399254743087), ('ckd stage', 0.0952399254743087), ('ckd stage hospitaljogendra', 0.0952399254743087), ('comorbidity ckd', 0.0952399254743087)]",negative,"['ckd', 'contact no', 'group comorbidity ckd', 'group comorbidity', 'bihar contact no', 'blood group comorbidity', 'no', 'ckd stage', 'ckd stage hospitaljogendra', 'comorbidity ckd ']"
7,6,46,6_cases_covid_covid cases_day,"[('cases', 0.02929474463332461), ('covid', 0.023100547447917803), ('covid cases', 0.022862381684726745), ('day', 0.018218728878336955), ('increasing', 0.01733744609173497), ('nd', 0.015800793319110256), ('cases increasing', 0.013782078688090378), ('covid cases increasing', 0.0137413619210112), ('increasing rapidly', 0.013115380449883465), ('days', 0.01294988294780901)]",negative,"['cases', 'covid', 'covid cases', 'day', 'increasing', 'nd', 'cases increasing', 'covid cases increasing', 'increasing rapidly', 'days ']"
8,7,46,7_rtpcr_test_report_rtpcr test,"[('rtpcr', 0.07314146296661386), ('test', 0.044357440371842846), ('report', 0.034761997451771755), ('rtpcr test', 0.034673491948109654), ('pcr', 0.025591322498992843), ('rt pcr', 0.022356166733842685), ('sample', 0.020199938085712407), ('rt', 0.018155444875795672), ('rt pcr test', 0.017033771428073916), ('pcr test', 0.01679470098673857)]",negative,"['rtpcr', 'test', 'report', 'rtpcr test', 'pcr', 'rt pcr', 'sample', 'rt', 'rt pcr test', 'pcr test ']"
9,8,39,8_dialysis_kidney_patient_need dialysis,"[('dialysis', 0.15008175990925265), ('kidney', 0.044422995400161785), ('patient', 0.03181050211297475), ('need dialysis', 0.02865167010643296), ('kidney patients', 0.02865167010643296), ('dialysis patient', 0.027970120051081397), ('need', 0.026532094660986324), ('hospital', 0.02534692138439181), ('trend dialysis', 0.02214776969337109), ('thrice week', 0.02214776969337109)]",negative,"['dialysis', 'kidney', 'patient', 'need dialysis', 'kidney patients', 'dialysis patient', 'need', 'hospital', 'trend dialysis', 'thrice week ']"
