Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,3400,-1_help_health_appreciate_people,"[('help', 0.013157665829689424), ('health', 0.012028305089595459), ('appreciate', 0.01032242967391305), ('people', 0.007768340578862475), ('please', 0.007616739354817799), ('amp', 0.007433354125519483), ('sir', 0.006808210378757112), ('need', 0.006658453911186679), ('hospital', 0.006531104647448044), ('care', 0.006210772911864605)]",neutral,"['help', 'health', 'appreciate', 'people', 'please', 'amp', 'sir', 'need', 'hospital', 'care ']"
1,0,6800,0_health_help_covid19_covid,"[('health', 0.012964301517167893), ('help', 0.012221236676420574), ('covid19', 0.01105741603359084), ('covid', 0.010254861264157825), ('amp', 0.00895391620349631), ('please', 0.007933467363472476), ('hospital', 0.00776003276138635), ('need', 0.0067578026344974375), ('care', 0.006639445346291976), ('appreciate', 0.006478298661716858)]",neutral,"['health', 'help', 'covid', 'covid', 'amp', 'please', 'hospital', 'need', 'care', 'appreciate ']"
2,1,59,1_railway appreciate_railway_zindabad_appreciate,"[('railway appreciate', 0.43463354557223), ('railway', 0.4258508390890775), ('zindabad', 0.420315247046115), ('appreciate', 0.25572105024218417), ('railway appreciate zindabad', 0.23796675583103757), ('appreciate zindabad', 0.23796675583103757), ('appreciate zindabad zindabad', 0.23796675583103757), ('zindabad zindabad', 0.23796675583103757), ('zindabad zindabad railway', 0.18611344205789787), ('zindabad railway appreciate', 0.18611344205789787)]",neutral,"['railway appreciate', 'railway', 'zindabad', 'appreciate', 'railway appreciate zindabad', 'appreciate zindabad', 'appreciate zindabad zindabad', 'zindabad zindabad', 'zindabad zindabad railway', 'zindabad railway appreciate ']"
3,2,32,2_soil_organic_farmers_savesoil,"[('soil', 0.05146835306438268), ('organic', 0.03982010762470057), ('farmers', 0.038186074025035745), ('savesoil', 0.03206153602082767), ('farming', 0.02805384401822421), ('agriculture', 0.022883023122235755), ('health', 0.021179210844145188), ('organic farming', 0.02116212716758519), ('soil health', 0.020726228361025636), ('mesh', 0.017356511632874723)]",neutral,"['soil', 'organic', 'farmers', 'savesoil', 'farming', 'agriculture', 'health', 'organic farming', 'soil health', 'mesh ']"
4,3,31,3_snacks_south indian snacks_rarevegetables dailyneeds_vegetables ecommerce,"[('snacks', 0.09281112397494855), ('south indian snacks', 0.049842084738119755), ('rarevegetables dailyneeds', 0.049842084738119755), ('vegetables ecommerce', 0.049842084738119755), ('south indian', 0.049842084738119755), ('snacks health', 0.049842084738119755), ('essentialoils aromaticoils snacks', 0.049842084738119755), ('essentialoils aromaticoils', 0.049842084738119755), ('essentialoils', 0.049842084738119755), ('snacks health fruits', 0.049842084738119755)]",neutral,"['snacks', 'south indian snacks', 'rarevegetables dailyneeds', 'vegetables ecommerce', 'south indian', 'snacks health', 'essentialoils aromaticoils snacks', 'essentialoils aromaticoils', 'essentialoils', 'snacks health fruits ']"
5,4,28,4_savemalenurses_savemalenurses savemalenurses_savemalenurses savemalenurses savemalenurses_male,"[('savemalenurses', 0.21896267192482047), ('savemalenurses savemalenurses', 0.11572305848693273), ('savemalenurses savemalenurses savemalenurses', 0.09534469657375343), ('male', 0.09448692847019158), ('gender', 0.09302503796133305), ('nursing', 0.07694729523015703), ('8020', 0.06874331698096232), ('gender discrimination', 0.06874331698096232), ('discrimination', 0.06609956291627166), ('female', 0.057957655843105804)]",neutral,"['savemalenurses', 'savemalenurses savemalenurses', 'savemalenurses savemalenurses savemalenurses', 'male', 'gender', 'nursing', '', 'gender discrimination', 'discrimination', 'female ']"
6,5,24,5_writing_writeup_writeup discussing_short writeup,"[('writing', 0.08724270182601397), ('writeup', 0.0856547914726204), ('writeup discussing', 0.0856547914726204), ('short writeup', 0.0856547914726204), ('short writeup discussing', 0.0856547914726204), ('discussing', 0.07695600524720016), ('covid19', 0.07573015389719022), ('short', 0.0754088573332429), ('article', 0.07228948784092737), ('writingcommunity', 0.06566542613042388)]",neutral,"['writing', 'writeup', 'writeup discussing', 'short writeup', 'short writeup discussing', 'discussing', 'covid', 'short', 'article', 'writingcommunity ']"
7,6,24,6_covid19_emphasize physical_effect covid_careful also emphasize,"[('covid19', 0.057487035591424505), ('emphasize physical', 0.03953427649710354), ('effect covid', 0.03953427649710354), ('careful also emphasize', 0.03953427649710354), ('decreasing still need', 0.03953427649710354), ('physical labor', 0.03953427649710354), ('physical labor many', 0.03953427649710354), ('model covid19', 0.03953427649710354), ('many benefits covid19', 0.03953427649710354), ('labor many benefits', 0.03953427649710354)]",neutral,"['covid', 'emphasize physical', 'effect covid', 'careful also emphasize', 'decreasing still need', 'physical labor', 'physical labor many', 'model covid', 'many benefits covid', 'labor many benefits ']"
8,7,24,7_amp_ok try_help bjymcares ok_bjymcares ok try,"[('amp', 0.08218640068941527), ('ok try', 0.04880844133558958), ('help bjymcares ok', 0.04259316314781779), ('bjymcares ok try', 0.04259316314781779), ('bjymcares ok', 0.04259316314781779), ('help bjymcares', 0.039187879892379165), ('ok try best', 0.03624079271697022), ('plz help bjymcares', 0.034863172382563985), ('try', 0.0336936507209433), ('try best', 0.03340293927991629)]",neutral,"['amp', 'ok try', 'help bjymcares ok', 'bjymcares ok try', 'bjymcares ok', 'help bjymcares', 'ok try best', 'plz help bjymcares', 'try', 'try best ']"
9,8,20,8_clapping_italians clapped_going think clapping_clapped balconies,"[('clapping', 0.15630696917933828), ('italians clapped', 0.1560709372881891), ('going think clapping', 0.1560709372881891), ('clapped balconies', 0.1560709372881891), ('coronavirus vicinity', 0.1560709372881891), ('clapped balconies gesture', 0.1560709372881891), ('balconies gesture appreciation', 0.1560709372881891), ('balconies gesture', 0.1560709372881891), ('clapping together', 0.1560709372881891), ('clapping together kll', 0.1560709372881891)]",neutral,"['clapping', 'italians clapped', 'going think clapping', 'clapped balconies', 'coronavirus vicinity', 'clapped balconies gesture', 'balconies gesture appreciation', 'balconies gesture', 'clapping together', 'clapping together kll ']"
