Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,395,-1_singapore_covid_covid19_health,"[('singapore', 0.016078385426980545), ('covid', 0.01098488150145923), ('covid19', 0.010945548194394132), ('health', 0.008203961799967744), ('cases', 0.006356725362280212), ('via', 0.00575854090923234), ('2022', 0.005398650394111794), ('one', 0.004683095988017253), ('still', 0.004674836037935676), ('safe', 0.004562706654332503)]",negative,"['singapore', 'covid', 'covid', 'health', 'cases', 'via', '', 'one', 'still', 'safe ']"
1,0,93,0_deaths singapore_deaths singapore reports_singapore reports_reports,"[('deaths singapore', 0.09768375328462456), ('deaths singapore reports', 0.0961372545341239), ('singapore reports', 0.09196911788152354), ('reports', 0.09027067487401988), ('deaths', 0.08836025095610008), ('new covid19 cases', 0.08339498110847908), ('new covid19', 0.08296511359296595), ('covid19 cases', 0.08059792922282549), ('cases', 0.0714334036591219), ('new', 0.0710659760717752)]",negative,"['deaths singapore', 'deaths singapore reports', 'singapore reports', 'reports', 'deaths', 'new covid cases', 'new covid', 'covid cases', 'cases', 'new ']"
2,1,92,1_vaccine_vaccination_vaccinated_dose,"[('vaccine', 0.030570339424632657), ('vaccination', 0.023923475515318905), ('vaccinated', 0.02206847253753779), ('dose', 0.01760772456651992), ('singapore', 0.016128229672797024), ('covid19', 0.01499133725005789), ('people', 0.013463296307759384), ('vaccines', 0.012501467925054842), ('covid19 vaccine', 0.011459678931300272), ('covid', 0.010017214080729149)]",negative,"['vaccine', 'vaccination', 'vaccinated', 'dose', 'singapore', 'covid', 'people', 'vaccines', 'covid vaccine', 'covid ']"
3,2,88,2_singapore_covid19_infections_covid,"[('singapore', 0.026940597209687382), ('covid19', 0.025623893147995146), ('infections', 0.013968445386306101), ('covid', 0.013483488159457647), ('update', 0.011551323271875164), ('singapore covid19', 0.011182836849530947), ('pandemic', 0.009993424653573692), ('covid19 infections', 0.009641814339559239), ('singapores', 0.009630257484864213), ('transmitted covid19', 0.009348540388400798)]",negative,"['singapore', 'covid', 'infections', 'covid', 'update', 'singapore covid', 'pandemic', 'covid infections', 'singapores', 'transmitted covid ']"
4,3,77,3_healthcare_amp_health_help,"[('healthcare', 0.0186207102526535), ('amp', 0.017018208995313755), ('health', 0.014317034325397831), ('help', 0.013817931974405201), ('one', 0.011856225204574253), ('hospital', 0.009845557132971862), ('doctor', 0.008528406872105926), ('many', 0.008178220875998293), ('person', 0.007646764306143654), ('im', 0.007619388097395727)]",negative,"['healthcare', 'amp', 'health', 'help', 'one', 'hospital', 'doctor', 'many', 'person', 'im ']"
5,4,77,4_mental_mental health_health_dont,"[('mental', 0.034129707932342865), ('mental health', 0.033071238274221745), ('health', 0.031620162204406575), ('dont', 0.014389793286194576), ('help', 0.010233171337686545), ('nak', 0.009844622943298556), ('appreciate', 0.009781534927985171), ('like', 0.009749685431152552), ('people', 0.009054595879661205), ('mental health issues', 0.008994895987986933)]",negative,"['mental', 'mental health', 'health', 'dont', 'help', 'nak', 'appreciate', 'like', 'people', 'mental health issues ']"
6,5,73,5_mask_singapore_wear_wearing,"[('mask', 0.06851768549415227), ('singapore', 0.020657775908667044), ('wear', 0.017894095315996453), ('wearing', 0.015611629292791012), ('masks', 0.01473031566495007), ('got', 0.014048527674658863), ('wear mask', 0.013967500790237453), ('wearing mask', 0.012012896622572825), ('mask singapore', 0.012012896622572825), ('shotoniphone', 0.01075324403548282)]",negative,"['mask', 'singapore', 'wear', 'wearing', 'masks', 'got', 'wear mask', 'wearing mask', 'mask singapore', 'shotoniphone ']"
7,6,70,6_singapore_covid19_circuit_circuit breaker,"[('singapore', 0.027334986210862288), ('covid19', 0.023633288209273285), ('circuit', 0.017395025232458672), ('circuit breaker', 0.015907590874481348), ('lockdown', 0.015785046039885925), ('breaker', 0.015423731523443026), ('home', 0.012765026085506793), ('stayathome', 0.01217651766272107), ('covid', 0.011534856020020995), ('circuitbreakersg', 0.010992843999488324)]",negative,"['singapore', 'covid', 'circuit', 'circuit breaker', 'lockdown', 'breaker', 'home', 'stayathome', 'covid', 'circuitbreakersg ']"
8,7,51,7_quarantine_singapore_singapore quarantine_day,"[('quarantine', 0.07757143337861988), ('singapore', 0.030699750308713525), ('singapore quarantine', 0.0301138161236442), ('day', 0.027606919808516154), ('days', 0.021918360225080657), ('quarantine day', 0.01904266575726359), ('quarantine singapore', 0.01865616817032504), ('day quarantine', 0.017045883137728323), ('singapore quarantine day', 0.01499042608744058), ('im', 0.014806070204075155)]",negative,"['quarantine', 'singapore', 'singapore quarantine', 'day', 'days', 'quarantine day', 'quarantine singapore', 'day quarantine', 'singapore quarantine day', 'im ']"
9,8,49,8_cases_covid19_new_covid19 cases,"[('cases', 0.051711746871034116), ('covid19', 0.03466583220999425), ('new', 0.03438814750311635), ('covid19 cases', 0.028908316237161814), ('new covid19 cases', 0.027547617746566555), ('total', 0.02752443869084573), ('new covid19', 0.02703527465196002), ('singapore', 0.024411123445737523), ('may', 0.02057163678382708), ('2389', 0.01941303599302101)]",negative,"['cases', 'covid', 'new', 'covid cases', 'new covid cases', 'total', 'new covid', 'singapore', 'may', ' ']"
