Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,615,-1_singapore_covid19_safe_health,"[('singapore', 0.013190524074702328), ('covid19', 0.009905174130515206), ('safe', 0.009079554196094013), ('health', 0.00829296164439406), ('stay', 0.006425607957971738), ('good', 0.00593148367700388), ('thank', 0.005726368324850854), ('amp', 0.005690418281521062), ('stay safe', 0.005642033058329699), ('may', 0.005549761816040358)]",positive,"['singapore', 'covid', 'safe', 'health', 'stay', 'good', 'thank', 'amp', 'stay safe', 'may ']"
1,0,93,0_vaccination_vaccine_covid19_singapore,"[('vaccination', 0.03287994486373722), ('vaccine', 0.03158141389873502), ('covid19', 0.027070155776438613), ('singapore', 0.022636381145558132), ('first', 0.017254035683489117), ('covid19 vaccination', 0.017249427537862023), ('vaccinated', 0.016382940159907596), ('dose', 0.01570147515091439), ('vaccines', 0.015052748393614849), ('covid19 vaccine', 0.012765456999286327)]",positive,"['vaccination', 'vaccine', 'covid', 'singapore', 'first', 'covid vaccination', 'vaccinated', 'dose', 'vaccines', 'covid vaccine ']"
2,1,93,1_health_healthcare_singapores_life,"[('health', 0.022870027201516638), ('healthcare', 0.02028498102273096), ('singapores', 0.010942126233828444), ('life', 0.009965540752470336), ('distancing', 0.008848362708716138), ('safe distancing', 0.008784108696977745), ('great', 0.00863458036949814), ('future', 0.008423333026851292), ('singapore', 0.008125163843288498), ('wealth', 0.008036286518062994)]",positive,"['health', 'healthcare', 'singapores', 'life', 'distancing', 'safe distancing', 'great', 'future', 'singapore', 'wealth ']"
3,2,73,2_mask_singapore_masks_singapore zerowaste,"[('mask', 0.07626602826145096), ('singapore', 0.037145644310531266), ('masks', 0.030623614559373426), ('singapore zerowaste', 0.029325732270499387), ('singapore singapore zerowaste', 0.029325732270499387), ('zerowaste free', 0.029325732270499387), ('zerowaste', 0.029325732270499387), ('singapore zerowaste free', 0.029325732270499387), ('singapore singapore', 0.02885442591547405), ('free', 0.02805629387701862)]",positive,"['mask', 'singapore', 'masks', 'singapore zerowaste', 'singapore singapore zerowaste', 'zerowaste free', 'zerowaste', 'singapore zerowaste free', 'singapore singapore', 'free ']"
4,3,70,3_covid19_singapore_covid_singapore photographs,"[('covid19', 0.036008705789228455), ('singapore', 0.0281255671498448), ('covid', 0.015032907469322824), ('singapore photographs', 0.012992939488965653), ('photographs', 0.012992939488965653), ('covid19 singapore', 0.010652768570948256), ('city', 0.010135510034974322), ('visual record', 0.009238459121372871), ('visual record covid19', 0.009238459121372871), ('record covid19 singapore', 0.009238459121372871)]",positive,"['covid', 'singapore', 'covid', 'singapore photographs', 'photographs', 'covid singapore', 'city', 'visual record', 'visual record covid', 'record covid singapore ']"
5,4,70,4_workers_covid19_help_health,"[('workers', 0.019006574327564495), ('covid19', 0.016160241277376114), ('help', 0.01448537562194199), ('health', 0.013876845944644207), ('us', 0.0131456757176209), ('frontline', 0.011111038084318094), ('keep', 0.010951373415081818), ('team', 0.010538724786380241), ('pandemic', 0.009818438885271372), ('frontline workers', 0.0088253928604295)]",positive,"['workers', 'covid', 'help', 'health', 'us', 'frontline', 'keep', 'team', 'pandemic', 'frontline workers ']"
6,5,64,5_safe_stay_stay safe_singapore,"[('safe', 0.05279362147590472), ('stay', 0.03943776088209681), ('stay safe', 0.035617883388520406), ('singapore', 0.029962936184637377), ('singapore stay', 0.018809595184509014), ('everyone', 0.018729366186412633), ('asia', 0.017177373795096148), ('safe singapore', 0.014140338841239936), ('singapore safe', 0.01394686292960521), ('singapore stay safe', 0.013455684402780124)]",positive,"['safe', 'stay', 'stay safe', 'singapore', 'singapore stay', 'everyone', 'asia', 'safe singapore', 'singapore safe', 'singapore stay safe ']"
7,6,63,6_cases_new_covid19 cases_cases singapore,"[('cases', 0.07957711516820566), ('new', 0.05979705394023314), ('covid19 cases', 0.05843335683743084), ('cases singapore', 0.05345952254222256), ('covid19 cases singapore', 0.04482140551398952), ('covid19', 0.041188729108069984), ('new covid19', 0.03974931868464789), ('singapore', 0.03081981717422198), ('new covid19 cases', 0.03011079595186486), ('community', 0.027351162473105012)]",positive,"['cases', 'new', 'covid cases', 'cases singapore', 'covid cases singapore', 'covid', 'new covid', 'singapore', 'new covid cases', 'community ']"
8,7,61,7_birthday_good_happy_good health,"[('birthday', 0.03017417253592788), ('good', 0.02906530427776836), ('happy', 0.02287853052718392), ('good health', 0.022158428317824053), ('happy birthday', 0.021207354943085927), ('thank', 0.020670593190370252), ('health', 0.018287967000972644), ('always', 0.017379171657338436), ('love', 0.016111253464800676), ('family', 0.01413538391404887)]",positive,"['birthday', 'good', 'happy', 'good health', 'happy birthday', 'thank', 'health', 'always', 'love', 'family ']"
9,8,57,8_visit intenz healthcare_shop visit_visit intenz_intenz healthcare store,"[('visit intenz healthcare', 0.04488602328738261), ('shop visit', 0.04488602328738261), ('visit intenz', 0.04488602328738261), ('intenz healthcare store', 0.04488602328738261), ('intenz', 0.04488602328738261), ('healthcare store', 0.04488602328738261), ('intenz healthcare', 0.04488602328738261), ('shop visit intenz', 0.04488602328738261), ('supplements', 0.04347348734531695), ('shop', 0.043189918802317206)]",positive,"['visit intenz healthcare', 'shop visit', 'visit intenz', 'intenz healthcare store', 'intenz', 'healthcare store', 'intenz healthcare', 'shop visit intenz', 'supplements', 'shop ']"
