Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2144,-1_health_covid19_amp_nursing,"[('health', 0.005896065245192882), ('covid19', 0.004793905605012764), ('amp', 0.004663520224442214), ('nursing', 0.004527609530871905), ('covid', 0.004445871361779439), ('help', 0.004341828834770141), ('people', 0.004321248678174313), ('homes', 0.003530139326340921), ('home', 0.0032565296478765677), ('one', 0.003068382265766412)]",negative,"['health', 'covid', 'amp', 'nursing', 'covid', 'help', 'people', 'homes', 'home', 'one ']"
1,0,408,0_health_public_ireland_public health,"[('health', 0.012340639403597843), ('public', 0.00963331656251664), ('ireland', 0.00960340998309617), ('public health', 0.008770129180347955), ('government', 0.00739848897192112), ('private', 0.006426501217926071), ('system', 0.005371289873428937), ('health service', 0.005338894321779097), ('housing', 0.005260194327202108), ('people', 0.00517797090535771)]",negative,"['health', 'public', 'ireland', 'public health', 'government', 'private', 'system', 'health service', 'housing', 'people ']"
2,1,323,1_housing_health_housing health_crisis,"[('housing', 0.027116443189905155), ('health', 0.010027379855197317), ('housing health', 0.009397404118909217), ('crisis', 0.008616686688890303), ('health housing', 0.008608971654398384), ('homelessness', 0.008272241249580214), ('amp', 0.00668244067036303), ('etc', 0.00589170501382618), ('homeless', 0.005711785624710148), ('education', 0.005695741396443365)]",negative,"['housing', 'health', 'housing health', 'crisis', 'health housing', 'homelessness', 'amp', 'etc', 'homeless', 'education ']"
3,2,284,2_nursing_homes_nursing homes_covid19,"[('nursing', 0.023996285855592898), ('homes', 0.019398881861240575), ('nursing homes', 0.01930583961101409), ('covid19', 0.014116662812451131), ('nursing home', 0.013968560519319854), ('home', 0.0123137730924521), ('covid', 0.010055521491941064), ('elderly', 0.008846939725695249), ('died', 0.00777311309989945), ('hse', 0.007316015626843157)]",negative,"['nursing', 'homes', 'nursing homes', 'covid', 'nursing home', 'home', 'covid', 'elderly', 'died', 'hse ']"
4,3,261,3_vaccine_vaccines_vaccination_vaccinated,"[('vaccine', 0.02675840774790339), ('vaccines', 0.01080572213536938), ('vaccination', 0.009834136827727637), ('vaccinated', 0.00931790839364968), ('nursing', 0.007497886785272111), ('get', 0.007225315725454611), ('people', 0.007213772722127707), ('rollout', 0.006579235209410529), ('covid', 0.005809118861429086), ('vaccinations', 0.005776491769150629)]",negative,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'nursing', 'get', 'people', 'rollout', 'covid', 'vaccinations ']"
5,4,236,4_mental_mental health_health_help,"[('mental', 0.03603109941317593), ('mental health', 0.035739721062620196), ('health', 0.017469640080207953), ('help', 0.011509231521695681), ('health issues', 0.007869127159929348), ('mental health issues', 0.007713303755152107), ('issues', 0.007507347859469739), ('suicide', 0.006719080605557635), ('people', 0.006419333427810422), ('im', 0.006001629444895683)]",negative,"['mental', 'mental health', 'health', 'help', 'health issues', 'mental health issues', 'issues', 'suicide', 'people', 'im ']"
6,5,195,5_staff_workers_work_frontline,"[('staff', 0.01275087831550401), ('workers', 0.0120525367435323), ('work', 0.012035061164919867), ('frontline', 0.010457048835403441), ('covid', 0.00787269657195306), ('amp', 0.007555203697755706), ('patients', 0.007128615695593772), ('hospital', 0.005938296401061227), ('care', 0.0057350695051769296), ('healthcare', 0.0053415300602525145)]",negative,"['staff', 'workers', 'work', 'frontline', 'covid', 'amp', 'patients', 'hospital', 'care', 'healthcare ']"
7,6,133,6_nurses_student_student nurses_pay,"[('nurses', 0.030193229895315535), ('student', 0.018038194277388547), ('student nurses', 0.015460317787644073), ('pay', 0.01540422963172555), ('nurse', 0.011622773724559133), ('midwives', 0.00879598208206914), ('nursing', 0.008777728385093414), ('paid', 0.008480760851895674), ('nurses midwives', 0.008206010500454643), ('work', 0.007231637358387026)]",negative,"['nurses', 'student', 'student nurses', 'pay', 'nurse', 'midwives', 'nursing', 'paid', 'nurses midwives', 'work ']"
8,7,122,7_mask_masks_wearing_wear,"[('mask', 0.036158911611098285), ('masks', 0.02721067833031748), ('wearing', 0.021725111899485287), ('wear', 0.0180032069800598), ('wear mask', 0.01125745105498368), ('mask wearing', 0.00934847711855911), ('wearing masks', 0.007898223104393214), ('passengers', 0.007213917941768964), ('face', 0.006414186851496151), ('publictransport', 0.006037408059877667)]",negative,"['mask', 'masks', 'wearing', 'wear', 'wear mask', 'mask wearing', 'wearing masks', 'passengers', 'face', 'publictransport ']"
9,8,78,8_test_symptoms_hse_gp,"[('test', 0.02479771935348094), ('symptoms', 0.021209474958456525), ('hse', 0.019056687411238164), ('gp', 0.017198144506360025), ('days', 0.012000923922593302), ('pcr', 0.011508329866010641), ('tests', 0.010907489560719859), ('covid19', 0.010525770438324127), ('negative', 0.010434920290281452), ('positive', 0.009502582797347696)]",negative,"['test', 'symptoms', 'hse', 'gp', 'days', 'pcr', 'tests', 'covid', 'negative', 'positive ']"
