Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,619,-1_health_covid_amp_would,"[('health', 0.011010570712935479), ('covid', 0.0068042906133696825), ('amp', 0.00680337853816256), ('would', 0.006647310156838881), ('appreciate', 0.006467763164354506), ('help', 0.006390127803682085), ('people', 0.006068894495651751), ('care', 0.005801392610219729), ('nurses', 0.005754124233302387), ('get', 0.005400792075637479)]",neutral,"['health', 'covid', 'amp', 'would', 'appreciate', 'help', 'people', 'care', 'nurses', 'get ']"
1,0,179,0_health_medical_covid19_help,"[('health', 0.01323118297071749), ('medical', 0.010967493780728452), ('covid19', 0.009795120843841897), ('help', 0.008560360537184676), ('guidance', 0.008443811514542194), ('need', 0.00822167500701437), ('care', 0.00811300115556541), ('people', 0.00744349330192022), ('would', 0.00715024195094987), ('hospitals', 0.007095820086676567)]",neutral,"['health', 'medical', 'covid', 'help', 'guidance', 'need', 'care', 'people', 'would', 'hospitals ']"
2,1,123,1_mental_mental health_health_help,"[('mental', 0.04658577650996259), ('mental health', 0.0449072557979027), ('health', 0.029669115144909303), ('help', 0.015896220221003312), ('ok', 0.01141184631493498), ('health issues', 0.010868854580690018), ('amp', 0.010591852069324061), ('people', 0.01043188373366666), ('issues', 0.009939652246136388), ('ask', 0.008898452140681835)]",neutral,"['mental', 'mental health', 'health', 'help', 'ok', 'health issues', 'amp', 'people', 'issues', 'ask ']"
3,2,96,2_vaccine_vaccination_vaccines_nursing,"[('vaccine', 0.04328122094640773), ('vaccination', 0.01710347860428716), ('vaccines', 0.01521971255702586), ('nursing', 0.010410608612286886), ('homes', 0.009488808212657934), ('nursing homes', 0.00923951658118024), ('get', 0.009010723819639068), ('vaccinated', 0.00852871257720951), ('stop', 0.008492285562870378), ('good', 0.00808457700853271)]",neutral,"['vaccine', 'vaccination', 'vaccines', 'nursing', 'homes', 'nursing homes', 'get', 'vaccinated', 'stop', 'good ']"
4,3,79,3_nursing_homes_nursing homes_covid19,"[('nursing', 0.04041523001468114), ('homes', 0.03421704869077049), ('nursing homes', 0.03309174665753796), ('covid19', 0.022966367988332983), ('nursing home', 0.019140020625710626), ('home', 0.017065910074491836), ('hospitals', 0.01315514313655861), ('rate', 0.012378166637093352), ('death rate', 0.011504863068814267), ('covid', 0.01103039863814916)]",neutral,"['nursing', 'homes', 'nursing homes', 'covid', 'nursing home', 'home', 'hospitals', 'rate', 'death rate', 'covid ']"
5,4,56,4_amp_safety_people_health,"[('amp', 0.04971600926080686), ('safety', 0.012350642864658543), ('people', 0.010515786928335023), ('health', 0.010348699850860506), ('cyclists', 0.008829575229033094), ('96', 0.008115801341516992), ('road', 0.008115801341516992), ('appreciate', 0.008057263247163615), ('would', 0.007212427454642904), ('return', 0.006861163213031102)]",neutral,"['amp', 'safety', 'people', 'health', 'cyclists', '', 'road', 'appreciate', 'would', 'return ']"
6,5,50,5_covid19_covid_information_spread,"[('covid19', 0.023268251490707433), ('covid', 0.021076390990513838), ('information', 0.02023126292808542), ('spread', 0.01617406683504215), ('social', 0.015798895029898157), ('reduce spread', 0.012994188766737205), ('social distancing', 0.012646142146518274), ('distancing', 0.012508834712267616), ('coronavirus', 0.01181848371603834), ('spread covid19', 0.0118135728475645)]",neutral,"['covid', 'covid', 'information', 'spread', 'social', 'reduce spread', 'social distancing', 'distancing', 'coronavirus', 'spread covid ']"
7,6,47,6_housing_ireland_health_better,"[('housing', 0.03576001682230368), ('ireland', 0.032336975441119825), ('health', 0.016164936362869455), ('better', 0.014932210294026334), ('health housing', 0.013713757221790914), ('housing health', 0.011756855754162602), ('country', 0.011368280713989256), ('public', 0.010639034027473878), ('irish', 0.009748507000672094), ('standards', 0.009239063869781704)]",neutral,"['housing', 'ireland', 'health', 'better', 'health housing', 'housing health', 'country', 'public', 'irish', 'standards ']"
8,7,41,7_nurses_midwives_student nurses_student,"[('nurses', 0.05051689485217236), ('midwives', 0.05033261891386822), ('student nurses', 0.04676008732273757), ('student', 0.04477460802267522), ('nurses midwives', 0.03960907910485694), ('student nurses midwives', 0.03473987058048229), ('sign', 0.03440397186141771), ('midwifery', 0.03436267709014032), ('pay', 0.03351246685886177), ('midwives incredible', 0.03138196384763486)]",neutral,"['nurses', 'midwives', 'student nurses', 'student', 'nurses midwives', 'student nurses midwives', 'sign', 'midwifery', 'pay', 'midwives incredible ']"
9,8,34,8_housing_education_health_affordable,"[('housing', 0.043055030767335994), ('education', 0.018220581414169938), ('health', 0.0168012198068501), ('affordable', 0.015970021743319848), ('health housing', 0.01174298768906756), ('etc', 0.010720776034774955), ('rental', 0.010646681162213234), ('welfare', 0.01045612044893596), ('amp', 0.00975754936425736), ('think', 0.009219592849937102)]",neutral,"['housing', 'education', 'health', 'affordable', 'health housing', 'etc', 'rental', 'welfare', 'amp', 'think ']"
