Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,108,-1_health_help_amp_care,"[('health', 0.01646525669460585), ('help', 0.012438468820341586), ('amp', 0.011766125636487051), ('care', 0.009494810369507226), ('mental health', 0.009094158040113034), ('mental', 0.009094158040113034), ('covid19', 0.009042743163803314), ('time', 0.007422814093372451), ('youre', 0.0070932275118295845), ('people', 0.00698309730579209)]",negative,"['health', 'help', 'amp', 'care', 'mental health', 'mental', 'covid', 'time', 'youre', 'people ']"
1,0,56,0_italy_health_people_care,"[('italy', 0.024849563523771566), ('health', 0.016933390811154417), ('people', 0.01622146241173466), ('care', 0.014617554791648394), ('much', 0.012985210462352233), ('dont', 0.012449155946135293), ('covid19', 0.012047524026650016), ('coronavirus', 0.011785655409127228), ('money', 0.011364702517475636), ('please', 0.010623141594011927)]",negative,"['italy', 'health', 'people', 'care', 'much', 'dont', 'covid', 'coronavirus', 'money', 'please ']"
2,1,48,1_health_prices_healthcare_jobs,"[('health', 0.01976389895260838), ('prices', 0.01852370524736985), ('healthcare', 0.01314679335885066), ('jobs', 0.011927461414776309), ('people', 0.011229848582949769), ('hospital', 0.009644361555192164), ('im', 0.009548085341826716), ('many', 0.009548085341826716), ('gop', 0.009020691026399961), ('gun', 0.009020691026399961)]",negative,"['health', 'prices', 'healthcare', 'jobs', 'people', 'hospital', 'im', 'many', 'gop', 'gun ']"
3,2,38,2_coronavirus_covid19_covid19 coronavirus_distancelearning,"[('coronavirus', 0.050084696145856575), ('covid19', 0.04778437192975756), ('covid19 coronavirus', 0.03365077134799951), ('distancelearning', 0.03310489955260656), ('iorestoacasa distancelearning', 0.03310489955260656), ('andratuttobene', 0.03310489955260656), ('stayhome', 0.02911536262786927), ('coronavirusitaly', 0.02872229009658371), ('covid19 coronavirus coronavirusitaly', 0.025528882630116215), ('italiacheresiste', 0.025528882630116215)]",negative,"['coronavirus', 'covid', 'covid coronavirus', 'distancelearning', 'iorestoacasa distancelearning', 'andratuttobene', 'stayhome', 'coronavirusitaly', 'covid coronavirus coronavirusitaly', 'italiacheresiste ']"
4,3,27,3_quarantine_cat_coronavirus outbreak_survivethequarantine,"[('quarantine', 0.06279453741575577), ('cat', 0.05897672234012972), ('coronavirus outbreak', 0.05897672234012972), ('survivethequarantine', 0.05897672234012972), ('survivethequarantine italy', 0.05897672234012972), ('beacat', 0.05897672234012972), ('beacat quarantine', 0.05897672234012972), ('quarantine quaratinestories', 0.05897672234012972), ('quarantine quaratinestories survivethequarantine', 0.05897672234012972), ('quaratinestories', 0.05897672234012972)]",negative,"['quarantine', 'cat', 'coronavirus outbreak', 'survivethequarantine', 'survivethequarantine italy', 'beacat', 'beacat quarantine', 'quarantine quaratinestories', 'quarantine quaratinestories survivethequarantine', 'quaratinestories ']"
5,4,27,4_proper_covid19_nurse_health,"[('proper', 0.028947433187891967), ('covid19', 0.024908647078476398), ('nurse', 0.02274740441513225), ('health', 0.022378765453643416), ('medart medicalart', 0.021412956819774467), ('medart', 0.021412956819774467), ('sciart', 0.021412956819774467), ('medicalart', 0.021412956819774467), ('medical', 0.021254597986215578), ('disease', 0.021104843310692668)]",negative,"['proper', 'covid', 'nurse', 'health', 'medart medicalart', 'medart', 'sciart', 'medicalart', 'medical', 'disease ']"
6,5,26,5_quarantine_covid19_coronavirus_italy,"[('quarantine', 0.05330640836014666), ('covid19', 0.04879780307077622), ('coronavirus', 0.04669935583572315), ('italy', 0.044543078231691034), ('castelvolturno', 0.039450484167569584), ('iorestoacasa', 0.03702410179733961), ('2020', 0.03698312574383124), ('socialdistancing', 0.03487599836213861), ('coronavirusitalia covid19 covid19italia', 0.029449218891350357), ('quarantine confinement coronavirus', 0.029449218891350357)]",negative,"['quarantine', 'covid', 'coronavirus', 'italy', 'castelvolturno', 'iorestoacasa', '', 'socialdistancing', 'coronavirusitalia covid coviditalia', 'quarantine confinement coronavirus ']"
7,6,22,6_vaccine_vaccines_covid_ows,"[('vaccine', 0.048614374640335856), ('vaccines', 0.029656306767919437), ('covid', 0.017886033429610187), ('ows', 0.01666778964391415), ('preventing', 0.01666778964391415), ('1st', 0.01666778964391415), ('effective', 0.01666778964391415), ('trial', 0.01666778964391415), ('health', 0.016509364693945323), ('pro', 0.016075195505728314)]",negative,"['vaccine', 'vaccines', 'covid', 'ows', 'preventing', 'st', 'effective', 'trial', 'health', 'pro ']"
8,7,22,7_certificate_help_us_flight,"[('certificate', 0.030953770189015913), ('help', 0.027481242049942192), ('us', 0.025856544626733237), ('flight', 0.02097310663637991), ('rome', 0.019579090216121357), ('another', 0.019346106368134944), ('help us', 0.01824531395797066), ('without', 0.017412888371053873), ('smalling', 0.017397005440835396), ('someone', 0.016273358976713736)]",negative,"['certificate', 'help', 'us', 'flight', 'rome', 'another', 'help us', 'without', 'smalling', 'someone ']"
9,8,14,8_italian_italy_italian government_placed italy,"[('italian', 0.05262120239753087), ('italy', 0.045091761166235936), ('italian government', 0.03569890491298708), ('placed italy', 0.03569890491298708), ('lock activity', 0.03569890491298708), ('activity', 0.03569890491298708), ('health amp', 0.03569890491298708), ('amp safety measures', 0.03569890491298708), ('safety measures taken', 0.03569890491298708), ('italy lock activity', 0.03569890491298708)]",negative,"['italian', 'italy', 'italian government', 'placed italy', 'lock activity', 'activity', 'health amp', 'amp safety measures', 'safety measures taken', 'italy lock activity ']"
