Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,149,-1_health_italy_quarantine_appreciate,"[('health', 0.01090000696594554), ('italy', 0.010603195097708554), ('quarantine', 0.008929548518637174), ('appreciate', 0.008590085044403279), ('care', 0.008569858641591202), ('help', 0.008176677946696357), ('take', 0.008156240642754435), ('iorestoacasa', 0.008141722620056097), ('amp', 0.007942864597112447), ('time', 0.007831028446182497)]",positive,"['health', 'italy', 'quarantine', 'appreciate', 'care', 'help', 'take', 'iorestoacasa', 'amp', 'time ']"
1,0,306,0_health_thank_covid19_help,"[('health', 0.018265069150783013), ('thank', 0.013465657880126394), ('covid19', 0.012492971972168377), ('help', 0.010974119093098157), ('amp', 0.010847335514546263), ('italy', 0.010695574946091893), ('world', 0.008064784380639744), ('us', 0.008053037578306464), ('healthcare', 0.008027531838503146), ('nurses', 0.008006943438629066)]",positive,"['health', 'thank', 'covid', 'help', 'amp', 'italy', 'world', 'us', 'healthcare', 'nurses ']"
2,1,57,1_food_worldfoodsafetyday_food safety_healthy,"[('food', 0.0623462335375144), ('worldfoodsafetyday', 0.02539739766498385), ('food safety', 0.02539739766498385), ('healthy', 0.02360405446596376), ('safety', 0.022757086918762024), ('health', 0.02173903226485303), ('covid19', 0.019547737862124718), ('food security', 0.017830475225069094), ('diets', 0.017830475225069094), ('security', 0.016627954732704793)]",positive,"['food', 'worldfoodsafetyday', 'food safety', 'healthy', 'safety', 'health', 'covid', 'food security', 'diets', 'security ']"
3,2,54,2_lovely cheers_fun sun safe_fun sun_sun,"[('lovely cheers', 0.09032426768567536), ('fun sun safe', 0.09009575648858499), ('fun sun', 0.09009575648858499), ('sun', 0.08990969736982811), ('sun safe', 0.08990969736982811), ('cheers', 0.08954129749642718), ('fun', 0.08881894044013795), ('lovely', 0.08752631206972862), ('take care', 0.08349161916423307), ('take', 0.08151414464859313)]",positive,"['lovely cheers', 'fun sun safe', 'fun sun', 'sun', 'sun safe', 'cheers', 'fun', 'lovely', 'take care', 'take ']"
4,3,41,3_aerobic_chest lungs respiratory_lungs_get cold,"[('aerobic', 0.03768400186799225), ('chest lungs respiratory', 0.03653587075576111), ('lungs', 0.03653587075576111), ('get cold', 0.03653587075576111), ('get cold chest', 0.03653587075576111), ('respiratory', 0.03653587075576111), ('lungs respiratory', 0.03653587075576111), ('cold chest', 0.03653587075576111), ('cold chest lungs', 0.03653587075576111), ('chest lungs', 0.03653587075576111)]",positive,"['aerobic', 'chest lungs respiratory', 'lungs', 'get cold', 'get cold chest', 'respiratory', 'lungs respiratory', 'cold chest', 'cold chest lungs', 'chest lungs ']"
5,4,35,4_cheers_fun_sun safe_sun,"[('cheers', 0.07962938769893711), ('fun', 0.07898699305310776), ('sun safe', 0.07753406738359969), ('sun', 0.07753406738359969), ('take care', 0.07649936913472434), ('fun sun', 0.07526656273818357), ('fun sun safe', 0.07526656273818357), ('take', 0.07468750401052687), ('safe', 0.07397724356282383), ('lovely', 0.07209644122893726)]",positive,"['cheers', 'fun', 'sun safe', 'sun', 'take care', 'fun sun', 'fun sun safe', 'take', 'safe', 'lovely ']"
6,5,25,5_harmonious_environment_livestock_caritas,"[('harmonious', 0.04753203240630387), ('environment', 0.04683611954719861), ('livestock', 0.03752631187227997), ('caritas', 0.034040400437017324), ('network', 0.032745371215064566), ('response', 0.032745371215064566), ('covid19', 0.02911673967148795), ('vaccine', 0.02865219981318149), ('pandemic', 0.027215520327908412), ('harmonious environment', 0.026783397567670952)]",positive,"['harmonious', 'environment', 'livestock', 'caritas', 'network', 'response', 'covid', 'vaccine', 'pandemic', 'harmonious environment ']"
7,6,23,6_ciao salute_salute_beauty ciao salute_salute fun sun,"[('ciao salute', 0.12064069444579155), ('salute', 0.11985729493805383), ('beauty ciao salute', 0.11194447833460637), ('salute fun sun', 0.10872715170696394), ('ciao salute fun', 0.10872715170696394), ('salute fun', 0.10872715170696394), ('ciao', 0.1021134975361586), ('beauty ciao', 0.09420463968292192), ('care beauty ciao', 0.08810561989570119), ('beauty', 0.08330782789790461)]",positive,"['ciao salute', 'salute', 'beauty ciao salute', 'salute fun sun', 'ciao salute fun', 'salute fun', 'ciao', 'beauty ciao', 'care beauty ciao', 'beauty ']"
8,7,20,7_take care safe_care safe_take care_take,"[('take care safe', 0.058612031152628356), ('care safe', 0.058612031152628356), ('take care', 0.04794130075684762), ('take', 0.04680582510740772), ('safe', 0.045036121018054286), ('care', 0.04409190704778707), ('safety', 0.04302607828165856), ('important', 0.04003293514298571), ('safe important', 0.039745706757507694), ('important facts', 0.037192921092593256)]",positive,"['take care safe', 'care safe', 'take care', 'take', 'safe', 'care', 'safety', 'important', 'safe important', 'important facts ']"
9,8,18,8_appreciate_really_video_really appreciate,"[('appreciate', 0.09210248732685163), ('really', 0.04169815957110846), ('video', 0.03933953178112903), ('really appreciate', 0.03933953178112903), ('tribute', 0.03214502247704303), ('outfit', 0.03171299628688286), ('artists', 0.02993622822918994), ('thanks', 0.029199763187359843), ('fashion', 0.02867605185863013), ('thank', 0.028019002306856566)]",positive,"['appreciate', 'really', 'video', 'really appreciate', 'tribute', 'outfit', 'artists', 'thanks', 'fashion', 'thank ']"
