Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,217,-1_health_covid19_people_cant,"[('health', 0.010775224939666256), ('covid19', 0.010416432058834673), ('people', 0.006846320028972934), ('cant', 0.006821687465819669), ('help', 0.006644653323241423), ('time', 0.005754730161775407), ('amp', 0.00574406035630612), ('would', 0.005613431731025868), ('get', 0.005603438750937219), ('covid', 0.005595911314629621)]",negative,"['health', 'covid', 'people', 'cant', 'help', 'time', 'amp', 'would', 'get', 'covid ']"
1,0,50,0_health_people_us_pandemic,"[('health', 0.020811141509212407), ('people', 0.014985954709670667), ('us', 0.013872264681805186), ('pandemic', 0.012978454180765226), ('saying', 0.01149205618605008), ('employees', 0.011483245028659073), ('rising', 0.010903784724989407), ('prices', 0.010903784724989407), ('running', 0.010666749243496266), ('workers', 0.010189236886384406)]",negative,"['health', 'people', 'us', 'pandemic', 'saying', 'employees', 'rising', 'prices', 'running', 'workers ']"
2,1,37,1_mental_mental health_health_help,"[('mental', 0.060131926347444124), ('mental health', 0.0601247482751803), ('health', 0.03620688043084491), ('help', 0.021754849308797734), ('need', 0.015665151917148543), ('mental health issues', 0.01280664110661234), ('health issues', 0.012460269790572279), ('someone', 0.01187620347611507), ('issues', 0.011071843592770834), ('jah', 0.010974811950927097)]",negative,"['mental', 'mental health', 'health', 'help', 'need', 'mental health issues', 'health issues', 'someone', 'issues', 'jah ']"
3,2,32,2_nurses_nursing_jamaica_jamaican government,"[('nurses', 0.034415191295720945), ('nursing', 0.02798305903533576), ('jamaica', 0.025798499850841327), ('jamaican government', 0.025481678748352186), ('jamaican', 0.02209312177180556), ('government', 0.019398699943865113), ('care', 0.019168149277937644), ('pay', 0.01847503800633929), ('nursing admin', 0.018288130971568152), ('health care', 0.017804543733567255)]",negative,"['nurses', 'nursing', 'jamaica', 'jamaican government', 'jamaican', 'government', 'care', 'pay', 'nursing admin', 'health care ']"
4,3,29,3_hospitals_doctors nurses_doctors_hospital,"[('hospitals', 0.027619631275120342), ('doctors nurses', 0.021893169729101384), ('doctors', 0.021559122104792987), ('hospital', 0.019026087122325668), ('causing', 0.018777668914041843), ('attack face hospital', 0.014719393886996598), ('attack face', 0.014719393886996598), ('blame doctors', 0.014719393886996598), ('face hospital', 0.014719393886996598), ('unfair blame doctors', 0.014719393886996598)]",negative,"['hospitals', 'doctors nurses', 'doctors', 'hospital', 'causing', 'attack face hospital', 'attack face', 'blame doctors', 'face hospital', 'unfair blame doctors ']"
5,4,29,4_covid19_us_problem_mental health,"[('covid19', 0.018551863211279173), ('us', 0.01656764855730628), ('problem', 0.015934611664784385), ('mental health', 0.015081569510919683), ('party', 0.014967940456717508), ('mental', 0.014686439253329327), ('men', 0.012844729066024563), ('big', 0.012473283713931256), ('gonna', 0.011564382260889062), ('election', 0.0112860733574197)]",negative,"['covid', 'us', 'problem', 'mental health', 'party', 'mental', 'men', 'big', 'gonna', 'election ']"
6,5,25,5_god_workers_back_earn,"[('god', 0.029515229822545248), ('workers', 0.023777071661728003), ('back', 0.021742389518085117), ('earn', 0.02133159700826158), ('etc', 0.01750256858699285), ('job', 0.016329388079902914), ('average', 0.01565711589138055), ('rail', 0.01565711589138055), ('letter', 0.01565711589138055), ('wages', 0.015084211738733663)]",negative,"['god', 'workers', 'back', 'earn', 'etc', 'job', 'average', 'rail', 'letter', 'wages ']"
7,6,24,6_government_lies_lies lies_lies lies lies,"[('government', 0.04947265981577099), ('lies', 0.042490741567297964), ('lies lies', 0.04097519883949245), ('lies lies lies', 0.03538614409133136), ('vaccine', 0.03473477879866474), ('covid19', 0.024265989457053046), ('taking', 0.02312640199254228), ('person', 0.021719477651073262), ('list', 0.01665377008569841), ('special list', 0.01665377008569841)]",negative,"['government', 'lies', 'lies lies', 'lies lies lies', 'vaccine', 'covid', 'taking', 'person', 'list', 'special list ']"
8,7,24,7_oxygen_floor_need help_need,"[('oxygen', 0.04376212536454853), ('floor', 0.03827431233208014), ('need help', 0.02366294264271536), ('need', 0.02357215506808936), ('help', 0.02297237481190978), ('dying', 0.022213825561242483), ('walking space', 0.022097346381968433), ('crowded ppl', 0.022097346381968433), ('ppl dying', 0.022097346381968433), ('space crowded', 0.022097346381968433)]",negative,"['oxygen', 'floor', 'need help', 'need', 'help', 'dying', 'walking space', 'crowded ppl', 'ppl dying', 'space crowded ']"
9,8,24,8_jamaica_today_jamaicas_death,"[('jamaica', 0.03204173681474493), ('today', 0.01792974968242318), ('jamaicas', 0.01758235833636301), ('death', 0.017377479660943506), ('coronavirus', 0.01720949790290505), ('later', 0.016629101529027353), ('death associated', 0.016220772063470248), ('today jamaica total', 0.016220772063470248), ('4th death associated', 0.016220772063470248), ('newsupdate health minister', 0.016220772063470248)]",negative,"['jamaica', 'today', 'jamaicas', 'death', 'coronavirus', 'later', 'death associated', 'today jamaica total', 'th death associated', 'newsupdate health minister ']"
10,9,23,9_nurse_know_using_co,"[('nurse', 0.02518527428381576), ('know', 0.02196635734888877), ('using', 0.021834251117119386), ('co', 0.019522556979292397), ('co worker', 0.019522556979292397), ('last', 0.017909652182951197), ('friend', 0.01762802282229048), ('us', 0.016781330243646097), ('doctors', 0.01632381899453996), ('hospital', 0.01620662942376548)]",negative,"['nurse', 'know', 'using', 'co', 'co worker', 'last', 'friend', 'us', 'doctors', 'hospital ']"
11,10,22,10_curfews_curfew_decisions_stay,"[('curfews', 0.026525504373098932), ('curfew', 0.02273614660551337), ('decisions', 0.02273614660551337), ('stay', 0.017539573407412856), ('healthcare', 0.016415572208083436), ('difficult', 0.01607741086556386), ('discrimination', 0.015578778235039536), ('like', 0.014587875006561848), ('movement', 0.01447107682005186), ('health', 0.014116748252819665)]",negative,"['curfews', 'curfew', 'decisions', 'stay', 'healthcare', 'difficult', 'discrimination', 'like', 'movement', 'health ']"
12,11,20,11_safe_jamaica_tuesday_10am,"[('safe', 0.05253611772026961), ('jamaica', 0.046982018789948586), ('tuesday', 0.04216556439106363), ('10am', 0.03330477810364758), ('theres send halfway', 0.03330477810364758), ('beating singer writer', 0.03330477810364758), ('tree one', 0.03330477810364758), ('traffic stops sun', 0.03330477810364758), ('health music reggae', 0.03330477810364758), ('traffic stops', 0.03330477810364758)]",negative,"['safe', 'jamaica', 'tuesday', 'am', 'theres send halfway', 'beating singer writer', 'tree one', 'traffic stops sun', 'health music reggae', 'traffic stops ']"
13,12,17,12_daughter_stop_though_dead,"[('daughter', 0.02912033162395852), ('stop', 0.022278820078132703), ('though', 0.021688776988178747), ('dead', 0.020665448088814584), ('risk', 0.020099646355246227), ('pr', 0.020034927386318045), ('employee', 0.020034927386318045), ('death', 0.01856568339844392), ('nurse', 0.018275468262358617), ('contracted covid work', 0.0163330794431493)]",negative,"['daughter', 'stop', 'though', 'dead', 'risk', 'pr', 'employee', 'death', 'nurse', 'contracted covid work ']"
14,13,17,13_says_security_jamaica_vaccines,"[('says', 0.03589866535974413), ('security', 0.026465413574048836), ('jamaica', 0.025497403300858035), ('vaccines', 0.023779508862630208), ('experts', 0.02243666584984008), ('soes', 0.02151296029637964), ('india', 0.02151296029637964), ('experts says', 0.02151296029637964), ('security forces', 0.020725786951363494), ('doses', 0.020725786951363494)]",negative,"['says', 'security', 'jamaica', 'vaccines', 'experts', 'soes', 'india', 'experts says', 'security forces', 'doses ']"
15,14,17,14_vaccine_vaccinated_vaccines_dont,"[('vaccine', 0.04533861504944982), ('vaccinated', 0.03063128630028399), ('vaccines', 0.02603041475380833), ('dont', 0.020530072728637036), ('getting', 0.019987802442398433), ('workers', 0.019506688502969757), ('ppl', 0.018395782082448218), ('encourage', 0.017105419683047345), ('take', 0.017022619765079135), ('time addressing', 0.01573703867996726)]",negative,"['vaccine', 'vaccinated', 'vaccines', 'dont', 'getting', 'workers', 'ppl', 'encourage', 'take', 'time addressing ']"
16,15,16,15_appreciate_people_dont_value,"[('appreciate', 0.0539266303954454), ('people', 0.03804348887580139), ('dont', 0.032138895671557255), ('value', 0.026787314546132115), ('never', 0.024743086703052607), ('text', 0.022119234632004887), ('care', 0.021642583093816867), ('beg', 0.02130987731090192), ('men', 0.01785183799648941), ('im', 0.01776542499119168)]",negative,"['appreciate', 'people', 'dont', 'value', 'never', 'text', 'care', 'beg', 'men', 'im ']"
17,16,15,16_bonus_dem_police_mi,"[('bonus', 0.08680229205412635), ('dem', 0.07241804410935207), ('police', 0.06298140858429524), ('mi', 0.053351911239738835), ('healthcare', 0.04548841456608384), ('much less', 0.04535013729599572), ('thank card', 0.04535013729599572), ('much less bonus', 0.04535013729599572), ('card much less', 0.04535013729599572), ('less bonus', 0.04535013729599572)]",negative,"['bonus', 'dem', 'police', 'mi', 'healthcare', 'much less', 'thank card', 'much less bonus', 'card much less', 'less bonus ']"
