Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,403,-1_health_appreciate_help_amp,"[('health', 0.018403629313872946), ('appreciate', 0.010797844324488411), ('help', 0.009366401460714505), ('amp', 0.009056645990957643), ('thank', 0.008779652602054374), ('safe', 0.007867717636868287), ('good', 0.007463490849815799), ('life', 0.006482182756165276), ('us', 0.006317342764994181), ('care', 0.006013168551276244)]",positive,"['health', 'appreciate', 'help', 'amp', 'thank', 'safe', 'good', 'life', 'us', 'care ']"
1,0,885,0_health_help_jamaica_covid19,"[('health', 0.01944932808715783), ('help', 0.012036203634665673), ('jamaica', 0.011482772708089829), ('covid19', 0.01032461553832983), ('nurses', 0.010122545805494631), ('amp', 0.00960430296966154), ('thank', 0.009554909273413055), ('day', 0.008602075391881578), ('good', 0.008218446647871169), ('happy', 0.008087738018416417)]",positive,"['health', 'help', 'jamaica', 'covid', 'nurses', 'amp', 'thank', 'day', 'good', 'happy ']"
2,1,101,1_frontline_healthcareworkers thankyou staysafe_frontlineheroes healthcareworkers thankyou_essentialworkers frontlineheroes healthcareworkers,"[('frontline', 0.09128078139763764), ('healthcareworkers thankyou staysafe', 0.062216867672284536), ('frontlineheroes healthcareworkers thankyou', 0.062216867672284536), ('essentialworkers frontlineheroes healthcareworkers', 0.062216867672284536), ('healthcareworkers thankyou', 0.062216867672284536), ('frontlineheroes healthcareworkers', 0.062216867672284536), ('healthcareworkers', 0.06194576351583837), ('coronavirus stayhome', 0.059238502972127925), ('frontlineworkers covid coronavirus', 0.059238502972127925), ('coronavirus stayhome essentialworkers', 0.059238502972127925)]",positive,"['frontline', 'healthcareworkers thankyou staysafe', 'frontlineheroes healthcareworkers thankyou', 'essentialworkers frontlineheroes healthcareworkers', 'healthcareworkers thankyou', 'frontlineheroes healthcareworkers', 'healthcareworkers', 'coronavirus stayhome', 'frontlineworkers covid coronavirus', 'coronavirus stayhome essentialworkers ']"
3,2,46,2_vaccine_vaccinated_encourage_vaccines,"[('vaccine', 0.05813822667459708), ('vaccinated', 0.02670000864412112), ('encourage', 0.024355913527173045), ('vaccines', 0.020867787206230552), ('vaccinateja', 0.018259313805451736), ('vaccination', 0.018089445310705356), ('covid19', 0.017828897832737372), ('centre', 0.017652294187252598), ('take vaccine', 0.01664931290188387), ('consult', 0.01664931290188387)]",positive,"['vaccine', 'vaccinated', 'encourage', 'vaccines', 'vaccinateja', 'vaccination', 'covid', 'centre', 'take vaccine', 'consult ']"
4,3,36,3_heroes_thank_dedication_commitment dedication,"[('heroes', 0.04937500670700845), ('thank', 0.03501353175297321), ('dedication', 0.032073417295286274), ('commitment dedication', 0.031859367173908186), ('housekeepers', 0.031859367173908186), ('thank commitment', 0.031859367173908186), ('thank commitment dedication', 0.031859367173908186), ('commitment', 0.02808296352791356), ('doctors nurses', 0.023996259000416995), ('hardworking', 0.02267734072928232)]",positive,"['heroes', 'thank', 'dedication', 'commitment dedication', 'housekeepers', 'thank commitment', 'thank commitment dedication', 'commitment', 'doctors nurses', 'hardworking ']"
5,4,28,4_frontline_coronavirus stayhome essentialworkers_covid coronavirus_covid coronavirus stayhome,"[('frontline', 0.07116240681679466), ('coronavirus stayhome essentialworkers', 0.046658384237210256), ('covid coronavirus', 0.046658384237210256), ('covid coronavirus stayhome', 0.046658384237210256), ('frontlineworkers covid coronavirus', 0.046658384237210256), ('coronavirus stayhome', 0.046658384237210256), ('xmas treat frontline', 0.04613597818797853), ('thankyou staysafe frontline', 0.04613597818797853), ('treat frontline workers', 0.04613597818797853), ('staysafe frontline', 0.04613597818797853)]",positive,"['frontline', 'coronavirus stayhome essentialworkers', 'covid coronavirus', 'covid coronavirus stayhome', 'frontlineworkers covid coronavirus', 'coronavirus stayhome', 'xmas treat frontline', 'thankyou staysafe frontline', 'treat frontline workers', 'staysafe frontline ']"
6,5,22,5_cuba_amp_140_professionals,"[('cuba', 0.07797618741484834), ('amp', 0.057175549744203594), ('140', 0.03910557662511662), ('professionals', 0.034034947458632635), ('professionals cuba', 0.03240102266105497), ('140 medical', 0.03240102266105497), ('140 medical professionals', 0.03240102266105497), ('professionals cuba help', 0.03240102266105497), ('cuba help', 0.03240102266105497), ('medical professionals cuba', 0.03240102266105497)]",positive,"['cuba', 'amp', '', 'professionals', 'professionals cuba', ' medical', ' medical professionals', 'professionals cuba help', 'cuba help', 'medical professionals cuba ']"
7,6,20,6_healthcare workers_time_healthcare_porters,"[('healthcare workers', 0.06258865587847837), ('time', 0.05130839779110891), ('healthcare', 0.04938131640815241), ('porters', 0.048553382533128256), ('time policymakers', 0.048553382533128256), ('porters matrons records', 0.048553382533128256), ('covid19 mohampw chocolatelovers', 0.048553382533128256), ('workers time', 0.048553382533128256), ('workers time policymakers', 0.048553382533128256), ('matrons', 0.048553382533128256)]",positive,"['healthcare workers', 'time', 'healthcare', 'porters', 'time policymakers', 'porters matrons records', 'covid mohampw chocolatelovers', 'workers time', 'workers time policymakers', 'matrons ']"
8,7,19,7_covid19_recover_sanitizer_support,"[('covid19', 0.045134739351817194), ('recover', 0.04111126804395603), ('sanitizer', 0.038647842952791056), ('support', 0.03561168621964027), ('people severe cases', 0.0319124710201533), ('effects ventilationoxygen support', 0.0319124710201533), ('prolonged immobilisation bed', 0.0319124710201533), ('prolonged immobilisation', 0.0319124710201533), ('covid19 need', 0.0319124710201533), ('effects ventilationoxygen', 0.0319124710201533)]",positive,"['covid', 'recover', 'sanitizer', 'support', 'people severe cases', 'effects ventilationoxygen support', 'prolonged immobilisation bed', 'prolonged immobilisation', 'covid need', 'effects ventilationoxygen ']"
9,8,17,8_mask_wearing_distance_hands,"[('mask', 0.07419968521754143), ('wearing', 0.05355625134257271), ('distance', 0.046861719924751126), ('hands', 0.043606429537593666), ('others', 0.04213792233743624), ('social', 0.040812505543894324), ('wearing mask', 0.03656868684457128), ('help', 0.0358379183557429), ('sanitizing', 0.0356081032790818), ('covid19', 0.03355518935988398)]",positive,"['mask', 'wearing', 'distance', 'hands', 'others', 'social', 'wearing mask', 'help', 'sanitizing', 'covid ']"
