Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1871,-1_singapore_covid19_health_covid,"[('singapore', 0.004857891348738702), ('covid19', 0.004427167556010885), ('health', 0.0038406410795588015), ('covid', 0.0037944552452920054), ('government', 0.0035906281526966594), ('people', 0.003511345094954069), ('amp', 0.0031046609865666504), ('like', 0.0028011437635406655), ('dont', 0.002577473014554399), ('help', 0.0025444096858667133)]",negative,"['singapore', 'covid', 'health', 'covid', 'government', 'people', 'amp', 'like', 'dont', 'help ']"
1,0,404,0_government_cash_amp_news,"[('government', 0.012000184238364546), ('cash', 0.007985548755399492), ('amp', 0.00652449047194305), ('news', 0.005770616569509504), ('money', 0.005669740581243722), ('singapore government', 0.0053112552569683814), ('singapore', 0.005144452834207275), ('sgdeals', 0.005114718235981669), ('people', 0.004886037871675524), ('card', 0.0046992730505537655)]",negative,"['government', 'cash', 'amp', 'news', 'money', 'singapore government', 'singapore', 'sgdeals', 'people', 'card ']"
2,1,230,1_mask_wear_masks_wearing,"[('mask', 0.04089865533840841), ('wear', 0.016323380979112893), ('masks', 0.01513234299175251), ('wearing', 0.01465412236179819), ('wear mask', 0.0116498083312709), ('wearing mask', 0.009783492163172256), ('face', 0.009632566097300593), ('mask singapore', 0.008221325269248963), ('face mask', 0.00815546540248527), ('singapore', 0.007475172354104579)]",negative,"['mask', 'wear', 'masks', 'wearing', 'wear mask', 'wearing mask', 'face', 'mask singapore', 'face mask', 'singapore ']"
3,2,172,2_lockdown_singapore lockdown_singapore_lockdown singapore,"[('lockdown', 0.04093220964061369), ('singapore lockdown', 0.011923277138590973), ('singapore', 0.01166928439425334), ('lockdown singapore', 0.011201508196967767), ('lock', 0.008017342332918183), ('malaysia', 0.0076993616171310226), ('malaysia lockdown', 0.0062322043704810355), ('like', 0.005981741061636037), ('june', 0.005619552097391702), ('month', 0.005603366299044178)]",negative,"['lockdown', 'singapore lockdown', 'singapore', 'lockdown singapore', 'lock', 'malaysia', 'malaysia lockdown', 'like', 'june', 'month ']"
4,3,168,3_covid19 cases_new covid19 cases_new covid19_cases,"[('covid19 cases', 0.05326055905823707), ('new covid19 cases', 0.05303910676311242), ('new covid19', 0.052557517622365386), ('cases', 0.046673782674287234), ('new', 0.045721246114569104), ('deaths singapore', 0.045467668706178944), ('singapore reports', 0.044710575732865736), ('deaths singapore reports', 0.044678902906849255), ('reports', 0.04421513056184282), ('deaths', 0.03388250550118862)]",negative,"['covid cases', 'new covid cases', 'new covid', 'cases', 'new', 'deaths singapore', 'singapore reports', 'deaths singapore reports', 'reports', 'deaths ']"
5,4,138,4_mental_mental health_health_help,"[('mental', 0.04115995822845448), ('mental health', 0.03958743209937673), ('health', 0.023044025992699255), ('help', 0.011265769404041783), ('airlines', 0.009054155109730294), ('mental health issues', 0.0075926848069740776), ('issue', 0.0073738609031037995), ('health issues', 0.0069742297934846376), ('issues', 0.0069221393572638625), ('singapore airlines', 0.006737645788945019)]",negative,"['mental', 'mental health', 'health', 'help', 'airlines', 'mental health issues', 'issue', 'health issues', 'issues', 'singapore airlines ']"
6,5,136,5_vaccine_vaccination_vaccinated_vaccines,"[('vaccine', 0.028977484320025088), ('vaccination', 0.015907553779609552), ('vaccinated', 0.012975520518009579), ('vaccines', 0.009849488852547581), ('dose', 0.00954092185482962), ('shot', 0.0074496386915842575), ('singapore', 0.007267483026579028), ('got', 0.0063846683437927395), ('covid', 0.005818285639191318), ('pfizer', 0.005602077654656481)]",negative,"['vaccine', 'vaccination', 'vaccinated', 'vaccines', 'dose', 'shot', 'singapore', 'got', 'covid', 'pfizer ']"
7,6,103,6_quarantine_singapore quarantine_quarantine singapore_singapore,"[('quarantine', 0.05204883476500787), ('singapore quarantine', 0.015877031668367104), ('quarantine singapore', 0.013764875684906485), ('singapore', 0.012825970629704784), ('day', 0.012704468906474278), ('hotel', 0.012041061546941234), ('quarantine day', 0.01148790231425588), ('room', 0.010167738109209288), ('days', 0.010045755872259445), ('mandatory', 0.008896067568455773)]",negative,"['quarantine', 'singapore quarantine', 'quarantine singapore', 'singapore', 'day', 'hotel', 'quarantine day', 'room', 'days', 'mandatory ']"
8,7,90,7_total_situation singapore jun_singapore jun_singapore jun 2022,"[('total', 0.024153391020325155), ('situation singapore jun', 0.020201678286631875), ('singapore jun', 0.020201678286631875), ('singapore jun 2022', 0.020201678286631875), ('jun 2022 new', 0.020201678286631875), ('update', 0.020184153325166536), ('2022 new cases', 0.01890596364585203), ('2022 new', 0.01890596364585203), ('cases total deaths', 0.01890596364585203), ('coronavirus cases total', 0.01890596364585203)]",negative,"['total', 'situation singapore jun', 'singapore jun', 'singapore jun', ' jun', 'new', 'update', ' new cases', ' new', 'cases total deaths', 'coronavirus cases total ']"
9,8,76,8_stayhomestaysafe foodie_stayhomestaysafe foodie foodstagram_stayhome stayhomestaysafe foodie_foodie foodstagram,"[('stayhomestaysafe foodie', 0.025981888910705724), ('stayhomestaysafe foodie foodstagram', 0.025981888910705724), ('stayhome stayhomestaysafe foodie', 0.025981888910705724), ('foodie foodstagram', 0.025981888910705724), ('foodstagram', 0.025981888910705724), ('foodie', 0.025726469518089788), ('circuitbreaker', 0.025471891004820755), ('circuitbreaker singapore', 0.02514943382575453), ('stayhome stayhomestaysafe', 0.024600589327595724), ('covid19 sgunited', 0.023441962246055048)]",negative,"['stayhomestaysafe foodie', 'stayhomestaysafe foodie foodstagram', 'stayhome stayhomestaysafe foodie', 'foodie foodstagram', 'foodstagram', 'foodie', 'circuitbreaker', 'circuitbreaker singapore', 'stayhome stayhomestaysafe', 'covid sgunited ']"
