Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1093,-1_health_amp_help_people,"[('health', 0.009670630865060686), ('amp', 0.007753566170426499), ('help', 0.0075911955574390405), ('people', 0.006591363622384895), ('healthcare', 0.005542702766127312), ('dont', 0.005405711316566107), ('get', 0.005228624660382425), ('im', 0.004872159739628764), ('care', 0.004702228337012983), ('mental', 0.00449272953395972)]",negative,"['health', 'amp', 'help', 'people', 'healthcare', 'dont', 'get', 'im', 'care', 'mental ']"
1,0,845,0_health_mental_mental health_healthcare,"[('health', 0.010727835739402359), ('mental', 0.009267362798495106), ('mental health', 0.008875218804044275), ('healthcare', 0.00812119559679034), ('nursing', 0.00789686228440903), ('covid', 0.007535486295950665), ('people', 0.006465051635030445), ('covid19', 0.006276710884650462), ('help', 0.006276627061432172), ('care', 0.005909897580921241)]",negative,"['health', 'mental', 'mental health', 'healthcare', 'nursing', 'covid', 'people', 'covid', 'help', 'care ']"
2,1,168,1_mask_wear_masks_wearing,"[('mask', 0.03899040584363423), ('wear', 0.02041682854743116), ('masks', 0.019186763719302825), ('wearing', 0.01467639354592541), ('wear mask', 0.013514103876617889), ('wearing mask', 0.009695663011574106), ('dont', 0.008773492672859875), ('people', 0.008192057688435414), ('using', 0.00792356185062822), ('care', 0.007520136576737035)]",negative,"['mask', 'wear', 'masks', 'wearing', 'wear mask', 'wearing mask', 'dont', 'people', 'using', 'care ']"
3,2,166,2_vaccine_vaccines_covid_people,"[('vaccine', 0.0348809034333555), ('vaccines', 0.015600148791870539), ('covid', 0.010548272134310973), ('people', 0.009310941271457328), ('health', 0.00816139379290393), ('public', 0.0077967568146527335), ('help', 0.007515769895511784), ('covid19', 0.0071308467377777275), ('many', 0.006995365151048483), ('vaccinated', 0.006983008439164322)]",negative,"['vaccine', 'vaccines', 'covid', 'people', 'health', 'public', 'help', 'covid', 'many', 'vaccinated ']"
4,3,42,3_texas_texans_hes_medicaid,"[('texas', 0.048682259282089704), ('texans', 0.021222458867316496), ('hes', 0.020880310634702345), ('medicaid', 0.013615906594043534), ('going', 0.011698142541228572), ('people', 0.010671594349557265), ('health', 0.010115112921540428), ('hes going', 0.01010820940846812), ('economy', 0.009722171646380685), ('guidance', 0.009722171646380685)]",negative,"['texas', 'texans', 'hes', 'medicaid', 'going', 'people', 'health', 'hes going', 'economy', 'guidance ']"
5,4,34,4_school_another_least another_covid19 tests use,"[('school', 0.02190141255046288), ('another', 0.018428291396185008), ('least another', 0.01829096973400032), ('covid19 tests use', 0.01829096973400032), ('use arrivecan', 0.01829096973400032), ('countrys border least', 0.01829096973400032), ('canada extending pandemic', 0.01829096973400032), ('tests use arrivecan', 0.01829096973400032), ('includes vaccine mandates', 0.01829096973400032), ('includes vaccine', 0.01829096973400032)]",negative,"['school', 'another', 'least another', 'covid tests use', 'use arrivecan', 'countrys border least', 'canada extending pandemic', 'tests use arrivecan', 'includes vaccine mandates', 'includes vaccine ']"
6,5,33,5_hiring_nursingjobs_tx nursingjobs_want work,"[('hiring', 0.07688518862283197), ('nursingjobs', 0.07465265691190096), ('tx nursingjobs', 0.07465265691190096), ('want work', 0.07400711237943362), ('tx nursingjobs want', 0.07174272018510688), ('nursingjobs want', 0.07174272018510688), ('nursingjobs want work', 0.07174272018510688), ('tx', 0.0684995818288909), ('want', 0.048818641913192976), ('work', 0.045179944400474216)]",negative,"['hiring', 'nursingjobs', 'tx nursingjobs', 'want work', 'tx nursingjobs want', 'nursingjobs want', 'nursingjobs want work', 'tx', 'want', 'work ']"
7,6,33,6_mexico_abc_mexicos_covid19,"[('mexico', 0.06291263477993052), ('abc', 0.021405314300003326), ('mexicos', 0.01878532026735168), ('covid19', 0.016132843381898892), ('hermosillo', 0.01608614406219589), ('abc nursery', 0.01608614406219589), ('hermosillo mexico', 0.01608614406219589), ('undersecretary', 0.01608614406219589), ('hermosillo mexico june', 0.01608614406219589), ('nursery', 0.01608614406219589)]",negative,"['mexico', 'abc', 'mexicos', 'covid', 'hermosillo', 'abc nursery', 'hermosillo mexico', 'undersecretary', 'hermosillo mexico june', 'nursery ']"
8,7,31,7_park_athletes_safe_stay,"[('park', 0.031312945523349366), ('athletes', 0.01913881811797321), ('safe', 0.0169998701928232), ('stay', 0.016412530127887473), ('conditioning', 0.014292294532411506), ('amp', 0.014166774806006543), ('strength', 0.013959124260577308), ('stay safe', 0.013353801591527372), ('get help', 0.013353801591527372), ('couldnt', 0.013256359173879679)]",negative,"['park', 'athletes', 'safe', 'stay', 'conditioning', 'amp', 'strength', 'stay safe', 'get help', 'couldnt ']"
9,8,29,8_amp_amp im_appreciate_go,"[('amp', 0.05693215951089384), ('amp im', 0.010776231765373906), ('appreciate', 0.010393698247847423), ('go', 0.010351550617033778), ('dont appreciate', 0.009753382679430008), ('im', 0.009298757952226662), ('day', 0.00921847371164973), ('ill', 0.008734762112618137), ('month', 0.008662691123979079), ('time', 0.008507393164126867)]",negative,"['amp', 'amp im', 'appreciate', 'go', 'dont appreciate', 'im', 'day', 'ill', 'month', 'time ']"
