Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1679,-1_health_thank_appreciate_help,"[('health', 0.006584581279808328), ('thank', 0.005858638661942085), ('appreciate', 0.005656444518357128), ('help', 0.005499577097702091), ('amp', 0.004689068835060599), ('care', 0.004195279057522207), ('safe', 0.0039795994065034285), ('us', 0.0039355279089441945), ('love', 0.003857293210918616), ('covid19', 0.003317350914979333)]",positive,"['health', 'thank', 'appreciate', 'help', 'amp', 'care', 'safe', 'us', 'love', 'covid ']"
1,0,287,0_covid19_workers_pandemic_coronavirus,"[('covid19', 0.01786692526452385), ('workers', 0.013652753122324071), ('pandemic', 0.009650216280621028), ('coronavirus', 0.008823838294116594), ('covid', 0.008814637015704233), ('healthcare', 0.007910037000260021), ('thank', 0.007454916650731622), ('patients', 0.00633552317537782), ('covid19 pandemic', 0.006192768084351339), ('virus', 0.005633962236874792)]",positive,"['covid', 'workers', 'pandemic', 'coronavirus', 'covid', 'healthcare', 'thank', 'patients', 'covid pandemic', 'virus ']"
2,1,218,1_mental_mental health_health_help,"[('mental', 0.03731280792171986), ('mental health', 0.03599530599199886), ('health', 0.016572439736146357), ('help', 0.010979816952196535), ('im', 0.007921114813407116), ('helped', 0.0058110949612384865), ('people', 0.005466918368603335), ('helps', 0.005255785472405135), ('awareness', 0.005241317089344029), ('need', 0.004873829499568539)]",positive,"['mental', 'mental health', 'health', 'help', 'im', 'helped', 'people', 'helps', 'awareness', 'need ']"
3,2,163,2_vaccine_vaccines_vaccinated_covid19,"[('vaccine', 0.025031699788159074), ('vaccines', 0.01643520796591326), ('vaccinated', 0.014545384589881407), ('covid19', 0.01212874017934222), ('covid', 0.00987224984748473), ('vaccination', 0.008836553929529796), ('get', 0.008684587238157045), ('seniors 6064', 0.008413273213681257), ('6064', 0.008413273213681257), ('seniors', 0.0071702392365149996)]",positive,"['vaccine', 'vaccines', 'vaccinated', 'covid', 'covid', 'vaccination', 'get', 'seniors', '', ' seniors ']"
4,3,135,3_mask_masks_wear_wear mask,"[('mask', 0.039181990635616955), ('masks', 0.019657911810664716), ('wear', 0.018687604025666382), ('wear mask', 0.015209772247083036), ('wearing', 0.01447635336741763), ('face', 0.00972068535606329), ('help', 0.0074306601475381965), ('wearing masks', 0.006952272241613443), ('wearing mask', 0.005655663562527932), ('safety', 0.005529244400897611)]",positive,"['mask', 'masks', 'wear', 'wear mask', 'wearing', 'face', 'help', 'wearing masks', 'wearing mask', 'safety ']"
5,4,122,4_safe_take care_take_care,"[('safe', 0.024392742361132518), ('take care', 0.018693645141099266), ('take', 0.017671013086733488), ('care', 0.01704911102683411), ('stay', 0.015810783769477556), ('stay safe', 0.01565609395955359), ('thank', 0.01529320341425413), ('appreciate', 0.013958254004791101), ('care stay', 0.010761930466878558), ('care stay safe', 0.010761930466878558)]",positive,"['safe', 'take care', 'take', 'care', 'stay', 'stay safe', 'thank', 'appreciate', 'care stay', 'care stay safe ']"
6,5,105,5_nurses_nurse_school_nursing,"[('nurses', 0.03781575659885514), ('nurse', 0.033501353620295285), ('school', 0.022242197786975525), ('nursing', 0.012380367125596115), ('school nurses', 0.01224860337776955), ('thank', 0.011578007964295355), ('nurses day', 0.010022412167420305), ('appreciates unsung heroes', 0.009411242181232982), ('robstown', 0.009411242181232982), ('robstown isd appreciates', 0.009411242181232982)]",positive,"['nurses', 'nurse', 'school', 'nursing', 'school nurses', 'thank', 'nurses day', 'appreciates unsung heroes', 'robstown', 'robstown isd appreciates ']"
7,6,101,6_campaign_vote_healthcare_amp,"[('campaign', 0.013247314375979072), ('vote', 0.011357373859697178), ('healthcare', 0.009924483780736262), ('amp', 0.008140226002714105), ('ontariovotes', 0.007693742369978686), ('children', 0.007497424474918486), ('need', 0.0070245739588531385), ('us', 0.0064936474166875), ('party', 0.006385655204552608), ('help', 0.0063745357010771605)]",positive,"['campaign', 'vote', 'healthcare', 'amp', 'ontariovotes', 'children', 'need', 'us', 'party', 'help ']"
8,7,89,7_amp_booster_health amp_appreciate,"[('amp', 0.03999286758190551), ('booster', 0.011042229384849849), ('health amp', 0.007496169592278309), ('appreciate', 0.007198558508262654), ('thank', 0.006851012578956902), ('got', 0.0068243662795459325), ('amp team', 0.0066871364358020895), ('cte', 0.006566645260990673), ('funding', 0.00653672517129736), ('sleeves amp got', 0.006129554490915391)]",positive,"['amp', 'booster', 'health amp', 'appreciate', 'thank', 'got', 'amp team', 'cte', 'funding', 'sleeves amp got ']"
9,8,81,8_blessings_prayers_god_pray,"[('blessings', 0.018667292482967248), ('prayers', 0.017530861878835943), ('god', 0.017060205683575153), ('pray', 0.015532173817753953), ('jesus', 0.01285121971742039), ('health', 0.012415668754094772), ('good', 0.011196203760367304), ('family', 0.010766722061318392), ('lord', 0.010705071657342054), ('health luck', 0.01041277218666328)]",positive,"['blessings', 'prayers', 'god', 'pray', 'jesus', 'health', 'good', 'family', 'lord', 'health luck ']"
