Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,97,-1_health_people_appreciate_help,"[('health', 0.016555112936413412), ('people', 0.015284151556138109), ('appreciate', 0.014419475868660605), ('help', 0.0128581753918266), ('people stay', 0.009211604017037356), ('im', 0.008880421436890724), ('sister motlalepule ramafoko', 0.00836288149979598), ('sister motlalepule', 0.00836288149979598), ('home help flatten', 0.00836288149979598), ('stay home help', 0.00836288149979598)]",negative,"['health', 'people', 'appreciate', 'help', 'people stay', 'im', 'sister motlalepule ramafoko', 'sister motlalepule', 'home help flatten', 'stay home help ']"
1,0,90,0_health_ba_ke_us,"[('health', 0.020727739649531902), ('ba', 0.010302762641390236), ('ke', 0.009108382953935677), ('us', 0.008934503492640715), ('le', 0.008727929835034887), ('really', 0.008695749051233525), ('using', 0.0084577841715117), ('hospital', 0.007967874336450612), ('public', 0.00701996702993199), ('system', 0.007012474183768882)]",negative,"['health', 'ba', 'ke', 'us', 'le', 'really', 'using', 'hospital', 'public', 'system ']"
2,1,78,1_covid19_health_amp_stayhome,"[('covid19', 0.019098051205347487), ('health', 0.01802923512827998), ('amp', 0.013368179130319239), ('stayhome', 0.013118433698397958), ('hospital', 0.012871025357971721), ('time', 0.011296128209266182), ('workers', 0.010194132996463568), ('madoda sambatha', 0.010152399639696663), ('madoda', 0.010152399639696663), ('sambatha', 0.010152399639696663)]",negative,"['covid', 'health', 'amp', 'stayhome', 'hospital', 'time', 'workers', 'madoda sambatha', 'madoda', 'sambatha ']"
3,2,46,2_mental_mental health_health_depression,"[('mental', 0.05719174350374073), ('mental health', 0.05491174210080135), ('health', 0.03492181230526264), ('depression', 0.01848093566004297), ('help', 0.0154990801019324), ('awareness', 0.013860701745032226), ('get', 0.012849693414597019), ('line', 0.010878556781821968), ('closing', 0.010556283492802533), ('items', 0.010378445656630406)]",negative,"['mental', 'mental health', 'health', 'depression', 'help', 'awareness', 'get', 'line', 'closing', 'items ']"
4,3,40,3_nurses_nurse_nursing_said,"[('nurses', 0.03461062807944407), ('nurse', 0.03365014740707954), ('nursing', 0.022246787172725), ('said', 0.019548893235200565), ('help', 0.019174119713730807), ('male', 0.01852698361689081), ('one', 0.01750162053387638), ('hospital', 0.015145610913469209), ('managerial', 0.013517420092479753), ('male patients', 0.013517420092479753)]",negative,"['nurses', 'nurse', 'nursing', 'said', 'help', 'male', 'one', 'hospital', 'managerial', 'male patients ']"
5,4,39,4_covid19_easing_lets_allow,"[('covid19', 0.03121042564218168), ('easing', 0.017736442991273464), ('lets', 0.01579302242714205), ('allow', 0.014905002222593437), ('world', 0.014642765682787265), ('health', 0.014363575474236326), ('lockdown', 0.013501628843854002), ('seen', 0.013024305837675252), ('public', 0.012775674594757746), ('done', 0.012550942013817656)]",negative,"['covid', 'easing', 'lets', 'allow', 'world', 'health', 'lockdown', 'seen', 'public', 'done ']"
6,5,33,5_vaccine_take vaccine_johnson_vaccines,"[('vaccine', 0.0671498151103211), ('take vaccine', 0.023280805419338732), ('johnson', 0.023280805419338732), ('vaccines', 0.023280805419338732), ('take', 0.02072987702722845), ('covid', 0.020012989744899654), ('vaccination', 0.01835257813489086), ('people', 0.01760624097312418), ('health', 0.01571132413200552), ('ask', 0.015293815112409051)]",negative,"['vaccine', 'take vaccine', 'johnson', 'vaccines', 'take', 'covid', 'vaccination', 'people', 'health', 'ask ']"
7,6,33,6_quarantine_go_ba_people,"[('quarantine', 0.039210185315654664), ('go', 0.02993119022521889), ('ba', 0.02404561807905562), ('people', 0.01772285263660224), ('covid', 0.01673629648175351), ('virus', 0.01633207825362846), ('ka', 0.014057537494874013), ('covid19', 0.011895592143244822), ('smoking', 0.011719111580686795), ('positive covid19', 0.009743161196415226)]",negative,"['quarantine', 'go', 'ba', 'people', 'covid', 'virus', 'ka', 'covid', 'smoking', 'positive covid ']"
8,7,33,7_lockdown_food_safe_amp,"[('lockdown', 0.04268625718516188), ('food', 0.03475191024469427), ('safe', 0.028902380970803235), ('amp', 0.02661760037674462), ('food safe', 0.024380387434258643), ('raisins', 0.02341521056466982), ('cannot', 0.02300324660078632), ('isnt', 0.022281666786110883), ('people', 0.018437806100519295), ('possible isnt', 0.013691434823893534)]",negative,"['lockdown', 'food', 'safe', 'amp', 'food safe', 'raisins', 'cannot', 'isnt', 'people', 'possible isnt ']"
9,8,29,8_cases_province_confirmed_number,"[('cases', 0.10239465610724814), ('province', 0.06192874119750435), ('confirmed', 0.05362493019317089), ('number', 0.04644673066066616), ('north west province', 0.040388461444057534), ('west province', 0.040388461444057534), ('covid19 cases', 0.038917696141628884), ('north', 0.03864468174183941), ('north west', 0.03864468174183941), ('west', 0.03864468174183941)]",negative,"['cases', 'province', 'confirmed', 'number', 'north west province', 'west province', 'covid cases', 'north', 'north west', 'west ']"
10,9,23,9_move_move people_north_north west,"[('move', 0.06339515791252477), ('move people', 0.037983288705066114), ('north', 0.03738927541406779), ('north west', 0.03738927541406779), ('west', 0.03738927541406779), ('people move', 0.03657342927064756), ('move people move', 0.03657342927064756), ('lockdown regulations', 0.03657342927064756), ('adhere', 0.03597574114787364), ('confirmed', 0.035781294742180066)]",negative,"['move', 'move people', 'north', 'north west', 'west', 'people move', 'move people move', 'lockdown regulations', 'adhere', 'confirmed ']"
11,10,19,10_malls_countries_socialdistancing_import,"[('malls', 0.02775887405807554), ('countries', 0.02519273958709191), ('socialdistancing', 0.02122863884310765), ('import', 0.020478851550089043), ('areas', 0.019866511348038424), ('hard', 0.01934902188219728), ('need', 0.019291558997568282), ('unnerving yo', 0.016646795138570106), ('malls hugging', 0.016646795138570106), ('unnerving yo see', 0.016646795138570106)]",negative,"['malls', 'countries', 'socialdistancing', 'import', 'areas', 'hard', 'need', 'unnerving yo', 'malls hugging', 'unnerving yo see ']"
12,11,18,11_amp_nurses_protective_line,"[('amp', 0.03827448859794191), ('nurses', 0.032659065011732664), ('protective', 0.02763631789399256), ('line', 0.024075494517146977), ('lives', 0.02402976008197672), ('blaming hospitals amp', 0.023740120649400648), ('business leader', 0.023740120649400648), ('hospitals amp government', 0.023740120649400648), ('distance amp', 0.023740120649400648), ('curb impact covid19', 0.023740120649400648)]",negative,"['amp', 'nurses', 'protective', 'line', 'lives', 'blaming hospitals amp', 'business leader', 'hospitals amp government', 'distance amp', 'curb impact covid ']"
13,12,17,12_clinic_covid19_promosa township_sambatha orders,"[('clinic', 0.08811504640817293), ('covid19', 0.06525167495160393), ('promosa township', 0.05479016496458563), ('sambatha orders', 0.05479016496458563), ('orders', 0.05479016496458563), ('orders closure', 0.05479016496458563), ('positive covid19 community', 0.05479016496458563), ('orders closure clinic', 0.05479016496458563), ('clinic promosa', 0.05479016496458563), ('tests positive covid19', 0.05479016496458563)]",negative,"['clinic', 'covid', 'promosa township', 'sambatha orders', 'orders', 'orders closure', 'positive covid community', 'orders closure clinic', 'clinic promosa', 'tests positive covid ']"
